,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,4.891B,,4.891B,14.89B,15.20B,13.18B,234.67M,1.192B,34.70B,,,,,,,1.477B,6.709B,1.862B,8.572B,326.82M,771.03M,11.15B,45.85B,,33.45B,33.45B,1.535B,34.99B,,59.37M,59.37M,59.37M,,,,35.04B,3.641B,3.641B,703.65M,703.65M,6.199B,185.67M,,483.29M,11.31B,46.36B,,2.891M,780.97M,5.188B,6.598B,,,-70.47M,-697.22M,,AOR,
2020-09,4.598B,,4.598B,13.85B,14.33B,12.59B,189.30M,1.345B,33.06B,0.00,39.57M,586.55M,2.618B,3.244B,-1.760B,1.485B,6.707B,1.886B,8.593B,361.64M,779.85M,11.22B,44.27B,,31.71B,31.71B,1.647B,33.35B,,,501.26M,501.26M,,,,33.85B,3.618B,3.618B,686.48M,686.48M,6.199B,179.29M,,472.86M,11.26B,45.11B,,2.878M,518.34M,5.082B,6.513B,,,-108.83M,-1.019B,,AOR,
2020-06,3.420B,,3.420B,12.55B,13.14B,11.85B,163.74M,1.341B,29.92B,,,,,,,1.455B,6.705B,1.911B,8.616B,,800.45M,10.87B,40.79B,,29.15B,29.15B,966.71M,30.11B,,,519.71M,519.71M,,,,30.63B,3.621B,3.621B,1.806B,1.806B,,110.70M,,494.76M,6.190B,36.82B,,2.875M,5.451B,5.045B,6.513B,,,-128.66M,3.857B,,AOR,
2020-03,3.692B,,3.692B,14.21B,14.91B,11.10B,175.37M,1.301B,31.18B,,,,,,,1.422B,6.704B,1.935B,8.640B,,800.26M,10.86B,42.04B,,30.72B,30.72B,869.00M,31.59B,,,522.81M,522.81M,,,,32.11B,3.622B,3.622B,1.844B,1.844B,,114.52M,,479.66M,6.225B,38.34B,,2.868M,5.248B,4.972B,6.500B,,,-132.81M,3.591B,,AOR,
2019-12,3.233B,,3.233B,12.57B,12.57B,11.69B,189.22M,1.278B,28.95B,,,,,,,1.442B,6.708B,2.138B,8.846B,,773.38M,11.06B,40.02B,,29.18B,29.18B,916.11M,30.10B,,,532.49M,532.49M,,,,30.63B,3.636B,3.636B,1.895B,1.895B,,114.46M,,496.59M,6.317B,36.95B,,2.86M,4.375B,4.901B,6.237B,,,-87.73M,2.955B,,AOR,Restated
2019-09,3.374B,,3.374B,12.39B,12.39B,11.06B,157.38M,1.147B,28.13B,0.00,44.14M,942.13M,2.363B,3.349B,-1.579B,1.771B,6.706B,2.295B,9.000B,0.00,269.07M,11.04B,39.17B,,28.39B,28.39B,1.057B,29.44B,,,139.01M,139.01M,,,,29.58B,4.034B,4.034B,1.860B,1.860B,0.00,114.29M,,419.33M,6.597B,36.18B,,2.853M,4.235B,4.850B,6.098B,,,-111.96M,2.879B,,AOR,Restated
2019-06,3.000B,,3.000B,11.99B,11.99B,11.25B,163.78M,1.002B,27.40B,0.00,44.25M,936.01M,2.345B,3.325B,-1.558B,1.767B,6.707B,2.330B,9.037B,,272.37M,11.08B,38.48B,,27.81B,27.81B,815.33M,28.62B,,,166.14M,166.14M,,,,28.79B,4.019B,4.019B,1.872B,1.872B,,117.78M,,415.65M,6.582B,35.37B,,2.849M,4.187B,4.818B,5.932B,,,-86.88M,2.989B,,AOR,Restated
2019-03,2.876B,,2.876B,12.22B,12.22B,11.37B,172.57M,977.86M,27.62B,0.00,44.26M,1.039B,2.301B,3.385B,-1.526B,1.859B,6.700B,2.356B,9.056B,,273.58M,11.19B,38.81B,,28.19B,28.19B,739.54M,28.93B,,,282.97M,282.97M,,,,29.21B,4.010B,4.010B,1.857B,1.857B,,117.12M,,419.72M,6.560B,35.77B,,2.846M,3.969B,4.791B,5.756B,,,-85.14M,2.921B,,AOR,Restated
2018-12,2.540B,,2.540B,11.98B,11.98B,11.80B,182.65M,973.84M,27.48B,0.00,44.26M,1.064B,2.385B,3.493B,-1.596B,1.897B,6.698B,2.925B,9.622B,,272.43M,11.79B,39.27B,,28.34B,28.34B,859.17M,29.20B,,,156.28M,156.28M,,,,29.35B,4.165B,4.165B,1.880B,1.880B,,116.28M,,436.52M,6.751B,36.10B,,2.842M,4.027B,4.770B,5.658B,,,-92.88M,3.048B,,AOR,Restated
2018-09,2.493B,,2.493B,11.31B,11.31B,11.92B,169.12M,,25.89B,0.00,39.88M,1.087B,2.281B,3.408B,-1.515B,1.892B,6.664B,2.948B,9.612B,,270.94M,11.78B,37.67B,,26.84B,26.84B,881.16M,27.72B,,,151.66M,151.66M,,,,27.87B,4.159B,4.159B,1.829B,1.829B,,117.14M,,462.65M,6.750B,34.62B,,2.836M,3.721B,4.715B,5.427B,,,-79.25M,2.933B,,AOR,Restated
2018-06,2.389B,,2.389B,11.76B,11.76B,12.07B,176.51M,,26.40B,0.00,39.88M,1.098B,2.250B,3.388B,-1.485B,1.903B,6.713B,3.001B,9.714B,,288.19M,11.91B,38.31B,,26.45B,26.45B,1.455B,27.90B,,,195.59M,195.59M,,,,28.10B,4.198B,4.198B,1.877B,1.877B,,178.11M,,488.61M,6.934B,35.03B,,2.833M,3.569B,4.696B,5.088B,,,-82.02M,3.098B,,AOR,Restated
