,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,151.97M,151.97M,791.86M,791.86M,,190.19M,,,,1.134B,,,,,10.06B,,,10.06B,-3.642B,6.422B,4.462B,1.317B,5.779B,,347.62M,12.55B,13.68B,302.62M,,,302.62M,715.25M,1.018B,349.97M,349.97M,278.64M,628.60M,244.43M,244.43M,,1.891B,8.307B,2.130B,10.44B,194.64M,,194.64M,-0.113M,63.67M,158.51M,10.85B,12.75B,2.882M,-3.018B,4.336B,,,,,-383.18M,937.36M
2020-06,907.18M,907.18M,805.90M,805.90M,,184.29M,,,,1.897B,,,,,10.02B,,,10.02B,-3.539B,6.483B,4.421B,1.346B,5.767B,,219.44M,12.47B,14.37B,296.63M,,,296.63M,954.40M,1.251B,,880.21M,,880.21M,252.03M,252.03M,,2.383B,8.750B,1.802B,10.55B,184.03M,,184.03M,0.031M,63.51M,159.80M,10.96B,13.34B,2.881M,-2.877B,4.326B,,,,,-427.52M,1.024B
2020-03,152.68M,152.68M,831.51M,831.51M,,214.86M,,,,1.199B,,,,,9.857B,,,9.857B,-3.429B,6.428B,4.373B,1.364B,5.736B,,203.06M,12.37B,13.57B,321.16M,,,321.16M,872.15M,1.193B,,127.56M,,127.56M,260.40M,260.40M,,1.581B,8.708B,1.760B,10.47B,177.32M,,177.32M,0.166M,62.16M,153.26M,10.86B,12.44B,2.879M,-2.690B,4.304B,,,,,-493.25M,1.124B
2019-12,193.56M,193.56M,850.70M,850.70M,,192.08M,,,,1.236B,0.0,448.57M,3.029B,3.268B,1.869B,451.42M,852.02M,9.918B,-3.426B,6.492B,4.485B,1.395B,5.880B,,208.46M,12.58B,13.82B,324.71M,186.02M,115.35M,626.08M,380.47M,1.007B,389.01M,389.01M,223.25M,612.26M,274.04M,274.04M,,1.950B,8.276B,1.729B,10.00B,188.13M,,188.13M,0.265M,67.68M,143.02M,10.40B,12.35B,2.873M,-2.575B,4.299B,,,,,-262.58M,1.464B
2019-09,186.78M,186.78M,821.93M,821.93M,,195.19M,,,,1.204B,,,,,9.634B,,,9.634B,-3.312B,6.322B,4.422B,1.430B,5.852B,,199.45M,12.37B,13.58B,289.94M,,,289.94M,888.02M,1.178B,,394.82M,,394.82M,257.33M,257.33M,,1.830B,8.220B,1.627B,9.847B,189.56M,,189.56M,1.019M,68.10M,130.29M,10.24B,12.07B,2.871M,-2.434B,4.288B,,,,,-346.20M,1.511B
2019-06,162.00M,162.00M,852.33M,852.33M,,200.78M,,,,1.215B,,,,,9.634B,,,9.634B,-3.282B,6.352B,4.473B,1.471B,5.944B,,209.59M,12.51B,13.72B,303.99M,,,303.99M,920.49M,1.224B,,123.53M,,123.53M,268.78M,268.78M,,1.617B,8.390B,1.655B,10.05B,194.53M,,194.53M,1.16M,73.11M,131.91M,10.45B,12.06B,2.87M,-2.365B,4.282B,,,,,-261.82M,1.658B
2019-03,161.48M,161.48M,837.52M,837.52M,,210.85M,,,,1.210B,,,,,9.530B,,,9.530B,-3.213B,6.317B,4.465B,1.531B,5.997B,,165.59M,12.48B,13.69B,283.71M,,,283.71M,839.97M,1.124B,,125.14M,,125.14M,266.31M,266.31M,,1.515B,8.366B,1.657B,10.02B,190.87M,,190.87M,1.333M,73.10M,127.13M,10.41B,11.93B,2.868M,-2.257B,4.265B,,,,,-250.96M,1.759B
2018-12,165.48M,165.48M,846.89M,846.89M,,195.74M,,,,1.208B,0.0,400.98M,2.991B,3.220B,,218.16M,770.67M,7.601B,-3.111B,4.490B,4.441B,1.512B,5.953B,,206.48M,10.65B,11.86B,318.76M,181.99M,124.23M,624.98M,399.31M,1.024B,126.41M,126.41M,0.00,126.41M,264.82M,264.82M,,1.491B,8.016B,0.00,8.016B,183.84M,,305.70M,1.409M,70.53M,111.33M,8.504B,9.995B,2.863M,-2.139B,4.263B,,,,,-265.66M,1.861B
2018-09,197.68M,197.68M,847.45M,847.45M,,170.85M,,,,1.216B,,,,,7.470B,,,7.470B,-3.045B,4.425B,4.479B,1.523B,6.002B,,163.09M,10.59B,11.81B,285.81M,,,285.81M,602.27M,888.08M,,121.70M,,121.70M,237.57M,237.57M,,1.247B,8.109B,,8.109B,181.73M,,299.06M,1.49M,94.74M,116.76M,8.620B,9.867B,2.862M,-2.098B,4.261B,,,,,-228.26M,1.937B
2018-06,188.19M,188.19M,867.04M,867.04M,,189.10M,,,,1.244B,,,,,7.384B,,,7.384B,-2.977B,4.406B,4.467B,1.564B,6.030B,,131.55M,10.57B,11.81B,293.29M,,,293.29M,599.81M,893.10M,,123.82M,,123.82M,256.18M,256.18M,,1.273B,7.962B,,7.962B,184.84M,,305.79M,1.507M,95.34M,119.10M,8.482B,9.755B,2.861M,-1.996B,4.257B,,,,,-207.45M,2.056B
2018-03,442.49M,442.49M,859.11M,859.11M,,223.28M,,,,1.525B,,,,,7.306B,,,7.306B,-2.941B,4.365B,4.325B,1.602B,5.927B,,180.80M,10.47B,12.00B,251.21M,,,251.21M,574.72M,825.94M,,137.20M,,137.20M,267.92M,267.92M,,1.231B,8.021B,,8.021B,169.89M,,295.33M,1.528M,92.88M,96.73M,8.506B,9.737B,2.859M,-1.920B,4.251B,,,,,-74.08M,2.260B
2017-12,925.70M,925.70M,835.74M,835.74M,,188.87M,,,,1.950B,0.0,314.90M,2.040B,3.147B,,156.85M,592.70M,6.251B,-2.833B,3.418B,4.070B,1.401B,5.471B,,133.59M,9.022B,10.97B,289.14M,172.10M,63.72M,524.96M,345.31M,870.28M,,146.30M,,146.30M,241.59M,241.59M,,1.330B,6.897B,,6.897B,155.73M,,281.96M,1.404M,91.42M,73.04M,7.343B,8.674B,2.831M,-1.766B,4.165B,,,,,-103.99M,2.297B
2017-09,337.89M,337.89M,784.88M,784.88M,,205.45M,,,,1.328B,,,,,6.094B,,,6.094B,-2.750B,3.344B,4.071B,1.397B,5.467B,,120.13M,8.932B,10.26B,252.96M,,,252.96M,580.99M,833.95M,,180.39M,,180.39M,218.03M,218.03M,,1.232B,6.700B,,6.700B,175.17M,,303.99M,1.658M,67.42M,87.48M,7.159B,8.391B,2.668M,-1.622B,3.601B,,,,,-115.34M,1.867B
