,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.037B,1.037B,434.50M,602.14M,55.29M,131.91M,187.20M,4.539M,-28.33M,,106.78M,2.476M,-104.30M,40.35M,384.81M,217.33M,2.476M,106.78M,-104.30M,-60.54M,-104.30M,52.50M,13.93M,38.56M,0.00,,-0.168M,,38.39M,81.00M,329.68M,170.40M,159.28M,0.13,0.0,,,0.2777,0.13,0.13,0.0,,,0.2775,0.13,288.40M,288.81M,0.6185
2020-06,982.24M,982.24M,406.69M,575.55M,52.38M,136.18M,188.57M,14.98M,-71.68M,,106.02M,2.567M,-103.46M,36.76M,389.18M,186.36M,2.567M,106.02M,-103.46M,-80.34M,-103.46M,2.57M,9.683M,-7.113M,0.00,,0.027M,,-7.086M,46.31M,272.44M,163.85M,108.59M,-0.02,0.0,,,0.1654,-0.02,-0.02,0.0,,,0.1654,-0.02,288.07M,288.07M,0.6185
2020-03,1.069B,1.069B,466.92M,601.81M,59.46M,129.20M,188.66M,6.197M,-69.19M,,105.65M,,-105.65M,43.88M,395.12M,206.69M,,105.65M,-105.65M,-26.46M,-105.65M,74.58M,9.687M,64.89M,0.00,,-0.917M,,63.98M,91.63M,342.81M,162.58M,180.23M,0.22,0.0,,,0.3161,0.22,0.22,0.0,,,0.3159,0.22,287.84M,288.36M,0.6185
2019-12,1.080B,1.080B,459.49M,620.10M,58.99M,135.00M,193.98M,3.039M,-9.595M,,106.63M,1.755M,-104.87M,36.62M,404.43M,215.67M,1.755M,106.63M,-104.87M,-56.89M,-104.87M,53.91M,16.80M,37.10M,0.00,,0.596M,,37.70M,75.10M,334.36M,161.54M,160.53M,0.13,0.0,,,0.2602,0.13,0.13,0.0,,,0.2598,0.13,287.28M,288.08M,0.6185
2019-09,1.062B,1.062B,449.37M,612.85M,58.01M,133.80M,191.81M,7.563M,-2.229M,,108.24M,1.558M,-106.68M,37.78M,387.15M,225.70M,1.558M,108.24M,-106.68M,11.19M,-106.68M,130.21M,21.93M,108.28M,0.00,,-0.609M,,107.68M,94.34M,408.29M,169.85M,238.45M,0.37,0.0,,,0.3236,0.37,0.37,0.0,,,0.3237,0.37,287.15M,287.69M,0.611
2019-06,1.067B,1.067B,463.81M,603.10M,62.54M,143.84M,206.38M,3.749M,2.755M,,106.78M,1.461M,-105.31M,42.03M,412.74M,190.36M,1.461M,106.78M,-105.31M,17.95M,-105.31M,102.99M,10.65M,92.35M,0.128M,,-0.034M,,92.44M,72.50M,374.10M,164.33M,209.77M,0.32,0.0,,,0.251,0.32,0.32,0.0,,,0.2511,0.32,286.92M,287.48M,0.611
2019-03,1.054B,1.054B,460.65M,593.22M,66.17M,151.33M,217.50M,5.038M,-8.386M,,102.44M,,-102.44M,46.17M,426.16M,167.06M,,102.44M,-102.44M,-23.60M,-102.44M,41.03M,10.55M,30.48M,-0.024M,,-0.891M,,29.56M,48.96M,305.95M,162.48M,143.46M,0.1,0.0,,,0.1676,0.1,0.1,0.0,,,0.1674,0.1,286.53M,287.49M,0.611
2018-12,1.061B,1.061B,445.75M,615.74M,65.86M,147.78M,213.65M,0.452M,54.14M,,107.32M,1.505M,-105.81M,37.26M,415.83M,199.91M,1.505M,107.32M,-105.81M,67.25M,-105.81M,161.35M,2.796M,158.56M,0.00,,-0.713M,,157.84M,85.59M,433.59M,164.92M,268.67M,0.55,0.0,,,0.2976,0.55,0.55,0.0,,,0.2983,0.55,286.25M,287.07M,0.611
2018-09,1.061B,1.061B,448.02M,612.97M,59.03M,148.46M,207.49M,6.46M,-12.47M,,105.32M,1.382M,-103.94M,39.59M,404.87M,208.10M,1.382M,105.32M,-103.94M,-12.79M,-103.94M,91.37M,14.02M,77.35M,-11.60M,,0.125M,,65.87M,88.59M,354.49M,157.80M,196.69M,0.27,-0.04,,,0.3088,0.23,0.27,-0.04,,,0.3087,0.23,286.16M,286.98M,0.5875
2018-06,1.061B,1.061B,451.46M,609.36M,63.54M,137.48M,201.02M,5.365M,-13.41M,,104.48M,2.28M,-102.20M,37.25M,394.49M,214.87M,2.28M,104.48M,-102.20M,5.643M,-102.20M,118.32M,26.06M,92.26M,-0.36M,,-0.142M,,91.76M,88.06M,379.02M,156.22M,222.80M,0.32,0.0,,,0.3058,0.32,0.32,0.0,,,0.3058,0.32,285.98M,286.57M,0.5875
