,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,1.878B,-191.00M,,-245.00M,-436.00M,,,2.655B,2.655B,54.00M,15.00M,185.00M,-846.00M,-159.00M,481.00M,,-2.713B,,,1.105B,-1.286B,,2020-09,-153.00M,,,-41.00M,29.00M,,-165.00M,2020-09,-1.50B,-242.00M,-1.742B,,0.00,0.00,-1.016B,-1.016B,,171.00M,-2.587B,2020-09,20.36B,-533.00M,31.00M,,2020-09,,0.00,-1.50B,0.00,,AOR,
2020-06,-80.00M,-122.00M,,-818.00M,-940.00M,,,2.558B,2.558B,1.418B,63.00M,213.00M,-104.00M,546.00M,642.00M,,-267.00M,,,220.00M,1.141B,,2020-06,-131.00M,,,-10.00M,921.00M,,780.00M,2020-06,0.00,-48.00M,-48.00M,,0.00,0.00,-1.021B,-1.021B,,76.00M,-993.00M,2020-06,16.25B,4.056B,60.00M,,2020-06,,0.00,0.00,0.00,,AOR,
2020-03,-766.00M,-173.00M,,339.00M,166.00M,,,2.477B,2.477B,-53.00M,53.00M,210.00M,525.00M,-743.00M,1.448B,,932.00M,,,-355.00M,1.282B,,2020-03,-186.00M,,,180.00M,659.00M,,653.00M,2020-03,0.00,26.00M,26.00M,,-81.00M,-81.00M,-1.017B,-1.017B,,18.00M,-1.054B,2020-03,12.82B,3.493B,-67.00M,,2020-03,,,0.00,-81.00M,,AOR,
2019-12,-1.06B,-179.00M,,-294.00M,-473.00M,,,1.236B,1.236B,-388.00M,16.00M,284.00M,527.00M,318.00M,470.00M,,1.092B,,,16.00M,1.896B,,2019-12,-251.00M,,,-10.95B,-835.00M,,-12.04B,2019-12,-12.00M,16.00M,4.00M,,-7.00B,-7.00B,-668.00M,-668.00M,,-13.00M,-7.677B,2019-12,30.49B,-17.68B,6.00M,,2019-12,,7.988B,-8.00B,-7.00B,,AOR,
2019-09,1.366B,-1.356B,,261.00M,-1.095B,,,171.00M,171.00M,-423.00M,9.00M,56.00M,1.55B,127.00M,-35.00M,,-73.00M,,,903.00M,922.00M,,2019-09,-190.00M,,,1.71B,-1.029B,,491.00M,2019-09,0.00,31.00M,31.00M,,-300.00M,-300.00M,-671.00M,-671.00M,,-1.00M,-941.00M,2019-09,28.40B,2.106B,-21.00M,,2019-09,,0.00,0.00,-300.00M,,AOR,Restated
2019-06,1.439B,-154.00M,,-71.00M,-225.00M,,,169.00M,169.00M,-191.00M,129.00M,48.00M,77.00M,71.00M,-7.00M,,-139.00M,,,712.00M,637.00M,,2019-06,-191.00M,,,163.00M,743.00M,,715.00M,2019-06,18.78B,157.00M,18.94B,,0.00,0.00,-671.00M,-671.00M,,-2.00M,18.27B,2019-06,7.335B,21.07B,3.00M,,2019-06,,18.79B,-6.00M,0.00,,AOR,Restated
2019-03,1.715B,-166.00M,,-175.00M,-341.00M,,,170.00M,170.00M,78.00M,45.00M,53.00M,60.00M,236.00M,35.00M,,256.00M,,,-917.00M,-390.00M,,2019-03,-204.00M,,,295.00M,969.00M,,1.06B,2019-03,-1.25B,-73.00M,-1.323B,,0.00,0.00,-669.00M,-669.00M,,-37.00M,-2.029B,2019-03,6.911B,421.00M,3.00M,,2019-03,,,-1.25B,0.00,,AOR,Restated
2018-12,1.158B,-170.00M,,268.00M,98.00M,,,172.00M,172.00M,206.00M,16.00M,53.00M,40.00M,-207.00M,-64.00M,,131.00M,,,826.00M,686.00M,,2018-12,-290.00M,,,271.00M,-317.00M,,-336.00M,2018-12,0.00,74.00M,74.00M,,0.00,0.00,-653.00M,-653.00M,,1.00M,-578.00M,2018-12,5.408B,1.515B,-12.00M,,2018-12,,0.00,0.00,0.00,,AOR,Restated
2018-09,1.912B,-325.00M,,-97.00M,-422.00M,,,165.00M,165.00M,-124.00M,6.00M,62.00M,25.00M,-334.00M,-30.00M,,-102.00M,,,121.00M,-345.00M,,2018-09,-224.00M,,,319.00M,-242.00M,,-147.00M,2018-09,0.00,-71.00M,-71.00M,,0.00,0.00,-653.00M,-653.00M,,4.00M,-720.00M,2018-09,4.999B,412.00M,-3.00M,,2018-09,,0.00,0.00,0.00,,AOR,Restated
2018-06,382.00M,-242.00M,,356.00M,114.00M,,,157.00M,157.00M,-197.00M,24.00M,51.00M,66.00M,-107.00M,-118.00M,,242.00M,,,443.00M,460.00M,,2018-06,-198.00M,,,-626.00M,476.00M,,-348.00M,2018-06,-5.00M,-202.00M,-207.00M,,-153.00M,-153.00M,-654.00M,-654.00M,,-1.00M,-1.015B,2018-06,5.342B,-306.00M,-37.00M,,2018-06,,0.00,-5.00M,-153.00M,,AOR,Restated
2018-03,1.495B,-255.00M,,-15.00M,-270.00M,,,143.00M,143.00M,160.00M,80.00M,55.00M,96.00M,219.00M,-4.00M,,-127.00M,,,-672.00M,-584.00M,,2018-03,-239.00M,,,39.00M,157.00M,,-43.00M,2018-03,0.00,-344.00M,-344.00M,,-167.00M,-167.00M,-653.00M,-653.00M,,-58.00M,-1.222B,2018-03,5.421B,-90.00M,11.00M,,2018-03,,,0.00,-167.00M,,AOR,Restated
2017-12,-2.329B,-160.00M,,-6.00M,-166.00M,,,197.00M,197.00M,170.00M,104.00M,50.00M,333.00M,108.00M,-36.00M,,3.011B,,,-325.00M,2.758B,,2017-12,-254.00M,,,156.00M,1.117B,,1.019B,2017-12,0.00,-471.00M,-471.00M,,-249.00M,-249.00M,-639.00M,-639.00M,,7.00M,-1.352B,2017-12,4.644B,784.00M,-7.00M,,2017-12,,0.00,0.00,-249.00M,,AOR,Restated
2017-09,856.00M,-135.00M,,-5.00M,-140.00M,,,188.00M,188.00M,262.00M,4.00M,50.00M,365.00M,-85.00M,65.00M,,83.00M,,,65.00M,128.00M,,2017-09,-262.00M,,,-216.00M,620.00M,,142.00M,2017-09,-750.00M,898.00M,148.00M,,-220.00M,-220.00M,-640.00M,-640.00M,,6.00M,-706.00M,2017-09,3.47B,1.149B,25.00M,,2017-09,,0.00,-750.00M,-220.00M,,AOR,Restated
2017-06,922.00M,-135.00M,,-12.00M,-147.00M,,,211.00M,211.00M,91.00M,141.00M,54.00M,333.00M,-208.00M,13.00M,,80.00M,,,94.00M,-21.00M,,2017-06,-248.00M,,,-59.00M,-717.00M,,-1.024B,2017-06,-474.00M,108.00M,-366.00M,,0.00,0.00,-643.00M,-643.00M,,3.00M,-1.006B,2017-06,3.91B,-446.00M,6.00M,,2017-06,,0.00,-474.00M,0.00,,AOR,Restated
2017-03,1.526B,-276.00M,,,-276.00M,,,193.00M,193.00M,-70.00M,78.00M,45.00M,85.00M,-246.00M,-71.00M,,300.00M,,,-703.00M,-720.00M,,2017-03,-291.00M,,,129.00M,-41.00M,,-203.00M,2017-03,1.488B,192.00M,1.68B,,-2.00B,-2.00B,-655.00M,-655.00M,,-38.00M,-1.013B,2017-03,4.237B,-355.00M,28.00M,,2017-03,,1.488B,,-2.00B,,AOR,Restated
2016-12,898.00M,-105.00M,,,-68.00M,,,122.00M,122.00M,296.00M,-12.00M,56.00M,67.00M,93.00M,-45.00M,,-24.00M,,,60.00M,84.00M,,2016-12,-371.00M,,,93.00M,294.00M,,16.00M,2016-12,-15.00M,23.00M,8.00M,,0.00,0.00,-635.00M,-635.00M,,22.00M,-605.00M,2016-12,3.432B,854.00M,-49.00M,,2016-12,,0.00,-15.00M,0.00,,AOR,Restated
2016-09,1.215B,-155.00M,,,-155.00M,,,105.00M,105.00M,-183.00M,7.00M,48.00M,42.00M,-44.00M,4.00M,,153.00M,,,212.00M,325.00M,,2016-09,-341.00M,,,146.00M,-173.00M,,-368.00M,2016-09,0.00,85.00M,85.00M,,0.00,0.00,-636.00M,-636.00M,,5.00M,-546.00M,2016-09,2.934B,490.00M,8.00M,,2016-09,,0.00,0.00,0.00,,AOR,Restated
2016-06,1.188B,-420.00M,,,-420.00M,,,90.00M,90.00M,-71.00M,49.00M,54.00M,169.00M,-428.00M,-67.00M,,-453.00M,,,328.00M,-620.00M,,2016-06,-261.00M,,,305.00M,362.00M,,406.00M,2016-06,0.00,50.00M,50.00M,,0.00,0.00,-635.00M,-635.00M,,33.00M,-552.00M,2016-06,2.644B,293.00M,-3.00M,,2016-06,,0.00,0.00,0.00,,AOR,Restated
2016-03,1.206B,-507.00M,,,-507.00M,,,65.00M,65.00M,-246.00M,19.00M,47.00M,129.00M,-424.00M,-44.00M,,-25.00M,,,-448.00M,-941.00M,,2016-03,-242.00M,,,431.00M,1.237B,,1.426B,2016-03,0.00,-33.00M,-33.00M,,-231.00M,-231.00M,-641.00M,-641.00M,,-45.00M,-950.00M,2016-03,2.385B,248.00M,11.00M,,2016-03,,0.00,,-231.00M,,AOR,Restated
2015-12,-188.00M,75.00M,,,75.00M,,,76.00M,76.00M,-398.00M,168.00M,59.00M,269.00M,-356.00M,-134.00M,,416.00M,,,897.00M,823.00M,,2015-12,-285.00M,,535.00M,-184.00M,-515.00M,,-984.00M,2015-12,0.00,-503.00M,-503.00M,-231.00M,0.00,-231.00M,-618.00M,-618.00M,,-7.00M,-1.359B,2015-12,3.975B,-1.459B,-131.00M,,2015-12,-231.00M,0.00,0.00,0.00,,AOR,Restated
2015-09,730.00M,-240.00M,,,-240.00M,,,105.00M,105.00M,110.00M,4.00M,63.00M,-75.00M,-319.00M,69.00M,,-547.00M,,,624.00M,-173.00M,,2015-09,-234.00M,,-234.00M,342.00M,-170.00M,,-62.00M,2015-09,0.00,-113.00M,-113.00M,30.00M,,30.00M,-617.00M,-617.00M,,0.00,-700.00M,2015-09,4.199B,-238.00M,14.00M,,2015-09,30.00M,0.00,0.00,,,AOR,Restated
2015-06,-110.00M,-91.00M,,,-91.00M,,,91.00M,91.00M,-52.00M,7.00M,59.00M,1.02B,-176.00M,111.00M,,-592.00M,,,-196.00M,-853.00M,,2015-06,-165.00M,,-165.00M,-764.00M,-351.00M,,-1.28B,2015-06,-689.00M,427.00M,-262.00M,27.00M,0.00,27.00M,-619.00M,-619.00M,,-29.00M,-883.00M,2015-06,6.294B,-2.092B,-3.00M,,2015-06,27.00M,1.268B,-1.957B,0.00,,AOR,Restated
2015-03,1.199B,-234.00M,,,-234.00M,,,104.00M,104.00M,-7.00M,13.00M,54.00M,29.00M,-91.00M,51.00M,,-2.00M,,,-490.00M,-532.00M,,2015-03,-136.00M,,-136.00M,203.00M,687.00M,,754.00M,2015-03,,-260.00M,-260.00M,174.00M,0.00,174.00M,-623.00M,-623.00M,,27.00M,-682.00M,2015-03,5.571B,698.00M,25.00M,,2015-03,174.00M,,,0.00,,AOR,Restated
2014-12,27.00M,-760.00M,,,-760.00M,,,103.00M,103.00M,-485.00M,15.00M,66.00M,1.465B,-278.00M,-92.00M,,-18.00M,,,529.00M,141.00M,,2014-12,-191.00M,,335.00M,126.00M,416.00M,,351.00M,2014-12,0.00,199.00M,199.00M,59.00M,,59.00M,-598.00M,-598.00M,,109.00M,-231.00M,2014-12,4.851B,692.00M,28.00M,,2014-12,59.00M,0.00,0.00,,,AOR,Restated
2014-09,732.00M,,,,,,,112.00M,112.00M,-93.00M,28.00M,48.00M,-322.00M,-53.00M,-5.00M,,448.00M,,,8.00M,398.00M,,2014-09,-107.00M,,-107.00M,241.00M,30.00M,,164.00M,2014-09,0.00,40.00M,40.00M,29.00M,,29.00M,-597.00M,-597.00M,,0.00,-528.00M,2014-09,4.282B,539.00M,30.00M,,2014-09,29.00M,0.00,0.00,,,AOR,Restated
2014-06,334.00M,262.00M,,,262.00M,,,115.00M,115.00M,-74.00M,311.00M,50.00M,-126.00M,-28.00M,-13.00M,,-76.00M,,,301.00M,184.00M,,2014-06,-110.00M,,-110.00M,-35.00M,-1.366B,,-1.511B,2014-06,0.00,84.00M,84.00M,28.00M,,28.00M,-598.00M,-598.00M,,0.00,-486.00M,2014-06,5.225B,-941.00M,-2.00M,,2014-06,28.00M,0.00,0.00,,,AOR,Restated
