,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,19.44B,1.846B,21.28B,6.777B,1.285B,8.062B,221.00M,2.069B,822.00M,,1.949B,1.633B,,1.352B,34.28B,0.00,188.00M,5.708B,3.101B,718.00M,409.00M,10.12B,-3.666B,6.458B,20.52B,56.70B,77.22B,4.661B,913.00M,1.79B,,2020-09,2.441B,1.043B,686.00M,4.17B,380.00M,4.55B,,,,3.585B,3.585B,136.00M,3.721B,,,11.12B,20.46B,41.36B,722.00M,42.09B,6.575B,,871.00M,72.00M,285.00M,,2020-09,292.00M,32.41B,44.44B,25.28B,,,-1.699B,50.16B,,2020-09,AOR,
2020-06,19.93B,1.859B,21.79B,6.699B,1.156B,7.855B,180.00M,1.858B,1.516B,,2.384B,935.00M,,1.376B,34.34B,0.00,188.00M,5.644B,3.059B,,422.00M,9.313B,-3.536B,5.777B,20.58B,59.17B,79.75B,4.407B,1.088B,2.505B,,2020-06,2.852B,1.036B,2.273B,6.161B,433.00M,6.594B,,,,4.819B,4.819B,135.00M,4.954B,,,11.00B,23.42B,41.85B,703.00M,42.56B,6.819B,,857.00M,66.00M,257.00M,,2020-06,292.00M,31.56B,44.44B,25.65B,,,-1.556B,49.09B,,2020-06,AOR,
2020-03,15.82B,2.505B,18.32B,7.20B,1.09B,8.29B,164.00M,2.651B,1.283B,,2.836B,,,2.405B,31.85B,0.00,194.00M,5.848B,3.055B,,456.00M,9.553B,-3.441B,6.112B,22.45B,61.67B,84.12B,651.00M,605.00M,5.946B,,2020-03,3.069B,1.037B,1.996B,6.102B,393.00M,6.495B,,,,3.862B,3.862B,136.00M,3.998B,,,8.061B,19.23B,42.84B,688.00M,43.53B,7.179B,,841.00M,66.00M,3.16B,,2020-03,292.00M,32.67B,43.25B,24.76B,,,-1.549B,49.91B,,2020-03,AOR,
2019-12,12.35B,3.047B,15.39B,6.476B,1.209B,7.685B,172.00M,3.267B,2.227B,,4.293B,,,1.983B,29.35B,0.00,187.00M,6.336B,3.157B,,527.00M,10.21B,-3.955B,6.252B,22.49B,63.97B,86.46B,767.00M,510.00M,6.604B,,2019-12,2.445B,1.025B,1.517B,4.987B,493.00M,5.48B,,,,3.346B,3.346B,133.00M,3.479B,,,7.888B,18.30B,43.39B,672.00M,44.06B,7.165B,,725.00M,100.00M,2.625B,,2019-12,292.00M,34.47B,43.71B,25.36B,,,-1.52B,51.60B,,2019-12,AOR,
2019-09,30.49B,2.053B,32.54B,4.289B,1.062B,5.51B,127.00M,1.124B,306.00M,,1.192B,947.00M,,,40.19B,0.00,105.00M,5.285B,2.932B,,465.00M,8.787B,-3.957B,4.83B,6.513B,1.002B,7.515B,925.00M,1.624B,2.348B,,2019-09,1.888B,668.00M,546.00M,3.102B,5.752B,8.854B,,,,569.00M,569.00M,66.00M,635.00M,86.00M,86.00M,240.00M,10.49B,24.39B,,24.39B,,,,106.00M,1.881B,,2019-09,221.00M,36.56B,2.206B,19.87B,,,-1.463B,17.65B,,2019-09,AOR,Restated
2019-06,28.40B,953.00M,29.36B,4.503B,998.00M,5.667B,217.00M,916.00M,460.00M,,1.308B,1.384B,,,37.72B,0.00,105.00M,5.257B,2.879B,,453.00M,8.694B,-3.845B,4.849B,6.533B,995.00M,7.528B,994.00M,1.442B,2.634B,,2019-06,2.005B,671.00M,360.00M,3.036B,5.253B,8.289B,,,,545.00M,545.00M,67.00M,612.00M,92.00M,92.00M,240.00M,9.711B,24.43B,,24.43B,,,,102.00M,1.897B,,2019-06,221.00M,35.87B,2.15B,19.57B,,,-2.621B,16.05B,,2019-06,AOR,Restated
2019-03,7.335B,1.429B,8.764B,4.594B,952.00M,5.704B,214.00M,934.00M,448.00M,,1.283B,1.342B,,,17.09B,0.00,105.00M,5.286B,3.043B,,477.00M,8.911B,-3.926B,4.985B,6.536B,1.026B,7.562B,1.233B,1.38B,2.581B,,2019-03,1.976B,671.00M,525.00M,3.172B,4.758B,7.93B,,,,381.00M,381.00M,40.00M,421.00M,103.00M,103.00M,,8.841B,5.635B,,5.635B,448.00M,,1.509B,99.00M,,,2019-03,221.00M,35.11B,2.103B,19.57B,,,-2.644B,15.22B,,2019-03,AOR,Restated
2018-12,6.911B,1.848B,8.759B,4.636B,1.111B,5.747B,116.00M,1.152B,356.00M,,1.195B,,,2.015B,17.72B,0.00,104.00M,5.231B,2.962B,,548.00M,8.845B,-3.818B,5.027B,6.538B,1.091B,7.629B,1.775B,815.00M,2.024B,,2018-12,1.892B,669.00M,398.00M,2.959B,69.00M,3.028B,,,,1.703B,1.703B,0.00,1.703B,,,5.075B,10.65B,5.646B,0.00,5.646B,718.00M,,566.00M,96.00M,251.00M,,2018-12,221.00M,34.06B,2.081B,19.57B,,,-2.762B,14.03B,,2018-12,AOR,Restated
2018-09,5.408B,1.422B,6.83B,4.622B,1.069B,5.871B,244.00M,994.00M,429.00M,,1.282B,886.00M,,,14.87B,0.00,105.00M,5.278B,3.223B,,570.00M,9.176B,-4.084B,5.092B,6.686B,1.107B,7.793B,2.017B,1.627B,2.336B,,2018-09,1.773B,653.00M,355.00M,2.781B,4.402B,7.183B,,,,1.62B,1.62B,,1.62B,93.00M,93.00M,,9.694B,5.687B,,5.687B,486.00M,,1.005B,110.00M,,,2018-09,221.00M,33.29B,2.029B,19.58B,,,-2.326B,13.64B,,2018-09,AOR,Restated
2018-06,4.999B,1.076B,6.075B,4.323B,1.066B,5.559B,275.00M,982.00M,425.00M,,1.242B,998.00M,,,13.87B,0.00,100.00M,4.938B,3.053B,,1.02B,9.111B,-4.031B,5.08B,6.683B,1.09B,7.773B,2.117B,1.517B,2.28B,,2018-06,1.873B,653.00M,373.00M,2.899B,4.569B,7.468B,,,,1.716B,1.716B,,1.716B,88.00M,88.00M,,9.878B,5.671B,,5.671B,501.00M,,1.066B,101.00M,,,2018-06,221.00M,32.04B,1.966B,19.58B,,,-2.334B,12.32B,,2018-06,AOR,Restated
