,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,10.38B,10.54B,2.502B,8.038B,1.706B,,1.706B,2.499B,2.491B,,606.00M,0.00,346.00M,,-346.00M,,6.696B,1.342B,,346.00M,-346.00M,1.261B,-346.00M,2.257B,379.00M,-6.00M,1.872B,1.357B,5.258B,2.655B,2020-09,0.83,,0.6018,0.83,0.82,,0.5951,2020-09,2.257B,2.29B,0.45,,2020-09,AOR,
2020-06,9.817B,10.13B,2.699B,7.43B,1.628B,,1.628B,2.522B,2.389B,,-145.00M,0.00,357.00M,,-357.00M,,6.539B,891.00M,,357.00M,-357.00M,1.093B,-357.00M,1.627B,1.707B,-5.00M,-85.00M,2.60M,4.542B,2.558B,2020-06,-0.04,,-0.0013,-0.04,-0.04,,-0.0013,2020-06,2.263B,2.263B,0.45,,2020-06,AOR,
2020-03,10.54B,10.78B,3.662B,7.119B,1.606B,,1.606B,2.372B,2.282B,,-906.00M,76.00M,362.00M,,-362.00M,,6.336B,783.00M,,362.00M,-362.00M,-725.00M,-362.00M,-304.00M,462.00M,-9.00M,-775.00M,-158.15M,2.535B,2.477B,2020-03,-0.34,,-0.0668,-0.34,-0.34,,-0.0668,2020-03,2.258B,2.258B,0.45,,2020-03,AOR,
2019-12,7.244B,7.945B,2.492B,5.453B,1.734B,,1.734B,2.097B,1.062B,,-722.00M,,279.00M,,-279.00M,,4.893B,560.00M,,279.00M,-279.00M,-410.00M,-279.00M,-129.00M,931.00M,4.00M,-1.056B,-613.62M,1.386B,1.236B,2019-12,-0.55,,-0.3194,-0.55,-0.55,,-0.3220,2019-12,1.918B,1.94B,0.45,,2019-12,AOR,
2019-09,5.911B,6.007B,1.79B,4.217B,1.055B,,1.055B,1.378B,25.00M,,1.067B,0.00,209.00M,,-209.00M,,2.458B,1.759B,,209.00M,-209.00M,-201.00M,-209.00M,1.349B,-17.00M,-13.00M,1.353B,447.80M,1.729B,171.00M,2019-09,0.83,,0.2753,0.83,0.83,,0.2760,2019-09,1.632B,1.634B,0.41,,2019-09,AOR,Restated
2019-06,6.031B,6.273B,1.972B,4.301B,1.076B,,1.076B,1.325B,24.00M,,-442.00M,0.00,123.00M,,-123.00M,,2.425B,1.876B,,123.00M,-123.00M,23.00M,-123.00M,1.776B,337.00M,-7.00M,1.432B,1.694B,2.068B,169.00M,2019-06,0.88,,1.040,0.88,0.87,,1.030,2019-06,1.636B,1.637B,0.41,,2019-06,AOR,Restated
2019-03,5.713B,5.92B,1.824B,4.096B,1.006B,,1.006B,1.348B,24.00M,,-200.00M,0.00,45.00M,,-45.00M,,2.378B,1.718B,,45.00M,-45.00M,306.00M,-45.00M,1.979B,264.00M,-5.00M,1.71B,1.835B,2.194B,170.00M,2019-03,1.05,,1.126,1.05,1.04,,1.116,2019-03,1.634B,1.637B,0.41,,2019-03,AOR,Restated
2018-12,5.715B,5.973B,1.61B,4.363B,1.336B,,1.336B,1.367B,,,-95.00M,,48.00M,,-48.00M,,2.80B,1.563B,,48.00M,-48.00M,-10.00M,-48.00M,1.505B,347.00M,2.00M,1.16B,1.191B,1.725B,172.00M,2018-12,0.73,,0.7488,0.73,0.73,,0.7488,2018-12,1.633B,1.637B,0.41,,2018-12,AOR,Restated
2018-09,5.433B,5.691B,1.648B,4.043B,1.104B,,1.104B,1.28B,,,52.00M,,44.00M,,-44.00M,,2.384B,1.659B,,44.00M,-44.00M,552.00M,-44.00M,2.167B,255.00M,-11.00M,1.901B,1.816B,2.376B,165.00M,2018-09,1.16,,1.108,1.16,1.16,,1.108,2018-09,1.632B,1.636B,0.40,,2018-09,AOR,Restated
2018-06,5.461B,5.704B,1.625B,4.079B,1.131B,,1.131B,2.435B,,,-11.00M,,45.00M,,-45.00M,,3.566B,513.00M,,45.00M,-45.00M,49.00M,-45.00M,517.00M,135.00M,-9.00M,373.00M,353.05M,719.00M,157.00M,2018-06,0.23,,0.2178,0.23,0.23,,0.2178,2018-06,1.633B,1.636B,0.40,,2018-06,AOR,Restated
