,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2020-09,578.10M,,-2.40M,-22.10M,-39.30M,,,75.20M,75.20M,52.40M,,0.00,21.20M,70.60M,,31.00M,-45.90M,4.80M,-37.50M,112.20M,,,33.60M,822.80M,,2020-09,-10.80M,-10.80M,,-1.274B,,-1.267B,,2020-09,-32.60M,,-32.60M,,-73.50M,-73.50M,9.20M,-10.50M,,2020-09,2.873B,-552.00M,2.328B,,2020-09,,,-32.60M,-73.50M,2020-09,AOR,
2020-06,-1.068B,,-3.80M,3.50M,-0.30M,,,89.80M,89.80M,-275.60M,,2.053B,-35.00M,67.40M,,29.80M,-16.70M,-52.40M,18.10M,-20.30M,,,-71.30M,790.00M,,2020-06,-6.20M,-6.20M,0.00,0.00,,14.50M,,2020-06,-32.70M,,-32.70M,,-253.70M,-253.70M,10.10M,-16.20M,,2020-06,2.356B,512.00M,2.873B,,2020-06,,,-32.70M,-253.70M,2020-06,AOR,
2020-03,557.60M,,7.10M,-15.00M,-7.90M,,,89.30M,89.30M,49.00M,,,9.20M,57.60M,,19.50M,-120.90M,37.30M,-72.90M,-68.20M,,,-224.70M,549.60M,,2020-03,-12.20M,-12.20M,0.00,-837.70M,,-766.00M,,2020-03,-32.60M,,-32.60M,,-107.10M,-107.10M,2.80M,-1.30M,,2020-03,2.724B,-354.60M,2.356B,,2020-03,,,-32.60M,-107.10M,2020-03,AOR,
2019-12,889.00M,,1.20M,-66.00M,-64.80M,,,90.60M,90.60M,-319.30M,,0.00,-6.30M,60.20M,,4.00M,-120.10M,-51.00M,11.20M,23.60M,,,-136.30M,517.10M,,2019-12,-30.00M,-30.00M,0.00,114.70M,-0.10M,56.30M,,2019-12,-32.60M,,-32.60M,,-32.50M,-32.50M,6.70M,-1.30M,,2019-12,2.203B,513.70M,2.724B,,2019-12,,,-32.60M,-32.50M,2019-12,AOR,
2019-09,467.60M,,0.80M,-26.60M,-25.80M,,,92.50M,92.50M,-95.30M,,0.00,-12.00M,59.20M,,-70.20M,-2.70M,-81.90M,84.60M,183.50M,,,183.50M,599.50M,,2019-09,-49.90M,-41.90M,-8.00M,0.00,-0.20M,-8.50M,,2019-09,-32.70M,,-32.70M,,-334.60M,-334.60M,2.70M,-1.30M,,2019-09,1.985B,225.10M,2.203B,,2019-09,,,-32.70M,-334.60M,2019-09,AOR,Restated
2019-06,459.80M,,-6.00M,5.80M,-0.20M,,,96.50M,96.50M,40.30M,,0.00,25.20M,60.90M,,6.20M,-101.10M,-12.80M,-68.20M,31.80M,,,-150.30M,538.40M,,2019-06,-46.80M,-46.80M,0.00,0.00,0.00,-41.00M,,2019-06,-32.70M,,-32.70M,,-37.60M,-37.60M,10.30M,-1.10M,,2019-06,1.546B,436.30M,1.985B,,2019-06,,,-32.70M,-37.60M,2019-06,AOR,Restated
2019-03,587.90M,,1.90M,5.50M,7.40M,,,97.20M,97.20M,-81.10M,,,-33.80M,56.70M,,-31.10M,-95.30M,-11.20M,-58.60M,-8.20M,,,-173.30M,429.90M,,2019-03,-44.00M,-36.00M,-8.00M,0.00,0.20M,2.90M,,2019-03,-250.00M,,-250.00M,,-11.30M,-11.30M,10.20M,-1.30M,,2019-03,1.367B,180.40M,1.546B,,2019-03,,,-250.00M,-11.30M,2019-03,AOR,Restated
2018-12,-45.00M,,-3.80M,-5.90M,-9.70M,,,98.40M,98.40M,-46.20M,,0.00,60.30M,52.10M,,-15.40M,-11.40M,-41.40M,-70.50M,112.20M,,,-11.10M,83.40M,,2018-12,-42.40M,-42.40M,0.00,,-0.80M,52.20M,,2018-12,0.00,,0.00,,0.00,0.00,5.90M,-2.80M,,2018-12,1.231B,138.70M,1.367B,,2018-12,,0.00,0.00,0.00,2018-12,AOR,Restated
2018-09,330.90M,,-4.10M,-13.00M,-17.10M,,,104.90M,104.90M,-32.40M,,13.50M,0.00,45.70M,,37.30M,-60.40M,30.80M,-29.40M,-36.70M,,,-95.70M,387.10M,,2018-09,-41.20M,-41.20M,0.00,,1.00M,104.70M,,2018-09,0.00,,0.00,,0.00,0.00,16.80M,-5.80M,,2018-09,732.80M,502.80M,1.231B,,2018-09,,0.00,0.00,0.00,2018-09,AOR,Restated
2018-06,-457.40M,,12.70M,6.80M,19.50M,,,100.50M,100.50M,22.70M,,,0.00,53.90M,,99.20M,-94.30M,-8.00M,-23.00M,-56.90M,,,-182.20M,-343.80M,,2018-06,-62.80M,-62.80M,0.00,,0.50M,568.30M,,2018-06,0.00,,0.00,,0.00,0.00,15.20M,-8.20M,,2018-06,513.70M,231.50M,732.80M,,2018-06,,250.00M,-250.00M,0.00,2018-06,AOR,Restated
