,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,TotalDeposits,SecuritySoldNotYetRepurchased,UnpaidLossReserve,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,19.80B,358.71B,378.51B,17.87B,17.87B,396.38B,,10.11B,,10.11B,93.41B,382.58B,,497.79B,795.15B,,,587.00M,129.00M,716.00M,716.00M,,393.00M,393.00M,393.00M,,,1.109B,17.76B,,17.76B,11.01B,11.01B,,29.48B,222.28B,259.00M,,280.52B,720.33B,,12.00M,36.49B,33.81B,13.83B,,,,,18.07B,74.56B,,AOR,
2020-09,24.40B,357.64B,382.05B,20.71B,20.71B,402.76B,,9.36B,,9.36B,92.46B,379.60B,,491.89B,780.49B,,,595.00M,638.00M,1.233B,1.233B,,351.00M,351.00M,351.00M,,,1.584B,17.69B,,17.69B,10.84B,10.84B,,34.77B,217.96B,253.00M,,281.26B,706.92B,,12.00M,36.78B,33.74B,13.26B,,,,,16.04B,73.32B,,AOR,
2020-06,24.29B,345.35B,369.64B,20.85B,20.85B,390.49B,,9.245B,,9.245B,92.53B,366.16B,,479.11B,767.58B,,,670.00M,928.00M,1.598B,1.598B,,303.00M,303.00M,303.00M,,,1.901B,17.66B,,17.66B,11.33B,11.33B,,34.13B,215.02B,247.00M,,278.15B,691.64B,,12.00M,36.57B,33.73B,13.18B,,,,,18.56B,75.69B,,AOR,
2020-03,24.09B,332.62B,356.71B,21.22B,21.22B,377.93B,,9.159B,,9.159B,90.98B,353.04B,,463.80B,737.74B,,,654.00M,708.00M,1.362B,1.362B,,298.00M,298.00M,298.00M,,,1.66B,17.66B,,17.66B,10.01B,10.01B,,35.53B,210.63B,242.00M,,273.83B,667.28B,,12.00M,36.92B,33.71B,13.18B,,,,,12.76B,70.22B,,AOR,
2019-12,16.60B,331.67B,348.27B,20.44B,20.44B,368.71B,,9.308B,,9.308B,90.21B,353.83B,,463.86B,740.46B,,,681.00M,363.00M,1.044B,1.044B,99.00M,136.00M,235.00M,235.00M,,,1.279B,16.62B,,16.62B,9.097B,9.097B,,26.74B,209.80B,238.00M,,262.26B,674.08B,,12.00M,33.08B,32.68B,12.68B,,,,,13.05B,66.14B,,AOR,
2019-09,19.45B,329.58B,349.04B,20.72B,20.72B,369.76B,,9.278B,,9.278B,88.63B,351.04B,,459.11B,742.81B,,,692.00M,31.00M,723.00M,723.00M,,142.00M,142.00M,142.00M,,,865.00M,16.59B,,16.59B,10.15B,10.15B,,28.44B,206.02B,251.00M,,261.21B,674.19B,,12.00M,32.95B,32.64B,12.43B,,,,,15.20B,68.37B,,AOR,Restated
2019-06,18.44B,321.50B,339.94B,20.42B,20.52B,360.46B,,9.408B,,9.408B,87.70B,343.03B,,450.17B,732.17B,,,689.00M,0.00,689.00M,689.00M,,158.00M,158.00M,158.00M,,,847.00M,16.50B,,16.50B,8.766B,8.766B,,25.35B,206.85B,235.00M,,257.46B,668.12B,,12.00M,31.21B,32.60B,11.64B,,,,,11.63B,63.81B,,AOR,Restated
2019-03,14.51B,312.93B,327.44B,20.62B,20.62B,348.06B,,9.418B,,9.418B,88.27B,334.40B,,442.19B,713.19B,,,671.00M,505.00M,1.176B,1.176B,,289.00M,289.00M,289.00M,,,1.465B,16.00B,,16.00B,7.075B,7.075B,,25.08B,204.30B,229.00M,,252.46B,654.45B,,12.00M,29.94B,32.54B,10.89B,,,,,6.911B,58.51B,,AOR,Restated
2018-12,15.82B,302.20B,318.02B,19.64B,19.64B,337.67B,,9.422B,,9.422B,85.45B,322.87B,,426.15B,687.54B,,,677.00M,441.00M,1.118B,1.118B,99.00M,169.00M,268.00M,268.00M,,,1.386B,15.98B,,15.98B,5.414B,5.414B,,24.79B,200.22B,217.00M,,246.41B,634.58B,,12.00M,28.93B,32.47B,10.39B,,,,,1.722B,52.74B,,AOR,Restated
2018-09,12.49B,310.07B,322.56B,19.82B,19.82B,342.38B,,9.44B,,9.44B,82.16B,331.46B,,431.56B,698.45B,,,709.00M,166.00M,875.00M,875.00M,,290.00M,290.00M,290.00M,,,1.165B,16.55B,,16.55B,4.924B,4.924B,,26.08B,200.30B,184.00M,,247.85B,646.64B,,12.00M,27.33B,32.48B,9.193B,,,,,1.00B,51.62B,,AOR,Restated
