,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData
2020-09,325.20M,,,,25.60M,25.60M,1.40M,0.00,23.00M,,-5.80M,-30.70M,-19.00M,-21.80M,81.40M,,,-163.20M,-153.30M,216.10M,-103.30M,,,0.00,0.00,-15.30M,-7.70M,-126.30M,-0.50M,,-0.50M,,-1.40M,-1.40M,36.10M,-0.20M,34.00M,903.50M,123.80M,-3.30M,1.024B,,1.70M,-2.20M,-1.40M,
2020-06,-121.90M,,,,24.50M,24.50M,-42.80M,0.00,24.80M,,16.30M,25.70M,-64.00M,5.40M,9.10M,,,354.10M,330.30M,231.20M,-108.30M,,,0.00,1.40M,114.10M,-17.40M,-10.20M,-0.90M,,-0.90M,,-9.00M,-9.00M,38.30M,-4.30M,24.10M,662.90M,245.10M,-4.50M,903.50M,,2.70M,-3.60M,-9.00M,
2020-03,310.60M,,,,24.50M,24.50M,3.60M,,23.90M,,19.20M,-4.20M,-35.20M,-5.70M,-144.40M,,,14.70M,-174.80M,207.00M,-82.20M,,,0.00,-1.40M,-34.60M,-16.50M,-134.70M,-0.30M,,-0.30M,,-614.80M,-614.80M,29.10M,-0.40M,-586.40M,1.179B,-514.10M,-2.10M,662.90M,,7.90M,-8.20M,-614.80M,
2019-12,280.20M,,,,23.90M,23.90M,2.60M,40.60M,18.40M,,-9.90M,-17.70M,-21.50M,-4.30M,-134.30M,,,221.40M,43.60M,399.40M,-71.50M,,,0.00,0.00,-361.50M,-12.30M,-445.30M,1.70M,,1.70M,,0.00,0.00,35.00M,0.30M,37.00M,1.187B,-8.90M,1.40M,1.179B,,6.90M,-5.20M,0.00,
2019-09,274.70M,,,,23.10M,23.10M,-3.40M,26.90M,19.80M,,7.50M,18.90M,-22.00M,-6.40M,81.40M,,,16.80M,88.70M,437.30M,-76.10M,,,0.00,0.00,67.90M,-4.50M,-12.70M,-1.20M,,-1.20M,,-1.30M,-1.30M,39.00M,-2.10M,34.40M,726.80M,459.00M,0.80M,1.187B,,2.30M,-3.50M,-1.30M,
2019-06,242.30M,,,,21.70M,21.70M,7.10M,46.20M,22.30M,,13.40M,-43.40M,-32.50M,1.10M,231.60M,,,-168.60M,-11.80M,341.20M,-71.80M,,,-7.20M,-98.90M,91.20M,-8.80M,-88.30M,-10.20M,,-10.20M,,-256.30M,-256.30M,41.50M,-6.40M,-231.40M,709.20M,21.50M,-3.90M,726.80M,,6.00M,-16.20M,-256.30M,
2019-03,249.70M,,,,20.60M,20.60M,5.80M,,20.80M,,29.40M,-45.80M,-29.40M,2.80M,-242.20M,,,-10.20M,-324.80M,1.50M,-59.00M,,,-16.80M,-1.30M,44.20M,-33.40M,-49.50M,-0.30M,,-0.30M,,-5.70M,-5.70M,45.00M,5.40M,44.40M,714.10M,-3.60M,-1.30M,709.20M,,3.70M,-4.00M,-5.70M,
2018-12,7.00M,,,,19.90M,19.90M,-57.10M,118.80M,16.00M,,-4.00M,-28.40M,-22.20M,4.80M,188.50M,,,49.70M,192.40M,293.00M,-57.60M,,,0.00,10.00M,66.10M,-12.80M,5.70M,-599.60M,,-599.60M,,-272.00M,-272.00M,27.70M,-0.80M,-844.70M,1.261B,-546.00M,-1.20M,714.10M,,1.60M,-601.20M,-272.00M,
2018-09,225.90M,,,,19.20M,19.20M,10.90M,0.00,17.40M,,-5.40M,-2.90M,-23.00M,22.40M,93.20M,,,-15.40M,74.30M,342.30M,-85.10M,,,0.00,0.00,-164.70M,-4.40M,-254.20M,-1.30M,,-1.30M,,-173.10M,-173.10M,35.00M,82.70M,-56.70M,1.226B,31.40M,3.50M,1.261B,,0.60M,-1.90M,-173.10M,
2018-06,282.70M,,,-19.10M,19.20M,19.20M,34.40M,,19.20M,,11.90M,-24.80M,-17.20M,14.90M,26.30M,,,-226.40M,-227.20M,140.20M,-52.80M,,,0.00,-8.20M,162.90M,3.00M,104.90M,163.60M,,163.60M,,-348.30M,-348.30M,39.50M,-95.50M,-240.70M,1.227B,4.40M,-5.00M,1.226B,,680.70M,-517.10M,-348.30M,
