,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,1.024B,271.30M,1.295B,549.70M,122.00M,671.70M,129.30M,148.30M,495.70M,773.30M,68.60M,,171.50M,2.980B,,,,,1.366B,,1.366B,,1.366B,1.17B,332.40M,1.502B,599.00M,,215.20M,138.00M,3.820B,6.801B,162.50M,87.80M,250.30M,270.10M,520.40M,35.50M,,,24.20M,24.20M,,,21.40M,846.30M,594.90M,71.00M,665.90M,36.60M,134.40M,47.20M,665.50M,1.744B,2.590B,635.00M,4.256B,1.382B,1.904B,,,-157.90M,4.210B
2020-06,903.50M,260.30M,1.164B,567.90M,,567.90M,126.20M,144.30M,464.60M,735.10M,57.30M,,166.20M,2.690B,,,,,1.280B,,1.280B,,1.280B,1.168B,333.50M,1.501B,594.40M,,204.10M,153.80M,3.734B,6.424B,153.40M,111.20M,264.60M,346.60M,611.20M,32.60M,,,23.80M,23.80M,,,6.70M,873.20M,594.70M,66.00M,660.70M,36.80M,127.30M,44.70M,664.90M,1.712B,2.585B,633.50M,3.930B,1.324B,1.902B,,,-146.10M,3.839B
2020-03,662.90M,368.20M,1.031B,585.10M,,585.10M,120.20M,133.20M,408.80M,662.20M,65.80M,,163.70M,2.508B,,,,,1.176B,,1.176B,,1.176B,1.166B,334.80M,1.501B,587.80M,,158.00M,145.30M,3.568B,6.076B,151.50M,120.20M,271.70M,242.30M,514.00M,35.10M,,,24.90M,24.90M,,,6.60M,746.90M,594.60M,55.70M,650.30M,,,,538.50M,1.428B,2.175B,218.50M,4.052B,1.676B,1.894B,,,-152.00M,3.901B
2019-12,1.179B,337.80M,1.517B,543.60M,55.50M,599.10M,118.00M,121.70M,401.20M,640.90M,59.10M,,168.00M,2.984B,0.0,98.00M,619.80M,589.80M,80.10M,265.00M,1.653B,-512.30M,1.140B,1.168B,336.50M,1.504B,585.50M,,172.20M,101.80M,3.504B,6.488B,180.40M,104.30M,284.70M,270.00M,554.70M,20.00M,,,25.50M,25.50M,,,6.40M,902.40M,594.40M,58.90M,653.30M,,,,547.50M,1.437B,2.340B,218.10M,3.742B,1.623B,1.279B,,,-156.00M,4.148B
2019-09,1.187B,170.30M,1.357B,570.00M,,570.00M,125.80M,148.60M,336.70M,611.10M,57.30M,,144.40M,2.740B,,,,,1.047B,,1.047B,,1.047B,1.157B,381.10M,1.538B,386.00M,,155.80M,100.20M,3.227B,5.966B,135.90M,62.10M,198.00M,251.70M,449.70M,35.30M,,,24.10M,24.10M,,,4.50M,775.80M,594.20M,52.40M,646.60M,,,,492.60M,1.376B,2.152B,217.50M,3.461B,1.570B,1.279B,,,-155.80M,3.815B
2019-06,726.80M,207.50M,934.30M,609.60M,,609.60M,120.70M,164.40M,339.80M,624.90M,55.70M,,130.20M,2.355B,,,,,1.002B,,1.002B,,1.002B,1.174B,385.60M,1.560B,412.90M,,163.80M,80.30M,3.219B,5.574B,151.00M,53.80M,204.80M,230.00M,434.80M,36.00M,,,23.80M,23.80M,,,4.60M,697.00M,594.10M,50.40M,644.50M,,,,495.00M,1.376B,2.073B,216.90M,3.187B,1.512B,1.277B,,,-138.20M,3.500B
2019-03,709.20M,253.80M,963.00M,578.00M,,578.00M,112.30M,161.20M,357.40M,630.90M,55.40M,,141.50M,2.369B,,,,,962.10M,,962.10M,,962.10M,1.103B,341.30M,1.445B,453.70M,,164.50M,75.50M,3.100B,5.469B,147.20M,49.10M,196.30M,252.30M,448.60M,18.60M,,,22.60M,22.60M,,,4.00M,646.50M,593.90M,49.70M,643.60M,,,,472.30M,1.375B,2.022B,216.00M,2.944B,1.449B,1.021B,,,-141.20M,3.448B
2018-12,714.10M,242.40M,956.50M,456.90M,80.40M,537.30M,111.50M,144.80M,350.70M,607.00M,54.30M,,131.80M,2.287B,0.0,90.70M,497.40M,565.90M,,168.80M,1.323B,-455.30M,867.50M,1.112B,343.20M,1.455B,506.30M,,174.00M,33.60M,3.037B,5.324B,134.00M,70.80M,204.80M,244.60M,449.40M,196.70M,,,0.00,0.00,,,4.40M,876.60M,593.80M,0.00,593.80M,,,,453.50M,1.307B,2.183B,215.20M,2.695B,1.384B,1.015B,,,-138.50M,3.140B
2018-09,1.261B,334.40M,1.596B,423.80M,106.30M,530.10M,117.30M,141.60M,324.90M,583.80M,52.60M,,150.40M,2.913B,,,,,,,,,826.10M,1.122B,467.90M,1.590B,479.00M,,115.10M,35.20M,3.046B,5.958B,134.00M,55.90M,189.90M,238.00M,427.90M,17.80M,599.90M,599.90M,,599.90M,,,3.30M,1.261B,593.60M,,593.60M,,,,477.70M,1.336B,2.597B,214.80M,2.688B,1.341B,743.40M,,,-139.00M,3.361B
2018-06,1.226B,174.40M,1.401B,431.40M,88.70M,520.10M,119.20M,128.30M,320.60M,568.10M,69.90M,,137.10M,2.696B,,,,,,,,,770.20M,1.119B,466.00M,1.585B,470.40M,,130.10M,34.80M,2.990B,5.686B,124.60M,57.80M,182.40M,215.10M,397.50M,17.70M,599.20M,599.20M,,599.20M,,,5.30M,1.183B,593.90M,,593.90M,,,,481.50M,1.339B,2.522B,214.00M,2.462B,1.210B,570.30M,,,-150.80M,3.164B
