,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,6.76B,6.76B,2.806B,3.954B,1.957B,396.00M,,-26.00M,72.00M,4.00M,-68.00M,,2.353B,1.601B,4.00M,72.00M,-68.00M,9.00M,-68.00M,1.542B,301.00M,1.241B,0.00,,,41.00M,1.241B,1.262B,2.123B,508.60M,1.614B,,1.69,0.00,,1.719,1.69,,1.66,0.00,,1.689,1.66,,711.60M,724.50M,0.18,,AOR,
2020-09,5.883B,5.883B,2.658B,3.226B,1.795B,342.60M,,0.00,76.70M,4.20M,-72.50M,,2.138B,1.088B,4.20M,76.70M,-72.50M,6.40M,-72.50M,1.022B,138.00M,883.50M,0.00,,,41.10M,883.50M,883.50M,1.590B,491.50M,1.098B,,1.18,0.00,,1.18,1.18,,1.16,0.00,,1.16,1.16,,710.90M,724.30M,0.18,,AOR,
2020-06,5.297B,5.297B,2.445B,2.853B,1.685B,322.60M,,454.60M,78.60M,1.00M,-77.60M,,2.008B,844.60M,1.00M,78.60M,-77.60M,453.90M,-77.60M,1.221B,293.60M,927.30M,0.00,,,34.60M,927.30M,581.80M,1.777B,477.10M,1.300B,,1.27,0.00,,0.7800,1.27,,1.24,0.00,,0.7589,1.24,,705.10M,718.20M,0.18,,AOR,
2020-03,4.343B,4.343B,1.900B,2.443B,1.458B,287.00M,,,47.40M,62.50M,15.10M,,1.745B,697.50M,62.50M,47.40M,15.10M,-1.50M,15.10M,711.10M,116.00M,595.10M,0.00,,,19.60M,595.10M,595.10M,1.056B,297.80M,758.50M,,0.83,0.00,,0.83,0.83,,0.81,0.00,,0.81,0.81,,697.20M,707.90M,0.18,,AOR,
2019-12,4.868B,4.868B,2.165B,2.704B,1.448B,293.80M,,-6.50M,44.40M,67.00M,22.60M,,1.742B,961.70M,67.00M,44.40M,22.60M,-8.80M,22.60M,975.50M,182.60M,792.90M,482.20M,,,,1.275B,798.18M,1.320B,299.70M,1.020B,,1.08,0.67,,1.087,1.75,,1.07,0.66,,1.077,1.73,,715.90M,726.40M,0.17,,AOR,
2019-09,4.378B,4.378B,1.937B,2.441B,1.382B,282.60M,,0.00,24.00M,30.10M,6.10M,,1.665B,776.30M,30.10M,24.00M,6.10M,4.20M,6.10M,786.60M,155.90M,630.70M,37.30M,,,19.60M,668.00M,630.70M,1.106B,295.40M,810.60M,,0.85,0.05,,0.85,0.90,,0.84,0.05,,0.84,0.89,,718.80M,729.30M,0.17,,AOR,Restated
2019-06,4.444B,4.444B,1.961B,2.484B,1.39B,282.10M,,0.00,19.70M,26.20M,6.50M,,1.672B,811.70M,26.20M,19.70M,6.50M,5.00M,6.50M,823.20M,146.80M,676.40M,54.90M,,,22.70M,731.30M,676.40M,1.141B,298.30M,842.90M,,0.91,0.08,,0.91,0.99,,0.90,0.08,,0.90,0.97,,717.60M,727.90M,0.17,,AOR,Restated
2019-03,4.220B,4.220B,1.865B,2.355B,1.368B,267.50M,,,20.50M,15.70M,-4.80M,,1.635B,719.70M,15.70M,20.50M,-4.80M,5.10M,-4.80M,720.00M,387.70M,332.30M,1.50M,,,6.50M,333.80M,332.30M,1.037B,296.10M,740.50M,,0.46,0.00,,0.46,0.46,,0.45,0.00,,0.45,0.46,,707.60M,718.50M,0.17,,AOR,Restated
2018-12,2.519B,2.519B,1.165B,1.354B,592.60M,147.60M,,,13.30M,2.50M,-10.80M,,740.20M,613.90M,2.50M,13.30M,-10.80M,9.30M,-10.80M,612.40M,110.20M,502.20M,,,,,746.80M,502.20M,826.50M,200.80M,625.70M,,1.06,0.00,,1.06,1.06,,1.05,0.00,,1.05,1.05,,702.10M,711.10M,0.16,,AOR,Restated
2018-09,4.853B,4.853B,2.163B,2.690B,1.559B,301.20M,,,41.30M,2.80M,-38.50M,,1.860B,830.70M,2.80M,41.30M,-38.50M,9.10M,-38.50M,801.30M,137.60M,663.70M,,,0.00,,663.70M,663.70M,1.164B,321.50M,842.60M,,0.95,,,0.95,0.95,,0.93,,,0.93,0.93,,701.40M,710.60M,0.16,,AOR,Restated
2018-06,4.981B,4.981B,2.164B,2.817B,1.638B,311.70M,,,43.20M,2.50M,-40.70M,,1.950B,867.50M,2.50M,43.20M,-40.70M,8.30M,-40.70M,835.10M,161.30M,673.80M,,,,,673.80M,673.80M,1.213B,334.60M,878.30M,,0.96,,,0.96,0.96,,0.95,,,0.95,0.95,,700.20M,709.50M,0.16,,AOR,Restated
2018-03,4.695B,4.695B,2.052B,2.644B,1.602B,298.70M,,,39.10M,1.40M,-37.70M,,1.901B,743.00M,1.40M,39.10M,-37.70M,7.80M,-37.70M,713.10M,146.50M,566.60M,,,,,566.60M,566.60M,1.073B,320.80M,752.20M,,0.81,,,0.81,0.81,,0.80,,,0.80,0.80,,698.60M,709.50M,0.16,,AOR,Restated
2017-12,2.275B,2.275B,1.057B,1.218B,572.00M,126.50M,,,19.20M,1.90M,-17.30M,,698.50M,519.40M,1.90M,19.20M,-17.30M,81.30M,-17.30M,583.40M,24.40M,559.00M,297.60M,,,,856.60M,559.00M,799.30M,196.70M,602.60M,,1.23,0.00,,1.23,1.23,,1.21,0.00,,1.21,1.21,,697.30M,707.90M,0.14,,AOR,Restated
2017-09,4.528B,4.528B,1.991B,2.537B,1.498B,279.20M,,,39.90M,2.20M,-37.70M,,1.778B,759.20M,2.20M,39.90M,-37.70M,8.30M,-37.70M,729.80M,157.70M,572.10M,0.00,,,,572.10M,572.10M,1.081B,311.40M,769.70M,,0.82,0.00,,0.82,0.82,,0.81,0.00,,0.81,0.81,,696.20M,705.60M,0.14,,AOR,Restated
2017-06,4.510B,4.510B,2.028B,2.482B,1.522B,283.30M,,,40.70M,1.80M,-38.90M,,1.806B,676.70M,1.80M,40.70M,-38.90M,7.00M,-38.90M,644.80M,87.50M,557.30M,,,,,557.30M,557.30M,988.70M,303.20M,685.50M,,0.80,0.00,,0.80,0.80,,0.79,0.00,,0.79,0.79,,695.40M,705.40M,0.14,,AOR,Restated
2017-03,4.206B,4.206B,1.871B,2.334B,1.450B,267.40M,,,40.30M,1.60M,-38.70M,,1.717B,617.00M,1.60M,40.30M,-38.70M,6.90M,-38.70M,585.20M,101.40M,483.80M,22.30M,,,,506.10M,483.80M,931.10M,305.60M,625.50M,,0.70,0.03,,0.70,0.73,,0.69,0.03,,0.69,0.72,,694.30M,705.70M,0.14,,AOR,Restated
2016-12,4.584B,4.584B,2.084B,2.50B,1.519B,268.00M,,0.00,32.30M,0.10M,-32.20M,,1.787B,712.90M,0.10M,32.30M,-32.20M,15.70M,-32.20M,696.40M,-50.60M,747.00M,0.00,,,,747.00M,747.00M,1.034B,305.60M,728.70M,,1.08,0.00,,1.08,1.08,,1.07,0.00,,1.07,1.07,,693.00M,701.90M,0.125,,AOR,Restated
2016-09,4.132B,4.132B,1.846B,2.286B,1.346B,241.10M,,-178.80M,43.70M,0.10M,-43.60M,,1.587B,699.10M,0.10M,43.70M,-43.60M,-178.80M,-43.60M,476.70M,74.10M,402.60M,-11.00M,,,,391.60M,553.69M,797.60M,277.20M,520.40M,,0.58,-0.02,,0.7983,0.57,,0.57,-0.02,,0.7854,0.56,,692.20M,701.30M,0.125,,AOR,Restated
2016-06,4.242B,4.242B,1.861B,2.381B,1.431B,239.90M,,,55.50M,0.00,-55.50M,,1.671B,710.10M,0.00,55.50M,-55.50M,,-55.50M,654.60M,236.60M,418.00M,238.70M,,,,656.70M,418.00M,987.70M,277.60M,710.10M,,0.60,0.35,,0.60,0.95,,0.60,0.34,,0.60,0.94,,690.90M,698.90M,0.16,,AOR,Restated
2016-03,3.924B,3.924B,1.757B,2.167B,1.328B,226.10M,,,52.90M,0.00,-52.90M,,1.554B,613.10M,0.00,52.90M,-52.90M,223.40M,-52.90M,783.60M,197.80M,585.80M,172.60M,,,,758.40M,585.80M,1.104B,267.70M,836.50M,,0.85,0.25,,0.85,1.10,,0.84,0.25,,0.84,1.09,,688.60M,697.10M,0.16,,AOR,Restated
2015-12,4.323B,4.323B,2.066B,2.257B,1.370B,236.10M,,0.00,50.70M,0.00,-50.70M,,1.606B,651.60M,0.00,50.70M,-50.70M,0.00,-50.70M,600.90M,79.90M,521.00M,167.60M,,,,688.60M,521.00M,923.60M,272.00M,651.60M,,1.07,-0.07,,1.07,1.00,,1.06,-0.07,,1.06,0.99,,687.30M,697.10M,0.135,,AOR,Restated
2015-09,3.512B,3.512B,1.619B,1.893B,1.201B,212.20M,,0.00,39.10M,0.60M,-38.50M,,1.413B,480.00M,0.60M,39.10M,-38.50M,12.40M,-38.50M,453.90M,74.00M,379.90M,1.023B,,,,1.403B,379.90M,629.30M,136.30M,493.00M,,0.55,1.49,,0.55,2.04,,0.54,1.46,,0.54,2.01,,688.50M,698.70M,0.135,,AOR,Restated
2015-06,4.960B,4.960B,2.316B,2.644B,1.405B,304.60M,,,29.00M,2.30M,-26.70M,,1.710B,934.40M,2.30M,29.00M,-26.70M,,-26.70M,907.70M,192.20M,715.50M,-19.80M,,,,695.70M,715.50M,1.174B,237.00M,936.70M,,1.01,-0.03,,1.01,0.98,,0.99,-0.03,,0.99,0.97,,709.50M,719.60M,0.135,,AOR,Restated
2015-03,4.695B,4.695B,2.226B,2.468B,1.414B,299.40M,,,29.30M,2.30M,-27.00M,,1.713B,755.10M,2.30M,29.30M,-27.00M,,-27.00M,728.10M,170.10M,558.00M,11.80M,,,,569.80M,558.00M,992.90M,235.50M,757.40M,,0.79,0.02,,0.79,0.81,,0.78,0.02,,0.78,0.79,,707.20M,718.70M,0.135,,AOR,Restated
2014-12,-1.063B,-1.063B,-682.20M,-380.70M,141.00M,-86.90M,,,1.30M,1.10M,-0.20M,,54.10M,-434.80M,1.10M,1.30M,-0.20M,65.20M,-0.20M,-369.80M,-114.90M,-254.90M,916.60M,,,,661.70M,-254.90M,-314.90M,53.60M,-368.50M,,0.94,1.31,,0.94,0.94,,0.92,1.28,,0.92,0.92,,704.90M,717.60M,0.10,,AOR,Restated
2014-09,4.707B,4.707B,2.255B,2.452B,1.298B,288.10M,,,29.60M,3.60M,-26.00M,,1.586B,866.20M,3.60M,29.60M,-26.00M,38.20M,-26.00M,878.40M,197.10M,681.30M,-0.70M,,,,680.60M,681.30M,1.112B,204.40M,908.00M,,0.97,0.00,,0.97,0.97,,0.95,0.00,,0.95,0.95,,702.60M,716.20M,0.10,,AOR,Restated
2014-06,4.964B,4.964B,2.343B,2.620B,1.394B,336.40M,,,33.20M,3.70M,-29.50M,,1.731B,889.30M,3.70M,33.20M,-29.50M,19.20M,-29.50M,879.00M,202.60M,676.40M,,,,,676.40M,676.40M,1.148B,235.40M,912.20M,,0.96,,,0.96,0.96,,0.95,,,0.95,0.95,,701.20M,715.60M,0.10,,AOR,Restated
2014-03,4.663B,4.663B,2.210B,2.453B,1.351B,313.40M,,,32.50M,4.90M,-27.60M,,1.664B,788.90M,4.90M,32.50M,-27.60M,,-27.60M,761.30M,181.60M,579.70M,,,,,579.70M,579.70M,1.018B,224.70M,793.80M,,0.83,,,0.83,0.83,,0.81,,,0.81,0.81,,700.10M,714.80M,0.10,,AOR,Restated
2013-12,4.432B,4.432B,2.336B,2.096B,1.176B,186.70M,,,27.60M,1.80M,-25.80M,,1.362B,733.60M,1.80M,27.60M,-25.80M,201.50M,-25.80M,909.30M,224.40M,684.90M,,,,,789.30M,684.90M,1.126B,188.90M,936.90M,,1.13,0.00,,1.13,1.13,,1.11,0.00,,1.11,1.11,,699.00M,713.70M,0.025,,AOR,Restated
2013-09,4.669B,4.669B,2.244B,2.425B,1.303B,309.10M,,,35.00M,1.40M,-33.60M,,1.612B,812.40M,1.40M,35.00M,-33.60M,,-33.60M,778.80M,181.80M,597.00M,,,,,597.00M,597.00M,1.039B,225.30M,813.80M,,0.86,,,0.86,0.86,,0.84,,,0.84,0.84,,697.70M,711.90M,0.025,,AOR,Restated
2013-06,4.738B,4.738B,2.242B,2.496B,1.340B,312.20M,,,39.40M,1.60M,-37.80M,,1.652B,843.60M,1.60M,39.40M,-37.80M,,-37.80M,805.80M,189.00M,616.80M,,,,,616.80M,616.80M,1.065B,219.60M,845.20M,,0.89,,,0.89,0.89,,0.87,,,0.87,0.87,,695.20M,709.80M,0.025,,AOR,Restated
2013-03,4.445B,4.445B,2.119B,2.326B,1.298B,296.40M,,229.80M,39.20M,0.90M,-38.30M,,1.595B,730.90M,0.90M,39.20M,-38.30M,229.80M,-38.30M,922.40M,230.50M,691.90M,,,,,691.90M,519.55M,1.178B,216.80M,961.60M,,1.00,,,0.7509,1.00,,0.98,,,0.7367,0.98,,692.00M,708.40M,0.025,,AOR,Restated
2012-12,4.975B,4.975B,2.430B,2.545B,1.406B,294.70M,,0.00,40.80M,1.10M,-39.70M,,1.701B,844.10M,1.10M,40.80M,-39.70M,19.00M,-39.70M,823.40M,193.00M,630.40M,0.00,,,,630.40M,630.40M,1.084B,219.40M,864.20M,,0.91,0.00,,0.91,0.91,,0.89,0.00,,0.89,0.89,,691.30M,709.50M,0.025,,AOR,Restated
2012-09,4.416B,4.416B,2.138B,2.278B,1.251B,289.50M,,0.00,39.40M,0.70M,-38.70M,,1.541B,737.30M,0.70M,39.40M,-38.70M,18.50M,-38.70M,717.10M,168.40M,548.70M,0.00,,,,548.70M,548.70M,967.10M,210.60M,756.50M,,0.79,0.00,,0.79,0.79,,0.77,0.00,,0.77,0.77,,695.20M,713.90M,0.025,,AOR,Restated
2012-06,4.554B,4.554B,2.198B,2.356B,1.279B,283.60M,,0.00,37.90M,0.70M,-37.20M,,1.562B,793.30M,0.70M,37.90M,-37.20M,18.00M,-37.20M,774.10M,173.90M,600.20M,0.00,,,,600.20M,600.20M,1.020B,207.50M,812.00M,,0.86,0.00,,0.86,0.86,,0.84,0.00,,0.84,0.84,,695.60M,714.90M,0.025,,AOR,Restated
2012-03,4.316B,4.316B,2.081B,2.236B,1.245B,270.10M,,0.00,39.40M,0.70M,-38.70M,,1.515B,720.50M,0.70M,39.40M,-38.70M,14.40M,-38.70M,696.20M,176.20M,520.00M,92.90M,,,,612.90M,520.00M,937.90M,202.30M,735.60M,,0.75,0.13,,0.75,0.89,,0.73,0.13,,0.73,0.86,,691.50M,714.00M,0.025,,AOR,Restated
2011-12,4.717B,4.717B,2.390B,2.327B,1.288B,282.09M,,-0.013M,37.39M,0.313M,-37.07M,,1.615B,712.44M,0.313M,37.39M,-37.07M,66.79M,-37.07M,742.15M,178.58M,563.57M,7.183M,,,,570.75M,563.58M,983.23M,203.70M,779.54M,,0.82,0.01,,0.8200,0.83,,0.80,0.01,,0.8000,0.81,,688.73M,711.47M,0.025,,AOR,Restated
2011-09,4.446B,4.446B,2.263B,2.183B,1.268B,287.51M,,-32.89M,42.36M,0.392M,-41.97M,-15.99M,1.540B,643.16M,0.392M,42.36M,-41.97M,-32.89M,-41.97M,568.30M,52.89M,515.41M,8.02M,,,,523.43M,545.23M,818.35M,207.69M,610.66M,,0.75,0.01,,0.7934,0.76,,0.73,0.01,,0.7720,0.74,,687.26M,710.40M,0.025,,AOR,Restated
2011-06,3.636B,3.636B,1.718B,1.918B,1.088B,233.67M,,14.46M,31.41M,2.28M,-29.13M,,1.322B,595.50M,2.28M,31.41M,-29.13M,14.46M,-29.13M,580.82M,141.28M,439.55M,209.21M,,,,648.76M,428.61M,731.72M,119.49M,612.24M,,0.66,0.31,,0.6436,0.97,,0.64,0.30,,0.6242,0.94,,667.21M,694.60M,0.02,,AOR,Restated
2011-03,3.292B,3.292B,1.543B,1.749B,963.24M,215.23M,,14.48M,30.44M,2.115M,-28.32M,,1.178B,570.38M,2.115M,30.44M,-28.32M,14.48M,-28.32M,556.53M,139.75M,416.78M,12.58M,,,,429.36M,405.93M,691.09M,104.12M,586.97M,,0.63,0.02,,0.6136,0.65,,0.61,0.02,,0.5943,0.63,,661.60M,688.33M,0.02,,AOR,Restated
2010-12,3.232B,3.232B,1.514B,1.718B,967.85M,205.53M,,,26.86M,1.731M,-25.13M,,1.184B,534.38M,1.731M,26.86M,-25.13M,22.76M,-25.13M,532.01M,102.48M,429.53M,44.33M,,,,473.86M,429.53M,660.57M,101.70M,558.87M,,0.65,0.06,,0.65,0.72,,0.63,0.06,,0.63,0.69,,656.82M,687.31M,0.02,,AOR,Restated
