,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,6.035B,6.035B,4.045B,4.045B,,,,2.292B,1.43B,,13.80B,,,,,,,,3.262B,35.42B,21.28B,56.70B,,2.395B,62.36B,76.16B,,2.049B,,2.049B,5.342B,7.391B,,,,11.00M,,11.00M,,,,7.402B,,21.19B,,21.19B,,,,11.00M,7.789B,28.98B,36.38B,,3.277B,27.16B,9.698B,3.268B,,-368.00M,39.77B,,AOR,
2020-09,5.688B,5.688B,3.496B,3.496B,710.20M,392.90M,1.319B,2.422B,936.10M,,12.54B,,,,,,6.091B,-3.039B,3.052B,34.27B,20.85B,55.12B,,2.173B,60.35B,72.89B,,1.678B,,1.678B,4.340B,6.019B,,,,19.70M,,19.70M,,,,6.038B,,21.81B,,21.81B,,,,11.50M,7.074B,28.88B,34.92B,,3.276B,26.09B,9.618B,3.268B,,-1.021B,37.96B,,AOR,
2020-06,5.539B,5.539B,3.378B,3.378B,711.30M,475.40M,1.406B,2.593B,833.20M,,12.34B,,,,,,5.854B,-2.881B,2.973B,33.23B,20.44B,53.67B,,2.280B,58.92B,71.27B,,1.599B,,1.599B,3.984B,5.583B,,,,17.20M,,17.20M,,,,5.600B,,22.37B,,22.37B,,,,11.20M,7.026B,29.40B,35.00B,,3.276B,25.37B,9.475B,3.268B,,-1.863B,36.26B,,AOR,
2020-03,4.368B,4.368B,3.433B,3.433B,668.10M,498.00M,1.409B,2.575B,766.60M,,11.14B,,,,,,5.728B,-2.740B,2.988B,33.73B,18.51B,52.24B,,2.561B,57.79B,68.93B,,1.748B,,1.748B,3.483B,5.231B,,,,3.234B,,3.234B,,,,8.466B,,22.74B,,22.74B,,,,11.30M,6.661B,29.40B,37.86B,,1.608B,24.61B,7.630B,1.600B,,-2.791B,31.06B,,AOR,
2019-12,19.91B,19.91B,3.191B,3.191B,509.90M,284.90M,833.50M,1.628B,864.60M,,25.60B,0.00,149.60M,953.80M,2.194B,1.766B,5.063B,-2.761B,2.302B,22.71B,9.750B,32.46B,,1.721B,36.48B,62.08B,,1.514B,356.50M,1.871B,805.70M,2.677B,115.40M,,212.40M,212.40M,157.80M,370.20M,687.80M,687.80M,,4.932B,2.00M,21.52B,639.10M,22.16B,118.10M,118.10M,1.121B,11.30M,161.50M,26.87B,31.80B,,1.608B,24.17B,7.565B,1.600B,,-3.068B,30.27B,,AOR,
2019-09,14.25B,14.25B,3.467B,3.467B,603.50M,335.00M,1.085B,2.024B,610.80M,,20.35B,,,,,,5.543B,-3.023B,2.520B,25.72B,11.15B,36.87B,,1.787B,41.18B,61.53B,,1.607B,,1.607B,3.259B,4.865B,,,,1.069B,,1.069B,,,,5.934B,,16.54B,,16.54B,,,,693.30M,5.865B,22.40B,28.34B,,1.608B,26.48B,7.502B,1.600B,,-3.088B,32.50B,,AOR,Restated
2019-06,5.434B,5.434B,3.482B,3.482B,624.30M,332.40M,1.099B,2.056B,632.60M,,11.60B,,,,,,5.541B,-2.999B,2.542B,26.07B,11.42B,37.50B,,1.678B,41.72B,53.32B,,1.664B,,1.664B,3.190B,4.854B,,,,153.70M,,153.70M,,,,5.008B,,10.14B,,10.14B,,,,12.00M,5.956B,16.10B,21.11B,,1.608B,25.96B,7.483B,1.600B,,-2.844B,32.20B,,AOR,Restated
2019-03,3.91B,3.91B,3.409B,3.409B,594.00M,335.50M,1.098B,2.028B,733.30M,,10.08B,,,,,,5.410B,-2.906B,2.504B,26.00B,11.54B,37.54B,,1.646B,41.69B,51.77B,,1.676B,,1.676B,2.92B,4.596B,,,,36.60M,,36.60M,,,,4.633B,,9.458B,,9.458B,,,,12.10M,6.115B,15.57B,20.21B,,1.608B,25.37B,7.376B,1.600B,,-2.796B,31.56B,,AOR,Restated
2018-12,787.80M,787.80M,3.030B,3.030B,487.40M,279.60M,864.40M,1.631B,858.00M,,7.094B,0.00,151.80M,895.40M,2.023B,1.633B,4.703B,-2.453B,2.250B,22.58B,10.28B,32.86B,,5.626B,40.74B,47.83B,,1.495B,286.00M,1.781B,692.10M,2.474B,111.40M,,51.80M,51.80M,0.00,51.80M,626.80M,626.80M,605.00M,4.842B,2.00M,9.688B,0.00,9.688B,109.80M,109.80M,1.123B,12.30M,136.80M,14.76B,19.61B,,8.20M,25.16B,5.834B,,,-2.791B,28.21B,,AOR,Restated
2018-09,776.20M,776.20M,3.323B,3.323B,587.90M,331.40M,1.110B,2.029B,701.80M,,6.830B,,,,,,5.202B,-2.740B,2.462B,26.04B,11.81B,37.85B,,577.30M,40.89B,47.72B,,1.570B,,1.570B,2.836B,4.406B,,,,59.80M,,59.80M,,,,4.465B,,10.56B,,10.56B,,,,11.80M,5.011B,15.57B,20.03B,,8.20M,24.53B,5.772B,,,-2.636B,27.67B,,AOR,Restated
2018-06,904.00M,904.00M,3.297B,3.297B,590.80M,316.60M,1.073B,1.980B,732.00M,,6.913B,,,,,,5.182B,-2.689B,2.493B,25.92B,12.19B,38.10B,,547.40M,41.14B,48.06B,,1.587B,,1.587B,2.843B,4.430B,,,,175.10M,,175.10M,,,,4.605B,,11.15B,,11.15B,,,,12.10M,5.080B,16.23B,20.83B,,8.20M,23.98B,5.706B,,,-2.479B,27.21B,,AOR,Restated
2018-03,1.046B,1.046B,3.271B,3.271B,587.80M,302.00M,1.059B,1.949B,809.60M,,7.075B,,,,,,5.128B,-2.652B,2.476B,25.44B,11.58B,37.02B,,575.30M,40.07B,47.15B,,1.579B,,1.579B,2.765B,4.344B,,,,98.70M,,98.70M,,,,4.443B,,10.41B,,10.41B,,,,11.90M,5.090B,15.50B,19.94B,,8.10M,23.42B,5.611B,,,-1.845B,27.19B,,AOR,Restated
2017-12,630.30M,630.30M,3.522B,3.522B,548.60M,309.70M,982.50M,1.841B,857.10M,,6.85B,0.00,155.60M,1.010B,2.240B,1.569B,4.974B,-2.519B,2.455B,25.14B,11.67B,36.81B,,538.30M,39.80B,46.65B,,1.510B,386.40M,1.896B,822.80M,2.719B,155.70M,,,194.70M,,194.70M,666.00M,666.00M,,4.792B,2.00M,10.33B,,10.33B,104.90M,104.90M,1.288B,9.60M,222.40M,15.49B,20.28B,,8.10M,22.81B,5.538B,,,-1.994B,26.36B,,AOR,Restated
2017-09,648.60M,648.60M,3.255B,3.255B,559.90M,325.10M,1.007B,1.892B,464.70M,,6.260B,,,,,,4.798B,-2.373B,2.425B,24.78B,11.69B,36.48B,,689.10M,39.59B,45.85B,,1.502B,,1.502B,2.704B,4.205B,,,,182.20M,,182.20M,,,,4.388B,,10.73B,,10.73B,,,,5.20M,5.356B,16.08B,20.47B,,8.10M,22.05B,5.472B,,,-2.152B,25.38B,,AOR,Restated
2017-06,726.40M,726.40M,3.215B,3.215B,542.80M,290.50M,958.40M,1.792B,523.70M,,6.257B,,,,,,4.649B,-2.226B,2.423B,24.52B,11.75B,36.27B,,693.90M,39.39B,45.65B,,1.427B,,1.427B,2.606B,4.033B,,,,169.50M,,169.50M,,,,4.203B,,11.42B,,11.42B,,,,5.20M,5.426B,16.85B,21.05B,,8.10M,21.57B,5.424B,,,-2.414B,24.59B,,AOR,Restated
2017-03,803.90M,803.90M,3.035B,3.035B,533.60M,293.50M,937.80M,1.765B,715.20M,,6.319B,,,,,,4.499B,-2.090B,2.409B,24.02B,11.82B,35.83B,,685.70M,38.93B,45.25B,,1.402B,,1.402B,2.380B,3.782B,,,,2.221B,,2.221B,,,,6.003B,,9.729B,,9.729B,,,,5.30M,5.722B,15.45B,21.45B,,8.10M,21.11B,5.370B,,,-2.705B,23.79B,,AOR,Restated
2016-12,963.70M,963.70M,3.186B,3.186B,525.60M,299.40M,884.40M,1.709B,805.90M,,6.665B,0.00,150.50M,880.90M,1.954B,1.332B,4.317B,-1.963B,2.354B,23.83B,11.82B,35.64B,,631.30M,38.63B,45.30B,,1.485B,293.90M,1.779B,810.60M,2.590B,144.10M,,,2.595B,,2.595B,539.80M,539.80M,,6.874B,2.00M,9.674B,,9.674B,92.70M,92.70M,1.47B,74.00M,211.50M,15.34B,22.22B,,8.10M,20.70B,5.313B,,,-3.022B,23.00B,,AOR,Restated
2016-09,971.40M,971.40M,3.082B,3.082B,499.50M,261.90M,950.80M,1.712B,727.80M,,6.493B,,,,,,4.243B,-1.988B,2.255B,21.58B,10.31B,31.89B,,660.40M,34.80B,41.30B,,1.354B,,1.354B,2.600B,3.954B,,,,809.10M,,809.10M,,,,4.763B,,7.503B,,7.503B,,,,72.80M,5.767B,13.27B,18.03B,,8.10M,20.04B,5.263B,,,-2.122B,23.19B,,AOR,Restated
2016-06,4.098B,4.098B,3.995B,3.995B,755.50M,347.00M,1.138B,2.240B,898.40M,,11.23B,,,,,,5.708B,-2.924B,2.785B,25.38B,11.08B,36.46B,,1.026B,40.27B,51.50B,,1.993B,,1.993B,3.388B,5.381B,,,,2.644B,,2.644B,,,,8.026B,,12.01B,,12.01B,,,,75.20M,6.350B,18.36B,26.38B,,8.10M,22.21B,5.221B,,,-2.391B,25.05B,,AOR,Restated
2016-03,664.30M,664.30M,3.871B,3.871B,776.10M,346.40M,1.115B,2.238B,974.00M,,7.747B,,,,,,5.734B,-2.862B,2.872B,25.49B,11.26B,36.75B,,1.017B,40.64B,48.39B,,1.919B,,1.919B,3.206B,5.124B,,,,197.00M,,197.00M,,,,5.321B,,12.19B,,12.19B,,,,72.40M,6.292B,18.49B,23.81B,,8.00M,21.66B,5.073B,,,-2.236B,24.50B,,AOR,Restated
2015-12,790.80M,790.80M,2.985B,2.985B,475.70M,242.80M,854.60M,1.573B,889.50M,,7.837B,0.00,121.70M,890.10M,1.690B,1.288B,3.990B,-1.687B,2.303B,21.01B,10.55B,31.56B,,6.523B,40.39B,48.22B,,1.392B,381.20M,1.773B,758.80M,2.532B,135.20M,,,845.20M,,845.20M,457.00M,457.00M,1.324B,6.170B,2.20M,12.03B,,12.03B,76.50M,76.50M,1.488B,73.70M,152.20M,18.29B,24.46B,,8.00M,21.01B,4.981B,,,-2.311B,23.69B,,AOR,Restated
2015-09,1.834B,1.834B,3.906B,3.906B,776.40M,369.20M,1.195B,2.341B,851.60M,,8.932B,,,,,,5.467B,-2.675B,2.792B,25.13B,11.69B,36.82B,,1.165B,40.78B,49.71B,,1.819B,,1.819B,3.274B,5.094B,,,,3.489B,,3.489B,,,42.40M,8.626B,,11.52B,,11.52B,,,,71.10M,6.376B,17.90B,26.52B,,8.00M,20.42B,4.887B,,,-2.199B,23.11B,,AOR,Restated
2015-06,3.342B,3.342B,3.565B,3.565B,672.80M,260.60M,978.80M,1.912B,835.10M,,9.654B,,,,,,4.841B,-2.680B,2.161B,16.94B,7.097B,24.03B,,1.139B,27.33B,36.99B,,1.744B,,1.744B,3.201B,4.946B,,,,110.10M,,110.10M,,,,5.056B,,3.053B,,3.053B,,,,70.80M,4.706B,7.759B,12.81B,,8.00M,21.40B,4.728B,,,-2.032B,24.10B,,AOR,Restated
