,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2007-01,26.76M,,,,0.00,9.391M,1.158M,10.55M,10.55M,7.835M,,,,1.305M,98.47M,6.91M,-28.76M,26.99M,,,-8.038M,95.58M,142.02M,-19.78M,,-19.78M,-92.19M,0.00,-30.77M,-142.74M,,,,7.303M,,7.253M,,,,-2.08M,,3.045M,8.218M,358.60M,7.497M,,366.10M,7.303M,,,
2006-10,50.77M,,,,0.00,7.811M,1.195M,9.006M,9.006M,18.01M,,,,2.082M,-60.39M,-25.74M,1.663M,10.41M,,,3.812M,-70.24M,9.628M,1.479M,,1.479M,-21.07M,0.00,,-19.59M,,,,2.232M,,2.232M,,,,-2.076M,,0.704M,0.86M,367.70M,-9.102M,,358.60M,2.232M,,,
2006-07,28.95M,,,,-2.832M,7.943M,1.112M,9.055M,9.055M,-5.651M,,,,4.542M,35.50M,-21.55M,2.182M,31.43M,,,3.599M,51.16M,85.23M,-21.94M,,-21.94M,,0.675M,6.737M,-14.53M,,,,2.304M,,2.304M,,,,0.001M,,-10.46M,-8.15M,305.15M,62.55M,,367.70M,2.304M,,,
2006-04,48.74M,,,,-29.21M,8.169M,1.123M,9.292M,9.292M,24.01M,,,,2.501M,-43.87M,24.25M,3.483M,-21.61M,,,,-37.75M,17.58M,-5.916M,,-5.916M,,32.14M,-6.737M,19.48M,,,,5.741M,,5.741M,,,,-6.931M,,1.922M,0.732M,267.36M,37.80M,,305.15M,5.741M,,,
2006-01,22.92M,,,,,8.376M,1.111M,9.487M,9.487M,5.929M,,,,,92.92M,5.155M,-9.424M,7.446M,,,-18.78M,67.80M,107.17M,-12.80M,,-12.80M,,,-6.907M,-19.90M,,,,13.05M,0.00,13.05M,,,,-3.23M,,0.00,9.817M,170.26M,97.09M,,267.36M,13.05M,,,0.00
2005-10,40.29M,,,,,7.888M,0.945M,8.833M,8.833M,18.70M,,,,,-71.46M,-1.572M,-4.455M,17.29M,,,9.257M,-50.94M,16.88M,3.909M,,3.909M,,,-19.34M,-15.43M,,,,4.055M,0.00,4.055M,,,,-6.386M,,0.00,-2.331M,171.15M,-0.885M,,170.26M,4.055M,,,0.00
2005-07,23.50M,,,,,7.617M,0.952M,8.569M,8.569M,12.00M,,,,-8.394M,10.12M,-27.10M,6.362M,26.25M,,,9.519M,25.15M,60.82M,-21.86M,,-21.86M,,,6.746M,-15.11M,,,,16.01M,0.00,16.01M,,,,-3.249M,,-14.20M,-1.447M,126.88M,44.27M,,171.15M,16.01M,,,0.00
2005-04,24.98M,,,,,7.638M,0.954M,8.592M,8.592M,15.25M,,,,8.394M,-34.90M,8.682M,8.37M,-34.86M,,,,-52.71M,4.511M,-6.70M,,-6.70M,,,-6.746M,-13.45M,,,,19.54M,-0.069M,19.47M,,,,-7.765M,,,11.70M,124.11M,2.77M,,126.88M,19.54M,,,-0.069M
2005-01,17.29M,,,,0.528M,,,11.38M,11.38M,2.013M,,,,,66.77M,-0.214M,-7.641M,13.38M,,,,79.62M,110.82M,-19.31M,,-19.31M,,,-5.356M,-94.46M,,,0.00,18.73M,0.00,18.73M,,,,-5.281M,,,13.45M,94.30M,29.81M,,124.11M,18.73M,,,0.00
2004-10,26.74M,,,,0.00,,,6.539M,6.539M,14.20M,,,,,-50.80M,-25.29M,-1.902M,5.898M,,,,-72.09M,-24.61M,-11.79M,,-11.79M,,,-6.774M,-18.56M,,,-0.109M,1.492M,0.00,1.492M,,,,-7.609M,,,-6.226M,143.70M,-49.40M,,94.30M,1.492M,,,0.00
2004-07,12.99M,,,,0.00,,,7.05M,7.05M,6.784M,,,,,5.416M,-23.35M,4.814M,25.68M,,,,12.56M,39.38M,-10.96M,,-10.96M,,,-4.856M,-15.81M,,,145.24M,2.488M,-0.03M,2.458M,,,,-5.28M,,-145.27M,-2.853M,122.98M,20.72M,,143.70M,2.488M,,,-0.03M
2004-04,1.593M,,,,7.293M,,,7.056M,7.056M,0.649M,,,,,-18.14M,24.40M,13.09M,-18.89M,,,,0.458M,17.05M,-4.137M,,-4.137M,,,-5.26M,-9.397M,,,-157.29M,2.049M,-0.095M,1.954M,,,,-7.587M,,145.27M,-17.66M,132.99M,-10.00M,,122.98M,2.049M,,,-0.095M
