,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2014-01,-37.60M,,,0.00,-52.50M,,,70.50M,70.50M,21.30M,3.00M,,10.90M,-24.30M,144.30M,-118.00M,74.70M,262.20M,,,21.90M,385.10M,376.40M,-70.90M,,-70.90M,27.50M,,-9.70M,-53.10M,-2.50M,-303.00M,-305.50M,,-1.00M,-1.00M,,,0.00,0.00,24.60M,14.90M,-267.00M,542.50M,56.30M,-5.60M,593.20M,,0.00,-305.50M,-1.00M
2013-10,196.60M,0.00,,-4.90M,-4.90M,,,61.70M,61.70M,-63.40M,21.80M,,12.60M,-30.00M,-161.70M,132.70M,6.70M,-157.50M,,,-22.80M,-202.60M,-8.20M,-60.60M,,-60.60M,-14.30M,,0.00,-74.90M,-2.30M,-12.20M,-14.50M,,-3.40M,-3.40M,,,-3.10M,-3.10M,2.70M,7.60M,-10.70M,628.90M,-93.80M,7.40M,542.50M,,0.00,-14.50M,-3.40M
2013-07,-5.30M,0.00,,-0.80M,-0.80M,,,97.20M,97.20M,15.10M,0.00,,15.60M,0.00,55.10M,-204.60M,-8.20M,185.00M,,,29.90M,57.20M,179.00M,-59.90M,,-59.90M,-12.50M,,0.00,-72.40M,-2.30M,-193.00M,-195.30M,,-37.00M,-37.00M,,,-3.10M,-3.10M,14.20M,0.30M,-220.90M,746.30M,-114.30M,-3.10M,628.90M,,0.00,-195.30M,-37.00M
2013-04,-10.30M,0.00,,-2.30M,38.10M,,,84.20M,84.20M,-35.20M,,,18.90M,-30.00M,-69.40M,145.60M,-20.80M,-330.90M,,,74.50M,-201.00M,-135.30M,-45.70M,,-45.70M,-1.830B,,18.30M,-1.857B,-1.099B,2.970B,1.871B,,-20.10M,-20.10M,,,-6.10M,-6.10M,10.10M,-1.50M,1.853B,892.20M,-138.80M,-7.10M,746.30M,,2.993B,-1.122B,-20.10M
2013-01,80.71M,,,-0.357M,27.74M,,,37.86M,37.86M,19.22M,7.241M,,7.228M,-83.88M,177.98M,-6.878M,-74.31M,125.45M,,,-34.14M,188.10M,284.22M,-73.55M,,-73.55M,-46.80M,,,-120.35M,565.48M,-131.67M,433.80M,,-0.045M,-0.045M,,,-2.663M,-2.663M,6.179M,0.873M,438.15M,276.63M,602.02M,13.55M,892.20M,,570.00M,-136.20M,-0.045M
2012-10,167.70M,,,-3.193M,-3.193M,,,34.75M,34.75M,14.87M,0.259M,,7.481M,-13.63M,-168.37M,66.41M,38.60M,-78.74M,,,11.95M,-130.15M,78.08M,-55.36M,,-55.36M,-24.95M,,,-80.31M,-80.64M,89.72M,9.088M,,-0.322M,-0.322M,,,-2.747M,-2.747M,2.744M,1.245M,10.01M,261.99M,7.776M,6.868M,276.63M,,90.00M,-80.91M,-0.322M
2012-07,89.92M,,,0.074M,0.074M,,,34.33M,34.33M,10.58M,,,8.375M,-3.746M,107.71M,-193.17M,-12.80M,202.35M,,,-35.80M,68.28M,207.81M,-42.61M,,-42.61M,-12.21M,,,-54.82M,-62.60M,-54.60M,-117.21M,,-7.451M,-7.451M,,,-0.007M,-0.007M,0.639M,4.17M,-119.86M,238.61M,33.12M,-9.751M,261.99M,,-55.00M,-62.21M,-7.451M
2012-04,95.48M,,,-1.924M,-1.924M,,,33.46M,33.46M,5.33M,,,10.52M,-3.743M,-61.61M,76.14M,4.215M,-162.46M,,,4.089M,-139.62M,-0.508M,-39.07M,,-39.07M,-13.54M,,,-52.61M,-32.74M,94.35M,61.61M,,-6.182M,-6.182M,,,-5.483M,-5.483M,3.738M,2.912M,56.60M,233.20M,3.482M,1.933M,238.61M,,95.00M,-33.39M,-6.182M
2012-01,39.06M,,,-0.511M,75.61M,,,33.24M,33.24M,-1.774M,5.473M,,9.82M,-20.02M,131.34M,14.92M,-47.67M,59.86M,,,17.51M,175.97M,317.38M,-51.95M,,-51.95M,-25.12M,,,-77.07M,-167.20M,0.22M,-166.98M,,-0.013M,-0.013M,,,-2.721M,-2.721M,12.19M,7.033M,-150.49M,159.98M,89.82M,-16.60M,233.20M,,0.22M,-167.20M,-0.013M
2011-10,112.24M,,,-0.856M,-0.856M,,,32.32M,32.32M,7.747M,1.151M,,10.47M,-1.003M,-211.58M,61.18M,4.953M,-14.88M,,,8.907M,-151.43M,32.35M,-43.99M,,-43.99M,-68.74M,,,-112.73M,-41.20M,-0.186M,-41.39M,,-0.07M,-0.07M,,,-2.719M,-2.719M,0.703M,0.322M,-43.15M,287.69M,-123.53M,-4.177M,159.98M,,-0.186M,-41.20M,-0.07M
