,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-12,564.73M,43.31M,608.05M,1.817B,154.47M,158.12M,2.129B,236.77M,930.10M,704.08M,1.871B,191.36M,,,,4.800B,,,,,,6.027B,-3.725B,2.302B,8.101B,3.695B,11.80B,795.07M,134.32M,,15.03B,19.83B,,1.343B,218.62M,1.562B,1.035B,2.596B,,610.91M,610.91M,,3.207B,6.602B,6.602B,420.70M,420.70M,1.843B,16.32M,631.82M,9.498B,12.71B,,90.52M,14.07B,385.05M,5.311B,,,-2.131B,7.106B,,AOR,
2020-09,742.39M,33.46M,775.86M,1.860B,126.92M,147.07M,2.134B,228.01M,899.24M,668.54M,1.796B,163.53M,,,,4.869B,,,,,,5.902B,-3.609B,2.293B,7.972B,3.743B,11.72B,778.59M,129.75M,,14.92B,19.79B,,1.265B,196.43M,1.461B,982.35M,2.444B,,884.45M,884.45M,,3.328B,7.058B,7.058B,413.89M,413.89M,1.865B,15.28M,577.32M,9.913B,13.24B,,90.52M,13.74B,428.33M,5.340B,,,-2.388B,6.529B,,AOR,
2020-06,685.51M,70.80M,756.32M,1.854B,97.37M,147.50M,2.099B,238.95M,881.10M,694.58M,1.815B,214.99M,,,,4.885B,0.00,345.75M,1.773B,3.516B,176.05M,5.811B,-3.518B,2.293B,7.870B,3.799B,11.67B,764.56M,126.84M,,14.85B,19.74B,,1.112B,195.31M,1.307B,1.032B,2.339B,,809.53M,809.53M,,3.148B,7.652B,7.652B,382.53M,382.53M,1.887B,14.55M,539.09M,10.46B,13.61B,,90.52M,13.53B,416.58M,5.365B,,,-2.559B,6.114B,,AOR,
2020-03,697.62M,92.54M,790.15M,2.174B,116.72M,205.46M,2.497B,281.33M,968.21M,761.83M,2.011B,183.29M,,,,5.481B,,,,,,5.750B,-3.453B,2.297B,7.830B,3.882B,11.71B,750.74M,124.52M,,14.88B,20.37B,,1.422B,151.03M,1.573B,1.065B,2.638B,,1.035B,1.035B,,3.674B,8.098B,8.098B,497.92M,497.92M,1.320B,11.44M,468.24M,10.38B,14.06B,,90.52M,13.35B,452.16M,5.400B,,,-2.195B,6.296B,,AOR,
2019-12,948.36M,145.12M,1.093B,1.973B,141.48M,177.64M,2.292B,278.40M,948.97M,786.89M,2.014B,261.10M,,,,5.661B,,,,,,5.818B,-3.482B,2.336B,7.955B,4.036B,11.99B,941.59M,114.03M,,15.38B,21.04B,,1.312B,165.26M,1.477B,1.010B,2.487B,,1.604B,1.604B,,4.091B,8.141B,8.141B,569.58M,569.58M,1.367B,12.33M,532.75M,10.61B,14.70B,,90.52M,13.09B,455.86M,5.365B,,,-1.946B,6.330B,,AOR,Restated
2019-09,3.627B,282.10M,3.909B,1.983B,122.00M,166.77M,2.272B,207.05M,891.98M,691.01M,1.790B,166.54M,,,,8.138B,,,,,,5.271B,-3.391B,1.880B,5.819B,2.694B,8.512B,892.51M,145.48M,,11.43B,19.57B,,1.287B,188.57M,1.476B,944.56M,2.421B,,1.737B,1.737B,,4.157B,7.367B,7.367B,178.45M,178.45M,1.261B,6.176M,501.61M,9.308B,13.47B,,90.52M,13.00B,464.44M,5.331B,,,-2.131B,6.097B,,AOR,Restated
2019-06,3.220B,150.93M,3.371B,2.131B,147.72M,162.99M,2.442B,164.29M,850.78M,663.07M,1.678B,182.49M,,,,7.673B,0.00,281.04M,1.567B,3.224B,114.98M,5.187B,-3.418B,1.768B,5.454B,1.783B,7.237B,747.77M,150.46M,,9.904B,17.58B,,1.413B,167.31M,1.580B,984.29M,2.565B,,587.01M,587.01M,,3.152B,6.521B,6.521B,193.07M,193.07M,1.304B,6.183M,438.49M,8.457B,11.61B,,90.52M,12.78B,462.09M,5.309B,,,-2.059B,5.962B,,AOR,Restated
2019-03,1.099B,70.19M,1.169B,2.117B,154.89M,162.52M,2.435B,190.08M,869.65M,696.26M,1.756B,178.37M,,,,5.538B,,,,,,5.189B,-3.409B,1.780B,5.460B,1.834B,7.294B,769.39M,96.46M,,9.940B,15.48B,,1.424B,186.11M,1.610B,921.90M,2.532B,,1.017B,1.017B,,3.549B,4.284B,4.284B,277.21M,277.21M,895.20M,6.07M,456.29M,5.913B,9.462B,,90.52M,12.43B,529.14M,5.308B,,,-1.729B,6.010B,,AOR,Restated
2018-12,1.047B,30.96M,1.078B,1.939B,160.38M,163.87M,2.263B,200.96M,866.36M,737.24M,1.805B,188.87M,,,,5.335B,,,,,,5.192B,-3.398B,1.794B,5.463B,1.884B,7.346B,733.99M,98.78M,,9.973B,15.31B,,1.307B,182.62M,1.490B,874.79M,2.365B,,1.144B,1.144B,,3.509B,4.303B,4.303B,286.62M,286.62M,937.94M,5.957M,449.70M,5.978B,9.487B,,90.52M,12.11B,521.85M,5.116B,,,-1.795B,5.815B,,AOR,Restated
2018-09,952.12M,40.79M,992.91M,2.065B,135.71M,176.46M,2.377B,197.05M,861.28M,704.31M,1.763B,165.21M,,,,5.298B,,,,,,5.208B,-3.380B,1.828B,5.485B,1.956B,7.441B,757.80M,99.89M,,10.13B,15.43B,,1.405B,238.42M,1.643B,868.52M,2.512B,,796.86M,796.86M,,3.309B,4.313B,4.313B,265.42M,265.42M,958.94M,5.726M,471.84M,6.009B,9.318B,,90.52M,11.90B,503.05M,4.619B,,,-1.776B,6.101B,,AOR,Restated
