,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,1.241B,1.241B,675.80M,565.20M,170.90M,120.50M,291.40M,,13.90M,,-13.90M,,291.40M,273.80M,,13.90M,-13.90M,1.60M,-13.90M,261.50M,45.30M,216.20M,,,216.20M,216.20M,321.90M,46.50M,275.40M,0.87,,,0.87,0.87,0.85,,,0.85,0.85,247.70M,253.30M,0.24
2020-06,1.194B,1.194B,634.70M,559.60M,122.30M,186.60M,308.90M,,16.80M,,-16.80M,,308.90M,250.70M,,16.80M,-16.80M,2.10M,-16.80M,236.00M,46.30M,189.70M,,,189.70M,189.46M,299.00M,46.20M,252.80M,0.77,,,0.769,0.77,0.75,,,0.749,0.75,246.20M,251.30M,0.24
2020-03,1.165B,1.165B,633.20M,532.00M,96.40M,121.00M,217.40M,,16.30M,,-16.30M,,217.40M,314.60M,,16.30M,-16.30M,1.10M,-16.30M,299.40M,69.60M,229.80M,,,229.80M,229.72M,361.90M,46.20M,315.70M,0.94,,,0.9397,0.94,0.92,,,0.9197,0.92,245.60M,251.00M,0.24
2019-12,1.144B,1.144B,620.20M,524.00M,162.60M,166.20M,328.80M,,18.00M,,-18.00M,,328.80M,195.20M,,18.00M,-18.00M,0.50M,-18.00M,177.70M,33.30M,144.40M,,,144.40M,143.91M,242.20M,46.50M,195.70M,0.59,,,0.588,0.59,0.58,,,0.5781,0.58,245.60M,250.90M,0.2275
2019-09,1.089B,1.089B,581.70M,507.70M,125.20M,165.70M,290.90M,,18.90M,,-18.90M,,290.90M,216.80M,,18.90M,-18.90M,2.70M,-18.90M,200.60M,43.30M,157.30M,,,157.30M,157.06M,266.50M,47.00M,219.50M,0.64,,,0.639,0.64,0.62,,,0.6191,0.62,246.80M,252.90M,0.2275
2019-06,1.079B,1.079B,597.90M,481.50M,129.10M,165.00M,294.10M,,18.90M,,-18.90M,,294.10M,187.40M,,18.90M,-18.90M,1.80M,-18.90M,170.30M,31.80M,138.50M,,,138.50M,138.34M,233.50M,44.30M,189.20M,0.56,,,0.5593,0.56,0.55,,,0.5494,0.55,246.40M,252.70M,0.2275
2019-03,1.045B,1.045B,573.90M,470.80M,98.10M,131.90M,230.00M,,17.80M,,-17.80M,,230.00M,240.80M,,17.80M,-17.80M,2.10M,-17.80M,225.10M,49.40M,175.70M,,,175.70M,175.31M,281.50M,38.60M,242.90M,0.71,,,0.7084,0.71,0.7,,,0.6984,0.7,246.10M,251.90M,0.2275
2018-12,1.074B,1.074B,600.10M,474.30M,126.40M,154.50M,280.90M,,19.70M,,-19.70M,,280.90M,193.40M,,19.70M,-19.70M,2.40M,-19.70M,176.10M,33.30M,142.80M,,,142.80M,141.99M,231.50M,35.70M,195.80M,0.58,,,0.5767,0.58,0.57,,,0.5668,0.57,246.40M,252.50M,0.2175
2018-09,1.038B,1.038B,577.50M,460.10M,120.50M,135.40M,255.90M,,19.40M,,-19.40M,,255.90M,204.20M,,19.40M,-19.40M,2.50M,-19.40M,187.30M,41.00M,146.30M,,,146.30M,146.07M,242.20M,35.50M,206.70M,0.6,,,0.599,0.6,0.58,,,0.5791,0.58,245.70M,251.10M,0.2175
2018-06,1.028B,1.028B,573.00M,454.90M,136.40M,144.70M,281.10M,,20.20M,,-20.20M,,281.10M,173.80M,,20.20M,-20.20M,1.80M,-20.20M,155.40M,33.70M,121.70M,,,121.70M,121.62M,209.80M,34.20M,175.60M,0.5,,,0.4997,0.5,0.49,,,0.4897,0.49,244.80M,249.30M,0.2175
