,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,549.10M,,549.10M,372.80M,,,372.80M,108.60M,31.60M,357.50M,497.70M,,,,24.90M,1.444B,0.00,28.20M,258.70M,950.60M,,79.70M,1.317B,-737.70M,579.50M,2.078B,2.674B,4.752B,9.40M,291.30M,5.632B,7.077B,580.80M,14.50M,,595.30M,375.00M,970.30M,,,1.60M,1.60M,1.60M,,,,971.90M,1.812B,1.812B,599.90M,962.90M,,,120.00M,2.895B,3.867B,292.80M,4.695B,302.00M,1.989B,,,-90.80M,3.210B
2020-06,451.70M,,451.70M,344.50M,,,344.50M,104.40M,28.20M,322.90M,455.50M,,,,25.00M,1.277B,0.00,28.20M,256.60M,921.80M,,83.40M,1.29B,-721.30M,568.70M,2.078B,2.698B,4.776B,10.60M,286.90M,5.642B,6.919B,516.70M,88.50M,,605.20M,325.60M,930.80M,64.50M,,1.30M,65.80M,65.80M,,,,996.60M,1.811B,1.811B,582.20M,941.20M,,,171.00M,2.924B,3.920B,292.80M,4.539B,302.80M,2.037B,,,-98.30M,2.999B
2020-03,1.047B,,1.047B,353.50M,,,353.50M,85.00M,30.40M,280.30M,395.70M,,,,33.00M,1.829B,0.00,27.70M,256.00M,916.50M,,72.00M,1.272B,-705.50M,566.70M,2.078B,2.722B,4.800B,10.00M,280.60M,5.657B,7.486B,460.10M,55.90M,,516.00M,281.10M,797.10M,144.10M,825.00M,2.80M,971.90M,971.90M,,,,1.769B,1.811B,1.811B,580.20M,923.30M,,,165.00M,2.899B,4.668B,292.80M,4.408B,295.70M,2.080B,,,-99.40M,2.818B
2019-12,155.70M,,155.70M,356.40M,,,356.40M,85.90M,29.00M,302.50M,417.40M,,,,26.90M,956.40M,0.00,27.80M,255.40M,910.10M,,72.90M,1.266B,-693.20M,573.00M,2.080B,2.75B,4.830B,9.70M,288.80M,5.701B,6.657B,473.30M,7.50M,,480.80M,358.60M,839.40M,248.60M,,4.30M,252.90M,252.90M,,,,1.092B,1.810B,1.810B,579.60M,895.10M,,,192.00M,2.897B,3.990B,292.80M,4.237B,295.50M,2.091B,,,-66.70M,2.668B
2019-09,114.70M,,114.70M,384.40M,,,384.40M,82.50M,31.10M,275.20M,388.80M,,,,20.90M,908.80M,0.00,27.80M,253.70M,911.20M,,49.10M,1.242B,-688.70M,553.10M,2.080B,2.777B,4.857B,10.20M,281.20M,5.701B,6.610B,449.00M,14.10M,,463.10M,305.40M,768.50M,69.90M,,303.70M,373.60M,373.60M,,,,1.142B,1.810B,1.810B,578.20M,900.10M,,,199.00M,2.909B,4.051B,292.80M,4.149B,293.60M,2.095B,,,-80.70M,2.559B
2019-06,97.90M,,97.90M,383.70M,,,383.70M,85.20M,35.00M,281.30M,401.50M,,,,42.80M,925.90M,0.00,27.80M,252.50M,912.20M,,47.20M,1.240B,-680.70M,559.00M,2.080B,2.804B,4.883B,10.30M,284.10M,5.737B,6.663B,469.50M,4.40M,,473.90M,300.20M,774.10M,109.80M,,300.80M,410.60M,410.60M,,,,1.185B,1.809B,1.809B,580.60M,877.10M,,,187.00M,2.873B,4.058B,292.80M,4.048B,288.30M,1.956B,,,-68.40M,2.605B
2019-03,97.90M,,97.90M,384.60M,,,384.60M,81.70M,36.10M,281.70M,399.50M,,,,31.70M,913.70M,0.00,27.80M,250.80M,901.50M,,46.80M,1.227B,-668.10M,558.80M,1.993B,2.256B,4.249B,9.40M,229.50M,5.047B,5.961B,434.80M,36.70M,,471.50M,264.30M,735.80M,98.00M,,299.50M,397.50M,397.50M,,,,1.133B,1.509B,1.509B,580.50M,818.60M,,,,2.328B,3.461B,292.80M,3.965B,281.30M,1.981B,,,-59.50M,2.499B
2018-12,316.70M,,316.70M,345.30M,,,345.30M,84.40M,34.10M,264.30M,382.80M,,,,33.40M,1.078B,0.00,27.80M,301.30M,888.40M,,49.70M,1.267B,-669.00M,598.20M,1.993B,2.274B,4.267B,8.50M,117.40M,4.991B,6.069B,430.20M,2.90M,,433.10M,294.90M,728.00M,0.00,,598.30M,598.30M,598.30M,,,,1.326B,1.509B,1.509B,576.40M,757.30M,,,23.00M,2.289B,3.615B,292.80M,3.833B,280.80M,1.899B,,,-53.60M,2.454B
2018-09,188.30M,,188.30M,361.50M,,,361.50M,85.70M,33.20M,271.70M,390.60M,,,,19.90M,960.30M,0.00,27.80M,299.70M,886.00M,,34.20M,1.248B,-659.80M,587.90M,1.993B,2.294B,4.287B,8.80M,123.20M,5.007B,5.967B,449.50M,19.00M,,468.50M,257.50M,726.00M,0.00,,301.40M,301.40M,301.40M,,,,1.027B,1.804B,1.804B,572.60M,783.00M,,,,2.586B,3.614B,292.80M,3.744B,280.30M,1.920B,,,-42.90M,2.353B
2018-06,89.30M,,89.30M,348.60M,,,348.60M,87.50M,32.10M,249.60M,369.20M,,,,63.30M,870.40M,0.00,27.80M,301.80M,874.60M,,36.20M,1.240B,-647.30M,593.10M,1.993B,2.312B,4.305B,9.40M,121.70M,5.029B,5.899B,419.80M,8.70M,,428.50M,262.00M,690.50M,109.00M,,301.30M,410.30M,410.30M,,,,1.101B,1.803B,1.803B,567.20M,774.90M,,,,2.578B,3.678B,292.80M,3.651B,271.80M,1.945B,,,-49.30M,2.221B
2018-03,119.80M,,119.80M,361.10M,,,361.10M,88.60M,34.90M,233.70M,357.20M,,,,53.30M,891.40M,0.00,27.90M,301.90M,869.30M,,37.00M,1.236B,-635.50M,600.60M,1.992B,2.331B,4.323B,9.40M,118.90M,5.052B,5.943B,405.20M,42.70M,,447.90M,230.10M,678.00M,251.40M,,301.30M,552.70M,552.70M,,,,1.231B,1.802B,1.802B,565.40M,766.80M,,,,2.569B,3.800B,292.80M,3.582B,260.40M,1.958B,,,-33.70M,2.143B
2017-12,278.90M,,278.90M,345.90M,,,345.90M,85.60M,30.80M,214.30M,330.70M,,,,44.70M,1.000B,0.00,27.90M,300.30M,861.80M,,36.40M,1.226B,-618.70M,607.70M,1.959B,2.320B,4.279B,9.30M,118.20M,5.015B,6.015B,398.90M,5.00M,,403.90M,260.20M,664.10M,268.70M,,2.20M,270.90M,270.90M,,,,935.00M,2.103B,2.103B,561.20M,758.40M,,,,2.862B,3.797B,292.80M,3.479B,264.60M,1.782B,,,-36.40M,2.218B
2017-09,236.50M,,236.50M,377.90M,,,377.90M,82.70M,34.10M,219.30M,336.10M,,,,52.70M,1.003B,0.00,28.00M,298.20M,868.40M,,30.80M,1.225B,-623.60M,601.80M,2.073B,2.152B,4.224B,8.50M,114.80M,4.950B,5.953B,390.30M,1.20M,,391.50M,243.90M,635.40M,315.00M,,2.20M,317.20M,317.20M,,,,952.60M,2.104B,2.104B,753.20M,943.00M,,,,3.047B,4.000B,292.80M,3.121B,260.50M,1.685B,,,-35.50M,1.953B
