,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2018-03,1.148B,,-35.00M,,374.00M,31.00M,370.00M,1.484B,1.484B,-33.00M,,,856.00M,-3.143B,-1.17B,405.00M,,,-2.054B,-5.962B,,,2018-03,-804.00M,33.00M,5.00M,0.00,618.00M,-2.00M,290.00M,2018-03,168.00M,196.00M,364.00M,108.00M,-1.00B,-892.00M,,,,-880.00M,-880.00M,-1.543B,,2018-03,14.02B,208.00M,10.83B,,2018-03,108.00M,253.00M,-85.00M,,2018-03,AOR,Restated
2017-12,-1.517B,,-697.00M,,-73.00M,720.00M,-50.00M,1.451B,1.451B,-2.701B,,,1.728B,-1.578B,-328.00M,1.004B,,,2.257B,1.355B,,,2017-12,-1.292B,2.484B,2.461B,-60.00M,799.00M,-283.00M,4.171B,2017-12,427.00M,-3.201B,-2.774B,64.00M,-1.00B,-936.00M,,,,-1.447B,-1.447B,-5.244B,,2017-12,13.16B,43.00M,14.02B,,2017-12,64.00M,499.00M,-72.00M,,2017-12,AOR,Restated
2017-09,534.00M,,-285.00M,,-109.00M,87.00M,-307.00M,1.001B,1.001B,530.00M,,,502.00M,-4.971B,-651.00M,801.00M,,,140.00M,-4.681B,,,2017-09,-782.00M,310.00M,280.00M,3.805B,1.556B,-4.00M,9.962B,2017-09,-486.00M,665.00M,179.00M,98.00M,0.00,98.00M,,,,-884.00M,-884.00M,-620.00M,,2017-09,6.233B,46.00M,13.16B,,2017-09,98.00M,0.00,-486.00M,,2017-09,AOR,Restated
2017-06,1.359B,,-173.00M,,98.00M,107.00M,32.00M,739.00M,739.00M,135.00M,,,20.00M,-1.906B,8.00M,343.00M,,,-755.00M,-2.31B,,,2017-06,-825.00M,119.00M,89.00M,-215.00M,49.00M,,545.00M,2017-06,-67.00M,152.00M,85.00M,75.00M,0.00,75.00M,,,,-557.00M,-557.00M,-433.00M,,2017-06,5.994B,152.00M,6.233B,,2017-06,75.00M,0.00,-67.00M,,2017-06,AOR,Restated
2017-03,915.00M,,-17.00M,,212.00M,112.00M,307.00M,778.00M,778.00M,-95.00M,,,-162.00M,-1.327B,-847.00M,483.00M,,,-128.00M,-1.819B,,,2017-03,-792.00M,96.00M,58.00M,-215.00M,7.00M,,-353.00M,2017-03,-38.00M,136.00M,98.00M,282.00M,,282.00M,,,,-506.00M,-506.00M,-257.00M,,2017-03,6.624B,56.00M,5.994B,,2017-03,282.00M,0.00,-38.00M,,2017-03,AOR,Restated
2016-12,84.00M,,-35.00M,,-98.00M,77.00M,-56.00M,795.00M,795.00M,-269.00M,,,1.255B,-8.28B,649.00M,-462.00M,,,-392.00M,-8.485B,,,2016-12,-959.00M,67.00M,35.00M,-147.00M,-25.00M,4.00M,7.59B,2016-12,-65.00M,36.00M,-29.00M,78.00M,-500.00M,-422.00M,,,,-680.00M,-680.00M,-1.222B,,2016-12,7.032B,-103.00M,6.607B,,2016-12,78.00M,0.00,-65.00M,,2016-12,AOR,Restated
2016-09,818.00M,,-105.00M,48.00M,-47.00M,312.00M,208.00M,780.00M,780.00M,3.00M,,,177.00M,14.00M,199.00M,598.00M,,,-1.445B,-634.00M,,,2016-09,-1.104B,40.00M,-4.00M,-262.00M,54.00M,835.00M,-435.00M,2016-09,-62.00M,-3.00M,-65.00M,86.00M,-416.00M,-330.00M,,,,-597.00M,-597.00M,-1.213B,,2016-09,7.309B,19.00M,7.032B,,2016-09,86.00M,2.00M,-64.00M,,2016-09,AOR,Restated
2016-06,3.227B,0.00,-66.00M,-36.00M,28.00M,,-74.00M,680.00M,680.00M,-542.00M,,,-2.021B,289.00M,194.00M,298.00M,,,177.00M,958.00M,,,2016-06,-1.054B,145.00M,88.00M,726.00M,93.00M,-815.00M,-900.00M,2016-06,-98.00M,-12.00M,-110.00M,142.00M,,142.00M,,,,-594.00M,-594.00M,-621.00M,,2016-06,6.61B,-8.00M,7.309B,,2016-06,142.00M,1.00M,-99.00M,,2016-06,AOR,Restated
2016-03,275.00M,0.00,-8.00M,-12.00M,360.00M,,340.00M,607.00M,607.00M,-451.00M,,,-416.00M,-856.00M,-432.00M,135.00M,,,937.00M,-216.00M,,,2016-03,-987.00M,32.00M,-135.00M,-245.00M,34.00M,,-1.163B,2016-03,-331.00M,-54.00M,-385.00M,92.00M,,92.00M,,,,-591.00M,-591.00M,-958.00M,,2016-03,8.577B,15.00M,6.61B,,2016-03,92.00M,29.00M,-360.00M,,2016-03,AOR,Restated
2015-12,3.631B,27.00M,-3.234B,33.00M,-46.00M,,-2.465B,600.00M,600.00M,436.00M,,22.00M,521.00M,248.00M,592.00M,-10.00M,,,-1.143B,-313.00M,,,2015-12,-947.00M,204.00M,143.00M,1.302B,-670.00M,-3.00M,-110.00M,2015-12,111.00M,-13.00M,98.00M,195.00M,-666.00M,-471.00M,,,,,-564.00M,-1.291B,,2015-12,7.623B,-77.00M,8.577B,,2015-12,195.00M,1.05B,-939.00M,,2015-12,AOR,Restated
