,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,,SECFilingLinks,AsOriginallyReported,Restated
2010-09,597.00M,-25.00M,-79.00M,,117.00M,-44.00M,4.00M,,716.00M,-19.00M,,0.00,-238.00M,-252.00M,-348.00M,-534.00M,,,1.061B,-73.00M,,,2010-09,-497.00M,65.00M,65.00M,43.00M,8.00M,225.00M,-156.00M,2010-09,-68.00M,-442.00M,-510.00M,14.00M,-1.00M,13.00M,,,,,-254.00M,-753.00M,,2010-09,3.068B,80.00M,3.223B,,2010-09,14.00M,214.00M,-724.00M,,2010-09,AOR,Restated
2010-06,659.00M,0.00,223.00M,-30.00M,-121.00M,-56.00M,-1.00M,-757.00M,734.00M,206.00M,,-2.00M,-19.00M,539.00M,7.00M,52.00M,,,-881.00M,-283.00M,,,2010-06,-442.00M,1.547B,1.502B,-82.00M,-14.00M,-271.00M,738.00M,2010-06,-863.00M,-837.00M,-1.70B,84.00M,-4.00M,80.00M,,,,253.00M,-253.00M,-1.876B,,2010-06,2.923B,-14.00M,3.068B,,2010-06,84.00M,-374.00M,-1.326B,,2010-06,AOR,Restated
2010-03,552.00M,,-92.00M,30.00M,-12.00M,-77.00M,-139.00M,757.00M,757.00M,-155.00M,,-1.00M,16.00M,-1.008B,-605.00M,343.00M,,,226.00M,-1.044B,,,2010-03,-294.00M,104.00M,104.00M,-99.00M,6.00M,482.00M,199.00M,2010-03,96.00M,-45.00M,51.00M,64.00M,-9.00M,55.00M,,,,-253.00M,-253.00M,-146.00M,,2010-03,2.846B,-8.00M,2.923B,,2010-03,64.00M,783.00M,-732.00M,,2010-03,AOR,Restated
2009-12,178.00M,,-67.00M,,-229.00M,-154.00M,-379.00M,804.00M,804.00M,-132.00M,,-10.00M,-3.00M,287.00M,123.00M,482.00M,,,44.00M,936.00M,,,2009-12,-858.00M,16.00M,16.00M,1.326B,516.00M,,448.00M,2009-12,-936.00M,-426.00M,-1.362B,1.00M,0.00,1.00M,0.00,520.00M,520.00M,-227.00M,-227.00M,-1.602B,,2009-12,2.581B,15.00M,2.846B,,2009-12,1.00M,278.00M,-1.64B,,2009-12,AOR,Restated
2009-09,795.00M,,-7.00M,,-185.00M,-74.00M,-1.109B,752.00M,752.00M,-34.00M,,,,-328.00M,-417.00M,374.00M,,,575.00M,204.00M,,,2009-09,-979.00M,13.00M,-700.00M,1.327B,53.00M,,414.00M,2009-09,-1.25B,909.00M,-341.00M,1.00M,0.00,1.00M,0.00,-520.00M,-520.00M,-252.00M,-252.00M,-1.112B,,2009-09,2.648B,23.00M,2.581B,,2009-09,1.00M,2.845B,-3.186B,,2009-09,AOR,Restated
2009-06,-332.00M,,-182.00M,,-53.00M,-76.00M,336.00M,763.00M,763.00M,-403.00M,,,,-926.00M,237.00M,62.00M,,,403.00M,-224.00M,,,2009-06,-325.00M,232.00M,232.00M,-14.84B,-516.00M,,-15.45B,2009-06,8.972B,-2.337B,6.635B,1.519B,0.00,1.519B,7.00B,,7.00B,-163.00M,-163.00M,14.91B,,2009-06,2.956B,94.00M,2.648B,,2009-06,8.519B,14.31B,-7.677B,,2009-06,AOR,Restated
2009-03,35.00M,,0.00,,496.00M,-51.00M,466.00M,508.00M,508.00M,-83.00M,,0.00,0.00,-23.00M,120.00M,-614.00M,,,-486.00M,-1.003B,,,2009-03,-234.00M,33.00M,33.00M,-26.00M,51.00M,,-176.00M,2009-03,-293.00M,1.436B,1.143B,0.00,-5.00M,-5.00M,,,,-388.00M,-388.00M,462.00M,,2009-03,2.80B,-53.00M,2.956B,,2009-03,0.00,3.074B,-1.931B,,2009-03,AOR,Restated
2008-12,-1.54B,0.00,-82.00M,25.00M,164.00M,-63.00M,881.00M,555.00M,555.00M,-334.00M,,0.00,204.00M,2.73B,1.51B,-885.00M,,,-880.00M,2.475B,,,2008-12,-692.00M,43.00M,43.00M,-533.00M,322.00M,60.00M,-800.00M,2008-12,-488.00M,-55.00M,-543.00M,13.00M,0.00,13.00M,0.00,,0.00,-389.00M,-389.00M,-924.00M,,2008-12,2.261B,14.00M,2.80B,,2008-12,13.00M,133.00M,-676.00M,,2008-12,AOR,Restated
2008-09,448.00M,26.00M,-17.00M,2.00M,-115.00M,-43.00M,-213.00M,538.00M,538.00M,-63.00M,,-6.00M,29.00M,1.612B,149.00M,-1.346B,,,-100.00M,315.00M,,,2008-09,-628.00M,60.00M,60.00M,215.00M,-366.00M,6.00M,-713.00M,2008-09,280.00M,142.00M,422.00M,6.00M,-94.00M,-88.00M,0.00,,0.00,-388.00M,-388.00M,-134.00M,,2008-09,2.111B,-49.00M,2.261B,,2008-09,6.00M,426.00M,-4.00M,,2008-09,,Restated
2008-06,781.00M,-8.00M,-3.00M,-8.00M,-45.00M,-36.00M,-30.00M,569.00M,569.00M,73.00M,,-2.00M,-2.00M,-800.00M,-61.00M,843.00M,,,-404.00M,-422.00M,,,2008-06,-650.00M,61.00M,8.00M,-343.00M,-2.00M,,-934.00M,2008-06,953.00M,179.00M,1.132B,32.00M,-393.00M,-361.00M,0.00,,0.00,-369.00M,-369.00M,380.00M,,2008-06,1.673B,23.00M,2.111B,,2008-06,32.00M,1.155B,-23.00M,,2008-06,,Restated
2008-03,965.00M,-18.00M,-25.00M,-18.00M,45.00M,-43.00M,-58.00M,574.00M,574.00M,64.00M,,,,-689.00M,-786.00M,326.00M,,,51.00M,-1.098B,,,2008-03,-369.00M,88.00M,78.00M,0.00,-9.00M,,-290.00M,2008-03,-52.00M,559.00M,507.00M,21.00M,-411.00M,-390.00M,,,,-417.00M,-417.00M,-300.00M,,2008-03,1.736B,80.00M,1.673B,,2008-03,21.00M,564.00M,-57.00M,,2008-03,,Restated
2007-12,472.00M,,,,,,234.00M,589.00M,589.00M,-218.00M,,,253.00M,-145.00M,-98.00M,330.00M,,,-156.00M,-69.00M,,,2007-12,-782.00M,101.00M,1.394B,757.00M,-843.00M,-5.00M,-772.00M,2007-12,,,-93.00M,88.00M,-318.00M,-230.00M,,,,,-448.00M,-706.00M,,2007-12,1.945B,39.00M,1.736B,,2007-12,88.00M,,,,2007-12,,Restated
2007-09,403.00M,,,,,,-246.00M,560.00M,560.00M,558.00M,,,-68.00M,134.00M,-266.00M,131.00M,,,86.00M,85.00M,,,2007-09,-519.00M,41.00M,-478.00M,-885.00M,722.00M,0.00,-641.00M,2007-09,,,-56.00M,46.00M,-289.00M,-243.00M,,,,,-398.00M,-719.00M,,2007-09,1.976B,37.00M,1.945B,,2007-09,46.00M,,,,2007-09,,
2007-06,1.039B,,,,,,-102.00M,533.00M,533.00M,197.00M,,,-26.00M,-329.00M,-300.00M,611.00M,,,-197.00M,-215.00M,,,2007-06,-473.00M,34.00M,-439.00M,,-718.00M,2.00M,-1.155B,2007-06,,,-5.00M,113.00M,-435.00M,-322.00M,,,,,-358.00M,-684.00M,,2007-06,2.377B,12.00M,1.976B,,2007-06,113.00M,,,,2007-06,,
2007-03,973.00M,,,,,,-109.00M,508.00M,508.00M,-43.00M,,,-61.00M,-662.00M,-48.00M,-273.00M,,,251.00M,-732.00M,,,2007-03,-331.00M,35.00M,-296.00M,,3.00M,3.00M,-290.00M,2007-03,,,41.00M,132.00M,-420.00M,-288.00M,,,,,-359.00M,-619.00M,,2007-03,2.757B,-7.00M,2.377B,,2007-03,132.00M,,,,2007-03,,
2006-12,975.00M,,,,,,-1.131B,530.00M,530.00M,-142.00M,,,575.00M,546.00M,53.00M,306.00M,,,-462.00M,443.00M,,,2006-12,-660.00M,-69.00M,-729.00M,,-164.00M,12.00M,-585.00M,2006-12,,,-747.00M,126.00M,-89.00M,37.00M,,,,,-360.00M,-1.062B,,2006-12,3.134B,20.00M,2.757B,,2006-12,126.00M,,,,2006-12,,
2006-09,512.00M,,,,,,-67.00M,538.00M,538.00M,154.00M,,,235.00M,-237.00M,-280.00M,25.00M,,,89.00M,-403.00M,,,2006-09,-525.00M,14.00M,-511.00M,,41.00M,0.00,-470.00M,2006-09,,,6.00M,19.00M,-144.00M,-125.00M,,,,,-360.00M,-504.00M,,2006-09,3.162B,-23.00M,3.134B,,2006-09,19.00M,,,,2006-09,,
2006-06,1.023B,,,,,,-119.00M,512.00M,512.00M,-3.00M,,,-235.00M,-354.00M,131.00M,229.00M,,,52.00M,58.00M,,,2006-06,-507.00M,49.00M,-458.00M,,-63.00M,113.00M,-408.00M,2006-06,,,-539.00M,37.00M,-193.00M,-156.00M,,,,,-360.00M,-1.062B,,2006-06,3.389B,7.00M,3.162B,,2006-06,37.00M,,,,2006-06,,
2006-03,1.214B,,,,,,154.00M,494.00M,494.00M,95.00M,,,,287.00M,-662.00M,-689.00M,,,-194.00M,-1.258B,,,2006-03,-291.00M,6.00M,-285.00M,,-50.00M,-109.00M,-444.00M,2006-03,,,-56.00M,41.00M,-313.00M,-272.00M,,,,,-324.00M,-674.00M,,2006-03,3.806B,2.00M,3.389B,,2006-03,41.00M,,,,2006-03,,
2005-12,1.096B,,,,,,-1.824B,572.00M,572.00M,300.00M,,,,-440.00M,131.00M,710.00M,,,530.00M,796.00M,,,2005-12,-547.00M,979.00M,432.00M,,17.00M,-356.00M,93.00M,2005-12,,,-144.00M,75.00M,-20.00M,55.00M,,,,,-323.00M,-416.00M,,2005-12,3.179B,10.00M,3.806B,,2005-12,75.00M,,,,2005-12,,
2005-09,801.00M,,,,,,-104.00M,497.00M,497.00M,148.00M,,,,-166.00M,-2.00M,107.00M,,,-189.00M,-250.00M,,,2005-09,-400.00M,27.00M,-373.00M,,37.00M,2.00M,-334.00M,2005-09,,,-448.00M,29.00M,-15.00M,14.00M,,,,,-287.00M,-788.00M,,2005-09,3.162B,47.00M,3.179B,,2005-09,29.00M,,,,2005-09,,
2005-06,1.265B,,,,,,-192.00M,493.00M,493.00M,61.00M,,,,347.00M,-115.00M,-372.00M,,,-119.00M,-259.00M,,,2005-06,-364.00M,38.00M,-326.00M,,-16.00M,84.00M,-258.00M,2005-06,,,-863.00M,52.00M,-22.00M,30.00M,,,,,-358.00M,-1.168B,,2005-06,3.357B,-137.00M,3.162B,,2005-06,52.00M,,,,2005-06,,
2005-03,1.353B,,,,,,-2.00M,517.00M,517.00M,231.00M,,,,-210.00M,-254.00M,-339.00M,,,-222.00M,-1.025B,,,2005-03,-286.00M,17.00M,-269.00M,,-59.00M,-269.00M,-597.00M,2005-03,,,-26.00M,242.00M,-11.00M,231.00M,,,,,-319.00M,-136.00M,,2005-03,3.108B,-92.00M,3.357B,,2005-03,242.00M,,,,2005-03,,
2004-12,1.026B,,,,,,-125.00M,513.00M,513.00M,47.00M,,,,-111.00M,-255.00M,240.00M,,,-213.00M,-339.00M,,,2004-12,-482.00M,49.00M,-433.00M,0.00,21.00M,-16.00M,-428.00M,2004-12,,,-79.00M,313.00M,-7.00M,306.00M,,,,,-314.00M,-89.00M,,2004-12,2.402B,101.00M,3.108B,,2004-12,313.00M,,,,2004-12,,
2004-09,617.00M,,,,,,-271.00M,559.00M,559.00M,-11.00M,,,,-370.00M,-340.00M,428.00M,,,217.00M,-65.00M,,,2004-09,-321.00M,87.00M,-234.00M,0.00,-95.00M,23.00M,-306.00M,2004-09,,,-143.00M,68.00M,-1.00M,67.00M,,,,,-283.00M,-414.00M,,2004-09,2.294B,-1.00M,2.402B,,2004-09,68.00M,,,,2004-09,,
2004-06,685.00M,,,,,,-270.00M,502.00M,502.00M,172.00M,,,,-209.00M,-97.00M,193.00M,,,-352.00M,-465.00M,,,2004-06,-329.00M,18.00M,-311.00M,0.00,-59.00M,849.00M,479.00M,2004-06,,,-498.00M,90.00M,0.00,90.00M,,,,,-345.00M,-731.00M,,2004-06,1.926B,-4.00M,2.294B,,2004-06,90.00M,,,,2004-06,,
2004-03,469.00M,,,,,,90.00M,514.00M,514.00M,47.00M,,,,-667.00M,-239.00M,391.00M,,,-510.00M,-1.025B,,,2004-03,-201.00M,9.00M,-192.00M,-149.00M,-33.00M,-24.00M,-398.00M,2004-03,,,-59.00M,235.00M,-7.00M,228.00M,,,,,-310.00M,-163.00M,,2004-03,2.392B,,1.926B,,2004-03,235.00M,,,,2004-03,,
2003-12,929.00M,,,,,,-30.00M,502.00M,502.00M,-500.00M,,,,313.00M,117.00M,209.00M,,,-490.00M,149.00M,,,2003-12,-349.00M,34.00M,-315.00M,-2.00M,-85.00M,-482.00M,-884.00M,2003-12,,,-144.00M,165.00M,-1.00M,164.00M,,,,,-309.00M,-294.00M,,2003-12,2.566B,-46.00M,2.392B,,2003-12,165.00M,,,,2003-12,,
2003-09,332.00M,,,,,,-78.00M,466.00M,466.00M,68.00M,,,,-198.00M,56.00M,-7.00M,,,429.00M,280.00M,,,2003-09,-256.00M,170.00M,-86.00M,-8.00M,-97.00M,-30.00M,-221.00M,2003-09,,,-322.00M,42.00M,-1.00M,41.00M,,,,,-308.00M,-604.00M,,2003-09,2.276B,47.00M,2.566B,,2003-09,42.00M,,,,2003-09,,
2003-06,393.00M,,,,,,-51.00M,465.00M,465.00M,90.00M,,,,26.00M,-54.00M,-172.00M,,,139.00M,-61.00M,,,2003-06,-272.00M,69.00M,-203.00M,,-16.00M,-15.00M,-234.00M,2003-06,,,-24.00M,68.00M,-1.00M,67.00M,,,,,-306.00M,-274.00M,,2003-06,1.931B,17.00M,2.276B,,2003-06,68.00M,,,,2003-06,,
2003-03,85.00M,,,,,,7.00M,470.00M,470.00M,-36.00M,,,,-116.00M,-24.00M,131.00M,,,309.00M,300.00M,,,2003-03,-223.00M,14.00M,-209.00M,,-34.00M,-94.00M,-337.00M,2003-03,,,255.00M,28.00M,-3.00M,25.00M,,,,,-306.00M,-53.00M,,2003-03,1.484B,11.00M,1.931B,,2003-03,28.00M,,,,2003-03,,
2002-12,-809.00M,,,,,,997.00M,520.00M,520.00M,-326.00M,,,,206.00M,272.00M,374.00M,,,-469.00M,383.00M,,,2002-12,-537.00M,27.00M,-510.00M,,-87.00M,65.00M,-533.00M,2002-12,,,1.052B,20.00M,-3.00M,17.00M,,,,,-305.00M,753.00M,,2002-12,500.00M,-1.00M,1.484B,,2002-12,20.00M,,,,2002-12,,
2002-09,128.00M,,,,,,-10.00M,452.00M,452.00M,-2.00M,,,,357.00M,-134.00M,19.00M,,,-7.00M,235.00M,,,2002-09,-398.00M,52.00M,-346.00M,,31.00M,8.00M,-307.00M,2002-09,,,34.00M,7.00M,0.00,7.00M,,,,,-305.00M,-293.00M,,2002-09,299.00M,-2.00M,500.00M,,2002-09,7.00M,,,,2002-09,,
2002-06,238.00M,,,,,,7.00M,437.00M,437.00M,84.00M,,,,-497.00M,-49.00M,210.00M,,,-39.00M,-375.00M,,,2002-06,-391.00M,36.00M,-355.00M,,-4.00M,-74.00M,-433.00M,2002-06,,,335.00M,78.00M,0.00,78.00M,,,,,-304.00M,104.00M,,2002-06,234.00M,3.00M,299.00M,,2002-06,78.00M,,,,2002-06,,
2002-03,38.00M,,,,,,46.00M,416.00M,416.00M,-67.00M,,,,-365.00M,134.00M,-129.00M,,,76.00M,-284.00M,,,2002-03,-297.00M,3.00M,-294.00M,,-51.00M,-8.00M,-353.00M,2002-03,,,529.00M,33.00M,-3.00M,30.00M,,,,,-303.00M,223.00M,,2002-03,220.00M,-5.00M,234.00M,,2002-03,33.00M,,,,2002-03,,
2001-12,-37.00M,,,,,,61.00M,499.00M,499.00M,-396.00M,,,,975.00M,275.00M,-96.00M,,,81.00M,1.235B,,,2001-12,-589.00M,30.00M,-559.00M,-4.00M,-28.00M,,-330.00M,2001-12,,,-1.007B,36.00M,0.00,36.00M,,,,,-304.00M,-1.292B,,2001-12,480.00M,0.00,220.00M,,2001-12,36.00M,,,,2001-12,,
2001-09,57.00M,,,,,,-24.00M,453.00M,453.00M,273.00M,,,,231.00M,-128.00M,104.00M,,,-640.00M,-433.00M,,,2001-09,-349.00M,21.00M,-328.00M,-93.00M,159.00M,-69.00M,-300.00M,2001-09,,,48.00M,35.00M,0.00,35.00M,,,,,-301.00M,251.00M,,2001-09,203.00M,0.00,480.00M,,2001-09,35.00M,,,,2001-09,,
2001-06,280.00M,,,,,,-228.00M,429.00M,429.00M,193.00M,,,,159.00M,52.00M,-133.00M,,,-67.00M,11.00M,,,2001-06,-376.00M,28.00M,-348.00M,-1.84B,187.00M,134.00M,-1.867B,2001-06,,,1.249B,52.00M,-1.00M,51.00M,,,,,-151.00M,1.142B,,2001-06,244.00M,-1.00M,203.00M,,2001-06,52.00M,,,,2001-06,,
2001-03,-717.00M,,,,,,970.00M,434.00M,434.00M,-461.00M,,,,-25.00M,-165.00M,-461.00M,,,-159.00M,-810.00M,,,2001-03,-273.00M,74.00M,-199.00M,-364.00M,451.00M,-65.00M,-177.00M,2001-03,,,1.043B,23.00M,-4.00M,19.00M,,,,,-307.00M,730.00M,,2001-03,278.00M,-3.00M,244.00M,,2001-03,23.00M,,,,2001-03,,
2000-12,-13.00M,,,,,,44.00M,25.00M,25.00M,264.00M,,,,10.00M,-72.00M,186.00M,,,-378.00M,-254.00M,,,2000-12,-49.00M,129.00M,80.00M,452.00M,-47.00M,-532.00M,-47.00M,2000-12,,,91.00M,-18.00M,0.00,-18.00M,,,,,-106.00M,-39.00M,,2000-12,273.00M,3.00M,215.00M,,2000-12,-18.00M,,,,2000-12,,
2000-09,357.00M,,,,,,-256.00M,441.00M,441.00M,-72.00M,,,,-209.00M,-142.00M,160.00M,,,-265.00M,-456.00M,,,2000-09,-390.00M,5.00M,-385.00M,-36.00M,707.00M,-22.00M,264.00M,2000-09,,,-5.00M,8.00M,0.00,8.00M,,,,,-227.00M,-248.00M,,2000-09,249.00M,-6.00M,273.00M,,2000-09,8.00M,,,,2000-09,,
2000-06,657.00M,,,,,,-130.00M,431.00M,431.00M,-73.00M,,,,233.00M,-262.00M,-222.00M,,,29.00M,-222.00M,,,2000-06,-471.00M,7.00M,-464.00M,-219.00M,484.00M,-102.00M,-301.00M,2000-06,,,-230.00M,69.00M,-2.00M,67.00M,,,,,-226.00M,-401.00M,,2000-06,291.00M,-3.00M,249.00M,,2000-06,69.00M,,,,2000-06,,
2000-03,512.00M,,,,,,-114.00M,418.00M,418.00M,6.00M,,,,-475.00M,-13.00M,188.00M,,,-51.00M,-351.00M,,,2000-03,-439.00M,15.00M,-424.00M,-197.00M,340.00M,-95.00M,-376.00M,2000-03,,,-159.00M,59.00M,-1.00M,58.00M,,,,,-224.00M,-348.00M,,2000-03,547.00M,-3.00M,291.00M,,2000-03,59.00M,,,,2000-03,,
1999-12,268.00M,,,,,,34.00M,367.00M,367.00M,-10.00M,,,,-460.00M,27.00M,243.00M,,,-185.00M,-375.00M,,,1999-12,-802.00M,-22.00M,-824.00M,,-436.00M,29.00M,-1.231B,1999-12,,,820.00M,967.00M,-1.00M,966.00M,,,,,-194.00M,1.088B,,1999-12,369.00M,-4.00M,506.00M,,1999-12,967.00M,,,,1999-12,,
1999-09,321.00M,,,,,,-4.00M,308.00M,308.00M,96.00M,,,-159.00M,19.00M,-166.00M,140.00M,,,260.00M,253.00M,,,1999-09,-355.00M,42.00M,-313.00M,,-338.00M,-91.00M,-742.00M,1999-09,,,-118.00M,5.00M,-109.00M,-104.00M,,,,,-191.00M,79.00M,,1999-09,0.00,-1.00M,369.00M,,1999-09,5.00M,,,,1999-09,,
1999-06,412.00M,,,,,,-95.00M,316.00M,316.00M,49.00M,,,2.00M,255.00M,31.00M,-66.00M,,,,220.00M,,,1999-06,-442.00M,85.00M,-357.00M,,-125.00M,22.00M,-460.00M,1999-06,,,-98.00M,112.00M,-200.00M,-88.00M,,,,,-195.00M,-380.00M,,1999-06,155.00M,-1.00M,0.00,,1999-06,112.00M,,,,1999-06,,
1999-03,330.00M,,,,,,-35.00M,310.00M,310.00M,19.00M,,,157.00M,181.00M,187.00M,-160.00M,,,,208.00M,,,1999-03,-254.00M,10.00M,-244.00M,,59.00M,-22.00M,-207.00M,1999-03,,,-342.00M,32.00M,-221.00M,-189.00M,,,,,-191.00M,-747.00M,,1999-03,123.00M,-3.00M,155.00M,,1999-03,32.00M,,,,1999-03,,
1998-12,150.00M,,,,,,-175.00M,428.00M,428.00M,-36.00M,,,159.00M,194.00M,-53.00M,282.00M,100.00M,,,523.00M,,,1998-12,-552.00M,14.00M,-538.00M,,42.00M,-526.00M,-1.022B,1998-12,,,183.00M,30.00M,-138.00M,-108.00M,,,,,-196.00M,-131.00M,,1998-12,0.00,1.00M,123.00M,,1998-12,30.00M,,,,1998-12,,
1998-09,311.00M,,,,,,-72.00M,294.00M,294.00M,-47.00M,,,-293.00M,79.00M,-120.00M,25.00M,-100.00M,,,-116.00M,,,1998-09,-10.00M,-1.128B,-1.138B,,361.00M,943.00M,166.00M,1998-09,,,70.00M,7.00M,-263.00M,-256.00M,,,,,-195.00M,-393.00M,,1998-09,0.00,2.00M,0.00,,1998-09,7.00M,,,,1998-09,,
1998-06,427.00M,,,,,,-9.00M,296.00M,296.00M,128.00M,,,-130.00M,274.00M,131.00M,-74.00M,,,,331.00M,,,1998-06,-683.00M,1.21B,527.00M,,-456.00M,-660.00M,-589.00M,1998-06,,,-57.00M,76.00M,-259.00M,-183.00M,,,,,-199.00M,-443.00M,,1998-06,0.00,-8.00M,0.00,,1998-06,76.00M,,,,1998-06,,
