,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,,SECFilingLinks,AsOriginallyReported,Restated
2017-12,-309.00M,,,-61.00M,43.00M,169.00M,222.00M,,,150.00M,150.00M,740.00M,,7.00M,,-378.00M,214.00M,-6.00M,86.00M,16.00M,,374.00M,806.00M,,2017-12,-246.00M,6.00M,6.00M,-22.00M,-57.00M,71.00M,-266.00M,,2017-12,-22.00M,-223.00M,-245.00M,,-60.00M,-60.00M,-179.00M,,10.00M,-474.00M,,2017-12,66.00M,13.00M,1.369B,,2017-12,,-223.00M,-60.00M,,2017-12,AOR,Restated
2017-09,457.00M,,,30.00M,-34.00M,-15.00M,-19.00M,,,149.00M,149.00M,26.00M,,11.00M,,-34.00M,-234.00M,-137.00M,401.00M,-49.00M,,55.00M,645.00M,,2017-09,-119.00M,104.00M,104.00M,-19.00M,-607.00M,-23.00M,-626.00M,,2017-09,-9.00M,399.00M,390.00M,,-271.00M,-271.00M,-179.00M,,4.00M,-56.00M,,2017-09,-37.00M,34.00M,1.29B,,2017-09,,321.00M,-271.00M,,2017-09,AOR,Restated
2017-06,441.00M,,,20.00M,-49.00M,-19.00M,-48.00M,,,145.00M,145.00M,-10.00M,,16.00M,,-84.00M,-283.00M,-62.00M,329.00M,-52.00M,,-13.00M,447.00M,,2017-06,-114.00M,,,-13.00M,-44.00M,53.00M,-133.00M,,2017-06,-18.00M,-140.00M,-158.00M,,-69.00M,-69.00M,-172.00M,,19.00M,-380.00M,,2017-06,-66.00M,37.00M,1.293B,,2017-06,,-62.00M,-69.00M,,2017-06,AOR,Restated
2017-03,405.00M,,,11.00M,-83.00M,-33.00M,-105.00M,,,139.00M,139.00M,10.00M,,7.00M,,3.00M,-205.00M,-202.00M,206.00M,73.00M,,-80.00M,379.00M,,2017-03,-108.00M,,,-27.00M,-20.00M,-20.00M,-27.00M,,2017-03,-11.00M,62.00M,51.00M,,-51.00M,-51.00M,-171.00M,,7.00M,-164.00M,,2017-03,188.00M,14.00M,1.322B,,2017-03,,62.00M,-51.00M,,2017-03,AOR,Restated
2016-12,396.00M,,,39.00M,48.00M,-9.00M,23.00M,,,139.00M,139.00M,-10.00M,,4.00M,,21.00M,-153.00M,146.00M,171.00M,-124.00M,,52.00M,625.00M,,2016-12,-240.00M,3.00M,3.00M,-21.00M,-45.00M,-29.00M,-327.00M,,2016-12,-7.00M,-67.00M,-74.00M,,-33.00M,-33.00M,-171.00M,,-90.00M,-368.00M,,2016-12,-70.00M,-61.00M,1.12B,,2016-12,,-67.00M,-33.00M,,2016-12,AOR,Restated
2016-09,300.00M,,,6.00M,-7.00M,-9.00M,-10.00M,,,132.00M,132.00M,58.00M,,8.00M,,101.00M,140.00M,-49.00M,-112.00M,-51.00M,,-13.00M,576.00M,,2016-09,-138.00M,11.00M,11.00M,-15.00M,-13.00M,-45.00M,-199.00M,,2016-09,-21.00M,98.00M,77.00M,,-50.00M,-50.00M,-172.00M,,-4.00M,-149.00M,,2016-09,228.00M,-22.00M,1.251B,,2016-09,,100.00M,-50.00M,,2016-09,AOR,Restated
2016-06,427.00M,,,-31.00M,-39.00M,-41.00M,-111.00M,,,131.00M,131.00M,4.00M,,15.00M,,44.00M,-154.00M,-47.00M,110.00M,1.00M,,-39.00M,471.00M,,2016-06,-132.00M,,,-14.00M,8.00M,7.00M,-3.00M,,2016-06,-114.00M,150.00M,36.00M,,-120.00M,-120.00M,-163.00M,,-13.00M,-260.00M,,2016-06,208.00M,-78.00M,1.045B,,2016-06,,154.00M,-120.00M,,2016-06,AOR,Restated
2016-03,333.00M,,,-14.00M,-48.00M,-58.00M,-120.00M,,,128.00M,128.00M,-2.00M,,5.00M,,-15.00M,-98.00M,-54.00M,-176.00M,188.00M,,-62.00M,267.00M,,2016-03,-84.00M,,,-13.00M,-25.00M,-23.00M,-388.00M,,2016-03,90.00M,50.00M,140.00M,,-575.00M,-575.00M,-170.00M,,-31.00M,-636.00M,,2016-03,-757.00M,-39.00M,915.00M,,2016-03,,155.00M,-575.00M,,2016-03,AOR,Restated
2015-12,178.00M,,,4.00M,31.00M,-13.00M,22.00M,,,131.00M,131.00M,12.00M,,0.00,,147.00M,266.00M,329.00M,-151.00M,-284.00M,,233.00M,934.00M,,2015-12,-368.00M,,,-17.00M,-13.00M,-20.00M,-441.00M,,2015-12,8.00M,-3.00M,5.00M,,-250.00M,-250.00M,-170.00M,,-20.00M,-435.00M,,2015-12,58.00M,-35.00M,1.711B,,2015-12,,20.00M,-250.00M,,2015-12,AOR,Restated
2015-09,392.00M,,,-5.00M,-17.00M,0.00,-22.00M,,,129.00M,129.00M,-57.00M,,7.00M,,-18.00M,263.00M,-52.00M,-281.00M,115.00M,,131.00M,562.00M,,2015-09,-162.00M,,,-16.00M,-79.00M,-7.00M,-177.00M,,2015-09,-21.00M,-38.00M,-59.00M,,-136.00M,-136.00M,-172.00M,,-19.00M,-386.00M,,2015-09,-1.00M,-71.00M,1.688B,,2015-09,,12.00M,-136.00M,,2015-09,AOR,Restated
2015-06,496.00M,,,20.00M,-15.00M,-33.00M,-28.00M,,,126.00M,126.00M,-62.00M,,12.00M,,-5.00M,-150.00M,-29.00M,-36.00M,-2.00M,,-143.00M,396.00M,,2015-06,-161.00M,,,-14.00M,-31.00M,11.00M,-175.00M,,2015-06,-3.00M,0.00,-3.00M,,-377.00M,-377.00M,-140.00M,,-13.00M,-533.00M,,2015-06,-312.00M,75.00M,1.76B,,2015-06,,10.00M,-377.00M,,2015-06,AOR,Restated
2015-03,404.00M,,,7.00M,-53.00M,-104.00M,-150.00M,,,128.00M,128.00M,-1.00M,,5.00M,,-30.00M,-276.00M,-98.00M,112.00M,20.00M,,-183.00M,173.00M,,2015-03,-108.00M,,,-8.00M,-1.00M,8.00M,-125.00M,,2015-03,-16.00M,0.00,-16.00M,,-137.00M,-137.00M,-140.00M,,-3.00M,-296.00M,,2015-03,-248.00M,-56.00M,1.997B,,2015-03,,2.00M,-137.00M,,2015-03,AOR,Restated
2014-12,467.00M,,,6.00M,-32.00M,0.00,-26.00M,,,125.00M,125.00M,68.00M,,9.00M,,3.00M,147.00M,46.00M,-66.00M,7.00M,,232.00M,878.00M,,2014-12,-349.00M,,,-15.00M,-187.00M,-16.00M,-594.00M,,2014-12,-6.00M,1.00M,-5.00M,,-65.00M,-65.00M,-142.00M,,-32.00M,-244.00M,,2014-12,40.00M,-67.00M,2.301B,,2014-12,,16.00M,-65.00M,,2014-12,AOR,Restated
2014-09,439.00M,,,-10.00M,-33.00M,-35.00M,-78.00M,,,113.00M,113.00M,51.00M,,6.00M,,23.00M,85.00M,-79.00M,69.00M,-10.00M,,133.00M,687.00M,,2014-09,-178.00M,,,-14.00M,-101.00M,-1.00M,-177.00M,,2014-09,-11.00M,7.00M,-4.00M,,-175.00M,-175.00M,-141.00M,,-23.00M,-343.00M,,2014-09,167.00M,-58.00M,2.328B,,2014-09,,22.00M,-175.00M,,2014-09,AOR,Restated
2014-06,472.00M,,,-6.00M,-56.00M,-33.00M,-95.00M,,,112.00M,112.00M,-110.00M,,11.00M,,-45.00M,-89.00M,-88.00M,202.00M,2.00M,,93.00M,438.00M,,2014-06,-150.00M,,,-12.00M,-108.00M,6.00M,-276.00M,,2014-06,-4.00M,-48.00M,-52.00M,,-11.00M,-11.00M,-114.00M,,23.00M,-154.00M,,2014-06,8.00M,33.00M,2.219B,,2014-06,,10.00M,-11.00M,,2014-06,AOR,Restated
2014-03,358.00M,,,-3.00M,-52.00M,-108.00M,-163.00M,,,105.00M,105.00M,22.00M,,10.00M,,39.00M,-232.00M,-135.00M,207.00M,2.00M,,-108.00M,263.00M,,2014-03,-121.00M,,,-14.00M,-96.00M,6.00M,-187.00M,,2014-03,-18.00M,,-18.00M,,-419.00M,-419.00M,-115.00M,,-50.00M,-602.00M,,2014-03,-526.00M,5.00M,2.178B,,2014-03,,7.00M,-419.00M,,2014-03,AOR,Restated
2013-12,461.00M,,,-9.00M,36.00M,9.00M,36.00M,,,102.00M,102.00M,22.00M,,8.00M,13.00M,-19.00M,68.00M,160.00M,-189.00M,30.00M,,133.00M,756.00M,,2013-12,-280.00M,,,-21.00M,-32.00M,-23.00M,-301.00M,,2013-12,-11.00M,-37.00M,-48.00M,,-92.00M,-92.00M,-115.00M,,-37.00M,-292.00M,,2013-12,163.00M,37.00M,2.699B,,2013-12,,-17.00M,-92.00M,,2013-12,AOR,Restated
2013-09,374.00M,,,23.00M,-41.00M,-23.00M,-41.00M,,,105.00M,105.00M,58.00M,,10.00M,-5.00M,-53.00M,49.00M,-22.00M,-117.00M,-32.00M,,-75.00M,373.00M,,2013-09,-161.00M,,,-19.00M,-19.00M,10.00M,-134.00M,,2013-09,974.00M,-22.00M,952.00M,,0.00,0.00,-116.00M,,-19.00M,817.00M,,2013-09,1.056B,61.00M,2.499B,,2013-09,,963.00M,0.00,,2013-09,AOR,Restated
2013-06,441.00M,,,8.00M,-26.00M,-31.00M,-49.00M,,,102.00M,102.00M,15.00M,,12.00M,-1.00M,-15.00M,-236.00M,-7.00M,161.00M,56.00M,,27.00M,532.00M,,2013-06,-173.00M,,,-12.00M,-97.00M,19.00M,-268.00M,,2013-06,-22.00M,41.00M,19.00M,,-289.00M,-289.00M,-94.00M,,-6.00M,-370.00M,,2013-06,-106.00M,5.00M,1.382B,,2013-06,,43.00M,-289.00M,,2013-06,AOR,Restated
2013-03,312.00M,,,-5.00M,-43.00M,-62.00M,-110.00M,,,98.00M,98.00M,5.00M,,7.00M,-7.00M,62.00M,-29.00M,-177.00M,62.00M,158.00M,,61.00M,428.00M,,2013-03,-126.00M,,,-12.00M,-41.00M,-30.00M,-143.00M,,2013-03,-27.00M,15.00M,-12.00M,,0.00,0.00,-95.00M,,4.00M,-103.00M,,2013-03,182.00M,-68.00M,1.483B,,2013-03,,15.00M,0.00,,2013-03,AOR,Restated
2012-12,398.00M,6.00M,,-16.00M,36.00M,1.00M,27.00M,,,99.00M,99.00M,25.00M,,7.00M,12.00M,-6.00M,21.00M,335.00M,-227.00M,-6.00M,,183.00M,745.00M,,2012-12,-291.00M,,,-25.00M,12.00M,34.00M,-263.00M,,2012-12,-25.00M,-5.00M,-30.00M,,-25.00M,-25.00M,-94.00M,,5.00M,-144.00M,,2012-12,338.00M,-2.00M,1.369B,,2012-12,,-5.00M,-25.00M,,2012-12,AOR,Restated
2012-09,370.00M,0.00,,9.00M,-33.00M,-31.00M,-55.00M,,,91.00M,91.00M,130.00M,,8.00M,-1.00M,-20.00M,182.00M,72.00M,-431.00M,-7.00M,,-133.00M,390.00M,,2012-09,-180.00M,,,-22.00M,-245.00M,18.00M,-369.00M,,2012-09,-27.00M,2.00M,-25.00M,,-35.00M,-35.00M,-94.00M,,-10.00M,-164.00M,,2012-09,-143.00M,31.00M,1.033B,,2012-09,,20.00M,-35.00M,,2012-09,AOR,Restated
2012-06,495.00M,-6.00M,,-3.00M,34.00M,-28.00M,-3.00M,,,86.00M,86.00M,-12.00M,,14.00M,0.00,16.00M,19.00M,-230.00M,-64.00M,-19.00M,,-220.00M,376.00M,,2012-06,-164.00M,,,-24.00M,-42.00M,-8.00M,-248.00M,,2012-06,-3.00M,3.00M,0.00,,-188.00M,-188.00M,-75.00M,,-10.00M,-273.00M,,2012-06,-145.00M,-27.00M,1.145B,,2012-06,,37.00M,-188.00M,,2012-06,AOR,Restated
2012-03,475.00M,,,10.00M,-59.00M,-31.00M,-80.00M,,,85.00M,85.00M,-27.00M,,7.00M,-11.00M,-37.00M,-135.00M,-209.00M,-48.00M,-28.00M,,-391.00M,21.00M,,2012-03,-142.00M,,,-16.00M,-10.00M,12.00M,-102.00M,,2012-03,-26.00M,0.00,-26.00M,,-8.00M,-8.00M,-77.00M,,-2.00M,-113.00M,,2012-03,-194.00M,27.00M,1.317B,,2012-03,,12.00M,-8.00M,,2012-03,AOR,Restated
2011-12,572.00M,-53.00M,,,-30.00M,-81.00M,-160.00M,,,82.00M,82.00M,-63.00M,,14.00M,-1.00M,18.00M,119.00M,142.00M,-48.00M,-16.00M,,243.00M,705.00M,,2011-12,-274.00M,,,-29.00M,7.00M,-24.00M,-196.00M,,2011-12,-32.00M,11.00M,-21.00M,,-83.00M,-83.00M,-77.00M,,-4.00M,-185.00M,,2011-12,324.00M,-5.00M,1.484B,,2011-12,,37.00M,-83.00M,,2011-12,AOR,Restated
2011-09,472.00M,0.00,,,5.00M,-24.00M,-19.00M,,,84.00M,84.00M,61.00M,0.00,10.00M,0.00,16.00M,44.00M,-77.00M,14.00M,-16.00M,,0.00,624.00M,,2011-09,-171.00M,,,-9.00M,0.00,0.00,-205.00M,,2011-09,-44.00M,-16.00M,-60.00M,,-173.00M,-173.00M,-76.00M,,-18.00M,-327.00M,,2011-09,92.00M,-38.00M,1.165B,,2011-09,,36.00M,-173.00M,,2011-09,AOR,Restated
2011-06,537.00M,-68.00M,,,64.00M,-28.00M,-32.00M,,,80.00M,80.00M,66.00M,,13.00M,-2.00M,-19.00M,-207.00M,-80.00M,253.00M,13.00M,,13.00M,656.00M,,2011-06,-136.00M,,,-12.00M,111.00M,0.00,-73.00M,,2011-06,-27.00M,10.00M,-17.00M,,-183.00M,-183.00M,-51.00M,,0.00,-251.00M,,2011-06,332.00M,0.00,1.111B,,2011-06,,22.00M,-183.00M,,2011-06,AOR,Restated
2011-03,365.00M,,,,-62.00M,-29.00M,-91.00M,,,79.00M,79.00M,21.00M,,5.00M,-2.00M,-18.00M,-306.00M,-210.00M,223.00M,-2.00M,,-271.00M,88.00M,,2011-03,-101.00M,,,-10.00M,0.00,7.00M,-78.00M,,2011-03,-7.00M,1.00M,-6.00M,,-190.00M,-190.00M,-51.00M,,-15.00M,-262.00M,,2011-03,-252.00M,8.00M,779.00M,,2011-03,,38.00M,-190.00M,,2011-03,AOR,Restated
2010-12,391.00M,0.00,,13.00M,-64.00M,-50.00M,-89.00M,,,81.00M,81.00M,-27.00M,,5.00M,-2.00M,-63.00M,3.00M,-50.00M,140.00M,-38.00M,,91.00M,387.00M,,2010-12,-209.00M,9.00M,9.00M,-15.00M,-29.00M,2.00M,-245.00M,,2010-12,-28.00M,13.00M,-15.00M,6.00M,0.00,6.00M,-52.00M,,4.00M,-57.00M,,2010-12,85.00M,1.00M,1.023B,,2010-12,6.00M,60.00M,0.00,,2010-12,AOR,Restated
2010-09,309.00M,0.00,,12.00M,-46.00M,-13.00M,-59.00M,,,78.00M,78.00M,40.00M,,6.00M,-1.00M,-44.00M,-141.00M,-223.00M,213.00M,-17.00M,,-137.00M,192.00M,,2010-09,-85.00M,4.00M,4.00M,-6.00M,-6.00M,2.00M,-163.00M,,2010-09,51.00M,-3.00M,48.00M,52.00M,-79.00M,-27.00M,-50.00M,,-8.00M,-37.00M,,2010-09,-8.00M,21.00M,937.00M,,2010-09,52.00M,78.00M,-79.00M,,2010-09,AOR,
2010-06,270.00M,0.00,,0.00,4.00M,-29.00M,-25.00M,,,82.00M,82.00M,30.00M,,5.00M,-1.00M,24.00M,-332.00M,-112.00M,325.00M,-2.00M,,-84.00M,301.00M,,2010-06,-49.00M,4.00M,4.00M,-5.00M,0.00,-2.00M,-99.00M,,2010-06,-2.00M,-6.00M,-8.00M,,-123.00M,-123.00M,-35.00M,,0.00,-166.00M,,2010-06,36.00M,3.00M,924.00M,,2010-06,,15.00M,-123.00M,,2010-06,AOR,Restated
2010-03,170.00M,,,-12.00M,-53.00M,-94.00M,-159.00M,,,79.00M,79.00M,13.00M,,6.00M,-6.00M,5.00M,275.00M,-189.00M,-100.00M,3.00M,,18.00M,126.00M,,2010-03,-64.00M,38.00M,38.00M,-17.00M,-71.00M,,-144.00M,,2010-03,50.00M,5.00M,55.00M,,-39.00M,-39.00M,-35.00M,,12.00M,-7.00M,,2010-03,-25.00M,-20.00M,885.00M,,2010-03,,70.00M,-39.00M,,2010-03,AOR,Restated
2009-12,290.00M,,,,-33.00M,-42.00M,-75.00M,,,88.00M,88.00M,16.00M,,4.00M,,45.00M,-270.00M,122.00M,133.00M,1.00M,-103.00M,38.00M,407.00M,,2009-12,-117.00M,2.00M,2.00M,-11.00M,0.00,6.00M,-145.00M,,2009-12,28.00M,2.00M,30.00M,18.00M,-20.00M,-2.00M,-35.00M,,-14.00M,-21.00M,,2009-12,241.00M,3.00M,930.00M,,2009-12,18.00M,65.00M,-20.00M,,2009-12,AOR,Restated
2009-09,110.00M,,,,-4.00M,13.00M,9.00M,,,84.00M,84.00M,-31.00M,,16.00M,,-72.00M,3.00M,78.00M,155.00M,10.00M,103.00M,293.00M,409.00M,,2009-09,-70.00M,1.00M,1.00M,-5.00M,0.00,1.00M,-255.00M,,2009-09,-15.00M,1.00M,-14.00M,54.00M,,54.00M,-35.00M,,-6.00M,-1.00M,,2009-09,153.00M,-1.00M,686.00M,,2009-09,54.00M,1.00M,,,2009-09,AOR,Restated
2009-06,70.00M,,,,8.00M,-38.00M,-30.00M,,,78.00M,78.00M,41.00M,,-6.00M,,16.00M,37.00M,238.00M,-219.00M,13.00M,,76.00M,245.00M,,2009-06,-83.00M,1.00M,1.00M,-8.00M,0.00,,-19.00M,,2009-06,-22.00M,-9.00M,-31.00M,,0.00,0.00,-36.00M,,1.00M,-66.00M,,2009-06,160.00M,21.00M,534.00M,,2009-06,,3.00M,0.00,,2009-06,AOR,Restated
2009-03,14.00M,,,,52.00M,7.00M,59.00M,,,76.00M,76.00M,-21.00M,,6.00M,,67.00M,49.00M,44.00M,-276.00M,9.00M,,-125.00M,76.00M,,2009-03,-75.00M,6.00M,6.00M,-11.00M,-2.00M,,-90.00M,,2009-03,-12.00M,4.00M,-8.00M,,0.00,0.00,-35.00M,,-10.00M,-53.00M,,2009-03,-67.00M,-6.00M,353.00M,,2009-03,,7.00M,0.00,,2009-03,AOR,Restated
2008-12,106.00M,,,,-45.00M,-66.00M,-35.00M,,,81.00M,81.00M,-39.00M,,28.00M,-13.00M,46.00M,398.00M,83.00M,-248.00M,-19.00M,-206.00M,43.00M,262.00M,,2008-12,-242.00M,9.00M,392.00M,-82.00M,64.00M,34.00M,-296.00M,,2008-12,-76.00M,33.00M,-28.00M,11.00M,-5.00M,6.00M,-122.00M,,-8.00M,-66.00M,,2008-12,-100.00M,-46.00M,426.00M,,2008-12,11.00M,76.00M,-5.00M,,2008-12,AOR,Restated
2008-09,200.00M,,,,62.00M,5.00M,-9.00M,,,75.00M,75.00M,24.00M,,-17.00M,12.00M,-25.00M,6.00M,-132.00M,-76.00M,-19.00M,206.00M,59.00M,319.00M,,2008-09,-146.00M,10.00M,-373.00M,36.00M,-66.00M,-10.00M,-196.00M,,2008-09,24.00M,-1.00M,8.00M,52.00M,-78.00M,-26.00M,51.00M,,-7.00M,-60.00M,,2008-09,63.00M,-13.00M,572.00M,,2008-09,52.00M,-78.00M,-78.00M,,2008-09,,
2008-06,310.00M,,,,-23.00M,0.00,-23.00M,,,83.00M,83.00M,21.00M,,9.00M,-2.00M,38.00M,-123.00M,-37.00M,133.00M,-11.00M,,-67.00M,369.00M,,2008-06,-133.00M,9.00M,9.00M,-22.00M,-47.00M,-4.00M,-204.00M,,2008-06,-19.00M,-13.00M,-32.00M,,-34.00M,-34.00M,-26.00M,6.00M,-3.00M,-89.00M,,2008-06,76.00M,0.00,522.00M,,2008-06,,22.00M,-34.00M,,2008-06,,Restated
2008-03,202.00M,,,,-39.00M,-5.00M,-44.00M,,,75.00M,75.00M,-7.00M,,8.00M,-10.00M,6.00M,-193.00M,-165.00M,141.00M,-5.00M,,-193.00M,37.00M,,2008-03,-104.00M,1.00M,1.00M,-14.00M,-29.00M,-9.00M,-152.00M,,2008-03,-5.00M,14.00M,9.00M,,-11.00M,-11.00M,-25.00M,-6.00M,11.00M,-22.00M,,2008-03,-137.00M,6.00M,446.00M,,2008-03,,56.00M,-11.00M,,2008-03,,Restated
