,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDiluted,,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,5.118B,5.118B,3.769B,1.349B,533.00M,224.00M,,,12.00M,25.00M,16.00M,-14.00M,20.00M,777.00M,572.00M,16.00M,25.00M,-14.00M,128.00M,-14.00M,686.00M,182.00M,504.00M,,-3.00M,489.24M,877.00M,166.00M,711.00M,,,,,3.310,3.39,3.36,,,3.36,,2020-09,147.90M,148.90M,1.311,,2020-09,AOR,
2020-06,3.852B,3.852B,2.962B,890.00M,470.00M,189.00M,6.00M,3.00M,13.00M,23.00M,18.00M,-12.00M,-4.00M,661.00M,229.00M,18.00M,23.00M,-12.00M,145.00M,-12.00M,362.00M,93.00M,269.00M,,7.00M,262.63M,550.00M,165.00M,385.00M,,,,,1.779,1.87,1.86,,,1.86,,2020-06,147.60M,148.00M,1.311,,2020-06,AOR,
2020-03,5.011B,5.011B,3.717B,1.294B,546.00M,238.00M,5.00M,2.00M,14.00M,23.00M,37.00M,11.00M,-3.00M,786.00M,508.00M,37.00M,23.00M,11.00M,136.00M,11.00M,655.00M,127.00M,528.00M,,-17.00M,502.94M,846.00M,168.00M,678.00M,,,,,3.366,3.42,3.41,,,3.41,,2020-03,149.30M,149.70M,1.311,,2020-03,AOR,
2019-12,5.578B,5.578B,4.265B,1.313B,632.00M,271.00M,,,-146.00M,22.00M,34.00M,10.00M,-33.00M,890.00M,423.00M,34.00M,22.00M,10.00M,-70.00M,10.00M,363.00M,65.00M,298.00M,,2.00M,417.39M,564.00M,179.00M,385.00M,,,,,2.756,1.98,1.97,,,1.97,,2019-12,151.20M,152.20M,1.311,,2019-12,AOR,
2019-09,5.768B,5.768B,4.274B,1.494B,600.00M,242.00M,,,9.00M,26.00M,19.00M,-10.00M,21.00M,863.00M,631.00M,19.00M,26.00M,-10.00M,134.00M,-10.00M,755.00M,139.00M,616.00M,,6.00M,584.46M,959.00M,178.00M,781.00M,,,,,3.749,3.99,3.97,,,3.97,,2019-09,155.90M,156.60M,1.311,,2019-09,AOR,Restated
2019-06,6.221B,6.221B,4.58B,1.641B,629.00M,251.00M,5.00M,0.00,18.00M,29.00M,27.00M,-5.00M,4.00M,889.00M,752.00M,27.00M,29.00M,-5.00M,124.00M,-5.00M,871.00M,186.00M,685.00M,,-10.00M,660.07M,1.058B,158.00M,900.00M,,,,,4.195,4.29,4.27,,,4.27,,2019-06,157.40M,158.00M,1.14,,2019-06,AOR,Restated
2019-03,6.004B,6.004B,4.472B,1.532B,593.00M,237.00M,5.00M,0.00,42.00M,32.00M,25.00M,-10.00M,-5.00M,830.00M,702.00M,25.00M,32.00M,-10.00M,153.00M,-10.00M,845.00M,176.00M,669.00M,,-6.00M,631.32M,1.034B,157.00M,877.00M,,,,,4.018,4.22,4.20,,,4.20,,2019-03,157.20M,157.70M,1.14,,2019-03,AOR,Restated
2018-12,6.126B,6.126B,4.58B,1.546B,643.00M,244.00M,5.00M,14.00M,-38.00M,32.00M,23.00M,-11.00M,-12.00M,880.00M,666.00M,23.00M,32.00M,-11.00M,55.00M,-11.00M,710.00M,100.00M,610.00M,,-31.00M,615.08M,897.00M,155.00M,742.00M,,,,,3.857,3.63,3.62,,,3.62,,2018-12,158.90M,159.50M,1.14,,2018-12,AOR,Restated
2018-09,5.943B,5.943B,4.392B,1.551B,604.00M,229.00M,5.00M,1.00M,5.00M,30.00M,22.00M,-12.00M,-2.00M,836.00M,715.00M,22.00M,30.00M,-12.00M,102.00M,-12.00M,805.00M,107.00M,698.00M,,-6.00M,692.87M,983.00M,148.00M,835.00M,,,,,4.295,4.29,4.28,,,4.28,,2018-09,161.30M,161.80M,1.14,,2018-09,AOR,Restated
2018-06,6.132B,6.132B,4.692B,1.44B,613.00M,219.00M,5.00M,4.00M,0.00,28.00M,24.00M,-6.00M,-10.00M,827.00M,613.00M,24.00M,28.00M,-6.00M,108.00M,-6.00M,715.00M,161.00M,554.00M,,-9.00M,555.08M,897.00M,154.00M,743.00M,,,,,3.392,3.33,3.32,,,3.32,,2018-06,163.80M,164.30M,1.08,,2018-06,AOR,Restated
2018-03,5.57B,5.57B,4.37B,1.20B,577.00M,210.00M,5.00M,,-4.00M,24.00M,24.00M,-3.00M,-7.00M,785.00M,415.00M,24.00M,24.00M,-3.00M,111.00M,-3.00M,523.00M,198.00M,325.00M,,0.00,333.07M,701.00M,154.00M,547.00M,,,,,2.019,1.97,1.96,,,1.96,,2018-03,164.90M,165.70M,1.08,,2018-03,AOR,Restated
2017-12,5.476B,5.476B,4.10B,1.376B,643.00M,208.00M,,,-56.00M,24.00M,56.00M,39.00M,-16.00M,828.00M,548.00M,56.00M,24.00M,39.00M,9.00M,39.00M,596.00M,905.00M,-309.00M,,35.00M,-240.40M,770.00M,150.00M,620.00M,,,,,-1.457,-1.66,-1.66,,,-1.66,,2017-12,165.80M,166.40M,1.08,,2017-12,AOR,Restated
2017-09,5.285B,5.285B,3.944B,1.341B,633.00M,213.00M,4.00M,0.00,24.00M,18.00M,4.00M,-16.00M,-21.00M,829.00M,512.00M,4.00M,18.00M,-16.00M,126.00M,-16.00M,622.00M,165.00M,457.00M,,-4.00M,438.30M,789.00M,149.00M,640.00M,,,,,2.632,2.72,2.71,,,2.71,,2017-09,166.30M,167.00M,1.08,,2017-09,AOR,Restated
2017-06,5.078B,5.078B,3.827B,1.251B,606.00M,175.00M,1.00M,1.00M,23.00M,21.00M,5.00M,-18.00M,-12.00M,770.00M,481.00M,5.00M,21.00M,-18.00M,136.00M,-18.00M,599.00M,158.00M,441.00M,,-17.00M,404.86M,765.00M,145.00M,620.00M,,,,,2.416,2.53,2.53,,,2.53,,2017-06,167.30M,167.80M,1.025,,2017-06,AOR,Restated
2017-03,4.589B,4.589B,3.457B,1.132B,547.00M,158.00M,2.00M,,13.00M,18.00M,2.00M,-19.00M,-7.00M,700.00M,432.00M,2.00M,18.00M,-19.00M,135.00M,-19.00M,548.00M,143.00M,405.00M,,-9.00M,384.18M,705.00M,139.00M,566.00M,,,,,2.289,2.36,2.36,,,2.36,,2017-03,167.50M,168.00M,1.025,,2017-03,AOR,Restated
