,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2020-09,1.313B,1.313B,934.60M,934.60M,625.80M,97.50M,271.10M,1.007B,204.50M,3.460B,,,,,,,1.170B,-361.90M,807.90M,6.206B,4.784B,10.99B,9.60M,343.60M,12.15B,15.61B,,624.70M,148.00M,772.70M,373.60M,1.146B,22.90M,40.10M,40.10M,51.20M,91.30M,165.30M,165.30M,1.426B,3.837B,3.837B,905.20M,905.20M,275.40M,58.20M,337.00M,5.355B,6.781B,,4.20M,-327.30M,9.277B,34.80M,-147.40M,8.772B,,AOR,
2020-06,1.174B,1.174B,922.20M,922.20M,654.20M,86.70M,272.50M,1.026B,204.60M,3.327B,,,,,,,1.167B,-335.20M,832.00M,6.055B,4.849B,10.90B,13.70M,357.00M,12.11B,15.43B,,683.50M,167.00M,850.50M,359.20M,1.210B,29.40M,39.80M,39.80M,39.40M,79.20M,159.90M,159.90M,1.478B,3.817B,3.817B,913.30M,913.30M,271.10M,66.90M,312.20M,5.313B,6.792B,,4.20M,-356.80M,9.256B,35.80M,-293.20M,8.575B,,AOR,
2020-03,555.70M,555.70M,1.028B,1.028B,651.80M,119.90M,303.40M,1.088B,258.10M,2.929B,,,,,,,1.139B,-310.10M,829.00M,5.503B,5.680B,11.18B,34.70M,382.10M,12.43B,15.36B,,764.60M,18.70M,783.30M,333.40M,1.117B,28.40M,35.70M,35.70M,47.10M,82.80M,162.10M,162.10M,1.39B,3.427B,3.427B,1.111B,1.111B,269.30M,69.30M,405.30M,5.213B,6.603B,,4.20M,-179.20M,9.242B,36.20M,-344.10M,8.686B,,AOR,
2019-12,505.50M,505.50M,459.10M,459.10M,370.50M,47.60M,71.40M,502.50M,76.80M,1.544B,0.00,33.70M,135.00M,404.50M,19.60M,32.20M,625.00M,-298.40M,326.60M,1.288B,1.255B,2.543B,3.00M,212.20M,3.084B,4.628B,,322.90M,22.50M,345.40M,147.80M,493.20M,5.00M,7.60M,7.60M,17.10M,24.70M,51.70M,51.70M,574.60M,1.604B,1.604B,251.00M,251.00M,99.70M,,229.40M,2.184B,2.758B,,2.10M,-141.40M,2.302B,36.80M,-256.00M,1.870B,,AOR,
2019-09,406.40M,406.40M,458.40M,458.40M,390.50M,57.80M,77.80M,539.30M,90.00M,1.494B,,,,,,,609.90M,-275.90M,334.00M,1.266B,1.266B,2.532B,1.10M,192.30M,3.060B,4.554B,,336.60M,15.80M,352.40M,147.20M,499.60M,7.00M,7.70M,7.70M,16.60M,24.30M,64.90M,64.90M,595.80M,1.594B,1.594B,274.00M,274.00M,85.60M,,214.10M,2.168B,2.763B,,2.10M,-167.10M,2.294B,36.30M,-302.50M,1.790B,,AOR,Restated
2019-06,317.50M,317.50M,498.60M,498.60M,403.40M,59.90M,81.10M,557.60M,90.20M,1.464B,,,,,,,614.20M,-269.10M,345.10M,1.285B,1.304B,2.589B,1.10M,195.50M,3.130B,4.594B,,331.80M,21.50M,353.30M,146.10M,499.40M,5.80M,8.00M,8.00M,17.50M,25.50M,60.60M,60.60M,591.30M,1.624B,1.624B,272.90M,272.90M,91.10M,,230.20M,2.218B,2.809B,,2.10M,-208.40M,2.288B,37.40M,-258.90M,1.785B,,AOR,Restated
2019-03,263.70M,263.70M,509.90M,509.90M,400.50M,58.50M,82.90M,555.10M,69.60M,1.398B,,,,,,,605.90M,-256.40M,349.50M,1.283B,1.335B,2.619B,1.20M,199.20M,3.168B,4.567B,,342.40M,28.60M,371.00M,146.00M,517.00M,8.70M,7.90M,7.90M,18.30M,26.20M,64.30M,64.30M,616.20M,1.622B,1.622B,263.80M,263.80M,91.90M,,234.90M,2.213B,2.829B,,2.00M,-253.40M,2.289B,47.00M,-253.20M,1.738B,,AOR,Restated
2018-12,221.20M,221.20M,525.40M,525.40M,369.20M,58.10M,83.40M,523.90M,60.70M,1.331B,0.00,35.00M,140.80M,377.70M,18.90M,34.20M,606.60M,-250.00M,356.60M,1.290B,1.368B,2.658B,1.30M,140.10M,3.156B,4.487B,,340.00M,24.30M,364.30M,144.50M,508.80M,10.10M,7.90M,7.90M,0.00,7.90M,69.60M,69.60M,596.40M,1.664B,1.664B,265.50M,265.50M,94.80M,,190.20M,2.215B,2.811B,,2.00M,-308.70M,2.283B,53.00M,-247.00M,1.676B,,AOR,Restated
2018-09,269.00M,269.00M,525.00M,525.00M,368.10M,84.60M,84.00M,550.10M,63.40M,1.408B,,,,,,,585.60M,-238.70M,346.90M,1.268B,1.357B,2.625B,1.10M,135.70M,3.109B,4.516B,,320.00M,15.50M,335.50M,146.50M,482.00M,6.40M,,7.90M,,7.90M,90.50M,90.50M,586.80M,1.747B,1.747B,279.30M,279.30M,90.50M,,189.00M,2.306B,2.893B,,2.00M,-403.20M,2.281B,29.80M,-226.40M,1.623B,,AOR,Restated
2018-06,337.80M,337.80M,495.50M,495.50M,380.50M,80.50M,81.20M,555.60M,56.70M,1.446B,,,,,,,580.90M,-227.00M,353.90M,1.276B,1.392B,2.668B,1.10M,135.50M,3.159B,4.605B,,310.90M,15.10M,326.00M,154.50M,480.50M,2.30M,,7.90M,,7.90M,80.70M,80.70M,571.40M,1.904B,1.904B,259.70M,259.70M,93.50M,,207.40M,2.464B,3.036B,,2.00M,-475.40M,2.278B,22.40M,-213.40M,1.569B,,AOR,Restated
2018-03,353.80M,353.80M,541.60M,541.60M,388.10M,79.70M,86.00M,567.20M,50.80M,1.513B,,,,,,,584.90M,-219.60M,365.30M,1.308B,1.449B,2.758B,1.10M,138.10M,3.262B,4.775B,,284.60M,48.20M,332.80M,170.80M,503.60M,4.10M,,21.10M,,21.10M,82.30M,82.30M,611.10M,2.034B,2.034B,248.30M,248.30M,100.20M,,214.10M,2.597B,3.208B,,2.00M,-535.70M,2.282B,27.60M,-153.30M,1.568B,,AOR,Restated
2017-12,393.30M,393.30M,536.30M,536.30M,362.60M,57.90M,60.60M,494.50M,39.50M,1.464B,0.00,34.70M,137.40M,355.00M,16.90M,23.00M,567.00M,-203.80M,363.20M,1.228B,1.431B,2.659B,1.00M,134.60M,3.158B,4.621B,,269.70M,34.50M,304.20M,187.50M,491.70M,6.50M,,20.90M,,20.90M,42.70M,42.70M,561.80M,2.019B,2.019B,237.50M,237.50M,99.80M,,226.00M,2.583B,3.144B,,2.00M,-577.80M,2.275B,23.00M,-199.80M,1.477B,,AOR,Restated
2017-09,303.00M,303.00M,531.60M,531.60M,347.10M,69.20M,75.40M,507.60M,61.20M,1.403B,,,,,,,540.50M,-188.50M,352.00M,1.217B,1.450B,2.667B,0.90M,129.70M,3.149B,4.553B,,263.60M,43.10M,306.70M,167.20M,473.90M,9.10M,,21.10M,,21.10M,55.50M,55.50M,559.60M,2.007B,2.007B,409.20M,409.20M,129.80M,0.00,175.30M,2.721B,3.281B,,2.00M,-721.40M,2.265B,22.00M,-251.70M,1.272B,,AOR,Restated
2017-06,245.70M,245.70M,475.20M,475.20M,331.60M,59.40M,78.90M,485.80M,59.80M,1.266B,,,,,,,529.10M,-172.90M,356.20M,1.200B,1.460B,2.660B,0.90M,139.40M,3.156B,4.423B,,246.40M,34.60M,281.00M,144.40M,425.40M,10.30M,,5.90M,,5.90M,59.10M,59.10M,500.70M,1.977B,1.977B,420.20M,420.20M,129.50M,0.00,186.90M,2.713B,3.214B,,2.00M,-749.50M,2.260B,22.00M,-281.70M,1.209B,,AOR,Restated
2017-03,225.58M,225.58M,435.82M,435.82M,308.68M,63.12M,75.44M,463.14M,58.22M,1.183B,,,,,,,511.65M,-157.45M,354.20M,1.167B,1.457B,2.625B,0.754M,150.20M,3.130B,4.313B,,217.64M,38.70M,256.34M,131.28M,387.61M,14.53M,,24.55M,,24.55M,56.62M,56.62M,483.31M,2.757B,2.757B,482.12M,482.12M,123.64M,0.00,182.81M,3.546B,4.029B,,1.505M,-603.25M,1.225B,21.97M,-317.36M,283.68M,,AOR,Restated
2016-12,255.80M,255.80M,441.60M,441.60M,312.90M,45.30M,69.80M,443.90M,47.20M,1.188B,0.00,34.40M,122.70M,286.80M,9.80M,50.80M,504.50M,-146.10M,358.40M,1.155B,1.470B,2.625B,1.40M,143.10M,3.128B,4.316B,,214.90M,37.10M,252.00M,158.20M,410.20M,20.20M,,24.50M,,24.50M,43.00M,43.00M,497.90M,2.754B,2.754B,487.60M,487.60M,122.70M,5.90M,182.20M,3.546B,4.044B,,1.50M,-596.20M,1.222B,19.40M,-342.40M,265.90M,,AOR,Restated
