,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2020-09,1.335B,1.335B,853.20M,482.00M,245.60M,,245.60M,114.20M,-41.10M,28.80M,-28.80M,0.60M,360.40M,121.60M,28.80M,-28.80M,-44.70M,-28.80M,48.10M,18.20M,29.90M,-0.40M,29.50M,58.92M,191.10M,114.20M,76.90M,,0.07,0.1405,0.07,,0.07,0.1397,0.07,,417.60M,422.00M,,AOR,
2020-06,1.264B,1.264B,904.40M,360.00M,,,247.70M,114.60M,-43.60M,30.80M,-30.80M,1.10M,363.40M,-3.40M,30.80M,-30.80M,-46.50M,-30.80M,-80.70M,95.80M,-176.50M,-1.10M,-177.60M,-141.98M,64.70M,114.60M,-49.90M,,-0.43,-0.3446,-0.43,,-0.43,-0.3446,-0.43,,417.00M,417.00M,,AOR,
2020-03,799.90M,799.90M,555.40M,244.50M,155.40M,,155.40M,55.20M,-98.60M,27.10M,-27.10M,1.50M,212.10M,32.40M,27.10M,-27.10M,-101.00M,-27.10M,-95.70M,-58.90M,-36.80M,0.00,-36.80M,37.08M,-13.40M,55.20M,-68.60M,,-0.13,0.1364,-0.13,,-0.13,0.1364,-0.13,,277.30M,277.30M,,AOR,
2019-12,605.80M,605.80M,380.50M,225.30M,113.40M,,113.40M,31.70M,-26.70M,20.90M,-20.90M,0.90M,146.00M,79.30M,20.90M,-20.90M,-30.10M,-20.90M,28.30M,2.60M,25.70M,0.00,25.70M,54.49M,80.90M,31.70M,49.20M,,0.13,0.2706,0.13,,0.12,0.2572,0.12,,204.70M,209.80M,,AOR,
2019-09,596.70M,596.70M,375.20M,221.50M,95.30M,,95.30M,30.40M,-23.40M,23.20M,-23.20M,0.10M,125.80M,95.70M,23.20M,-23.20M,-22.20M,-23.20M,50.30M,9.00M,41.30M,0.00,41.30M,60.02M,103.90M,30.30M,73.50M,,0.20,0.2917,0.20,,0.20,0.2896,0.20,,204.20M,209.00M,,AOR,Restated
2019-06,629.10M,629.10M,394.70M,234.40M,,,110.70M,30.90M,-18.10M,22.40M,-22.40M,-0.30M,141.30M,93.10M,22.40M,-22.40M,-17.50M,-22.40M,53.20M,8.30M,44.90M,0.00,44.90M,60.68M,106.50M,30.90M,75.60M,,0.22,0.2976,0.22,,0.21,0.2856,0.21,,203.40M,208.90M,,AOR,Restated
2019-03,620.30M,620.30M,389.80M,230.50M,117.00M,,117.00M,31.40M,2.40M,22.40M,-22.40M,1.20M,149.60M,80.90M,22.40M,-22.40M,0.60M,-22.40M,59.10M,12.00M,47.10M,0.00,47.10M,47.66M,112.90M,31.40M,81.50M,,0.23,0.2328,0.23,,0.23,0.2327,0.23,,201.60M,207.70M,,AOR,Restated
2018-12,712.70M,712.70M,443.70M,269.00M,,,101.90M,32.40M,-5.90M,23.10M,-23.10M,-3.90M,130.40M,138.60M,23.10M,-23.10M,-4.10M,-23.10M,111.40M,16.90M,94.50M,,94.50M,98.40M,166.90M,32.40M,134.50M,,0.47,0.4894,0.47,,0.45,0.4688,0.45,,201.00M,207.60M,,AOR,Restated
2018-09,689.30M,689.30M,426.90M,262.40M,,,107.70M,31.00M,-6.90M,24.40M,-24.40M,0.80M,139.50M,122.90M,24.40M,-24.40M,-3.70M,-24.40M,94.80M,22.60M,72.20M,,72.20M,76.85M,150.20M,31.00M,119.20M,,0.36,0.3830,0.36,,0.35,0.3722,0.35,,201.90M,209.10M,,AOR,Restated
2018-06,668.20M,668.20M,418.90M,249.30M,115.80M,-0.80M,115.00M,31.50M,-3.10M,26.10M,-26.10M,0.90M,147.40M,101.90M,26.10M,-26.10M,1.70M,-26.10M,77.50M,17.20M,60.30M,,60.30M,60.84M,135.10M,31.50M,103.60M,,0.30,0.3027,0.30,,0.29,0.2926,0.29,,201.80M,209.60M,,AOR,Restated
2018-03,619.60M,619.60M,387.70M,231.90M,106.90M,2.70M,109.60M,30.90M,2.70M,26.00M,-26.00M,1.70M,142.20M,89.70M,26.00M,-26.00M,2.10M,-26.00M,65.80M,23.40M,42.40M,,42.40M,42.34M,122.70M,30.90M,91.80M,,0.21,0.2097,0.21,,0.20,0.1997,0.20,,201.60M,209.90M,,AOR,Restated
2017-12,665.00M,665.00M,411.50M,253.50M,107.30M,28.20M,135.50M,31.30M,-1.80M,25.30M,-25.30M,4.00M,170.80M,82.70M,25.30M,-25.30M,-3.80M,-25.30M,53.60M,-90.00M,143.60M,0.00,143.60M,146.48M,110.20M,31.30M,78.90M,,0.71,0.7243,0.71,,0.69,0.7027,0.69,,201.70M,226.50M,,AOR,Restated
2017-09,649.60M,649.60M,395.70M,253.90M,111.00M,9.80M,120.80M,29.50M,-37.00M,30.10M,-30.10M,3.00M,153.30M,100.60M,30.10M,-30.10M,-38.10M,-30.10M,32.40M,4.40M,28.00M,0.00,28.00M,61.44M,92.00M,29.50M,62.50M,,0.14,0.3061,0.14,,0.13,0.2907,0.13,,201.30M,208.10M,,AOR,Restated
2017-06,579.10M,579.10M,363.20M,215.90M,125.60M,156.20M,281.80M,30.50M,-51.30M,39.50M,-39.50M,0.30M,312.60M,-96.70M,39.50M,-39.50M,-54.00M,-39.50M,-190.20M,-43.90M,-146.30M,0.00,-146.30M,-103.77M,-120.20M,30.50M,-150.70M,,-0.83,-0.5896,-0.83,,-0.83,-0.5896,-0.83,,176.90M,176.90M,,AOR,Restated
2017-03,481.70M,481.70M,307.10M,174.60M,102.30M,0.00,102.30M,27.60M,-5.50M,45.90M,-45.90M,1.80M,131.70M,42.90M,45.90M,-45.90M,-5.60M,-45.90M,-8.60M,-1.60M,-7.00M,-0.10M,-7.10M,-2.153M,64.90M,27.60M,37.30M,,,-0.0113,-0.0374,,,-0.0113,-0.0374,,189.73M,189.73M,,AOR,Restated
2016-12,577.80M,577.80M,355.60M,222.20M,104.80M,,104.80M,33.40M,-61.60M,41.60M,-41.60M,-9.40M,128.80M,93.40M,41.60M,-41.60M,-54.70M,-41.60M,-2.90M,1.40M,-4.30M,-5.90M,-10.20M,26.76M,72.10M,33.40M,38.70M,,,0.1410,-0.0538,,,0.1410,-0.0538,,189.73M,189.73M,,AOR,Restated
2016-09,462.60M,462.60M,298.40M,164.20M,100.90M,,100.90M,30.70M,0.00,43.00M,-43.00M,12.40M,144.00M,20.20M,43.00M,-43.00M,0.70M,-43.00M,-22.10M,-9.10M,-13.00M,0.10M,-12.90M,-12.90M,51.60M,30.70M,20.90M,,,-0.0680,-0.0680,,,-0.0680,-0.0680,,189.73M,189.73M,,AOR,
2016-06,462.00M,462.00M,290.50M,171.50M,106.40M,0.00,106.40M,30.50M,-12.40M,42.70M,-42.70M,2.20M,139.10M,32.40M,42.70M,-42.70M,-4.70M,-42.70M,-15.00M,-10.90M,-4.10M,0.20M,-3.90M,-0.06M,58.20M,30.49M,27.70M,,,-0.0003,-0.0206,,,-0.0003,-0.0206,,189.73M,189.73M,,AOR,
2016-03,437.05M,437.05M,278.24M,158.81M,103.08M,,103.08M,29.61M,-1.379M,43.04M,-43.04M,2.267M,134.95M,23.85M,43.04M,-43.04M,-3.933M,-43.04M,-23.12M,-13.23M,-9.895M,0.275M,-9.62M,-7.042M,49.53M,29.61M,19.92M,,-0.0507,-0.0371,-0.0507,,-0.0507,-0.0371,-0.0507,,189.73M,189.73M,,AOR,
