,NetIncome,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-09,3.554B,,,0.00,1.818B,1.818B,190.00M,165.00M,256.00M,-165.00M,80.00M,-147.00M,2.20B,-935.00M,1.41B,,2.608B,8.383B,,-737.00M,,-737.00M,0.00,-4.071B,-11.00M,-4.819B,,6.879B,325.00M,7.204B,,-483.00M,-483.00M,-2.659B,-2.659B,214.00M,-80.00M,4.196B,,11.17B,7.76B,31.00M,18.96B,,,8.048B,-844.00M,-483.00M,,AOR,
2020-06,3.626B,,,-60.00M,1.726B,1.726B,-482.00M,22.00M,326.00M,0.00,292.00M,-478.00M,204.00M,-1.319B,-500.00M,,-1.801B,3.452B,,-662.00M,,-662.00M,-10.00M,-6.685B,-165.00M,-7.522B,,1.00M,2.708B,2.709B,,-706.00M,-706.00M,-2.659B,-2.659B,376.00M,-77.00M,-357.00M,,15.53B,-4.427B,71.00M,11.17B,,,2.708B,1.00M,-706.00M,,AOR,
2020-03,5.796B,,,,1.747B,1.747B,54.00M,11.00M,263.00M,-983.00M,-812.00M,-159.00M,-2.523B,271.00M,-329.00M,,-3.552B,3.358B,,-625.00M,,-625.00M,-939.00M,1.223B,-240.00M,-581.00M,,-11.00M,-8.00M,-19.00M,,-1.711B,-1.711B,-2.505B,-2.505B,332.00M,-412.00M,-4.315B,,17.30B,-1.538B,-237.00M,15.53B,,,10.00M,-29.00M,-1.711B,,AOR,
2019-12,4.01B,,,-29.00M,1.816B,1.816B,-350.00M,77.00M,160.00M,237.00M,376.00M,147.00M,1.787B,-973.00M,-618.00M,,719.00M,6.398B,,-1.26B,,-1.26B,-248.00M,30.00M,134.00M,-1.344B,,-1.813B,-122.00M,-1.935B,,-426.00M,-426.00M,-2.50B,-2.50B,374.00M,415.00M,-4.072B,,16.25B,982.00M,74.00M,17.30B,,,-107.00M,-1.828B,-426.00M,,AOR,
2019-09,1.753B,,,-46.00M,1.727B,1.727B,-1.432B,30.00M,245.00M,275.00M,-329.00M,-1.00M,2.717B,781.00M,2.098B,,5.266B,7.527B,,-745.00M,,-745.00M,-216.00M,-840.00M,156.00M,-1.645B,,-3.00M,58.00M,55.00M,,-1.628B,-1.628B,-2.499B,-2.499B,117.00M,62.00M,-3.893B,,14.38B,1.989B,-116.00M,16.25B,,,133.00M,-78.00M,-1.628B,,AOR,Restated
2019-06,5.607B,,,-2.007B,1.705B,1.705B,-332.00M,76.00M,314.00M,390.00M,-493.00M,-54.00M,1.389B,-374.00M,113.00M,,581.00M,5.948B,,-837.00M,,-837.00M,-3.663B,-150.00M,2.862B,-1.788B,,-2.00M,6.00M,4.00M,,-2.486B,-2.486B,-2.522B,-2.522B,369.00M,101.00M,-4.534B,,14.73B,-374.00M,16.00M,14.38B,,,3.00M,1.00M,-2.486B,,AOR,Restated
2019-03,3.749B,,,-72.00M,1.761B,1.761B,-362.00M,913.00M,258.00M,1.171B,157.00M,-369.00M,-1.833B,-488.00M,-168.00M,,-2.701B,3.543B,,-656.00M,,-656.00M,-1.683B,765.00M,157.00M,-1.417B,,-1.002B,-3.00M,-1.005B,,-2.206B,-2.206B,-2.396B,-2.396B,94.00M,-3.00M,-5.516B,,18.11B,-3.39B,17.00M,14.73B,,,13.00M,-1.018B,-2.206B,,AOR,Restated
2018-12,3.042B,,,-774.00M,1.735B,1.735B,-1.069B,32.00M,156.00M,188.00M,-145.00M,133.00M,3.22B,629.00M,-687.00M,,3.15B,6.244B,,-1.318B,,-1.318B,-2.00M,1.656B,1.892B,2.228B,,-646.00M,-74.00M,-720.00M,,-3.808B,-3.808B,-2.411B,-2.411B,469.00M,81.00M,-6.389B,,16.06B,2.083B,-32.00M,18.11B,,,39.00M,-759.00M,-3.808B,,AOR,Restated
2018-09,3.934B,,,0.00,1.731B,1.731B,338.00M,1.199B,242.00M,1.441B,-51.00M,-286.00M,780.00M,-637.00M,-991.00M,,-1.185B,6.272B,,-819.00M,,-819.00M,-675.00M,-2.785B,10.00M,-4.269B,,-898.00M,81.00M,-817.00M,,-471.00M,-471.00M,-2.415B,-2.415B,318.00M,-92.00M,-3.477B,,17.57B,-1.474B,-39.00M,16.06B,,,16.00M,-833.00M,-471.00M,,AOR,Restated
2018-06,3.954B,,,-443.00M,1.717B,1.717B,-329.00M,27.00M,312.00M,339.00M,-510.00M,-169.00M,1.637B,640.00M,-761.00M,,837.00M,6.079B,,-875.00M,,-875.00M,-140.00M,-1.00M,815.00M,-201.00M,,0.00,52.00M,52.00M,,-145.00M,-145.00M,-2.415B,-2.415B,96.00M,-262.00M,-2.674B,,14.64B,3.204B,-274.00M,17.57B,,,2.00M,50.00M,-145.00M,,AOR,Restated
2018-03,4.367B,,,,1.746B,1.746B,44.00M,0.00,268.00M,268.00M,-479.00M,-322.00M,-1.686B,-907.00M,595.00M,,-2.799B,3.606B,,-658.00M,,-658.00M,-82.00M,-207.00M,22.00M,-925.00M,,-6.00M,-2.458B,-2.464B,,-1.444B,-1.444B,-2.253B,-2.253B,66.00M,125.00M,-5.97B,,17.82B,-3.289B,104.00M,14.64B,,,28.00M,-2.492B,-1.444B,,AOR,Restated
2017-12,-10.71B,,,-780.00M,1.869B,1.869B,2.813B,486.00M,204.00M,690.00M,-333.00M,774.00M,2.386B,144.00M,9.297B,,12.27B,6.105B,,-1.24B,,-1.24B,-505.00M,251.00M,989.00M,-505.00M,,3.774B,-4.285B,-511.00M,,-815.00M,-815.00M,-2.256B,-2.256B,208.00M,-163.00M,-3.537B,,15.72B,2.063B,40.00M,17.82B,,,636.00M,-1.147B,-815.00M,,AOR,Restated
2017-09,3.764B,,,-474.00M,1.711B,1.711B,-335.00M,39.00M,236.00M,275.00M,176.00M,228.00M,1.54B,-14.00M,-640.00M,,1.29B,6.266B,,-790.00M,,-790.00M,-574.00M,-380.00M,564.00M,-1.18B,,-1.008B,1.369B,361.00M,,-311.00M,-311.00M,-2.254B,-2.254B,135.00M,0.00,-2.069B,,12.60B,3.017B,106.00M,15.72B,,,2.126B,-1.765B,-311.00M,,AOR,Restated
2017-06,3.827B,,,-53.00M,1.15B,1.15B,-45.00M,233.00M,293.00M,526.00M,-380.00M,-53.00M,829.00M,-117.00M,51.00M,,330.00M,5.772B,,-689.00M,,-689.00M,-29.22B,17.65B,13.00M,-12.25B,,-13.00M,1.931B,1.918B,,-1.89B,-1.89B,-2.262B,-2.262B,317.00M,0.00,-1.917B,,20.91B,-8.392B,81.00M,12.60B,,,1.916B,2.00M,-1.89B,,AOR,Restated
2017-03,4.422B,,,,912.00M,912.00M,-27.00M,37.00M,229.00M,266.00M,-96.00M,-368.00M,-2.03B,-424.00M,271.00M,,-2.647B,2.913B,,-560.00M,,-560.00M,-4.852B,4.444B,32.00M,-936.00M,,4.462B,524.00M,4.986B,,-3.342B,-3.342B,-2.171B,-2.171B,402.00M,-25.00M,-150.00M,,18.97B,1.827B,110.00M,20.91B,,,5.183B,-197.00M,-3.342B,,AOR,Restated
2016-12,3.814B,,,-287.00M,1.055B,1.055B,-556.00M,96.00M,174.00M,270.00M,-329.00M,159.00M,1.876B,-15.00M,667.00M,,2.358B,6.653B,,-1.093B,,-1.093B,-459.00M,-930.00M,308.00M,-2.174B,,-1.217B,1.871B,654.00M,,-2.025B,-2.025B,-2.17B,-2.17B,77.00M,0.00,-3.464B,,18.20B,1.015B,-248.00M,18.97B,,,15.00M,639.00M,-2.025B,,AOR,Restated
2016-09,4.272B,,,-91.00M,908.00M,908.00M,100.00M,0.00,225.00M,225.00M,362.00M,35.00M,-173.00M,280.00M,-551.00M,,-47.00M,5.361B,,-737.00M,,-737.00M,-3.32B,1.496B,189.00M,-2.372B,,-17.00M,792.00M,775.00M,,-2.203B,-2.203B,-2.185B,-2.185B,183.00M,-15.00M,-3.445B,,18.64B,-456.00M,21.00M,18.20B,,,31.00M,744.00M,-2.203B,,AOR,Restated
2016-06,3.997B,,,-185.00M,900.00M,900.00M,-278.00M,105.00M,274.00M,379.00M,-709.00M,-253.00M,1.025B,8.00M,-317.00M,,-246.00M,4.564B,,-757.00M,,-757.00M,-725.00M,2.181B,623.00M,1.322B,,3.594B,-492.00M,3.102B,,-2.362B,-2.362B,-2.197B,-2.197B,419.00M,,-1.038B,,13.86B,4.848B,-69.00M,18.64B,,,4.539B,-1.437B,-2.362B,,AOR,Restated
2016-03,4.457B,,,,891.00M,891.00M,393.00M,82.00M,205.00M,287.00M,-389.00M,-190.00M,-2.072B,-802.00M,-385.00M,,-3.838B,2.189B,,-639.00M,,-639.00M,-5.00M,-917.00M,24.00M,-1.537B,,7.421B,-4.077B,3.344B,,-2.389B,-2.389B,-2.069B,-2.069B,510.00M,,-604.00M,,13.73B,48.00M,81.00M,13.86B,,,7.53B,-4.186B,-2.389B,,AOR,Restated
2015-12,3.215B,,,-1.187B,1.033B,1.033B,-503.00M,257.00M,197.00M,454.00M,477.00M,270.00M,1.558B,-1.089B,841.00M,,2.057B,5.085B,,-1.366B,,-1.366B,-721.00M,-1.08B,1.776B,-1.391B,,31.00M,195.00M,226.00M,,-1.896B,-1.896B,-2.072B,-2.072B,455.00M,-7.00M,-3.294B,,13.64B,400.00M,-307.00M,13.73B,,,381.00M,-155.00M,-1.896B,,AOR,Restated
2015-09,3.358B,,,-240.00M,929.00M,929.00M,-51.00M,356.00M,203.00M,559.00M,276.00M,-182.00M,660.00M,384.00M,450.00M,,1.588B,6.14B,,-789.00M,,-789.00M,0.00,-615.00M,403.00M,-1.001B,,-6.00M,498.00M,492.00M,,-300.00M,-300.00M,-2.076B,-2.076B,44.00M,0.00,-1.84B,,10.64B,3.299B,-299.00M,13.64B,,,1.083B,-591.00M,-300.00M,,AOR,Restated
2015-06,4.516B,,,-996.00M,889.00M,889.00M,-261.00M,11.00M,270.00M,281.00M,-421.00M,-261.00M,520.00M,1.164B,15.00M,,1.017B,5.472B,,-765.00M,,-765.00M,0.00,-3.872B,1.083B,-3.554B,,-5.00M,283.00M,278.00M,,-896.00M,-896.00M,-2.079B,-2.079B,-78.00M,0.00,-2.775B,,11.99B,-857.00M,-492.00M,10.64B,,,435.00M,-157.00M,-896.00M,,AOR,Restated
2015-03,4.32B,,,-38.00M,895.00M,895.00M,545.00M,0.00,204.00M,204.00M,-765.00M,-276.00M,-2.451B,-562.00M,1.021B,,-3.033B,2.872B,,-543.00M,,-543.00M,-233.00M,-1.112B,99.00M,-1.789B,,-13.00M,396.00M,383.00M,,-2.198B,-2.198B,-1.946B,-1.946B,584.00M,-50.00M,-3.227B,,14.52B,-2.144B,-391.00M,11.99B,,,592.00M,-209.00M,-2.198B,,AOR,Restated
2014-12,2.521B,-2.00M,,-49.00M,991.00M,991.00M,144.00M,151.00M,146.00M,297.00M,152.00M,-22.00M,2.021B,370.00M,-1.847B,,674.00M,4.604B,,-1.496B,,-1.496B,-1.838B,414.00M,-2.00M,-2.922B,,2.024B,1.68B,3.704B,,-2.743B,-2.743B,-1.956B,-1.956B,137.00M,,-858.00M,,13.82B,824.00M,-119.00M,14.52B,,,3.315B,389.00M,-2.743B,,AOR,Restated
2014-09,4.749B,26.00M,,-1.978B,939.00M,939.00M,-296.00M,87.00M,206.00M,293.00M,185.00M,-493.00M,-232.00M,636.00M,868.00M,,964.00M,4.654B,,-751.00M,,-751.00M,-291.00M,-2.078B,3.855B,735.00M,,-6.00M,-1.686B,-1.692B,,-2.415B,-2.415B,-1.967B,-1.967B,358.00M,,-5.716B,,14.24B,-327.00M,-91.00M,13.82B,,,-1.035B,-657.00M,-2.415B,,AOR,Restated
2014-06,4.326B,63.00M,,-269.00M,952.00M,952.00M,98.00M,135.00M,242.00M,377.00M,-158.00M,-93.00M,409.00M,-412.00M,311.00M,,57.00M,5.529B,,-837.00M,,-837.00M,0.00,-7.78B,525.00M,-8.092B,,-1.759B,1.599B,-160.00M,,-1.192B,-1.192B,-1.978B,-1.978B,462.00M,,-2.868B,,19.72B,-5.431B,-55.00M,14.24B,,,1.387B,-1.547B,-1.192B,,AOR,Restated
2014-03,4.727B,,,,1.013B,1.013B,495.00M,37.00M,198.00M,235.00M,-426.00M,-512.00M,-1.004B,-152.00M,-428.00M,,-2.522B,3.923B,,-630.00M,,-630.00M,0.00,-1.35B,-46.00M,-2.026B,,-5.00M,-997.00M,-1.002B,,-774.00M,-774.00M,-1.867B,-1.867B,586.00M,,-3.057B,,20.93B,-1.16B,-45.00M,19.72B,,,294.00M,-1.296B,-774.00M,,AOR,Restated
2013-12,3.519B,0.00,-37.00M,-95.00M,1.102B,1.102B,-383.00M,492.00M,144.00M,636.00M,339.00M,177.00M,1.232B,-1.345B,-944.00M,,-541.00M,4.139B,,-1.429B,,-1.429B,-16.00M,-173.00M,40.00M,-1.578B,,3.494B,-340.00M,3.154B,,-488.00M,-488.00M,-1.862B,-1.862B,378.00M,0.00,1.182B,,17.20B,3.743B,-20.00M,20.93B,,,3.197B,-43.00M,-488.00M,,AOR,Restated
2013-09,2.982B,0.00,21.00M,21.00M,976.00M,976.00M,-316.00M,178.00M,161.00M,339.00M,-324.00M,-252.00M,1.304B,34.00M,1.186B,,1.948B,5.947B,,-809.00M,,-809.00M,-645.00M,-120.00M,21.00M,-1.553B,,18.00M,-54.00M,-36.00M,,-3.05B,-3.05B,-1.862B,-1.862B,429.00M,0.00,-4.519B,,17.31B,-125.00M,22.00M,17.20B,,,133.00M,-169.00M,-3.05B,,AOR,Restated
2013-06,3.833B,0.00,-401.00M,-456.00M,990.00M,990.00M,-273.00M,0.00,229.00M,229.00M,-213.00M,-259.00M,744.00M,226.00M,248.00M,,746.00M,5.051B,,-771.00M,,-771.00M,-6.00M,179.00M,29.00M,-569.00M,,-1.503B,637.00M,-866.00M,,0.00,0.00,-1.856B,-1.856B,719.00M,26.00M,-1.977B,,14.86B,2.505B,-53.00M,17.31B,,,1.207B,-2.073B,0.00,,AOR,Restated
2013-03,3.497B,108.00M,,108.00M,1.036B,1.036B,365.00M,69.00M,194.00M,263.00M,-434.00M,-288.00M,-1.459B,-608.00M,-192.00M,,-2.981B,2.277B,,-586.00M,,-586.00M,-168.00M,-751.00M,102.00M,-1.403B,,5.00M,-229.00M,-224.00M,,0.00,0.00,-1.706B,-1.706B,1.123B,30.00M,-777.00M,,14.91B,97.00M,-153.00M,14.86B,,,481.00M,-705.00M,0.00,,AOR,Restated
2012-12,2.567B,0.00,0.00,-908.00M,1.036B,1.036B,285.00M,84.00M,147.00M,0.00,-103.00M,592.00M,1.548B,-474.00M,-1.404B,,159.00M,3.376B,,-1.152B,,-1.152B,-63.00M,-1.934B,646.00M,-2.503B,,21.00M,-733.00M,-712.00M,,0.00,0.00,-1.69B,-1.69B,903.00M,28.00M,-1.471B,,15.49B,-598.00M,23.00M,14.91B,,,-309.00M,-403.00M,0.00,,AOR,Restated
2012-09,2.629B,0.00,0.00,0.00,1.005B,1.005B,187.00M,679.00M,146.00M,-1.398B,-61.00M,25.00M,321.00M,-278.00M,-15.00M,,-8.00M,4.98B,,-682.00M,,-682.00M,-99.00M,-1.375B,219.00M,-1.937B,,-776.00M,88.00M,-688.00M,,0.00,0.00,-1.683B,-1.683B,669.00M,49.00M,-1.653B,,14.04B,1.39B,54.00M,15.49B,,,1.098B,-1.786B,0.00,,AOR,Restated
2012-06,1.408B,0.00,0.00,0.00,852.00M,852.00M,-1.068B,1.368B,196.00M,1.564B,370.00M,-169.00M,2.23B,242.00M,-1.225B,,1.448B,4.245B,,-598.00M,,-598.00M,-4.324B,470.00M,326.00M,-4.126B,,24.00M,-2.019B,-1.995B,,-12.85B,-12.85B,-1.676B,-1.676B,268.00M,0.00,-16.26B,,30.27B,-16.14B,-89.00M,14.04B,,,975.00M,-2.97B,-12.85B,,AOR,Restated
2012-03,3.91B,0.00,,0.00,773.00M,773.00M,557.00M,0.00,173.00M,173.00M,-215.00M,-449.00M,-1.331B,-754.00M,89.00M,,-2.66B,2.795B,,-502.00M,,-502.00M,0.00,4.202B,356.00M,4.056B,,-28.00M,-243.00M,-271.00M,,-67.00M,-67.00M,-1.565B,-1.565B,880.00M,-160.00M,-1.183B,,24.54B,5.668B,57.00M,30.27B,,,1.549B,-1.82B,-67.00M,,AOR,Restated
2011-12,218.00M,,,,843.00M,843.00M,-836.00M,0.00,137.00M,137.00M,-426.00M,72.00M,593.00M,,,-680.00M,2.187B,3.451B,,-1.128B,,-1.128B,-328.00M,7.52B,174.00M,6.238B,,-5.00M,1.357B,1.352B,,-853.00M,-853.00M,,-1.555B,300.00M,,-756.00M,,15.62B,8.933B,-8.00M,24.54B,,,2.512B,-1.16B,-853.00M,,AOR,Restated
