,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,22.48B,22.48B,7.814B,14.66B,6.457B,4.069B,-60.00M,,,-74.00M,10.53B,4.135B,,,-74.00M,-2.414B,-74.00M,1.647B,-91.00M,1.738B,,1.738B,1.782B,4.135B,,4.135B,,0.6602,,0.6768,0.6602,,0.65,,0.6664,0.65,,2.633B,2.669B,1.01,,AOR,
2020-09,21.08B,21.08B,6.972B,14.11B,5.431B,2.978B,-1.468B,44.00M,12.00M,-32.00M,8.409B,5.701B,12.00M,44.00M,-32.00M,-1.268B,-32.00M,4.401B,847.00M,3.554B,,3.554B,4.739B,6.263B,1.818B,4.445B,,1.35,,1.800,1.35,,1.33,,1.774,1.33,,2.632B,2.669B,1.01,,AOR,
2020-06,18.34B,18.34B,6.579B,11.76B,4.993B,2.713B,-661.00M,45.00M,19.00M,-26.00M,7.706B,4.051B,19.00M,45.00M,-26.00M,-85.00M,-26.00M,3.94B,314.00M,3.626B,,3.626B,3.774B,5.711B,1.726B,3.985B,,1.38,,1.436,1.38,,1.36,,1.416,1.36,,2.633B,2.666B,1.01,,AOR,
2020-03,20.69B,20.69B,7.062B,13.63B,5.203B,2.58B,-58.00M,25.00M,67.00M,42.00M,7.783B,5.846B,67.00M,25.00M,42.00M,621.00M,42.00M,6.509B,713.00M,5.796B,,5.796B,5.848B,8.281B,1.747B,6.534B,,2.20,,2.220,2.20,,2.17,,2.189,2.17,,2.634B,2.671B,0.95,,AOR,
2019-12,20.75B,20.75B,7.134B,13.61B,6.039B,3.232B,4.696B,85.00M,81.00M,-4.00M,9.271B,4.342B,81.00M,85.00M,-4.00M,-129.00M,-4.00M,4.218B,208.00M,4.01B,,4.01B,-454.43M,6.119B,1.816B,4.303B,,1.523,,-0.1730,1.523,,1.50,,-0.1703,1.50,,2.632B,2.673B,0.95,,AOR,
2019-09,20.73B,20.73B,6.867B,13.86B,5.374B,2.599B,-4.169B,48.00M,89.00M,41.00M,7.973B,5.889B,89.00M,48.00M,41.00M,-4.269B,41.00M,1.647B,-106.00M,1.753B,,1.753B,4.869B,3.422B,1.727B,1.695B,,0.67,,1.853,0.67,,0.66,,1.827,0.66,,2.635B,2.670B,0.95,,AOR,Restated
2019-06,20.56B,20.56B,6.94B,13.62B,5.546B,2.666B,-557.00M,83.00M,88.00M,5.00M,8.212B,5.41B,88.00M,83.00M,5.00M,1.643B,5.00M,7.041B,1.434B,5.607B,,5.607B,5.891B,8.829B,1.705B,7.124B,,2.11,,2.217,2.11,,2.08,,2.186,2.08,,2.652B,2.692B,0.95,,AOR,Restated
2019-03,20.02B,20.02B,6.615B,13.41B,5.219B,3.748B,-36.00M,102.00M,99.00M,-3.00M,8.967B,4.439B,99.00M,102.00M,-3.00M,-14.00M,-3.00M,4.422B,673.00M,3.749B,,3.749B,3.780B,6.285B,1.761B,4.524B,,1.41,,1.421,1.41,,1.39,,1.401,1.39,,2.661B,2.699B,0.90,,AOR,Restated
2018-12,20.39B,20.39B,6.961B,13.43B,5.991B,3.224B,-64.00M,250.00M,196.00M,-54.00M,9.215B,4.218B,196.00M,250.00M,-54.00M,-1.042B,-54.00M,3.122B,80.00M,3.042B,,3.042B,3.104B,5.107B,1.735B,3.372B,,1.12,,1.143,1.12,,1.12,,1.143,1.12,,2.678B,2.726B,0.90,,AOR,Restated
2018-09,20.35B,20.35B,6.589B,13.76B,5.543B,3.634B,-88.00M,243.00M,175.00M,-68.00M,9.177B,4.582B,175.00M,243.00M,-68.00M,-91.00M,-68.00M,4.423B,489.00M,3.934B,,3.934B,4.012B,6.397B,1.731B,4.666B,,1.47,,1.499,1.47,,1.44,,1.469,1.44,,2.683B,2.728B,0.90,,AOR,Restated
