,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,3.456B,3.456B,1.852B,1.604B,218.90M,375.17M,,,52.55M,4.796M,-47.76M,,594.07M,1.010B,4.796M,52.55M,-47.76M,17.81M,-47.76M,979.78M,110.55M,869.23M,,869.23M,872.57M,1.109B,76.39M,1.032B,,6.04,,,6.063,6.04,,5.96,,,5.983,5.96,,143.83M,145.91M,1.30,,AOR,
2020-09,3.177B,3.177B,1.671B,1.506B,189.75M,355.37M,,,52.12M,6.959M,-45.16M,,545.12M,961.06M,6.959M,52.12M,-45.16M,6.364M,-45.16M,922.27M,98.82M,823.45M,,823.45M,824.68M,1.047B,72.91M,974.39M,,5.67,,,5.678,5.67,,5.59,,,5.598,5.59,,145.27M,147.25M,1.30,,AOR,
2020-06,2.792B,2.792B,1.512B,1.280B,185.80M,338.81M,,,49.25M,9.339M,-39.91M,,524.61M,755.72M,9.339M,49.25M,-39.91M,32.36M,-39.91M,748.17M,51.50M,696.67M,,696.67M,697.59M,868.50M,71.08M,797.42M,,4.79,,,4.796,4.79,,4.73,,,4.736,4.73,,145.29M,147.42M,1.15,,AOR,
2020-03,2.504B,2.504B,1.337B,1.167B,164.98M,307.91M,,,41.58M,18.86M,-22.72M,,472.89M,694.11M,18.86M,41.58M,-22.72M,-41.90M,-22.72M,629.50M,54.71M,574.78M,,574.78M,574.34M,738.32M,67.25M,671.08M,,3.96,,,3.957,3.96,,3.88,,,3.877,3.88,,145.30M,148.16M,1.15,,AOR,
2019-12,2.584B,2.584B,1.404B,1.180B,174.27M,318.86M,,,42.62M,25.45M,-17.16M,,493.13M,686.51M,25.45M,42.62M,-17.16M,3.237M,-17.16M,672.59M,158.08M,514.51M,,514.51M,516.26M,780.73M,65.53M,715.20M,,3.57,,,3.582,3.57,,3.43,,,3.442,3.43,,143.99M,150.10M,1.15,,AOR,Restated
2019-09,2.166B,2.166B,1.184B,981.71M,157.43M,286.83M,,,44.00M,31.78M,-12.21M,,444.26M,537.46M,31.78M,44.00M,-12.21M,-0.517M,-12.21M,524.73M,58.94M,465.79M,,465.79M,466.26M,633.39M,64.66M,568.72M,,3.22,,,3.223,3.22,,3.09,,,3.093,3.09,,144.67M,150.68M,1.15,,AOR,Restated
2019-06,2.361B,2.361B,1.280B,1.081B,168.23M,295.58M,,,45.43M,35.06M,-10.37M,,463.81M,617.08M,35.06M,45.43M,-10.37M,2.699M,-10.37M,609.42M,67.59M,541.82M,,541.82M,544.07M,720.25M,65.41M,654.85M,,3.66,,,3.675,3.66,,3.51,,,3.525,3.51,,148.24M,154.61M,1.10,,AOR,Restated
2019-03,2.439B,2.439B,1.365B,1.074B,190.31M,318.51M,,,30.26M,26.97M,-3.297M,,508.82M,565.52M,26.97M,30.26M,-3.297M,23.83M,-3.297M,586.05M,38.66M,547.39M,,547.39M,546.72M,698.59M,82.27M,616.31M,,3.62,,,3.616,3.62,,3.47,,,3.466,3.47,,151.20M,157.85M,1.10,,AOR,Restated
2018-12,2.523B,2.523B,1.378B,1.145B,169.10M,285.56M,,,19.78M,17.81M,-1.975M,,454.65M,690.38M,17.81M,19.78M,-1.975M,-28.67M,-1.975M,659.73M,90.88M,568.86M,,568.86M,566.63M,761.31M,81.79M,679.51M,,3.67,,,3.656,3.67,,3.51,,,3.496,3.51,,155.02M,162.17M,1.10,,AOR,Restated
2018-09,2.331B,2.331B,1.272B,1.058B,174.78M,291.67M,,,21.79M,18.93M,-2.855M,,466.45M,591.75M,18.93M,21.79M,-2.855M,2.478M,-2.855M,591.37M,58.01M,533.36M,,533.36M,533.31M,692.97M,79.80M,613.16M,,3.43,,,3.430,3.43,,3.23,,,3.230,3.23,,155.66M,165.33M,1.10,,AOR,Restated
2018-06,3.126B,3.126B,1.647B,1.479B,196.50M,327.71M,0.00,0.00,24.43M,23.26M,-1.166M,,524.21M,955.20M,23.26M,24.43M,-1.166M,4.12M,-1.166M,958.15M,-63.00M,1.021B,,1.021B,1.022B,1.068B,85.12M,982.58M,,6.35,,,6.352,6.35,,5.82,,,5.822,5.82,,160.92M,175.43M,1.10,,AOR,Restated
2018-03,2.892B,2.892B,1.561B,1.331B,197.79M,305.41M,42.46M,-42.46M,25.73M,21.76M,-3.973M,,503.20M,827.51M,21.76M,25.73M,-3.973M,-51.84M,-3.973M,771.70M,-7.099M,778.80M,,778.80M,810.57M,879.67M,82.24M,797.44M,,4.80,,,4.996,4.80,,4.33,,,4.507,4.33,,162.38M,179.78M,0.50,,AOR,Restated
2017-12,2.581B,2.581B,1.375B,1.206B,186.88M,281.31M,,,23.32M,20.58M,-2.739M,,468.20M,737.37M,20.58M,23.32M,-2.739M,-0.413M,-2.739M,734.22M,744.17M,-9.955M,,-9.955M,-11.03M,837.43M,79.90M,757.54M,,-0.06,,,-0.0667,-0.06,,-0.06,,,-0.0667,-0.06,,161.14M,161.14M,0.50,,AOR,Restated
2017-09,2.478B,2.478B,1.329B,1.149B,181.04M,275.08M,,,23.90M,20.21M,-3.696M,,456.12M,693.22M,20.21M,23.90M,-3.696M,-1.806M,-3.696M,687.72M,97.03M,590.69M,,590.69M,593.27M,790.77M,79.14M,711.62M,,3.64,,,3.656,3.64,,3.21,,,3.224,3.21,,162.14M,183.88M,0.45,,AOR,Restated
2017-06,2.345B,2.345B,1.276B,1.069B,175.31M,285.71M,0.00,0.073M,24.91M,17.80M,-7.107M,,461.02M,607.94M,17.80M,24.91M,-7.107M,2.663M,-7.107M,603.50M,77.07M,526.42M,,526.42M,529.40M,707.44M,79.04M,628.41M,,3.25,,,3.268,3.25,,2.82,,,2.836,2.82,,162.21M,186.42M,0.45,,AOR,Restated
2017-03,2.154B,2.154B,1.183B,971.40M,167.00M,265.99M,0.00,0.00,24.75M,16.34M,-8.407M,,432.99M,538.42M,16.34M,24.75M,-8.407M,0.569M,-8.407M,530.58M,-44.13M,574.71M,,574.71M,574.31M,631.57M,76.24M,555.33M,,3.52,,,3.518,3.52,,3.10,,,3.098,3.10,,163.41M,185.09M,0.45,,AOR,Restated
2016-12,1.882B,1.882B,1.036B,846.80M,160.16M,246.80M,,-36.32M,26.64M,10.94M,-15.70M,,406.97M,439.83M,10.94M,26.64M,-15.70M,-39.33M,-15.70M,384.80M,52.01M,332.79M,,332.79M,363.34M,488.51M,77.06M,411.45M,,2.05,,,2.238,2.05,,1.81,,,1.976,1.81,,162.66M,183.54M,0.45,,AOR,Restated
2016-09,1.632B,1.632B,916.22M,716.20M,165.01M,235.24M,,,41.43M,12.76M,-28.67M,,400.25M,315.95M,12.76M,41.43M,-28.67M,5.512M,-28.67M,292.79M,28.96M,263.84M,,263.84M,262.74M,408.78M,74.56M,334.22M,,1.64,,,1.633,1.64,,1.47,,,1.464,1.47,,160.61M,180.02M,0.30,,AOR,Restated
2016-06,1.546B,1.546B,847.48M,698.78M,152.29M,237.26M,,0.00,33.48M,8.875M,-24.60M,,389.54M,309.24M,8.875M,33.48M,-24.60M,-2.645M,-24.60M,281.99M,23.05M,258.94M,,258.94M,260.74M,390.45M,74.98M,315.47M,,1.62,,,1.631,1.62,,1.46,,,1.470,1.46,,159.86M,177.65M,0.30,,AOR,Restated
2016-03,1.314B,1.314B,742.79M,571.26M,159.02M,221.49M,,0.00,38.06M,8.148M,-29.91M,,380.51M,190.75M,8.148M,38.06M,-29.91M,0.074M,-29.91M,160.92M,17.47M,143.45M,,143.45M,141.26M,272.64M,73.66M,198.98M,,0.90,,,0.8862,0.90,,0.82,,,0.8074,0.82,,159.04M,174.37M,0.30,,AOR,Restated
2015-12,1.426B,1.426B,799.02M,626.51M,166.92M,220.75M,,0.00,38.58M,6.729M,-31.85M,,387.68M,238.83M,6.729M,38.58M,-31.85M,1.913M,-31.85M,208.90M,-14.08M,222.98M,,222.98M,222.67M,319.27M,71.80M,247.48M,,1.41,,,1.408,1.41,,1.28,,,1.278,1.28,,158.42M,174.24M,0.30,,AOR,Restated
2015-09,1.600B,1.600B,877.68M,722.36M,152.73M,234.21M,,,24.66M,5.76M,-18.90M,,386.94M,335.43M,5.76M,24.66M,-18.90M,-8.22M,-18.90M,308.31M,19.63M,288.68M,,288.68M,289.33M,403.56M,70.59M,332.97M,,1.82,,,1.824,1.82,,1.66,,,1.664,1.66,,158.35M,174.37M,0.30,,AOR,Restated
2015-06,1.481B,1.481B,839.83M,641.54M,149.38M,221.68M,,,24.55M,6.856M,-17.70M,,371.06M,270.48M,6.856M,24.55M,-17.70M,-82.10M,-17.70M,170.68M,39.41M,131.27M,,131.27M,131.28M,265.41M,70.18M,195.24M,,0.83,,,0.8300,0.83,,0.74,,,0.7400,0.74,,158.59M,176.58M,0.30,,AOR,Restated
2015-03,1.393B,1.393B,792.73M,600.60M,142.77M,217.86M,,,17.63M,5.10M,-12.53M,,360.64M,239.96M,5.10M,17.63M,-12.53M,1.139M,-12.53M,228.58M,22.29M,206.28M,,206.28M,204.88M,316.53M,70.32M,246.20M,,1.30,,,1.291,1.30,,1.16,,,1.152,1.16,,158.99M,177.53M,0.18,,AOR,Restated
2014-12,1.232B,1.232B,695.58M,536.66M,151.15M,196.77M,,,15.80M,4.024M,-11.77M,,347.92M,188.74M,4.024M,15.80M,-11.77M,1.974M,-11.77M,178.94M,2.002M,176.94M,,176.94M,177.07M,264.28M,69.54M,194.74M,,1.11,,,1.111,1.11,,1.00,,,1.001,1.00,,159.25M,177.05M,0.18,,AOR,Restated
2014-09,1.152B,1.152B,646.83M,505.54M,148.31M,188.93M,,,15.70M,3.288M,-12.42M,,337.24M,168.30M,3.288M,15.70M,-12.42M,6.768M,-12.42M,162.65M,21.57M,141.08M,,141.08M,140.30M,246.24M,67.88M,178.35M,,0.87,,,0.8651,0.87,,0.80,,,0.7956,0.80,,161.68M,177.12M,0.18,,AOR,Restated
2014-06,1.249B,1.249B,691.76M,557.04M,155.74M,185.45M,,,15.47M,3.879M,-11.59M,,341.19M,215.85M,3.879M,15.47M,-11.59M,85.24M,-11.59M,289.50M,56.10M,233.40M,,233.40M,165.03M,376.08M,71.12M,304.97M,,1.44,,,1.045,1.44,,1.35,,,0.9802,1.35,,173.25M,184.86M,0.18,,AOR,Restated
2014-03,1.227B,1.227B,696.59M,530.80M,152.88M,185.98M,,,15.62M,3.11M,-12.51M,,338.86M,191.94M,3.11M,15.62M,-12.51M,2.656M,-12.51M,182.08M,17.69M,164.40M,,164.40M,164.47M,270.96M,73.26M,197.70M,,1.01,,,1.010,1.01,,0.96,,,0.9604,0.96,,162.24M,171.64M,,,AOR,Restated
