,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2020-12,869.23M,,,,,,76.39M,76.39M,-2.462M,,,52.11M,,6.69M,,-657.32M,344.64M,,-92.07M,,,,168.10M,-6.09M,69.94M,,-4.596M,,-4.596M,8.108M,-723.30M,-715.19M,-187.93M,-187.93M,41.43M,0.961M,-865.32M,,4.383B,-450.74M,8.187M,3.940B,,8.108M,,-4.596M,-723.30M,,AOR,
2020-09,823.45M,,,,,,72.91M,72.91M,-1.85M,,,55.99M,,4.339M,,-312.33M,642.51M,,-62.81M,,,,-737.07M,-1.786M,-801.67M,,-19.17M,,-19.17M,5.538M,-448.58M,-443.04M,-167.13M,-167.13M,,-2.14M,-631.48M,,5.169B,-790.64M,4.082M,4.383B,,5.538M,,-19.17M,-448.58M,,AOR,
2020-06,696.67M,,,,,,71.08M,71.08M,-92.29M,,,53.15M,,-9.493M,,93.92M,813.05M,,-50.55M,,,,-354.35M,-25.30M,-430.21M,,721.70M,0.00,721.70M,1.869M,-41.02M,-39.15M,-167.74M,-167.74M,46.99M,1.592M,563.40M,,4.216B,946.24M,7.103M,5.169B,,1.869M,1.975B,-1.253B,-41.02M,,AOR,
2020-03,574.78M,,,,,,67.25M,67.25M,0.00,,,47.41M,,9.172M,,-157.19M,541.43M,,-51.38M,,,,211.16M,9.988M,169.77M,,632.36M,0.00,632.36M,1.714M,-245.43M,-243.72M,-163.51M,-163.51M,0.00,0.328M,225.46M,,3.290B,936.66M,-10.72M,4.216B,,1.714M,1.25B,-617.64M,-245.43M,,AOR,
2019-12,514.51M,,,,,,65.53M,65.53M,77.51M,,,45.72M,,1.248M,,-396.59M,307.93M,,-62.05M,,,,-662.29M,-9.988M,-734.33M,,-17.99M,,-17.99M,0.632M,-1.005B,-1.004B,-166.72M,-166.72M,38.45M,,-1.151B,,4.862B,-1.577B,5.055M,3.290B,,0.632M,,-17.99M,-1.005B,,AOR,Restated
2019-09,465.79M,,,,,,64.66M,64.66M,-2.992M,,,42.90M,,5.701M,,-112.02M,464.05M,,-39.26M,,,,790.48M,-0.54M,750.68M,,-28.96M,,-28.96M,3.869M,-78.13M,-74.26M,-158.87M,-158.87M,,,-262.10M,,3.913B,952.63M,-4.193M,4.862B,,3.869M,,-28.96M,-78.13M,,AOR,Restated
2019-06,541.82M,,,,,,65.41M,65.41M,70.12M,,,44.84M,,-2.967M,,161.25M,880.49M,,-65.95M,,,,-555.47M,-2.067M,-623.48M,,-1.157M,-300.00M,-301.16M,1.694M,-1.109B,-1.107B,-164.87M,-164.87M,45.04M,-0.001M,-1.528B,,5.187B,-1.271B,-3.137M,3.913B,,1.694M,0.00,-301.16M,-1.109B,,AOR,Restated
2019-03,547.39M,,,,,,82.27M,82.27M,-12.40M,,,53.24M,,1.367M,,260.95M,932.82M,,-75.52M,,,,-931.38M,-1.269M,-1.008B,,2.446B,297.85M,2.744B,5.01M,-934.64M,-929.63M,-171.20M,-171.20M,0.00,0.00,1.644B,,3.615B,1.568B,4.128M,5.187B,,5.01M,2.477B,267.62M,-934.64M,,AOR,Restated
2018-12,568.86M,,,,,,81.79M,81.79M,20.80M,,,38.81M,,-0.312M,,-67.52M,642.42M,,-105.92M,,,,773.22M,-0.369M,666.93M,,-6.44M,-359.52M,-365.96M,0.109M,-1.519M,-1.41M,-167.91M,-167.91M,32.92M,-13.20M,-515.55M,,2.824B,793.80M,-2.721M,3.615B,,0.109M,,-365.96M,-1.519M,,AOR,Restated
2018-09,533.36M,,,,,,79.80M,79.80M,-83.50M,,,50.34M,,3.436M,,136.84M,720.29M,,-56.10M,,,,-612.58M,-3.65M,-672.33M,,-79.83M,-0.086M,-79.92M,0.00,-1.736B,-1.736B,-174.37M,-174.37M,,-0.009M,-1.990B,,4.769B,-1.942B,-2.311M,2.824B,,0.00,,-79.92M,-1.736B,,AOR,Restated
2018-06,1.021B,,,,,,85.12M,85.12M,212.26M,,0.00,47.21M,,11.35M,,-658.73M,718.36M,,-79.66M,,,0.00,1.341B,-0.826M,1.261B,,-178.28M,-638.37M,-816.65M,2.626M,-1.306B,-1.304B,-82.00M,-82.00M,41.57M,-0.002M,-2.161B,,4.956B,-181.42M,-5.607M,4.769B,,2.626M,359.60M,-178.28M,-1.306B,,AOR,Restated
2018-03,778.80M,,,,,,82.24M,82.24M,19.06M,,42.46M,41.10M,,22.21M,,64.52M,1.050B,,-49.06M,,,0.00,2.135B,0.638M,2.086B,,-228.17M,199.02M,-29.14M,2.517M,-80.10M,-77.59M,-79.74M,-79.74M,0.00,0.007M,-186.46M,,2.001B,2.950B,4.041M,4.956B,,2.517M,-798.95M,-228.17M,-80.10M,,AOR,Restated
2017-12,-9.955M,,,,,,79.90M,79.90M,-271.48M,,,42.12M,,3.431M,,184.68M,28.70M,,-84.69M,,,-0.084M,-205.70M,-4.396M,-294.87M,,-47.52M,798.95M,751.42M,3.073M,-1.111B,-1.108B,-73.13M,-73.13M,34.06M,0.00,-396.02M,,2.663B,-662.19M,0.842M,2.001B,,3.073M,1.549B,-797.52M,-1.111B,,AOR,Restated
2017-09,590.69M,,,,,,79.14M,79.14M,43.20M,,,41.78M,,11.16M,,92.33M,858.31M,,-60.06M,,,-115.61M,-117.77M,-10.60M,-304.05M,,-301.73M,0.00,-301.73M,1.042M,-155.38M,-154.34M,-72.74M,-72.74M,,0.004M,-528.80M,,2.634B,25.45M,3.317M,2.663B,,1.042M,,-301.73M,-155.38M,,AOR,Restated
2017-06,526.42M,,,-0.236M,,,79.04M,79.04M,35.07M,,0.00,43.80M,,14.39M,,30.68M,729.27M,,-34.81M,,,0.00,93.86M,5.839M,64.89M,,-2.445M,0.00,-2.445M,23.49M,-525.78M,-502.29M,-73.71M,-73.71M,,38.63M,-539.81M,,2.129B,254.35M,0.399M,2.634B,,23.49M,0.00,-2.445M,-525.78M,,AOR,Restated
2017-03,574.71M,,,0.00,,,76.24M,76.24M,27.62M,,0.00,35.32M,,1.398M,,-292.61M,422.69M,,-44.12M,,,0.00,-418.57M,-4.568M,-467.25M,,-69.23M,0.00,-69.23M,25.19M,-216.37M,-191.18M,-73.34M,-73.34M,,-0.07M,-333.82M,,2.504B,-378.38M,2.991M,2.129B,,25.19M,0.00,-69.23M,-216.37M,,AOR,Restated
2016-12,332.79M,,,36.32M,,,77.06M,77.06M,34.62M,,,32.26M,,4.91M,,-113.86M,404.10M,,-36.51M,,,0.00,-1.991B,0.224M,-2.027B,,-1.616B,0.00,-1.616B,3.121M,-67.67M,-64.55M,-48.40M,-48.40M,,-0.044M,-1.729B,,5.862B,-3.352B,-5.364M,2.504B,,3.121M,0.00,-1.616B,-67.67M,,AOR,Restated
2016-09,263.84M,,,,,,74.56M,74.56M,7.633M,,,38.60M,,23.64M,,64.96M,473.22M,,-41.98M,,,0.00,431.75M,-13.02M,376.75M,,-0.371M,,-0.371M,20.78M,-1.854M,18.92M,-48.05M,-48.05M,,-0.01M,-29.51M,,5.039B,820.47M,1.911M,5.862B,,20.78M,,-0.371M,-1.854M,,AOR,Restated
2016-06,258.94M,,,,,,74.98M,74.98M,-46.71M,,,39.29M,-0.003M,33.50M,,79.05M,423.82M,,-51.73M,,,,605.89M,-32.65M,521.51M,,1.924B,,1.924B,21.91M,-27.11M,-5.207M,-47.31M,-47.31M,,-9.194M,1.862B,,2.232B,2.807B,0.076M,5.039B,,21.91M,,-414.55M,-27.11M,,AOR,Restated
2016-03,143.45M,,,,,,73.66M,73.66M,-4.908M,,,34.72M,,31.76M,,-95.78M,182.91M,,-46.01M,,,,181.94M,-0.20M,135.73M,,-8.479M,,-8.479M,16.70M,-20.09M,-3.397M,-47.54M,-47.54M,,2.255M,-57.16M,,1.968B,261.48M,2.666M,2.232B,,16.70M,,-8.479M,-20.09M,,AOR,Restated
2015-12,222.98M,,,,,,71.80M,71.80M,8.176M,,,32.57M,0.027M,34.20M,,-75.21M,294.54M,,-28.14M,,,,39.20M,3.336M,14.40M,,-28.37M,,-28.37M,1.173M,-12.80M,-11.62M,-47.90M,-47.90M,,2.159M,-85.74M,,1.744B,223.20M,0.344M,1.968B,,1.173M,,-28.37M,-12.80M,,AOR,Restated
2015-09,288.68M,,,,,,70.59M,70.59M,-5.563M,,,35.77M,-0.027M,19.84M,,39.70M,449.00M,,-49.45M,,,,-28.20M,-1.50M,-79.16M,,-0.096M,,-0.096M,19.62M,-98.38M,-78.76M,-47.66M,-47.66M,,3.272M,-123.25M,,1.502B,246.59M,-3.808M,1.744B,,19.62M,,-0.096M,-98.38M,,AOR,Restated
2015-06,131.27M,0.00,,0.00,,,70.18M,70.18M,-2.694M,,,39.73M,-0.315M,13.52M,,-48.89M,292.07M,,-63.13M,,,0.00,-280.88M,3.556M,-340.46M,,-0.27M,,-0.27M,18.24M,-74.34M,-56.10M,-28.71M,-28.71M,,-2.469M,-87.56M,,1.636B,-135.95M,1.85M,1.502B,,18.24M,0.345M,-0.615M,-74.34M,,AOR,Restated
2015-03,206.28M,0.00,,0.00,,,70.32M,70.32M,1.739M,,,32.95M,0.234M,11.25M,,-131.74M,191.04M,,-31.90M,,,0.00,-359.42M,-3.322M,-394.64M,,991.76M,,991.76M,22.34M,-124.94M,-102.61M,-28.72M,-28.72M,,2.204M,862.64M,,981.28M,659.04M,-4.675M,1.636B,,22.34M,991.88M,-0.119M,-124.94M,,AOR,Restated
