,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-02,391.00M,,-16.00M,-16.00M,,488.00M,488.00M,,,18.00M,22.00M,-30.00M,1.00M,98.00M,19.00M,,,73.00M,161.00M,1.064B,,-574.00M,,-574.00M,,-21.00M,7.00M,-588.00M,,-494.00M,611.00M,117.00M,,-218.00M,-218.00M,-323.00M,-323.00M,,-4.00M,-428.00M,,422.00M,48.00M,12.00M,482.00M,,,469.00M,-963.00M,-218.00M,,,AOR,Restated
2017-11,546.00M,,-54.00M,-54.00M,,478.00M,478.00M,0.00,,15.00M,-1.00M,7.00M,-31.00M,-12.00M,122.00M,,,-46.00M,40.00M,1.024B,,-648.00M,0.00,-648.00M,,-46.00M,-9.00M,-703.00M,,-215.00M,306.00M,91.00M,,-247.00M,-247.00M,-290.00M,-290.00M,,-2.00M,-448.00M,,489.00M,-126.00M,0.00,422.00M,,,0.00,-215.00M,-247.00M,,,AOR,Restated
2017-08,1.33B,,-8.00M,-8.00M,,472.00M,472.00M,392.00M,,14.00M,16.00M,7.00M,1.00M,27.00M,-63.00M,,,-739.00M,-767.00M,1.449B,,-437.00M,0.00,-437.00M,,-58.00M,10.00M,-485.00M,,-105.00M,-517.00M,-622.00M,,-153.00M,-153.00M,-290.00M,-290.00M,,-4.00M,-1.069B,,597.00M,-105.00M,-3.00M,489.00M,,,0.00,-105.00M,-153.00M,,,AOR,Restated
2017-05,378.00M,,54.00M,54.00M,,457.00M,457.00M,,,14.00M,16.00M,-6.00M,16.00M,-18.00M,9.00M,,,997.00M,998.00M,1.917B,,-1.447B,,-1.447B,,-47.00M,34.00M,-1.46B,,-439.00M,471.00M,32.00M,,-83.00M,-83.00M,-253.00M,-253.00M,,-16.00M,-320.00M,,437.00M,137.00M,23.00M,597.00M,,,367.00M,-806.00M,-83.00M,,,AOR,Restated
2017-02,352.00M,,-27.00M,-27.00M,,439.00M,439.00M,,,20.00M,20.00M,-2.00M,-35.00M,-10.00M,-47.00M,,,222.00M,128.00M,932.00M,,-412.00M,,-412.00M,,-52.00M,-10.00M,-474.00M,,-1.00M,-289.00M,-290.00M,,-69.00M,-69.00M,-254.00M,-254.00M,,-2.00M,-615.00M,,603.00M,-157.00M,-9.00M,437.00M,,,100.00M,-101.00M,-69.00M,,,AOR,Restated
2016-11,608.00M,,-55.00M,-55.00M,,435.00M,435.00M,0.00,,15.00M,25.00M,13.00M,-14.00M,21.00M,21.00M,,,-45.00M,-4.00M,1.024B,,-646.00M,7.00M,-639.00M,,-82.00M,20.00M,-701.00M,,191.00M,146.00M,337.00M,0.00,-230.00M,-230.00M,-256.00M,-256.00M,,-16.00M,-165.00M,,462.00M,158.00M,-17.00M,603.00M,,0.00,498.00M,-307.00M,-230.00M,,,AOR,Restated
2016-08,1.424B,,37.00M,37.00M,,442.00M,442.00M,0.00,,12.00M,24.00M,5.00M,-1.00M,-14.00M,52.00M,,,-552.00M,-510.00M,1.429B,,-450.00M,0.00,-450.00M,,-14.00M,15.00M,-449.00M,,8.00M,-78.00M,-70.00M,0.00,-709.00M,-709.00M,-262.00M,-262.00M,,-4.00M,-1.045B,,519.00M,-65.00M,8.00M,462.00M,,0.00,110.00M,-102.00M,-709.00M,,,AOR,Restated
2016-05,605.00M,,-171.00M,-171.00M,,438.00M,438.00M,,,12.00M,13.00M,-10.00M,20.00M,4.00M,43.00M,,,929.00M,986.00M,1.883B,,-1.636B,19.00M,-1.617B,,-50.00M,-47.00M,-1.714B,,138.00M,144.00M,282.00M,0.00,-485.00M,-485.00M,-227.00M,-227.00M,,-4.00M,-434.00M,,778.00M,-265.00M,6.00M,519.00M,,0.00,379.00M,-241.00M,-485.00M,,,AOR,Restated
2016-02,142.00M,,236.00M,236.00M,,423.00M,423.00M,,,16.00M,9.00M,-30.00M,-4.00M,,-7.00M,,,13.00M,-28.00M,798.00M,,-330.00M,,-330.00M,,-145.00M,16.00M,-459.00M,,-73.00M,235.00M,162.00M,40.00M,-916.00M,-876.00M,-232.00M,-232.00M,,-1.00M,-947.00M,,1.395B,-608.00M,-9.00M,778.00M,,40.00M,555.00M,-628.00M,-916.00M,,,AOR,Restated
2015-11,270.00M,,198.00M,198.00M,,420.00M,420.00M,,,17.00M,13.00M,-67.00M,-30.00M,,59.00M,,,-33.00M,60.00M,978.00M,,-590.00M,-25.00M,-615.00M,,-58.00M,0.00,-673.00M,,1.103B,-8.00M,1.095B,97.00M,-367.00M,-270.00M,-232.00M,-232.00M,,-26.00M,567.00M,,539.00M,872.00M,-16.00M,1.395B,,97.00M,1.569B,-466.00M,-367.00M,,,AOR,Restated
