,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2010-02,175.00M,,,,,345.00M,345.00M,,,15.00M,-31.00M,-56.00M,-12.00M,-5.00M,-16.00M,,5.00M,-24.00M,-108.00M,396.00M,,-1.169B,,-1.169B,,,53.00M,-1.116B,,161.00M,809.00M,970.00M,62.00M,-59.00M,3.00M,,0.00,,3.00M,976.00M,,538.00M,256.00M,-41.00M,753.00M,,62.00M,637.00M,-476.00M,-59.00M,,,AOR,Restated
2009-11,193.00M,,,,,345.00M,345.00M,,,9.00M,16.00M,122.00M,-7.00M,57.00M,-62.00M,,55.00M,,149.00M,712.00M,,-978.00M,,-978.00M,,,48.00M,-930.00M,,-146.00M,-70.00M,-216.00M,143.00M,-136.00M,7.00M,,0.00,,-120.00M,-216.00M,,976.00M,-434.00M,-4.00M,538.00M,,143.00M,829.00M,-757.00M,-136.00M,,,AOR,Restated
2009-08,1.073B,,,,,336.00M,336.00M,,,9.00M,17.00M,-53.00M,0.00,-28.00M,160.00M,,-325.00M,,-246.00M,1.189B,,-446.00M,,-446.00M,,,-46.00M,-492.00M,,-238.00M,37.00M,-201.00M,43.00M,-43.00M,0.00,,0.00,,-10.00M,-211.00M,,485.00M,486.00M,5.00M,976.00M,,43.00M,589.00M,-790.00M,-43.00M,,,AOR,Restated
2009-05,264.00M,,,,,317.00M,317.00M,,,13.00M,13.00M,6.00M,9.00M,-34.00M,63.00M,,485.00M,,529.00M,1.136B,,-1.65B,,-1.65B,,,1.00M,-1.649B,,528.00M,-140.00M,388.00M,0.00,0.00,0.00,,0.00,,-34.00M,354.00M,,607.00M,-159.00M,37.00M,485.00M,,0.00,1.315B,-927.00M,0.00,,,AOR,Restated
2009-02,260.00M,,,,,311.00M,311.00M,,,19.00M,-9.00M,6.00M,8.00M,12.00M,-87.00M,,-215.00M,,-276.00M,305.00M,,-306.00M,,-306.00M,,,-7.00M,-313.00M,,299.00M,-115.00M,184.00M,10.00M,-9.00M,1.00M,,-314.00M,,109.00M,-20.00M,,650.00M,-28.00M,-15.00M,607.00M,,10.00M,732.00M,-548.00M,-9.00M,,,,Restated
2008-11,365.00M,,,,,313.00M,313.00M,,,9.00M,-19.00M,174.00M,33.00M,10.00M,-143.00M,,-191.00M,-39.00M,-156.00M,512.00M,,-630.00M,,-630.00M,,,89.00M,-541.00M,,61.00M,208.00M,269.00M,,-98.00M,-83.00M,,-316.00M,,73.00M,-57.00M,,792.00M,-86.00M,-56.00M,650.00M,,,1.01B,-879.00M,-98.00M,,,AOR,Restated
2008-08,1.333B,,,,,323.00M,323.00M,,,11.00M,-16.00M,-128.00M,-25.00M,38.00M,148.00M,,-620.00M,,-587.00M,1.064B,,-1.13B,,-1.13B,,,-6.00M,-1.136B,,366.00M,-78.00M,288.00M,,84.00M,84.00M,,-315.00M,,-91.00M,-34.00M,,988.00M,-106.00M,-90.00M,792.00M,,,564.00M,-276.00M,84.00M,,,AOR,Restated
2008-05,390.00M,,,,,312.00M,312.00M,,,11.00M,-1.00M,-115.00M,-17.00M,-19.00M,76.00M,,811.00M,-6.00M,730.00M,1.442B,,-1.335B,,-1.335B,,,18.00M,-1.317B,,250.00M,-62.00M,188.00M,,0.00,0.00,,-314.00M,,-2.00M,-128.00M,,966.00M,-3.00M,25.00M,988.00M,,,2.135B,-1.947B,0.00,,,AOR,Restated
2008-02,236.00M,,,,,301.00M,301.00M,,,19.00M,5.00M,-1.00M,1.00M,-47.00M,-147.00M,,,6.00M,-188.00M,373.00M,,-258.00M,,-258.00M,,,-3.00M,-261.00M,,227.00M,70.00M,297.00M,,-84.00M,-84.00M,,-316.00M,,7.00M,-96.00M,,943.00M,16.00M,7.00M,966.00M,,,1.72B,-1.423B,-84.00M,,,AOR,
2007-11,358.00M,,,,,1.912B,1.912B,,,13.00M,-1.608B,6.00M,-25.00M,-28.00M,238.00M,,,-439.00M,182.00M,857.00M,,-936.00M,,-936.00M,-339.00M,300.00M,77.00M,-898.00M,,223.00M,-200.00M,23.00M,,-219.00M,-219.00M,,-277.00M,-44.00M,49.00M,-468.00M,,1.412B,-509.00M,40.00M,943.00M,,,2.153B,-2.13B,-219.00M,,,AOR,Restated
2007-08,1.377B,,,,,-1.343B,-1.343B,,,19.00M,1.627B,5.00M,-13.00M,-7.00M,-33.00M,,,-511.00M,-559.00M,1.121B,,-246.00M,,-246.00M,-138.00M,-127.00M,-83.00M,-594.00M,,157.00M,-758.00M,-601.00M,,-107.00M,-107.00M,,-278.00M,4.00M,0.00,-982.00M,,1.859B,-455.00M,8.00M,1.412B,,,-99.00M,-502.00M,-107.00M,,,AOR,Restated
2007-05,390.00M,,,,,272.00M,272.00M,,,32.00M,-13.00M,-123.00M,-17.00M,-2.00M,84.00M,,,871.00M,813.00M,1.494B,,-1.493B,,-1.493B,138.00M,-110.00M,1.00M,-1.464B,,653.00M,795.00M,1.448B,-29.00M,0.00,-29.00M,,-218.00M,40.00M,-4.00M,1.237B,,581.00M,1.267B,11.00M,1.859B,,-29.00M,1.326B,-45.00M,0.00,,,AOR,Restated
2007-02,283.00M,,,,,260.00M,260.00M,,,,20.00M,-7.00M,-2.00M,-19.00M,-17.00M,,,79.00M,34.00M,597.00M,,-637.00M,,-637.00M,,-83.00M,-70.00M,-790.00M,,-35.00M,-167.00M,-202.00M,29.00M,0.00,29.00M,,-217.00M,,-1.00M,-391.00M,,1.163B,-584.00M,2.00M,581.00M,,29.00M,360.00M,-395.00M,0.00,,,AOR,Restated
2006-11,416.00M,,,,,261.00M,261.00M,,,,-212.00M,92.00M,16.00M,29.00M,-21.00M,,,224.00M,340.00M,805.00M,,-298.00M,,-298.00M,,0.00,48.00M,-250.00M,,382.00M,-130.00M,252.00M,24.00M,-48.00M,-24.00M,,-198.00M,,-3.00M,27.00M,,594.00M,582.00M,-13.00M,1.163B,,24.00M,1.889B,-1.507B,-48.00M,,,AOR,Restated
2006-08,1.232B,,,,,255.00M,255.00M,,,,-614.00M,-12.00M,1.00M,-15.00M,96.00M,,,,70.00M,943.00M,,-699.00M,,-699.00M,,-8.00M,-2.00M,-709.00M,,-71.00M,360.00M,289.00M,6.00M,-320.00M,-314.00M,,-201.00M,,5.00M,-221.00M,,570.00M,13.00M,11.00M,594.00M,,6.00M,0.00,-71.00M,-320.00M,,,AOR,Restated
2006-05,380.00M,,,,,240.00M,240.00M,,,,877.00M,37.00M,-6.00M,-32.00M,-52.00M,,,-172.00M,-225.00M,1.272B,,-726.00M,,-726.00M,,-2.00M,10.00M,-718.00M,,-37.00M,323.00M,286.00M,5.00M,-473.00M,-468.00M,,-202.00M,,0.00,-384.00M,,395.00M,170.00M,5.00M,570.00M,,5.00M,352.00M,-389.00M,-473.00M,,,AOR,Restated
2006-02,251.00M,,,,,232.00M,232.00M,,,,36.00M,1.00M,-16.00M,24.00M,-87.00M,,,172.00M,94.00M,613.00M,,-757.00M,,-757.00M,,-2.00M,-7.00M,-766.00M,,-570.00M,108.00M,-462.00M,31.00M,,31.00M,,-202.00M,,-1.00M,-634.00M,,1.178B,-787.00M,4.00M,395.00M,,31.00M,0.00,-570.00M,,,,AOR,Restated
2005-11,336.00M,,,-1.00M,-672.00M,230.00M,230.00M,,,,9.00M,46.00M,1.00M,-52.00M,91.00M,66.00M,-264.00M,156.00M,44.00M,618.00M,,-345.00M,,-345.00M,,225.00M,-6.00M,-126.00M,,-27.00M,75.00M,48.00M,11.00M,-356.00M,-345.00M,,-164.00M,,6.00M,-455.00M,,1.139B,37.00M,2.00M,1.178B,,11.00M,1.00M,-28.00M,-356.00M,,,AOR,Restated
2005-08,1.181B,,,-1.00M,226.00M,226.00M,226.00M,,,,29.00M,-20.00M,-1.00M,-24.00M,117.00M,-19.00M,-329.00M,-128.00M,-404.00M,1.031B,,-523.00M,,-523.00M,,69.00M,3.00M,-451.00M,,46.00M,-44.00M,2.00M,15.00M,0.00,15.00M,,-161.00M,,-6.00M,-150.00M,,721.00M,430.00M,-12.00M,1.139B,,15.00M,328.00M,-282.00M,0.00,,,AOR,Restated
2005-05,391.00M,,,2.00M,446.00M,225.00M,225.00M,,,,7.00M,-95.00M,-11.00M,-51.00M,86.00M,-47.00M,593.00M,118.00M,593.00M,1.218B,,-553.00M,,-553.00M,,-255.00M,1.00M,-807.00M,,207.00M,-76.00M,131.00M,14.00M,-30.00M,-16.00M,,-121.00M,,1.00M,-5.00M,,321.00M,406.00M,-6.00M,721.00M,,14.00M,823.00M,-616.00M,-30.00M,,,AOR,Restated
2005-02,345.00M,,,,,221.00M,221.00M,,,,12.00M,-2.00M,-4.00M,-9.00M,-86.00M,,,66.00M,-35.00M,543.00M,,-556.00M,,-556.00M,,-31.00M,1.00M,-586.00M,,-170.00M,-13.00M,-183.00M,23.00M,,23.00M,,-120.00M,,-2.00M,-282.00M,,643.00M,-325.00M,3.00M,321.00M,,23.00M,,-170.00M,,,,AOR,Restated
2004-11,293.00M,,,,,213.00M,213.00M,,,,9.00M,44.00M,-18.00M,-27.00M,-55.00M,,,135.00M,79.00M,594.00M,,-721.00M,0.00,-721.00M,,170.00M,-9.00M,-560.00M,,-45.00M,318.00M,273.00M,31.00M,,31.00M,,-100.00M,,1.00M,205.00M,,408.00M,239.00M,-4.00M,643.00M,,31.00M,272.00M,-45.00M,,,,AOR,
2004-08,1.026B,,,,,211.00M,211.00M,,,,5.00M,-15.00M,-13.00M,22.00M,77.00M,,,-398.00M,-327.00M,915.00M,,-217.00M,0.00,-217.00M,,-185.00M,-3.00M,-405.00M,,-262.00M,-199.00M,-461.00M,14.00M,0.00,14.00M,,-101.00M,,-1.00M,-549.00M,,443.00M,-39.00M,4.00M,408.00M,,14.00M,1.00M,-263.00M,0.00,,,AOR,Restated
2004-05,332.00M,,,,,200.00M,200.00M,,,,15.00M,35.00M,-16.00M,-41.00M,85.00M,,,555.00M,618.00M,1.165B,,-1.285B,0.00,-1.285B,,145.00M,-10.00M,-1.15B,,-35.00M,146.00M,111.00M,10.00M,0.00,10.00M,,-99.00M,,1.00M,23.00M,,416.00M,38.00M,-11.00M,443.00M,,10.00M,385.00M,-420.00M,0.00,,,AOR,Restated
2004-02,203.00M,,,,,188.00M,188.00M,,,,8.00M,-53.00M,-26.00M,-8.00M,43.00M,,,187.00M,143.00M,542.00M,,-1.363B,77.00M,-1.286B,,314.00M,-2.00M,-974.00M,,253.00M,7.00M,260.00M,87.00M,,87.00M,,-100.00M,,-5.00M,242.00M,,610.00M,-190.00M,-4.00M,416.00M,,87.00M,457.00M,-204.00M,,,,AOR,Restated
2003-11,205.00M,,,,,168.00M,168.00M,,,,11.00M,-2.00M,-8.00M,51.00M,-26.00M,,,139.00M,154.00M,538.00M,,-620.00M,0.00,-620.00M,-141.00M,,116.00M,-603.00M,,171.00M,29.00M,200.00M,13.00M,,13.00M,,-85.00M,,-2.00M,126.00M,,988.00M,61.00M,21.00M,1.07B,,13.00M,739.00M,-474.00M,,,,AOR,Restated
2003-08,734.00M,,,,,176.00M,176.00M,,,,3.00M,-50.00M,-5.00M,72.00M,31.00M,,,-231.00M,-183.00M,730.00M,,-1.283B,0.00,-1.283B,-15.00M,,5.00M,-1.293B,,201.00M,16.00M,217.00M,26.00M,,26.00M,,-84.00M,,-1.00M,158.00M,,1.381B,-405.00M,12.00M,988.00M,,26.00M,531.00M,-379.00M,,,,AOR,Restated
2003-05,128.00M,,,,,135.00M,135.00M,,,,13.00M,-41.00M,-1.00M,-15.00M,14.00M,,,261.00M,218.00M,494.00M,,-501.00M,20.00M,-481.00M,156.00M,,-26.00M,-351.00M,,575.00M,49.00M,624.00M,13.00M,,13.00M,,-61.00M,,-12.00M,564.00M,,733.00M,707.00M,-59.00M,1.381B,,13.00M,799.00M,-175.00M,,,,AOR,Restated
2003-02,127.00M,,,,,106.00M,106.00M,,,,1.00M,2.00M,-3.00M,-26.00M,8.00M,,,-44.00M,-63.00M,171.00M,,-112.00M,31.00M,-81.00M,,,-5.00M,-86.00M,,39.00M,,39.00M,1.00M,,1.00M,,-62.00M,,,-22.00M,,667.00M,63.00M,3.00M,733.00M,,1.00M,148.00M,-109.00M,,,,AOR,Restated
2002-11,191.40M,,,10.77M,-100.57M,-100.57M,-100.57M,,,,201.14M,24.62M,0.092M,,-50.07M,-23.93M,47.12M,,-2.161M,300.57M,,-963.54M,-0.071M,-963.61M,27.83M,8.437M,-23.66M,-950.99M,,78.18M,,78.18M,0.073M,,0.073M,,-61.29M,,-1.101M,15.86M,,1.300B,-634.56M,1.414M,667.00M,,0.073M,114.10M,-35.92M,,,,AOR,Restated
2002-08,500.76M,,,24.37M,-463.77M,-463.77M,-463.77M,,,,461.47M,-12.60M,-1.415M,42.27M,94.70M,-14.80M,-169.36M,,-61.21M,461.61M,,-428.11M,4.071M,-424.04M,-27.83M,153.45M,2.586M,-295.84M,,-103.18M,,-103.18M,1.961M,,1.961M,,-61.59M,,0.292M,-162.52M,,1.297B,3.264M,0.076M,1.300B,,1.961M,40.16M,-143.34M,,,,AOR,
2002-05,194.20M,,,13.13M,272.10M,272.10M,272.10M,,,,-78.12M,0.573M,1.696M,-42.27M,-58.45M,-10.99M,200.04M,,90.60M,491.91M,,-150.96M,,-150.96M,,-159.89M,-15.76M,-326.61M,,39.16M,,39.16M,3.41M,,3.41M,,-61.57M,,-0.018M,-19.02M,,1.162B,146.29M,-10.83M,1.297B,,3.41M,40.18M,-1.014M,,,,AOR,
2002-02,129.64M,,,5.733M,-89.75M,-89.75M,-89.75M,,,,179.51M,-17.59M,1.627M,,1.817M,-31.28M,35.20M,,-10.22M,214.90M,,-443.39M,,-443.39M,,,-3.17M,-446.56M,,27.83M,,27.83M,1.556M,,1.556M,,-61.55M,,-0.173M,-32.33M,,1.421B,-263.99M,4.34M,1.162B,,1.556M,37.56M,-9.729M,,,,AOR,
2001-11,116.11M,,,47.10M,-652.96M,-652.96M,-652.96M,,,,771.16M,11.28M,3.886M,-23.02M,-33.98M,20.98M,-127.10M,,-147.96M,133.45M,,-113.67M,,432.33M,,-531.47M,-4.069M,-136.21M,,339.18M,,339.18M,-0.076M,,-0.076M,,-61.70M,,-8.649M,268.75M,,1.155B,265.99M,0.055M,1.421B,,-0.076M,601.43M,-262.25M,,,,AOR,Restated
2001-08,494.98M,,,2.307M,464.91M,464.91M,464.91M,,,,-395.06M,0.32M,4.292M,23.02M,-11.19M,31.88M,-150.18M,,-101.86M,465.27M,,-121.80M,,-121.80M,,531.34M,-56.25M,353.28M,,-255.31M,,-255.31M,2.181M,0.00,2.181M,,-61.53M,,-4.87M,-319.53M,,666.59M,499.02M,-10.38M,1.155B,,2.181M,9.872M,-265.18M,0.00,,,AOR,
2001-05,186.96M,,,18.11M,-92.36M,-92.36M,-92.36M,,,,184.72M,-4.657M,0.688M,,12.06M,-1.523M,169.16M,,175.73M,473.16M,,-470.70M,,-470.70M,,0.105M,38.54M,-432.05M,,555.89M,,555.89M,0.809M,,0.809M,,-61.40M,,-11.48M,483.83M,,133.11M,524.94M,8.537M,666.59M,,0.809M,1.297B,-740.72M,,,,AOR,
2001-02,127.95M,,,34.48M,-91.59M,-91.59M,-91.59M,,,,183.18M,-13.94M,-0.866M,,-29.89M,-7.337M,-34.87M,,-86.91M,167.11M,,-120.83M,,-120.83M,,0.027M,-6.222M,-127.02M,,-36.76M,,-36.76M,2.086M,,2.086M,,-61.37M,,,-96.05M,,189.28M,-55.96M,-0.214M,133.11M,,2.086M,666.08M,-702.84M,,,,AOR,
2000-11,193.80M,,,-60.70M,-76.53M,-76.53M,-76.53M,,,,153.52M,11.78M,0.129M,,25.39M,-0.121M,31.06M,,68.24M,278.33M,,-120.89M,,-69.54M,,-24.13M,62.61M,-414.70M,,246.21M,,246.21M,0.134M,0.00,0.134M,,-61.37M,,,184.97M,,141.14M,48.61M,,189.28M,,0.134M,624.16M,-377.95M,0.00,,,AOR,Restated
2000-08,396.19M,,,5.065M,-347.03M,-347.03M,-347.03M,,,,374.19M,8.003M,2.338M,30.73M,51.36M,8.882M,-142.63M,,-41.32M,387.09M,,-490.02M,,-490.02M,,0.535M,-6.517M,-496.00M,,385.88M,,385.88M,1.972M,-369.99M,-368.02M,,-63.37M,,,-45.51M,,295.57M,-154.43M,,141.14M,,1.972M,388.45M,-2.574M,-369.99M,,,AOR,
2000-05,203.96M,,,-7.619M,68.29M,68.29M,68.29M,,,,-16.74M,-14.89M,-7.931M,-6.07M,19.84M,-6.033M,216.51M,,201.43M,449.32M,,-299.39M,,-299.39M,,7.133M,-15.24M,-307.50M,,-0.074M,,-0.074M,1.025M,-335.14M,-334.12M,,-64.82M,,,-399.01M,,552.76M,-257.20M,,295.57M,,1.025M,0.113M,-0.187M,-335.14M,,,AOR,
2000-02,171.52M,,,27.20M,67.60M,67.60M,67.60M,,,,64.82M,-20.03M,-2.741M,-24.66M,-38.45M,-24.70M,-55.30M,,-165.88M,165.26M,,-93.05M,,-93.05M,,16.46M,2.761M,-73.82M,,-0.351M,,-0.351M,4.68M,,4.68M,,-64.77M,,,-60.44M,,521.77M,30.99M,,552.76M,,4.68M,7.364M,-7.715M,,,,AOR,
1999-11,251.00M,,,-68.80M,-63.80M,-63.80M,-63.80M,,,,128.10M,34.00M,-4.90M,,6.30M,-12.30M,-6.10M,,17.00M,263.50M,,-387.80M,,-387.80M,,443.60M,-27.80M,-26.70M,,-144.40M,,-144.40M,0.80M,,0.80M,,-55.30M,,0.00,-198.90M,,484.20M,37.90M,,521.80M,,0.80M,0.00,-144.40M,,,,AOR,Restated
1999-08,415.10M,,,3.20M,-63.10M,-63.10M,-63.10M,,,,126.20M,-12.30M,1.90M,,9.40M,12.30M,-79.60M,,-68.30M,413.10M,,-372.30M,,-372.30M,,164.70M,0.80M,-206.80M,,-56.50M,,-56.50M,6.90M,,6.90M,,-55.10M,,-0.10M,-104.80M,,382.60M,101.50M,,484.20M,,6.90M,0.10M,-56.60M,,,,,
1999-05,203.30M,,,13.70M,-58.90M,-58.90M,-58.90M,,,,117.90M,-12.70M,-3.40M,,23.50M,-5.30M,166.50M,,168.60M,444.60M,,-61.90M,,-61.90M,,-397.60M,23.10M,-436.40M,,-147.70M,,-147.70M,3.10M,,3.10M,,-55.20M,,0.00,-199.80M,,574.30M,-191.60M,,382.60M,,3.10M,1.80M,-149.50M,,,,,
1999-02,157.80M,,,9.20M,-57.90M,-57.90M,-57.90M,,,,115.70M,-12.30M,-2.20M,,-11.90M,-4.20M,14.60M,,-16.00M,208.80M,,-51.00M,,-51.00M,,-210.70M,21.20M,-240.50M,,-208.40M,,-208.40M,730.80M,,730.80M,,-53.60M,,-0.10M,468.70M,,137.30M,437.00M,,574.30M,,730.80M,5.90M,-214.30M,,,,,
1998-11,220.58M,,,-67.50M,347.37M,347.37M,347.37M,,,,-158.57M,12.54M,-1.313M,,49.96M,-11.10M,-0.80M,,-127.94M,213.94M,,-141.71M,,-94.71M,,1.552M,1.076M,-334.95M,,183.31M,,183.31M,-1.20M,,-1.201M,,-44.66M,,-4.253M,133.20M,,125.10M,12.18M,,137.27M,,-1.20M,215.80M,-32.49M,,,,AOR,Restated
1998-08,344.80M,,,-23.60M,-57.40M,-57.40M,-57.40M,,,,114.80M,-8.10M,2.10M,,-26.90M,15.90M,-76.60M,,-93.60M,285.00M,,-107.40M,,-107.40M,,2.20M,25.00M,-80.20M,,-168.30M,,-168.30M,8.50M,,8.50M,,-44.60M,,4.00M,-200.40M,,,-14.90M,,125.10M,,8.50M,4.00M,-172.30M,,,,,
1998-05,160.60M,,,4.40M,-46.30M,-46.30M,-46.30M,,,,92.60M,0.80M,-3.60M,,45.40M,-8.60M,133.40M,,167.40M,378.70M,,-586.60M,,-586.60M,,0.30M,44.00M,-542.30M,,217.00M,,217.00M,1.70M,,1.70M,,-44.60M,,-4.00M,170.10M,,114.10M,25.80M,,,,1.70M,871.40M,-654.40M,,,,,
1998-02,109.90M,,,26.30M,-43.00M,-43.00M,-43.00M,,,,86.00M,-5.10M,-1.10M,,-7.30M,-11.60M,60.10M,,35.00M,214.20M,,-361.70M,,-361.70M,,,-1.90M,-363.60M,,165.80M,,165.80M,2.40M,,2.40M,,-44.60M,,,123.60M,,140.00M,-25.80M,,114.10M,,2.40M,313.20M,-147.40M,,,,,
1997-11,155.35M,,,-49.70M,293.19M,293.19M,293.19M,,,,-272.62M,-8.829M,-0.589M,,14.78M,0.80M,35.30M,,42.36M,168.58M,,-338.76M,,-321.72M,,-37.03M,62.34M,-296.40M,,86.38M,,86.38M,-1.238M,,-1.238M,,-32.66M,,-0.10M,52.38M,,,28.36M,,139.99M,,-1.238M,127.27M,-40.89M,,,,AOR,
1997-08,297.90M,,,-10.90M,-43.20M,-43.20M,-43.20M,,,,86.50M,-1.00M,0.50M,,3.90M,16.60M,-78.20M,,-58.20M,272.10M,,-74.80M,,-74.80M,,1.30M,-35.90M,-109.40M,,-10.70M,,-10.70M,2.40M,,2.40M,,-32.70M,,0.10M,-40.90M,,93.60M,18.00M,,,,2.40M,2.80M,-13.50M,,,,,
1997-05,127.40M,,,0.40M,-42.00M,-42.00M,-42.00M,,,,84.00M,-6.60M,-1.20M,,-1.90M,-7.00M,89.20M,,72.50M,242.30M,,-21.80M,,-21.80M,,0.10M,-0.40M,-22.10M,,-183.30M,,-183.30M,0.60M,,0.60M,,-32.70M,,-0.10M,-215.50M,,88.90M,4.70M,,93.60M,,0.60M,3.80M,-187.10M,,,,,
1997-02,85.40M,,,16.10M,-40.70M,-40.70M,-40.70M,,,,81.30M,-4.80M,-0.40M,,25.30M,-9.50M,41.90M,,52.50M,194.60M,,-62.30M,,-62.30M,,,35.30M,-27.00M,,-161.40M,,-161.40M,3.40M,,3.40M,,-32.40M,,0.10M,-190.30M,,111.60M,-22.70M,,88.90M,,3.40M,21.50M,-182.90M,,,,,
1996-11,114.80M,,,-33.70M,252.59M,252.59M,252.59M,,,,-223.09M,4.068M,-2.061M,,-38.56M,-8.70M,24.90M,,-25.27M,85.32M,,-387.70M,,-293.41M,,6.41M,-3.721M,-290.72M,,257.12M,,257.12M,0.728M,,0.728M,,-26.48M,,-0.10M,231.27M,,85.80M,25.86M,,111.63M,,0.728M,308.36M,-51.25M,,,,AOR,
1996-08,268.20M,,,6.80M,-39.70M,-39.70M,-39.70M,,,,79.00M,-5.90M,0.90M,,30.70M,10.30M,-123.10M,,-87.10M,227.20M,,-57.90M,,-57.90M,,7.20M,69.50M,18.80M,,-224.60M,,-224.60M,1.50M,,1.50M,,-26.10M,,0.00,-249.20M,,,32.40M,,85.80M,,1.50M,1.00M,-225.60M,,,,,
1996-05,106.20M,,,0.40M,-35.10M,-35.10M,-35.10M,,,,70.50M,-5.30M,-2.60M,,15.60M,-4.30M,115.70M,,119.10M,261.10M,,-202.80M,,-202.80M,,3.10M,-113.00M,-312.70M,,-125.70M,,-125.70M,0.20M,,0.20M,,-25.70M,,0.10M,-151.10M,,291.70M,-238.30M,,,,0.20M,217.10M,-342.80M,,,,,
1996-02,77.10M,,,2.90M,-32.80M,-32.80M,-32.80M,,,,65.50M,2.70M,-0.70M,,-0.20M,-2.20M,55.60M,,55.20M,167.90M,,-253.50M,,-253.50M,,21.00M,-2.10M,-234.60M,,329.30M,,329.30M,1.30M,,1.30M,,-25.60M,,,305.00M,,53.40M,238.30M,,291.70M,,1.30M,444.90M,-115.60M,,,,,
1995-11,84.19M,,,2.70M,223.23M,223.23M,223.23M,,,,-189.72M,-0.655M,1.002M,,-16.60M,-12.90M,-28.00M,,-55.80M,64.61M,,-101.50M,,-101.50M,,9.72M,-64.70M,-156.48M,,78.20M,,78.20M,0.332M,,0.332M,,-21.40M,,,57.13M,,88.10M,-34.74M,,53.36M,,0.332M,143.60M,-65.40M,,62.90M,,AOR,
1995-08,209.60M,,,1.60M,-32.80M,-32.80M,-32.80M,,,,65.70M,-0.80M,-0.90M,,17.40M,22.40M,-70.80M,,-32.70M,211.40M,,-306.50M,,-306.50M,,4.10M,-11.10M,-313.50M,,69.10M,,69.10M,1.00M,,1.00M,,-21.30M,,-0.10M,48.70M,,141.50M,-53.40M,,88.10M,,1.00M,103.00M,-33.90M,,-32.80M,,,
1995-05,89.70M,,,1.40M,-30.50M,-30.50M,-30.50M,,,,61.00M,-3.30M,-3.20M,,2.90M,-18.60M,114.50M,,92.30M,213.90M,,-21.90M,,-21.90M,,-0.30M,14.20M,-8.00M,,-140.10M,,-140.10M,47.00M,,47.00M,,-21.20M,,0.10M,-114.20M,,49.70M,91.70M,,141.50M,,47.00M,100.20M,-240.30M,,21.00M,,,
1995-02,67.60M,,,2.00M,-31.50M,-31.50M,-31.50M,,,,63.00M,-7.90M,-0.60M,,-1.60M,-11.70M,18.00M,,-3.80M,97.30M,,-54.00M,,-54.00M,,6.20M,-2.30M,-50.10M,,-31.00M,,-31.00M,0.70M,,0.70M,,-21.20M,,,-51.50M,,54.10M,-4.30M,,49.70M,,0.70M,36.00M,-67.00M,,11.80M,,,
1994-11,70.06M,,,-0.10M,191.10M,191.10M,191.10M,,,,-181.19M,5.728M,-2.377M,,6.814M,-3.20M,-16.90M,,-9.935M,69.94M,,-189.19M,,-189.19M,,-1.051M,-22.55M,-192.79M,,126.19M,,126.19M,0.197M,,0.197M,,-19.77M,,-25.00M,81.62M,,,,,54.10M,,0.197M,144.37M,-18.18M,,,,AOR,
1994-08,168.80M,,,1.80M,-27.80M,-27.80M,-27.80M,,,,55.80M,4.40M,-2.30M,,2.80M,20.50M,-46.50M,,-21.10M,177.50M,,-310.60M,,-310.60M,,1.50M,19.00M,-290.10M,,133.00M,,133.00M,1.10M,,1.10M,,-19.80M,,0.10M,114.40M,,,,,,,1.10M,363.40M,-230.40M,,,,,
1994-05,77.80M,,,-5.50M,-26.20M,-26.20M,-26.20M,,,,52.50M,-7.70M,-1.80M,,7.90M,-14.40M,92.00M,,76.00M,174.60M,,-14.30M,,-14.30M,,12.00M,-3.70M,-6.00M,,-95.60M,,-95.60M,0.10M,,0.10M,,-19.70M,,-0.20M,-115.40M,,,,,,,0.10M,20.30M,-115.90M,,,,,
1994-02,65.10M,,,6.60M,-26.50M,-26.50M,-26.50M,,,,52.80M,-5.30M,-1.40M,,7.90M,-4.90M,20.80M,,17.10M,115.10M,,-80.70M,,-80.70M,,2.80M,1.60M,-76.30M,,-39.90M,,-39.90M,0.90M,,0.90M,,-19.80M,,0.10M,-58.70M,,60.20M,,,,,0.90M,10.00M,-49.90M,,,,,
