,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-09,3.367B,,0.00,468.00M,468.00M,,157.00M,157.00M,,,,,30.43B,30.67B,34.94B,,-998.00M,450.00M,-548.00M,-226.00M,-1.672B,,2.996B,,-7.136B,-1.503B,-8.639B,,0.00,0.00,0.00,0.00,0.00,-580.00M,,760.00M,-17.33B,,132.60B,20.60B,153.20B,,0.00,-3.475B,-13.36B,0.00,1.131B,1.793B,,AOR,
2020-06,373.00M,,0.00,499.00M,499.00M,,185.00M,185.00M,,,,,-13.70B,-14.29B,-11.65B,,-1.065B,425.00M,-640.00M,0.00,-6.319B,,3.907B,,-6.644B,-9.523B,-16.17B,,0.00,0.00,0.00,0.00,0.00,-626.00M,,499.00M,34.85B,,105.49B,27.11B,132.60B,,0.00,16.14B,-13.08B,0.00,299.00M,1.814B,,AOR,
2020-03,1.213B,,-1.00M,437.00M,437.00M,,1.395B,1.395B,,,,,-59.64B,-57.01B,-53.03B,,-2.843B,397.00M,-2.446B,,-6.325B,,-32.34B,,12.84B,19.22B,32.07B,,-1.928B,-1.928B,349.00M,-350.00M,-1.00M,-538.00M,,-670.00M,57.31B,,133.55B,-28.06B,105.49B,,349.00M,29.48B,-16.63B,-2.278B,474.00M,4.041B,,AOR,
2019-12,1.917B,,,464.00M,464.00M,,166.00M,166.00M,,,,,48.06B,47.30B,49.83B,,-2.046B,2.071B,25.00M,0.00,457.00M,,-3.32B,,-12.30B,-468.00M,-12.77B,,-2.162B,-2.162B,599.00M,-600.00M,-1.00M,-644.00M,,1.234B,-7.059B,,94.09B,39.45B,133.55B,,599.00M,5.93B,-18.23B,-2.762B,320.00M,4.513B,,AOR,
2019-09,1.877B,,,473.00M,473.00M,,157.00M,157.00M,,,,,7.491B,6.976B,9.774B,,-2.229B,1.076B,-1.153B,-742.00M,-15.03B,,-19.58B,,-2.866B,1.009B,-1.857B,,-673.00M,-673.00M,0.00,-500.00M,-500.00M,-550.00M,,82.00M,12.81B,,91.09B,3.002B,94.09B,,0.00,9.042B,-9.331B,-1.173B,379.00M,5.18B,,AOR,Restated
2019-06,2.421B,,,399.00M,399.00M,,192.00M,192.00M,,,,,6.238B,5.405B,8.631B,,-2.04B,1.219B,-821.00M,-61.00M,3.25B,,807.00M,,-6.724B,-268.00M,-6.992B,,-1.25B,-1.25B,499.00M,0.00,499.00M,-535.00M,,21.00M,-6.23B,,87.88B,3.208B,91.09B,,499.00M,6.971B,-16.27B,-1.25B,567.00M,4.58B,,AOR,Restated
2019-03,2.251B,,,368.00M,368.00M,,1.503B,1.503B,,,,,-49.37B,-48.71B,-44.37B,,-2.128B,2.266B,138.00M,,-641.00M,,-2.139B,,-81.00M,-2.309B,-2.39B,,-1.25B,-1.25B,0.00,0.00,0.00,-375.00M,,2.265B,3.844B,,130.55B,-42.66B,87.88B,,0.00,7.695B,-7.776B,-1.25B,,4.372B,,AOR,Restated
2018-12,2.538B,,0.00,377.00M,377.00M,,160.00M,160.00M,,,,,13.15B,13.59B,14.24B,,-2.035B,1.225B,-810.00M,-16.00M,1.54B,,-1.985B,,-2.886B,-4.546B,-7.432B,25.00M,-1.25B,-1.225B,0.00,0.00,0.00,-521.00M,,1.303B,-583.00M,,118.87B,11.68B,130.55B,,25.00M,6.423B,-9.309B,-1.25B,338.00M,4.596B,,AOR,Restated
2018-09,2.524B,,-160.00M,317.00M,317.00M,,166.00M,166.00M,,,,,-8.335B,-8.335B,-5.314B,,-2.196B,540.00M,-1.656B,3.00M,34.00M,,-4.032B,,-1.766B,1.892B,126.00M,3.00M,-1.244B,-1.241B,0.00,0.00,0.00,-382.00M,,220.00M,-3.20B,,131.42B,-12.55B,118.87B,,3.00M,10.91B,-12.68B,-1.244B,386.00M,4.507B,,AOR,Restated
2018-06,2.565B,,,335.00M,335.00M,,176.00M,176.00M,,,,,5.288B,5.288B,8.598B,,-2.188B,939.00M,-1.249B,-81.00M,108.00M,,-3.59B,,3.448B,-26.00M,3.422B,10.00M,0.00,10.00M,0.00,0.00,0.00,-531.00M,,504.00M,5.906B,,120.50B,10.91B,131.42B,,10.00M,16.30B,-12.85B,0.00,221.00M,4.064B,,AOR,Restated
