,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,PensionLiability,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-05,8.009B,8.009B,,,5.456B,82.68B,,,,7.193B,,,5.498B,,,,630.33B,,647.01B,943.20B,,225.36B,1.669B,227.03B,,227.03B,60.74B,60.74B,60.74B,609.40B,243.76B,,243.76B,12.93B,,8.717B,256.69B,896.02B,,3.106B,32.98B,21.23B,25.05B,3.10B,,,6.189B,38.46B,,,
2007-02,6.887B,6.887B,,,16.09B,104.86B,,,,7.311B,,,5.593B,,,,319.55B,,711.33B,912.50B,,,,221.72B,,221.72B,54.06B,54.06B,54.06B,661.26B,132.73B,,132.73B,,,,132.73B,875.60B,,3.106B,30.86B,21.01B,23.92B,3.10B,34.00M,5.803B,5.837B,36.90B,,,
2006-11,6.293B,6.293B,,,13.22B,101.64B,,,,,,,,,,,300.33B,,656.77B,838.20B,,,,223.87B,,223.87B,47.90B,47.90B,47.90B,597.28B,122.84B,,122.84B,,,,122.84B,802.42B,,3.106B,27.87B,19.73B,21.23B,3.10B,,,6.311B,35.79B,,,
2006-08,10.06B,10.06B,,,13.20B,106.22B,,,,,,,,,,,286.50B,,615.98B,798.31B,,,,220.45B,,220.45B,72.66B,72.66B,72.66B,604.21B,129.33B,,129.33B,,,,129.33B,764.82B,,3.106B,24.93B,19.21B,17.58B,3.10B,,,3.825B,33.49B,,,
2006-05,7.722B,7.722B,,,24.85B,119.51B,,,,,,,,,,,281.03B,,610.60B,798.88B,,,,204.89B,,204.89B,62.32B,62.32B,62.32B,612.76B,125.59B,,125.59B,,,,125.59B,767.08B,,2.606B,23.54B,19.08B,17.00B,2.60B,,,3.587B,31.80B,,,
2006-02,6.571B,6.571B,,,14.97B,117.98B,,,,,,,,,,,492.30B,,572.19B,758.82B,,,,188.07B,,188.07B,58.35B,58.35B,58.35B,567.54B,114.65B,,114.65B,,,,114.65B,729.91B,,1.756B,21.42B,18.41B,15.99B,1.75B,,,3.32B,28.92B,,,
2005-11,10.26B,10.26B,,,15.15B,109.03B,,,,,,,,,,,243.20B,,537.54B,706.80B,,,,188.32B,,188.32B,55.22B,55.22B,55.22B,564.96B,100.01B,,100.01B,,,,100.01B,678.80B,,1.756B,19.08B,17.16B,13.41B,1.75B,,,3.415B,28.00B,,,
2005-08,6.895B,6.895B,,,16.44B,114.87B,,,,,,,,,,,237.31B,,503.67B,669.52B,,,,175.17B,,175.17B,52.28B,52.28B,52.28B,528.21B,101.60B,,101.60B,,,,101.60B,642.91B,,756.00M,17.58B,16.82B,10.95B,750.00M,,,2.406B,26.61B,,,
2005-05,8.042B,8.042B,,,16.10B,101.24B,,,,,,,,,,,223.55B,,480.96B,624.47B,,,,180.90B,,180.90B,53.80B,53.80B,53.80B,492.56B,95.13B,,95.13B,,,,95.13B,598.08B,,756.00M,16.09B,16.59B,9.211B,750.00M,,,2.165B,26.40B,,,
2005-02,5.531B,5.531B,,,15.80B,87.34B,,,,,,,,,,,180.36B,,465.05B,596.15B,,,,163.82B,,163.82B,48.85B,48.85B,48.85B,466.28B,95.58B,,95.58B,,,,95.58B,570.07B,,6.00M,15.35B,16.26B,7.53B,,,,1.981B,26.08B,,,
2004-11,4.365B,4.365B,,,14.46B,63.08B,,,,,,,,,,,203.26B,,430.21B,531.38B,,,,161.22B,,161.22B,54.96B,54.96B,54.96B,415.24B,80.70B,,80.70B,,,,80.70B,506.30B,,6.00M,13.97B,15.50B,6.305B,,,,1.907B,25.08B,,,
2004-08,7.75B,7.75B,,,12.40B,60.46B,,,,,,,,,,,176.72B,,391.88B,486.69B,,,,153.08B,,153.08B,59.84B,59.84B,59.84B,381.21B,71.68B,,71.68B,,,,71.68B,463.17B,,6.00M,12.90B,15.25B,5.765B,,,,1.121B,23.51B,,,
2004-05,8.041B,8.041B,,,11.15B,46.79B,,,,,,,,,,,188.42B,,388.49B,467.92B,,,,146.01B,,146.01B,49.83B,49.83B,49.83B,366.55B,69.01B,,69.01B,,,,69.01B,444.77B,,5.00M,12.15B,14.84B,5.335B,,,,1.498B,23.15B,,,
2004-02,6.95B,6.95B,,,10.09B,44.22B,,,,,,,,,,,171.82B,,363.94B,443.28B,,,,125.56B,,125.56B,50.15B,50.15B,50.15B,322.43B,69.14B,,69.14B,,,,69.14B,421.05B,,5.00M,11.08B,14.72B,4.965B,,,,1.396B,22.24B,,,
2003-11,7.087B,7.087B,,,9.197B,43.14B,,,,,,,,,,,158.83B,,333.48B,403.80B,,,,109.03B,,109.03B,44.20B,44.20B,44.20B,316.54B,57.48B,,57.48B,,,,57.48B,382.17B,,5.00M,9.914B,13.56B,4.50B,,,,2.651B,21.63B,,,
2003-08,6.641B,6.641B,,,9.103B,161.78B,,,,,,,,,,,157.74B,,171.67B,394.14B,,,,109.85B,,109.85B,48.74B,48.74B,48.74B,314.49B,52.45B,,52.45B,,,,52.45B,373.70B,,5.00M,9.062B,13.50B,4.382B,,,,2.253B,20.44B,,,
2003-05,7.208B,7.208B,,,13.60B,43.26B,,,,,,,,,,,138.29B,,331.91B,404.70B,,,,115.47B,,115.47B,45.82B,45.82B,45.82B,327.39B,51.27B,,51.27B,,,,51.27B,384.66B,,5.00M,8.503B,12.93B,4.105B,,,,2.705B,20.04B,,,
2003-02,4.588B,4.588B,,,6.188B,41.31B,,,,,,,,,,,132.32B,,305.38B,371.97B,,,,104.63B,,104.63B,45.67B,45.67B,45.67B,303.95B,43.40B,,43.40B,,,,43.40B,352.45B,,5.00M,7.864B,12.91B,3.831B,,,,2.564B,19.51B,,,
2002-11,4.822B,4.822B,,,5.779B,56.37B,,,,,,,,,,,133.97B,,276.04B,355.57B,,,,95.59B,,95.59B,40.64B,40.64B,40.64B,291.86B,38.71B,,38.71B,,,,38.71B,336.57B,,5.00M,7.259B,12.77B,3.561B,,,,2.527B,19.00B,,,
2002-08,3.689B,3.689B,,,5.786B,42.98B,,,,,,,,,,,133.66B,,283.58B,349.53B,,,,90.11B,,90.11B,40.03B,40.03B,40.03B,286.98B,37.76B,,37.76B,,,,37.76B,330.68B,,5.00M,6.811B,12.74B,3.118B,,,,2.407B,18.84B,,,
2002-05,6.302B,6.302B,,,4.175B,47.22B,,,,,,,,,,,132.68B,,256.20B,327.24B,,,,88.14B,,88.14B,38.81B,38.81B,38.81B,268.50B,34.50B,,34.50B,,,,34.50B,308.38B,,5.00M,6.347B,11.98B,2.718B,,,,3.246B,18.86B,,,
2002-02,6.977B,6.977B,,,6.237B,41.77B,,,,,,,,,,,124.09B,,246.76B,310.48B,,,,95.18B,,95.18B,40.03B,40.03B,40.03B,252.38B,34.57B,,34.57B,,,,34.57B,291.99B,,5.00M,5.84B,11.94B,2.369B,,,,3.08B,18.50B,,,
2001-11,6.909B,6.909B,,,5.453B,40.01B,,,,,,,,,,,123.30B,,244.20B,312.22B,,,,97.30B,,97.30B,37.60B,37.60B,37.60B,255.84B,31.02B,,31.02B,,,,31.02B,293.99B,,5.00M,5.373B,11.78B,2.086B,,,,3.154B,18.23B,,,
2001-08,4.631B,4.631B,,,5.904B,48.44B,,,,,,,,,,,115.54B,,226.76B,302.03B,,,,91.67B,,91.67B,38.23B,38.23B,38.23B,245.41B,30.28B,,30.28B,,,,30.28B,284.07B,,5.00M,4.933B,11.78B,1.80B,,,,3.039B,17.96B,,,
2001-05,3.606B,3.606B,,,4.947B,33.29B,,,,,,,,,,,108.72B,,236.73B,297.04B,,,,89.12B,,89.12B,41.76B,41.76B,41.76B,174.11B,30.54B,,30.54B,,,,30.54B,279.02B,,5.00M,4.523B,11.43B,1.282B,,,,3.342B,18.02B,,,
2001-02,4.784B,4.784B,,,7.057B,51.31B,,,,,,,,,,,98.42B,,222.11B,304.81B,,,,89.17B,,89.17B,32.69B,32.69B,32.69B,173.81B,30.78B,,30.78B,,,,30.78B,287.37B,,5.00M,4.004B,11.26B,1.021B,,,,3.192B,17.44B,,,
2000-11,3.87B,3.87B,,,6.226B,47.42B,,,,,,,,,,,99.54B,,203.93B,284.41B,,,,82.15B,,82.15B,33.47B,33.47B,33.47B,228.72B,31.40B,,31.40B,,,,31.40B,267.88B,,5.00M,3.294B,11.13B,648.00M,,,,2.752B,16.53B,,,
2000-08,4.106B,4.106B,,,5.167B,162.80B,,,,,,,,,,,54.19B,,88.21B,275.00B,,,,61.30B,,61.30B,37.92B,37.92B,37.92B,171.51B,33.05B,,33.05B,,,,33.05B,262.31B,,4.053B,2.747B,7.728B,65.00M,,,,-1.77B,12.69B,,,
2000-05,5.926B,5.926B,,,5.561B,124.38B,,,,,,,,,,,56.63B,,128.93B,278.32B,,,,64.93B,,64.93B,44.80B,44.80B,44.80B,155.80B,24.73B,,24.73B,,,,24.73B,266.41B,,4.578B,1.978B,7.368B,55.00M,,,,-1.964B,11.90B,,,
2000-02,4.577B,4.577B,,,6.774B,120.58B,,,,,,,,,,,66.12B,,128.92B,276.89B,,,,60.62B,,60.62B,41.74B,41.74B,41.74B,158.41B,22.67B,,22.67B,,,,22.67B,265.80B,,4.363B,1.277B,7.367B,,,,,-1.911B,11.10B,,,
1999-11,4.49B,4.49B,,,4.49B,103.78B,,,,,,,,,,,60.06B,,116.57B,250.49B,,,,59.53B,,59.53B,37.76B,37.76B,37.76B,146.64B,20.95B,,20.95B,,,,20.95B,240.35B,,4.343B,444.00M,7.359B,,,,,-2.001B,10.14B,,,
1999-08,1.90B,1.90B,,,4.236B,121.50B,,,,,,,,,,,13.36B,,89.59B,236.27B,,,,38.62B,,38.62B,36.61B,36.61B,36.61B,134.20B,20.34B,,20.34B,,,,20.34B,227.68B,,,-279.00M,,,,,,,8.597B,,,
1999-05,3.542B,3.542B,,,4.004B,130.83B,,,,,,,,,,,71.51B,,91.07B,244.63B,,,,35.10B,,35.10B,31.60B,31.60B,31.60B,132.17B,21.85B,,21.85B,,,,21.85B,236.78B,,,-917.00M,,,,,,,7.856B,,,
