,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,PensionLiability,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,131.42B,131.42B,59.78B,36.16B,95.93B,362.53B,25.84B,25.84B,-8.73B,17.11B,,,4.106B,74.96B,882.00M,74.08B,347.96B,,443.26B,968.61B,,192.62B,2.793B,195.41B,5.511B,200.92B,58.74B,58.74B,58.74B,352.88B,239.40B,,239.40B,153.44B,5.881B,,398.72B,882.01B,,11.21B,95.94B,54.00B,76.18B,11.20B,,,-958.00M,86.60B,,AOR,Restated
2018-03,120.50B,120.50B,70.27B,45.33B,115.60B,367.57B,24.39B,24.39B,-8.61B,15.78B,,,4.049B,72.46B,764.00M,71.70B,336.88B,,428.40B,973.54B,,190.99B,2.217B,193.21B,5.127B,198.34B,63.74B,63.74B,63.74B,356.77B,236.69B,,236.69B,150.94B,4.278B,,391.91B,889.96B,,11.21B,93.91B,53.99B,76.18B,11.20B,,,-1.77B,83.58B,,AOR,Restated
2017-12,110.05B,110.05B,84.79B,9.214B,94.00B,324.88B,23.37B,23.37B,-8.28B,15.09B,,,4.038B,66.74B,803.00M,65.93B,315.99B,,401.05B,916.78B,,178.17B,4.051B,182.22B,5.452B,187.67B,61.82B,61.82B,61.82B,334.21B,227.58B,,227.58B,138.60B,6.866B,,373.05B,834.53B,,11.86B,91.52B,53.36B,75.39B,11.85B,,,-1.88B,82.24B,,AOR,Restated
2017-09,116.61B,116.61B,59.70B,39.08B,98.77B,327.92B,23.26B,23.26B,-8.46B,14.80B,,,4.058B,62.22B,737.00M,61.49B,333.47B,,413.82B,930.13B,,202.99B,1.747B,204.73B,4.944B,209.68B,56.24B,56.24B,56.24B,352.34B,223.73B,,223.73B,132.76B,6.569B,,363.06B,843.84B,,11.21B,93.96B,53.29B,73.81B,11.20B,,,-1.716B,86.29B,,AOR,Restated
2017-06,110.89B,110.89B,59.34B,42.44B,101.78B,328.22B,22.19B,22.19B,-8.21B,13.98B,,,4.08B,54.67B,717.00M,53.95B,327.98B,,399.99B,906.52B,,199.56B,1.61B,201.17B,4.691B,205.86B,53.05B,53.05B,53.05B,342.55B,216.01B,,216.01B,125.54B,5.228B,,346.79B,819.84B,,11.21B,92.22B,53.19B,71.64B,11.20B,,,-1.615B,86.68B,,AOR,Restated
2017-03,123.04B,123.04B,54.46B,34.93B,89.39B,329.71B,21.29B,21.29B,-7.92B,13.37B,,,4.067B,50.93B,542.00M,50.38B,309.09B,,376.92B,894.07B,,196.26B,1.624B,197.88B,4.557B,202.44B,47.12B,47.12B,47.12B,338.09B,211.25B,,211.25B,127.93B,3.714B,,342.89B,807.15B,,11.21B,90.90B,53.18B,70.17B,11.20B,,,-1.37B,86.92B,,AOR,Restated
2016-12,121.71B,121.71B,47.78B,27.36B,75.14B,313.78B,19.75B,19.75B,-7.68B,12.07B,,,4.095B,50.18B,509.00M,49.67B,295.95B,,361.79B,860.16B,,188.46B,1.794B,190.25B,4.22B,194.47B,52.38B,52.38B,52.38B,318.67B,198.08B,,198.08B,124.10B,7.258B,,329.43B,773.27B,,11.21B,89.04B,52.64B,68.69B,11.20B,,,-1.216B,86.89B,,AOR,Restated
2016-09,99.54B,99.54B,53.86B,35.24B,89.09B,282.84B,19.51B,19.51B,-8.16B,11.35B,,,4.104B,49.56B,491.00M,49.06B,292.63B,,357.15B,879.99B,,204.49B,1.527B,206.01B,4.432B,210.45B,58.01B,58.01B,58.01B,342.36B,198.46B,,198.46B,124.55B,6.655B,,329.66B,792.88B,,11.21B,87.16B,52.54B,67.20B,11.20B,,,-582.00M,87.11B,,AOR,Restated
2016-06,103.29B,103.29B,51.71B,36.11B,87.82B,298.28B,18.73B,18.73B,-7.98B,10.75B,,,4.145B,48.72B,512.00M,48.21B,280.22B,,343.32B,896.84B,,217.94B,1.453B,219.39B,4.448B,223.84B,59.52B,59.52B,59.52B,360.89B,193.16B,,193.16B,123.71B,5.254B,,322.12B,810.33B,,11.21B,85.34B,52.48B,65.92B,11.20B,,,-551.00M,86.51B,,AOR,Restated
2016-03,79.17B,79.17B,49.40B,32.25B,81.65B,289.34B,18.56B,18.56B,-7.95B,10.61B,,,4.136B,48.41B,489.00M,47.92B,287.14B,,349.81B,878.04B,,210.94B,1.213B,212.15B,7.426B,219.58B,61.84B,61.84B,61.84B,359.03B,191.71B,,191.71B,104.87B,3.758B,,300.34B,791.20B,,11.21B,83.99B,52.47B,64.18B,11.20B,,,-478.00M,86.84B,,AOR,Restated
2015-12,93.44B,93.44B,46.43B,36.31B,82.74B,310.49B,17.73B,17.73B,-7.77B,9.956B,,,4.148B,45.82B,414.00M,45.41B,313.76B,,373.27B,861.40B,,210.36B,1.28B,211.64B,8.355B,220.00B,57.02B,57.02B,57.02B,363.09B,186.44B,,186.44B,97.52B,8.298B,,292.26B,774.67B,,11.21B,83.39B,51.34B,62.64B,11.20B,,,-718.00M,86.73B,,AOR,Restated
2015-09,65.58B,65.58B,52.02B,55.79B,107.81B,300.28B,19.97B,19.97B,-8.30B,11.67B,,,4.168B,42.52B,333.00M,42.19B,290.76B,,348.79B,880.56B,,222.78B,1.47B,224.25B,6.311B,230.56B,55.51B,55.51B,55.51B,375.55B,188.28B,,188.28B,91.46B,8.202B,,287.94B,792.86B,,11.21B,83.10B,51.28B,60.99B,11.20B,,,-911.00M,87.70B,,AOR,Restated
2015-06,60.84B,60.84B,56.35B,47.84B,104.18B,288.65B,19.83B,19.83B,-8.23B,11.60B,,,4.166B,38.67B,274.00M,38.40B,303.75B,,357.91B,859.88B,,206.11B,1.58B,207.69B,6.095B,213.79B,58.62B,58.62B,58.62B,360.05B,183.16B,,183.16B,89.06B,7.732B,,279.95B,772.22B,,11.21B,82.07B,51.21B,59.94B,11.20B,,,-908.00M,87.65B,,AOR,Restated
2015-03,63.13B,63.13B,58.59B,48.22B,106.82B,283.17B,18.80B,18.80B,-8.60B,10.20B,,,4.186B,32.85B,228.00M,32.62B,326.29B,,373.29B,865.46B,,223.29B,1.613B,224.90B,4.863B,229.76B,58.70B,58.70B,58.70B,374.30B,174.38B,,174.38B,86.07B,5.624B,,266.07B,780.33B,,9.209B,81.46B,51.01B,59.70B,9.20B,,,-771.00M,85.13B,,AOR,Restated
2014-12,57.60B,57.60B,63.81B,39.01B,102.82B,288.35B,18.32B,18.32B,-8.98B,9.344B,,,4.16B,29.17B,228.00M,28.94B,312.61B,,355.05B,855.84B,,213.57B,1.533B,215.10B,4.751B,219.86B,60.10B,60.10B,60.10B,368.17B,175.39B,,175.39B,82.88B,8.544B,,266.82B,773.04B,,9.209B,78.98B,50.05B,58.47B,9.20B,,,-743.00M,82.80B,,AOR,Restated
2014-09,54.15B,54.15B,97.63B,36.14B,133.77B,313.59B,17.76B,17.76B,-9.08B,8.682B,,,4.386B,,,,325.72B,,338.78B,868.93B,,219.35B,1.402B,220.75B,4.369B,225.12B,67.14B,67.14B,67.14B,388.92B,172.98B,,172.98B,77.95B,8.06B,,258.99B,786.66B,,9.209B,77.23B,50.02B,57.22B,9.20B,,,-643.00M,82.28B,,AOR,Restated
2014-06,56.98B,56.98B,91.01B,37.87B,128.88B,294.96B,18.39B,18.39B,-9.51B,8.884B,,,4.469B,,,,346.21B,,359.56B,859.91B,,211.52B,1.342B,212.86B,5.27B,218.13B,64.49B,64.49B,64.49B,389.59B,174.01B,,174.01B,73.75B,7.122B,,254.88B,778.28B,,9.208B,75.34B,49.94B,55.98B,9.20B,,,-595.00M,81.63B,,AOR,Restated
