,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,2.967B,345.00M,3.312B,3.291B,,3.628B,1.416B,2.182B,3.47B,652.00M,,,11.06B,,,,,8.753B,-4.666B,4.087B,1.288B,990.00M,2.278B,1.418B,,1.713B,10.51B,21.57B,2.597B,305.00M,2.902B,1.198B,4.10B,,316.00M,,187.00M,503.00M,133.00M,636.00M,540.00M,540.00M,,5.709B,3.609B,322.00M,3.931B,301.00M,837.00M,1.138B,635.00M,756.00M,81.00M,941.00M,,384.00M,7.218B,12.93B,2.385B,15.12B,,7.696B,,,-700.00M,-1.335B,-72.00M,-2.107B,7.70B
2020-06,1.751B,353.00M,2.104B,3.069B,,3.441B,1.519B,2.268B,3.655B,634.00M,,,9.834B,,,,,8.62B,-4.553B,4.067B,1.284B,1.017B,2.301B,1.362B,,1.752B,10.48B,20.31B,2.281B,289.00M,2.57B,1.176B,3.746B,,2.027B,,175.00M,2.202B,136.00M,2.338B,523.00M,523.00M,,6.916B,1.639B,339.00M,1.978B,292.00M,829.00M,1.121B,636.00M,758.00M,103.00M,938.00M,,379.00M,5.268B,12.18B,2.353B,14.81B,,7.729B,,,,,-2.242B,-2.242B,7.192B
2020-03,1.691B,339.00M,2.03B,3.234B,,3.505B,1.488B,2.223B,3.579B,676.00M,,,9.79B,,,,,8.578B,-4.45B,4.128B,1.283B,965.00M,2.248B,1.304B,,1.617B,10.29B,20.08B,2.648B,266.00M,2.914B,1.313B,4.227B,,1.617B,,154.00M,1.771B,135.00M,1.906B,527.00M,527.00M,,6.982B,1.58B,349.00M,1.929B,292.00M,837.00M,1.129B,640.00M,769.00M,,950.00M,,316.00M,5.076B,12.06B,2.335B,14.73B,,7.744B,,,,,,-2.25B,7.068B
2019-12,1.129B,341.00M,1.47B,3.67B,,3.67B,1.395B,2.214B,3.486B,761.00M,,,9.387B,2.487B,,5.618B,594.00M,8.699B,-4.454B,4.245B,1.286B,1.003B,2.289B,1.237B,,1.578B,10.35B,19.74B,2.534B,280.00M,2.814B,1.431B,4.245B,,660.00M,,131.00M,791.00M,131.00M,922.00M,533.00M,533.00M,,6.26B,1.576B,370.00M,1.946B,306.00M,821.00M,1.127B,645.00M,797.00M,,958.00M,,204.00M,5.012B,11.27B,2.346B,14.42B,,7.225B,,,,,,-2.028B,7.507B
2019-09,1.56B,303.00M,1.863B,3.677B,,3.934B,1.526B,2.421B,3.821B,610.00M,,,10.23B,,,,,8.452B,-4.396B,4.056B,1.288B,1.022B,2.31B,1.25B,,1.532B,10.12B,20.35B,2.83B,317.00M,3.147B,1.373B,4.52B,,902.00M,,140.00M,1.042B,124.00M,1.166B,545.00M,545.00M,,6.725B,1.619B,333.00M,1.952B,301.00M,769.00M,1.07B,645.00M,682.00M,,943.00M,,226.00M,4.868B,11.59B,2.322B,14.32B,,6.784B,,,,,,-2.04B,7.81B
2019-06,1.397B,335.00M,1.732B,3.899B,,4.179B,1.591B,2.431B,3.896B,643.00M,,,10.45B,,,,,8.424B,-4.347B,4.077B,1.125B,901.00M,2.026B,1.274B,,1.467B,9.804B,20.25B,2.991B,261.00M,3.252B,1.343B,4.595B,,434.00M,,165.00M,599.00M,125.00M,724.00M,505.00M,505.00M,,6.289B,1.624B,321.00M,1.945B,278.00M,726.00M,1.004B,663.00M,683.00M,,918.00M,,181.00M,4.769B,11.06B,2.307B,13.90B,,6.082B,,,,,,-1.84B,8.278B
2019-03,1.328B,246.00M,1.574B,3.765B,,4.025B,1.598B,2.427B,3.893B,599.00M,,,10.09B,,,,,8.349B,-4.283B,4.066B,1.125B,895.00M,2.02B,1.303B,,1.427B,9.755B,19.85B,3.018B,302.00M,3.32B,1.293B,4.613B,,709.00M,,107.00M,816.00M,125.00M,941.00M,509.00M,509.00M,,6.427B,1.605B,302.00M,1.907B,275.00M,697.00M,972.00M,682.00M,675.00M,,907.00M,,163.00M,4.692B,11.12B,2.273B,13.40B,,6.111B,,,,,,-1.739B,7.82B
2018-12,1.303B,222.00M,1.525B,3.866B,,3.866B,1.487B,2.405B,3.759B,668.00M,,,9.818B,2.398B,,5.391B,530.00M,8.319B,-4.223B,4.096B,1.126B,909.00M,2.035B,1.222B,,962.00M,9.244B,19.06B,2.822B,293.00M,3.115B,1.213B,4.328B,,780.00M,,99.00M,879.00M,0.00,879.00M,498.00M,498.00M,,6.384B,1.597B,0.00,1.597B,263.00M,658.00M,921.00M,740.00M,705.00M,,911.00M,,163.00M,4.419B,10.80B,2.271B,12.92B,,6.028B,,,,,,-1.807B,7.348B
2018-09,1.222B,185.00M,1.407B,3.67B,,3.929B,1.496B,2.466B,3.831B,696.00M,,,9.863B,,,,,8.079B,-4.209B,3.87B,1.11B,950.00M,2.06B,1.255B,,922.00M,9.129B,18.99B,2.98B,286.00M,3.266B,1.172B,4.438B,,800.00M,,102.00M,902.00M,,902.00M,500.00M,500.00M,,6.416B,1.563B,,1.563B,263.00M,637.00M,900.00M,790.00M,778.00M,,869.00M,,161.00M,4.516B,10.93B,2.151B,12.52B,,5.674B,,,,,,-1.799B,7.191B
2018-06,1.318B,214.00M,1.532B,3.794B,,4.095B,1.355B,2.329B,3.559B,649.00M,,,9.835B,,,,,7.982B,-4.158B,3.824B,1.079B,940.00M,2.019B,1.303B,,912.00M,9.08B,18.92B,2.981B,280.00M,3.261B,990.00M,4.251B,,802.00M,,104.00M,906.00M,,906.00M,479.00M,479.00M,,6.104B,1.556B,,1.556B,400.00M,622.00M,1.022B,880.00M,772.00M,,895.00M,,135.00M,4.617B,10.72B,2.239B,12.01B,,5.276B,,,,,,-1.667B,7.299B
