,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,OtherCashfromOperations,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,602.10M,,,,-11.10M,-11.30M,,,131.10M,131.10M,23.50M,12.40M,2.80M,33.80M,,238.40M,-78.70M,-17.40M,-454.80M,,,,481.90M,,2020-09,-119.90M,0.20M,0.20M,-76.40M,,,264.20M,,2020-09,-9.50M,0.00,-9.50M,,-213.60M,-213.60M,-391.00M,-391.00M,3.146B,2.524B,,2020-09,3.270B,37.90M,10.36B,,2020-09,,991.10M,-213.60M,45.40M,27.30M,,2020-09,AOR,
2020-06,411.60M,,,,3.00M,-0.90M,,,124.50M,124.50M,-31.70M,9.50M,29.90M,24.10M,,248.10M,167.80M,-58.20M,-148.10M,,,,776.60M,,2020-06,-216.10M,5.80M,5.80M,-182.70M,0.00,,2.678B,,2020-06,-0.60M,,-0.60M,,0.00,0.00,-391.60M,-391.60M,-4.551B,-4.927B,,2020-06,-1.472B,6.90M,7.054B,,2020-06,,,0.00,156.90M,1.00M,,2020-06,AOR,
2020-03,820.90M,,,,-14.20M,-14.20M,,,120.60M,120.60M,13.60M,14.40M,0.00,33.40M,,269.80M,-82.80M,99.90M,-156.90M,,,,1.119B,,2020-03,-131.90M,0.00,0.00,-93.30M,0.00,,603.50M,,2020-03,-0.50M,,-0.50M,,-391.20M,-391.20M,-392.90M,-392.90M,-5.742B,-6.489B,,2020-03,-4.767B,-29.20M,8.519B,,2020-03,,,-391.20M,169.80M,33.20M,,2020-03,AOR,
2019-12,651.60M,,,,2.30M,2.10M,,,117.60M,117.60M,-0.30M,14.10M,0.00,36.20M,,223.30M,-102.00M,-30.80M,-213.70M,,,,698.10M,,2019-12,-123.40M,0.20M,0.20M,-79.50M,0.00,,-247.10M,,2019-12,-0.60M,-3.537B,-3.537B,,-305.40M,-305.40M,-342.70M,-342.70M,14.73B,10.57B,,2019-12,11.02B,20.90M,13.32B,,2019-12,,-3.537B,-305.40M,304.80M,17.00M,,2019-12,AOR,
2019-09,582.40M,,,,-2.70M,-4.60M,,,117.30M,117.30M,44.40M,12.20M,0.00,37.10M,,239.20M,-96.80M,-106.70M,-391.70M,,,,432.80M,,2019-09,-145.00M,23.40M,23.40M,-88.20M,,,122.20M,,2019-09,-0.50M,3.537B,3.536B,,-309.70M,-309.70M,-343.30M,-343.30M,-7.897B,-5.046B,,2019-09,-4.491B,-33.10M,2.272B,,2019-09,,3.537B,-309.70M,45.60M,53.60M,,2019-09,AOR,Restated
2019-06,475.40M,,,,14.40M,-1.30M,,,109.40M,109.40M,5.20M,11.20M,0.00,45.10M,,237.40M,52.80M,35.40M,-238.30M,,,,732.30M,,2019-06,-116.30M,0.00,0.00,-74.60M,-5.10M,,-999.80M,,2019-06,-0.50M,,-0.50M,,-177.10M,-177.10M,-343.40M,-343.40M,-6.654B,-7.153B,,2019-06,-7.421B,5.30M,6.796B,,2019-06,,,-177.10M,196.10M,18.90M,,2019-06,AOR,Restated
2019-03,753.80M,,,,9.50M,9.50M,,,103.10M,103.10M,-28.90M,11.50M,0.00,45.20M,,227.80M,143.30M,-86.30M,-154.50M,,,,1.024B,,2019-03,-230.90M,0.00,0.00,-190.60M,0.00,,-728.70M,,2019-03,-0.50M,-1.206B,-1.206B,,-234.00M,-234.00M,-344.60M,-344.60M,10.17B,8.434B,,2019-03,8.730B,-2.00M,14.21B,,2019-03,,-1.206B,-234.00M,157.40M,35.30M,,2019-03,AOR,Restated
2018-12,558.20M,,,,14.40M,10.30M,,,97.50M,97.50M,6.60M,13.10M,0.00,38.60M,,225.70M,-430.80M,386.30M,-123.20M,,,,782.30M,,2018-12,-102.30M,7.90M,7.90M,-65.50M,-0.70M,,-16.50M,,2018-12,-0.60M,1.206B,1.205B,,-299.50M,-299.50M,-302.40M,-302.40M,-304.00M,329.40M,,2018-12,1.095B,-19.50M,5.484B,,2018-12,,1.206B,-299.50M,241.00M,23.90M,,2018-12,AOR,Restated
2018-09,505.40M,,,,17.10M,17.10M,,,99.00M,99.00M,26.40M,14.30M,12.10M,38.40M,,227.00M,-239.20M,-80.10M,-471.20M,,,,149.20M,,2018-09,-117.00M,0.00,0.00,-73.80M,-119.70M,,-452.70M,,2018-09,-0.50M,0.00,-0.50M,,-227.10M,-227.10M,-302.60M,-302.60M,-1.263B,-1.818B,,2018-09,-2.121B,-12.60M,4.408B,,2018-09,,,-227.10M,39.30M,49.40M,,2018-09,AOR,Restated
2018-06,140.90M,,,,322.20M,321.50M,,,99.30M,99.30M,-6.50M,15.90M,0.00,56.00M,,224.10M,-52.50M,68.70M,-162.20M,,,,705.20M,,2018-06,-115.40M,0.40M,0.40M,-68.90M,0.00,,-546.60M,,2018-06,-0.50M,,-0.50M,,-393.10M,-393.10M,-278.60M,-278.60M,-6.365B,-7.014B,,2018-06,-6.856B,-47.30M,6.542B,,2018-06,,,-393.10M,106.70M,14.00M,,2018-06,AOR,Restated
2018-03,661.00M,,,,2.70M,2.70M,,,96.30M,96.30M,17.30M,17.70M,0.00,41.70M,,218.40M,97.80M,10.50M,-28.50M,,,,1.135B,,2018-03,-104.70M,0.00,0.00,-63.40M,-125.00M,,-631.70M,,2018-03,-0.50M,,-0.50M,,-187.90M,-187.90M,-278.40M,-278.40M,-506.90M,-922.10M,,2018-03,-418.90M,4.00M,13.44B,,2018-03,,,-187.90M,33.80M,32.20M,,2018-03,AOR,Restated
2017-12,670.40M,,,,2.80M,2.80M,,,94.80M,94.80M,-218.20M,18.50M,0.00,38.70M,,212.80M,-255.40M,72.90M,-206.90M,,,,430.40M,,2017-12,-107.70M,0.00,0.00,-62.70M,-487.40M,,-1.034B,,2017-12,-5.40M,0.00,-5.40M,,-158.20M,-158.20M,-253.00M,-253.00M,8.752B,8.345B,,2017-12,7.742B,34.90M,13.86B,,2017-12,,0.00,-158.20M,347.30M,12.90M,,2017-12,AOR,Restated
2017-09,412.60M,,,,2.70M,2.70M,,,87.20M,87.20M,55.40M,19.40M,0.00,39.00M,,214.30M,-81.70M,-43.50M,-460.70M,,,,244.70M,,2017-09,-143.00M,,,-69.70M,0.00,,-292.60M,,2017-09,-0.90M,,-0.90M,,-250.10M,-250.10M,-253.70M,-253.70M,-1.545B,-2.065B,,2017-09,-2.113B,14.20M,6.083B,,2017-09,,,-250.10M,41.90M,41.40M,,2017-09,AOR,Restated
2017-06,320.20M,0.00,,,6.10M,6.10M,,,82.50M,82.50M,19.10M,19.80M,,37.70M,,800.20M,113.50M,44.60M,-986.50M,,,,457.20M,,2017-06,-134.00M,,,-68.30M,-0.70M,,-158.50M,,2017-06,-0.50M,,-0.50M,,-302.80M,-302.80M,-255.80M,-255.80M,-6.757B,-7.295B,,2017-06,-6.996B,73.10M,8.182B,,2017-06,,,-302.80M,247.90M,8.30M,,2017-06,AOR,Restated
2017-03,588.00M,0.00,,,6.00M,6.00M,,,77.60M,77.60M,-5.50M,20.60M,,34.30M,,11.20M,29.60M,74.60M,-8.80M,,,,827.60M,,2017-03,-110.30M,,,-55.50M,-66.70M,,-460.90M,,2017-03,-0.50M,,-0.50M,,-191.50M,-191.50M,-257.10M,-257.10M,3.437B,3.043B,,2017-03,3.410B,-26.00M,15.10B,,2017-03,,,-191.50M,236.60M,30.60M,,2017-03,AOR,Restated
2016-12,510.90M,-121.40M,,,6.00M,-115.40M,,,78.40M,78.40M,-4.20M,22.30M,,35.80M,,5.40M,-240.70M,141.30M,77.50M,,,,511.30M,,2016-12,-120.40M,,,-49.40M,234.00M,,-96.90M,,2016-12,-0.50M,,-0.50M,,-436.70M,-436.70M,-240.50M,-240.50M,6.128B,5.484B,,2016-12,5.899B,-38.80M,11.72B,,2016-12,,,-436.70M,296.30M,5.80M,,2016-12,AOR,Restated
2016-09,368.70M,,,,6.10M,6.10M,,,77.60M,77.60M,31.90M,23.20M,,31.10M,,8.20M,121.00M,-116.40M,-221.60M,,,,329.80M,,2016-09,-105.90M,,,-57.20M,-20.00M,,-396.90M,,2016-09,-0.50M,,-0.50M,,-328.60M,-328.60M,-241.80M,-241.80M,-8.928B,-9.514B,,2016-09,-9.581B,-16.30M,5.862B,,2016-09,,,-328.60M,36.30M,33.40M,,2016-09,AOR,Restated
