,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,OtherReceivables,TotalReceivables,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,AsOriginallyReported,Restated
2020-09,1.613B,,1.613B,2.489B,,,2.489B,,29.95B,762.90M,34.82B,,,,1.180B,1.180B,,1.180B,2.326B,1.216B,3.542B,,,16.10M,2.398B,438.00M,7.575B,42.39B,,2020-09,133.00M,631.30M,2.395B,3.026B,,,,,205.00M,205.00M,29.10B,32.33B,1.994B,330.40M,2.324B,743.00M,370.40M,1.113B,813.90M,4.252B,36.58B,,18.64B,1.348B,14.26B,15.90M,5.809B,AOR,
2020-06,1.908B,0.00,1.908B,2.441B,,,2.441B,,26.71B,506.20M,31.56B,737.20M,,1.492B,493.70M,2.722B,-1.525B,1.198B,2.309B,1.216B,3.525B,,,18.60M,2.402B,458.40M,7.601B,39.17B,,2020-06,40.10M,529.40M,2.538B,3.067B,,,1.002B,1.002B,212.50M,212.50M,25.85B,30.13B,1.003B,344.40M,1.347B,731.90M,370.60M,1.102B,837.00M,3.287B,33.41B,,18.44B,1.334B,14.07B,-14.80M,5.752B,AOR,
2020-03,1.705B,3.20M,1.708B,2.621B,,,2.621B,,30.83B,545.50M,35.71B,,,,1.264B,1.264B,,1.264B,2.299B,1.107B,3.406B,,,21.60M,2.403B,579.90M,7.675B,43.38B,,2020-03,50.10M,553.50M,2.543B,3.096B,,,1.002B,1.002B,215.80M,215.80M,30.36B,34.67B,1.003B,361.20M,1.364B,732.20M,378.10M,1.110B,745.60M,3.220B,37.89B,,18.42B,1.315B,14.07B,-234.40M,5.491B,AOR,
2019-12,1.500B,7.20M,1.508B,2.588B,,,2.588B,,36.61B,660.90M,41.36B,,,,1.262B,1.262B,,1.262B,2.315B,1.102B,3.417B,,,21.60M,2.397B,596.60M,7.694B,49.06B,,2019-12,38.10M,560.30M,2.480B,3.040B,,,1.002B,1.002B,210.40M,210.40M,36.27B,40.52B,1.003B,360.20M,1.363B,702.40M,381.00M,1.083B,726.00M,3.173B,43.70B,,17.99B,1.254B,13.71B,-231.20M,5.364B,AOR,
2019-09,1.404B,3.545B,4.949B,2.490B,,,2.490B,,21.39B,675.90M,29.51B,,,,1.271B,1.271B,,1.271B,2.303B,1.079B,3.382B,,,22.10M,2.401B,1.129B,8.206B,37.71B,,2019-09,123.70M,571.60M,2.438B,3.010B,3.537B,1.001B,4.538B,4.538B,213.10M,213.10M,21.44B,29.20B,1.003B,355.40M,1.359B,708.20M,378.20M,1.086B,707.90M,3.153B,32.35B,,17.73B,1.214B,13.41B,-233.90M,5.361B,AOR,Restated
2019-06,1.949B,10.50M,1.960B,2.439B,,,2.439B,,29.43B,509.10M,34.34B,781.20M,,1.401B,,2.182B,-1.418B,764.20M,2.323B,1.072B,3.394B,,,23.80M,2.428B,934.40M,7.545B,41.89B,,2019-06,54.80M,520.40M,2.480B,3.000B,,,,,220.70M,220.70M,29.41B,32.63B,2.002B,0.00,2.002B,659.90M,399.30M,1.059B,798.70M,3.860B,36.49B,,17.50B,1.183B,13.09B,-257.30M,5.400B,AOR,Restated
2019-03,1.826B,,1.826B,2.485B,,,2.485B,,36.08B,534.40M,40.92B,,,,,,,765.80M,2.316B,1.063B,3.379B,,,25.60M,2.362B,740.30M,7.272B,48.20B,,2019-03,99.70M,596.00M,2.286B,2.882B,,,,,228.30M,228.30M,36.06B,39.17B,2.002B,,2.002B,615.80M,406.20M,1.022B,759.80M,3.784B,42.95B,,17.37B,1.140B,12.91B,-411.90M,5.246B,AOR,Restated
2018-12,2.786B,,2.786B,2.638B,,,2.638B,,25.61B,653.00M,31.68B,,,,,,,772.70M,2.321B,926.70M,3.248B,,,25.20M,2.338B,739.70M,7.124B,38.81B,,2018-12,29.40M,521.70M,2.503B,3.025B,1.206B,,1.206B,1.206B,224.00M,224.00M,25.84B,30.30B,2.002B,,2.002B,580.50M,410.20M,990.70M,752.50M,3.746B,34.04B,,16.96B,1.076B,12.72B,-615.00M,4.764B,AOR,Restated
2018-09,1.490B,,1.490B,2.216B,,,2.216B,,25.40B,846.50M,29.96B,,,,,,,787.70M,2.325B,917.20M,3.242B,,,25.20M,2.352B,1.053B,7.461B,37.42B,,2018-09,75.40M,506.00M,2.050B,2.556B,,,,,229.00M,229.00M,26.25B,29.04B,2.002B,,2.002B,533.20M,428.60M,961.80M,736.40M,3.701B,32.74B,,16.74B,1.035B,12.42B,-740.10M,4.679B,AOR,Restated
2018-06,2.17B,,2.17B,1.984B,,,1.984B,,27.14B,531.30M,31.82B,791.80M,,1.344B,,2.136B,-1.343B,793.70M,2.244B,886.40M,3.130B,,,25.50M,2.377B,699.30M,7.026B,38.85B,,2018-06,43.90M,478.20M,2.215B,2.694B,,,,,225.70M,225.70M,27.49B,30.41B,2.002B,,2.002B,522.00M,448.10M,970.10M,728.00M,3.700B,34.11B,,16.55B,1.015B,12.21B,-679.80M,4.736B,AOR,Restated
2018-03,2.294B,,2.294B,2.043B,,,2.043B,,33.65B,730.30M,38.71B,,,,,,,794.60M,2.263B,875.30M,3.139B,,,27.30M,,1.391B,5.352B,44.07B,,2018-03,80.20M,461.00M,2.101B,2.562B,,,,,235.40M,235.40M,33.94B,36.74B,2.002B,,2.002B,105.50M,391.40M,496.90M,795.80M,3.295B,40.04B,,15.47B,964.10M,11.83B,-638.80M,4.029B,AOR,Restated
2017-12,1.773B,,1.773B,2.046B,,,2.046B,,34.45B,1.080B,39.35B,,,,,,,799.90M,2.164B,832.70M,2.997B,,,27.40M,,1.371B,5.196B,44.55B,,2017-12,22.80M,434.80M,2.080B,2.515B,,,,,227.50M,227.50M,34.51B,37.25B,2.002B,,2.002B,148.60M,387.60M,536.20M,824.80M,3.363B,40.61B,,15.06B,903.50M,11.66B,-432.60M,3.931B,AOR,Restated
2017-09,2.364B,,2.364B,1.789B,,,1.789B,,25.69B,1.164B,31.00B,,,,,,,800.40M,1.757B,687.30M,2.445B,,,27.30M,,1.386B,4.658B,35.66B,,2017-09,87.00M,448.60M,1.882B,2.330B,,,,,230.50M,230.50M,25.73B,28.29B,2.002B,,2.002B,196.00M,387.50M,583.50M,835.50M,3.421B,31.71B,,14.87B,869.80M,11.51B,-344.60M,3.953B,AOR,Restated
2017-06,2.780B,,2.780B,1.704B,,,1.704B,,27.29B,883.20M,32.66B,778.10M,,1.253B,,2.031B,-1.252B,779.90M,1.741B,620.20M,2.361B,,,28.00M,,1.352B,4.521B,37.18B,,2017-06,49.00M,449.20M,1.944B,2.394B,,,,,232.90M,232.90M,27.19B,29.82B,2.002B,,2.002B,163.10M,391.40M,554.50M,830.20M,3.387B,33.20B,,14.73B,867.80M,11.30B,-379.20M,3.977B,AOR,Restated
2017-03,2.996B,,2.996B,1.812B,,,1.812B,,33.89B,820.30M,39.51B,,,,,,,750.60M,1.727B,594.80M,2.322B,,,27.00M,,1.242B,4.342B,43.86B,,2017-03,133.80M,511.30M,1.863B,2.375B,,,,,227.20M,227.20M,33.82B,36.42B,2.002B,,2.002B,108.90M,386.80M,495.70M,836.10M,3.334B,39.75B,,14.72B,833.50M,11.00B,-513.20M,4.103B,AOR,Restated
2016-12,2.705B,,2.705B,1.840B,,,1.840B,,30.43B,837.00M,35.81B,,,,,,,733.20M,1.653B,552.40M,2.205B,,,24.60M,,1.228B,4.191B,40.00B,,2016-12,82.70M,473.30M,1.865B,2.338B,,,,,215.40M,215.40M,30.40B,32.96B,2.002B,,2.002B,85.10M,369.80M,454.90M,770.60M,3.228B,36.18B,,14.38B,784.20M,10.85B,-566.70M,3.815B,AOR,Restated
2016-09,2.777B,41.00M,2.818B,1.621B,,,1.621B,,24.79B,898.80M,30.12B,,,,,,,701.00M,1.698B,553.80M,2.252B,7.80M,,26.60M,,1.226B,4.213B,34.34B,,2016-09,101.70M,456.80M,1.693B,2.150B,,,,,220.60M,220.60M,24.35B,26.72B,2.008B,,2.008B,244.50M,381.80M,626.30M,734.00M,3.368B,30.09B,,14.13B,750.40M,10.45B,-246.40M,4.250B,AOR,Restated
2016-06,3.191B,,3.191B,1.743B,,,1.743B,,33.84B,725.30M,39.50B,745.70M,,1.095B,,1.841B,-1.156B,685.00M,1.682B,534.20M,2.216B,,,27.10M,,1.241B,4.170B,43.67B,,2016-06,28.20M,418.90M,1.864B,2.282B,,,,,233.20M,233.20M,33.33B,35.85B,2.008B,,2.008B,251.10M,381.10M,632.20M,701.10M,3.341B,39.19B,,14.00B,768.10M,10.14B,-215.10M,4.482B,AOR,Restated
2016-03,2.941B,23.70M,2.965B,2.074B,,,2.074B,,41.05B,728.00M,46.82B,,,,,,,668.80M,1.689B,513.90M,2.203B,7.80M,,27.50M,,1.399B,4.307B,51.13B,,2016-03,68.60M,465.80M,1.859B,2.325B,,,,,243.90M,243.90M,40.68B,43.25B,2.008B,,2.008B,281.60M,375.20M,656.80M,707.50M,3.372B,46.62B,,13.96B,735.80M,10.09B,-160.00M,4.503B,AOR,Restated
2015-12,2.795B,26.90M,2.822B,1.634B,,,1.634B,,30.34B,867.20M,35.66B,,,,,,,679.60M,1.671B,495.30M,2.166B,21.00M,,31.30M,,1.342B,4.240B,39.90B,,2015-12,23.40M,401.70M,1.614B,2.015B,,,,,215.20M,215.20M,30.24B,32.47B,1.995B,,1.995B,192.00M,362.90M,554.90M,675.50M,3.225B,35.69B,,13.67B,694.70M,9.840B,-379.10M,4.206B,AOR,Restated
2015-09,3.185B,27.20M,3.212B,1.547B,18.40M,,1.565B,,24.51B,890.30M,30.18B,,,,,,,680.30M,1.685B,476.20M,2.161B,21.30M,,32.60M,,1.309B,4.204B,34.38B,,2015-09,99.00M,471.20M,1.658B,2.129B,,,,,218.10M,218.10M,24.24B,26.59B,1.995B,,1.995B,162.90M,356.70M,519.60M,648.00M,3.163B,29.75B,,13.57B,659.60M,9.414B,-247.40M,4.630B,AOR,Restated
2015-06,1.639B,26.60M,1.666B,1.547B,,,1.547B,,24.87B,731.10M,28.81B,730.60M,,1.046B,,1.776B,-1.104B,672.70M,1.794B,503.20M,2.297B,28.90M,,32.20M,,1.271B,4.301B,33.11B,,2015-06,27.20M,448.10M,1.786B,2.235B,,,,,228.60M,228.60M,24.65B,27.11B,9.20M,,9.20M,172.10M,362.70M,534.80M,644.30M,1.188B,28.30B,,13.46B,663.30M,9.118B,-260.60M,4.808B,AOR,Restated
2015-03,1.809B,26.90M,1.836B,1.564B,16.90M,,1.581B,,28.70B,674.10M,32.79B,,,,,,,646.00M,1.786B,498.30M,2.284B,29.20M,,31.30M,,1.324B,4.314B,37.11B,,2015-03,56.80M,416.40M,1.728B,2.145B,0.00,,0.00,0.00,241.50M,241.50M,28.33B,30.71B,9.70M,,9.70M,228.00M,355.30M,583.30M,621.50M,1.214B,31.93B,,13.35B,614.20M,8.711B,-137.00M,5.178B,AOR,Restated
2014-12,1.851B,101.90M,1.953B,1.578B,17.40M,,1.596B,,34.71B,860.70M,39.12B,,,,,,,650.30M,1.833B,499.30M,2.333B,46.30M,,32.00M,,1.326B,4.387B,43.50B,,2014-12,41.20M,409.60M,1.667B,2.076B,0.00,,0.00,0.00,232.80M,232.80M,34.46B,36.77B,10.30M,,10.30M,238.10M,362.70M,600.80M,629.60M,1.241B,38.01B,,13.09B,584.10M,8.131B,-114.70M,5.492B,AOR,Restated
2014-09,2.176B,2.262B,4.437B,1.373B,17.60M,,1.390B,,19.14B,827.10M,25.79B,,,,,,,650.70M,1.858B,500.40M,2.358B,46.60M,,32.70M,,1.327B,4.415B,30.21B,,2014-09,115.30M,490.80M,1.564B,2.054B,1.937B,,1.937B,1.937B,232.70M,232.70M,18.94B,23.16B,10.90M,,10.90M,230.20M,363.70M,593.90M,616.70M,1.222B,24.38B,,12.99B,565.40M,7.718B,-74.10M,5.827B,AOR,Restated
2014-06,1.584B,2.032B,3.616B,1.415B,84.10M,,1.499B,,19.26B,689.80M,27.49B,705.90M,,1.013B,,1.719B,-1.052B,667.10M,1.884B,491.00M,2.374B,54.10M,,155.40M,,1.316B,4.567B,32.06B,,2014-06,19.70M,398.70M,1.794B,2.193B,2.173B,,2.173B,2.173B,237.10M,237.10M,19.56B,24.17B,11.50M,,11.50M,215.90M,375.20M,591.10M,619.40M,1.222B,25.39B,,13.63B,545.20M,7.75B,178.20M,6.670B,AOR,Restated
2014-03,1.671B,22.90M,1.694B,1.753B,82.50M,,1.835B,,26.24B,759.70M,30.53B,,,,,,,767.50M,3.102B,636.20M,3.738B,54.30M,,148.90M,,1.355B,6.064B,36.60B,,2014-03,95.90M,468.50M,1.781B,2.250B,,,,,336.20M,336.20M,25.99B,28.58B,12.10M,,12.10M,253.30M,509.20M,762.50M,627.60M,1.402B,29.98B,,13.58B,513.60M,7.578B,41.00M,6.616B,AOR,Restated
2013-12,1.267B,22.50M,1.290B,1.648B,81.90M,,1.730B,,28.41B,866.80M,32.30B,,,,,,,739.30M,3.109B,644.50M,3.753B,59.90M,,147.50M,,1.321B,6.021B,38.32B,,2013-12,15.40M,382.70M,1.755B,2.137B,,,,,302.00M,302.00M,28.21B,30.64B,12.60M,,12.60M,285.60M,496.50M,782.10M,623.60M,1.418B,32.06B,,13.28B,474.50M,7.576B,10.70M,6.258B,AOR,Restated
