,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2003-03,1.807B,1.906B,796.58M,1.109B,412.79M,123.40M,,8.168M,,,,603.70M,505.50M,,,,8.168M,,533.00M,203.61M,329.39M,,,329.39M,324.34M,505.50M,,2003-03,0.55,0.00,0.55,,2003-03,0.54,0.00,0.54,,2003-03,0.12,,2003-03,,
2002-12,1.595B,1.683B,702.72M,980.28M,402.00M,121.38M,,35.26M,,,,592.08M,388.20M,,,,35.26M,,423.45M,161.76M,261.69M,,,261.69M,239.90M,388.20M,,2002-12,0.44,0.00,0.44,,2002-12,0.43,0.00,0.43,,2002-12,0.12,,2002-12,,
2002-09,1.557B,1.647B,708.47M,938.22M,447.95M,119.90M,,37.72M,,,,635.54M,302.68M,,,,37.72M,,340.40M,130.00M,210.40M,,,210.40M,187.09M,302.68M,,2002-09,0.35,0.00,0.35,,2002-09,0.34,0.00,0.34,,2002-09,0.115,,2002-09,,
2002-06,1.745B,1.845B,829.83M,1.015B,387.35M,125.09M,,29.94M,,,,580.40M,435.08M,,,,29.94M,,465.02M,177.71M,287.31M,,,287.31M,268.81M,435.08M,,2002-06,0.47,0.00,0.47,,2002-06,0.46,0.00,0.46,,2002-06,0.115,,2002-06,,
2002-03,1.762B,1.870B,772.49M,1.098B,369.22M,116.39M,,33.11M,,,,558.81M,538.74M,,,,33.11M,,571.85M,219.59M,352.26M,,,352.26M,331.86M,538.74M,,2002-03,0.57,0.00,0.57,,2002-03,0.56,0.00,0.56,,2002-03,0.115,,2002-03,,
2001-12,1.571B,1.681B,691.97M,989.06M,393.56M,117.54M,,20.39M,,,,579.55M,409.51M,,,,20.39M,,429.90M,165.30M,264.60M,,,264.60M,252.05M,409.51M,,2001-12,0.43,0.00,0.43,,2001-12,0.42,0.00,0.42,,2001-12,0.115,,2001-12,,
2001-09,1.495B,1.608B,676.35M,931.53M,456.56M,115.83M,,30.52M,,,,641.85M,289.68M,,,,30.52M,,320.20M,123.60M,196.60M,,,196.60M,177.86M,289.68M,,2001-09,0.32,0.00,0.32,,2001-09,0.31,0.00,0.31,,2001-09,0.1025,,2001-09,,
2001-06,1.850B,1.980B,808.76M,1.171B,401.28M,141.14M,,-113.43M,,,,623.30M,547.79M,,,,-113.43M,,420.10M,165.10M,255.00M,,,255.00M,323.85M,547.79M,,2001-06,0.41,0.00,0.41,,2001-06,0.40,0.00,0.40,,2001-06,0.1025,,2001-06,,
2001-03,1.710B,1.854B,754.30M,1.099B,418.10M,126.56M,,0.514M,,,,624.58M,474.89M,,,,0.514M,,475.40M,186.52M,288.88M,,,288.88M,288.57M,474.89M,,2001-03,0.46,0.00,0.46,,2001-03,0.45,0.00,0.45,,2001-03,0.1025,,2001-03,,
2000-12,1.510B,1.640B,677.10M,962.72M,410.63M,127.50M,,-3.166M,,,,616.65M,346.07M,,,,-3.166M,,342.90M,135.46M,207.44M,,,207.44M,209.36M,346.07M,,2000-12,0.33,0.00,0.33,,2000-12,0.32,0.00,0.32,,2000-12,0.1025,,2000-12,,
2000-09,1.428B,1.544B,659.96M,884.17M,435.44M,119.07M,,-0.607M,,,,636.05M,248.12M,,,,-0.607M,,286.61M,113.21M,173.40M,,,173.40M,173.77M,248.12M,,2000-09,0.28,0.00,0.28,,2000-09,0.27,0.00,0.27,,2000-09,0.0875,,2000-09,,
2000-06,1.376B,1.376B,737.69M,637.91M,396.34M,127.65M,,,,,,602.24M,35.67M,,,,,,348.76M,124.97M,223.79M,,,223.79M,223.79M,35.67M,,2000-06,0.35,0.00,0.35,,2000-06,0.35,0.00,0.35,,2000-06,0.0875,,2000-06,,
2000-03,1.720B,1.720B,661.94M,1.058B,446.93M,119.75M,,,,,,639.53M,418.27M,,,,,,415.45M,144.14M,271.31M,,,271.31M,271.31M,418.27M,,2000-03,0.43,0.00,0.43,,2000-03,0.42,0.00,0.42,,2000-03,0.0875,,2000-03,,
1999-12,1.492B,1.492B,613.80M,878.70M,395.10M,109.20M,,,,,,571.80M,306.90M,,,,,,303.20M,103.70M,199.50M,,,199.50M,199.50M,306.90M,,1999-12,0.32,0.00,0.32,,1999-12,0.31,0.00,0.31,,1999-12,0.0875,,1999-12,,
1999-09,1.351B,1.351B,551.10M,800.00M,405.00M,103.70M,,,,,,574.30M,225.70M,,,,,,222.20M,76.00M,146.20M,,,146.20M,146.20M,225.70M,,1999-09,0.23,0.00,0.23,,1999-09,0.23,0.00,0.23,,1999-09,0.0763,,1999-09,,
1999-06,1.471B,1.471B,650.90M,819.70M,351.40M,103.10M,,,,,,523.40M,296.30M,,,,,,292.60M,100.90M,191.70M,,,191.70M,191.70M,296.30M,,1999-06,0.31,0.00,0.31,,1999-06,0.30,0.00,0.30,,1999-06,0.0763,,1999-06,,
1999-03,1.514B,1.514B,611.20M,902.90M,379.50M,102.50M,,,,,,547.40M,355.50M,,,,,,351.70M,126.00M,225.70M,,,225.70M,225.70M,355.50M,,1999-03,0.37,0.00,0.37,,1999-03,0.36,0.00,0.36,,1999-03,0.0763,,1999-03,,
1998-12,1.310B,1.310B,560.80M,749.40M,314.80M,105.70M,,,,,,489.30M,260.10M,,,,,,254.50M,100.50M,154.00M,,,154.00M,154.00M,260.10M,,1998-12,0.25,0.00,0.25,,1998-12,0.24,0.00,0.24,,1998-12,0.0763,,1998-12,,
1998-09,1.245B,1.245B,553.30M,691.80M,329.60M,101.10M,,,,,,500.40M,191.40M,,,,,,185.80M,60.40M,125.40M,,,125.40M,125.40M,191.40M,,1998-09,0.20,0.00,0.20,,1998-09,0.20,0.00,0.20,,1998-09,0.0663,,1998-09,,
1998-06,1.336B,1.336B,343.50M,992.90M,303.20M,,,,,,,747.90M,245.00M,,,,,,240.30M,76.40M,163.90M,,,163.90M,163.90M,245.00M,,1998-06,0.27,0.00,0.27,,1998-06,0.26,0.00,0.26,,1998-06,0.0663,,1998-06,,
