,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2017-06,3.057B,3.057B,1.822B,1.235B,820.20M,,,,22.80M,,-77.30M,820.20M,414.80M,,22.80M,-77.30M,136.70M,-77.30M,474.20M,154.00M,320.20M,,,320.20M,320.20M,497.00M,,2017-06,0.60,0.00,0.60,,2017-06,0.59,0.00,0.59,,2017-06,0.57,,2017-06,AOR,Restated
2017-03,3.411B,3.411B,1.911B,1.500B,665.00M,,,0.00,16.80M,10.10M,-6.70M,665.00M,834.80M,10.10M,16.80M,-6.70M,-0.20M,-6.70M,827.90M,240.00M,587.90M,,,587.90M,588.04M,844.70M,,2017-03,1.32,,1.32,,2017-03,1.31,,1.31,,2017-03,0.57,,2017-03,AOR,Restated
2016-12,2.987B,2.987B,1.768B,1.220B,640.80M,,,205.40M,20.50M,21.30M,0.80M,640.80M,578.70M,21.30M,20.50M,0.80M,206.70M,0.80M,786.20M,275.30M,510.90M,,,510.90M,376.54M,806.70M,,2016-12,1.14,,1.14,,2016-12,1.13,,1.13,,2016-12,0.57,,2016-12,AOR,Restated
2016-09,2.917B,2.917B,1.744B,1.173B,647.70M,,,0.00,19.90M,22.90M,3.00M,647.70M,525.60M,22.90M,19.90M,3.00M,0.10M,3.00M,528.70M,160.00M,368.70M,,,368.70M,368.63M,548.60M,,2016-09,0.82,,0.82,,2016-09,0.81,,0.81,,2016-09,0.53,,2016-09,AOR,Restated
2016-06,2.898B,2.898B,1.699B,1.200B,770.30M,,,0.00,18.10M,16.80M,-1.30M,770.30M,429.40M,16.80M,18.10M,-1.30M,-1.10M,-1.30M,427.00M,145.00M,282.00M,0.00,,282.00M,282.73M,445.10M,,2016-06,0.62,0.00,0.62,,2016-06,0.62,0.00,0.62,,2016-06,0.53,,2016-06,AOR,Restated
2016-03,3.249B,3.249B,1.813B,1.436B,634.40M,,,0.00,16.30M,9.70M,-6.60M,634.40M,801.50M,9.70M,16.30M,-6.60M,-0.10M,-6.60M,794.80M,262.30M,532.50M,0.00,,532.50M,532.57M,811.10M,,2016-03,1.17,0.00,1.17,,2016-03,1.17,0.00,1.17,,2016-03,0.53,,2016-03,AOR,Restated
2015-12,2.807B,2.807B,1.682B,1.124B,627.20M,,,13.90M,16.80M,17.30M,0.50M,627.20M,497.30M,17.30M,16.80M,0.50M,10.10M,0.50M,507.90M,166.50M,341.40M,0.00,,341.40M,334.61M,524.70M,,2015-12,0.75,0.00,0.75,,2015-12,0.74,0.00,0.74,,2015-12,0.53,,2015-12,AOR,Restated
2015-09,2.714B,2.714B,1.646B,1.068B,605.30M,,,29.10M,4.90M,18.60M,13.70M,605.30M,462.20M,18.60M,4.90M,13.70M,29.10M,13.70M,505.00M,167.50M,337.50M,-0.90M,,336.60M,318.06M,509.90M,,2015-09,0.73,0.00,0.73,,2015-09,0.72,0.00,0.72,,2015-09,0.49,,2015-09,AOR,Restated
2015-06,2.694B,2.694B,1.602B,1.093B,725.20M,,,0.00,1.60M,13.00M,11.40M,725.20M,367.60M,13.00M,1.60M,11.40M,2.60M,11.40M,381.60M,124.60M,257.00M,79.20M,,336.20M,255.25M,383.20M,,2015-06,0.55,0.17,0.72,,2015-06,0.55,0.17,0.72,,2015-06,0.49,,2015-06,AOR,Restated
2015-03,3.024B,3.024B,1.684B,1.34B,607.20M,,,0.00,0.80M,7.20M,6.40M,607.20M,732.80M,7.20M,0.80M,6.40M,0.70M,6.40M,739.90M,249.60M,490.30M,-0.70M,,489.60M,489.84M,740.70M,,2015-03,1.04,0.00,1.04,,2015-03,1.03,0.00,1.03,,2015-03,0.49,,2015-03,AOR,Restated
2014-12,2.654B,2.654B,1.583B,1.070B,588.50M,,,0.00,2.20M,18.30M,16.10M,588.50M,481.80M,18.30M,2.20M,16.10M,0.90M,16.10M,498.80M,166.30M,332.50M,-1.00M,,331.50M,331.90M,501.00M,,2014-12,0.70,0.00,0.70,,2014-12,0.69,0.00,0.69,,2014-12,0.49,,2014-12,AOR,Restated
2014-09,2.566B,2.566B,1.558B,1.008B,576.00M,,,1.40M,1.90M,18.30M,16.40M,576.00M,431.80M,18.30M,1.90M,16.40M,2.20M,16.40M,450.40M,153.80M,296.60M,-1.40M,,295.20M,295.15M,452.30M,,2014-09,0.62,0.00,0.62,,2014-09,0.62,0.00,0.61,,2014-09,0.48,,2014-09,AOR,Restated
2014-06,2.546B,2.546B,1.536B,1.010B,668.40M,,,0.00,1.40M,13.00M,11.60M,668.40M,341.30M,13.00M,1.40M,11.60M,0.00,11.60M,352.90M,122.50M,230.40M,58.40M,,288.80M,230.40M,354.30M,,2014-06,0.60,0.00,0.60,,2014-06,0.60,0.00,0.60,,2014-06,0.48,,2014-06,AOR,Restated
2014-03,2.825B,2.825B,1.586B,1.239B,585.30M,,,0.00,0.90M,6.10M,5.20M,585.30M,654.10M,6.10M,0.90M,5.20M,1.50M,5.20M,660.80M,227.60M,433.20M,88.40M,,521.60M,432.22M,661.70M,,2014-03,0.90,0.18,1.09,,2014-03,0.90,0.18,1.08,,2014-03,0.48,,2014-03,AOR,Restated
2013-12,2.494B,2.494B,1.479B,1.015B,578.80M,,,0.00,2.00M,16.10M,14.10M,578.80M,436.30M,16.10M,2.00M,14.10M,11.60M,14.10M,462.00M,147.80M,314.20M,62.80M,,377.00M,306.31M,464.00M,,2013-12,0.66,0.13,0.79,,2013-12,0.65,0.13,0.78,,2013-12,0.48,,2013-12,AOR,Restated
2013-09,2.362B,2.362B,1.441B,921.20M,537.70M,,,0.00,1.90M,18.50M,16.60M,537.70M,383.50M,18.50M,1.90M,16.60M,3.50M,16.60M,403.60M,138.70M,264.90M,63.70M,,328.60M,262.60M,405.50M,,2013-09,0.55,0.13,0.68,,2013-09,0.55,0.13,0.68,,2013-09,0.435,,2013-09,AOR,Restated
2013-06,957.20M,957.20M,625.50M,331.70M,312.40M,,,-44.90M,1.80M,,-53.10M,312.40M,19.30M,,1.80M,-53.10M,28.80M,-53.10M,-5.00M,6.90M,-11.90M,238.90M,,227.00M,17.28M,-3.20M,,2013-06,0.47,0.00,0.47,,2013-06,0.47,0.00,0.47,,2013-06,0.435,,2013-06,AOR,Restated
2013-03,3.109B,3.109B,1.743B,1.366B,653.60M,,,0.00,1.20M,6.00M,4.80M,653.60M,712.50M,6.00M,1.20M,4.80M,6.00M,4.80M,723.30M,241.70M,481.60M,1.10M,,482.70M,477.60M,724.50M,,2013-03,1.00,0.00,1.00,,2013-03,0.99,0.00,0.99,,2013-03,0.435,,2013-03,AOR,Restated
2012-12,2.748B,2.748B,1.624B,1.124B,624.70M,,,2.20M,3.00M,21.50M,18.50M,624.70M,498.80M,21.50M,3.00M,18.50M,11.50M,18.50M,528.80M,176.80M,352.00M,38.90M,,390.90M,344.34M,531.80M,,2012-12,0.73,0.08,0.81,,2012-12,0.72,0.08,0.80,,2012-12,0.435,,2012-12,AOR,Restated
2012-09,2.638B,2.638B,1.586B,1.051B,611.40M,,,,3.10M,23.80M,20.70M,611.40M,439.60M,23.80M,3.10M,20.70M,5.30M,20.70M,465.60M,163.10M,302.50M,2.80M,,305.30M,299.58M,468.70M,,2012-09,0.63,0.01,0.63,,2012-09,0.62,0.01,0.63,,2012-09,0.395,,2012-09,AOR,Restated
2012-06,2.603B,2.603B,1.572B,1.031B,671.20M,,0.00,0.00,2.30M,19.90M,17.60M,671.20M,360.20M,19.90M,2.30M,17.60M,9.90M,17.60M,387.70M,135.90M,251.80M,6.60M,,258.40M,246.21M,390.00M,,2012-06,0.53,0.02,0.53,,2012-06,0.53,0.02,0.53,,2012-06,0.395,,2012-06,AOR,Restated
2012-03,2.911B,2.911B,1.618B,1.293B,619.90M,,2.20M,-2.20M,1.20M,8.50M,7.30M,619.90M,672.80M,8.50M,1.20M,7.30M,2.00M,7.30M,682.10M,231.90M,450.20M,2.20M,,452.40M,449.28M,683.30M,,2012-03,0.92,0.00,0.93,,2012-03,0.91,0.00,0.92,,2012-03,0.395,,2012-03,AOR,Restated
2011-12,2.571B,2.571B,1.514B,1.057B,574.90M,,5.80M,60.20M,2.10M,27.20M,25.10M,574.90M,482.10M,27.20M,2.10M,25.10M,69.00M,25.10M,576.20M,203.40M,372.80M,2.20M,,375.00M,328.55M,578.30M,,2011-12,0.77,0.00,0.77,,2011-12,0.76,0.00,0.76,,2011-12,0.395,,2011-12,AOR,Restated
2011-09,2.511B,2.511B,1.500B,1.010B,586.90M,,,,2.10M,29.60M,27.50M,586.90M,423.60M,29.60M,2.10M,27.50M,4.60M,27.50M,455.70M,155.30M,300.40M,2.30M,,302.70M,297.76M,457.80M,,2011-09,0.62,0.00,0.62,,2011-09,0.61,0.00,0.61,,2011-09,0.36,,2011-09,AOR,Restated
