,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,1.651B,1.651B,669.73M,981.14M,181.91M,229.06M,,38.88M,,-38.88M,,410.97M,570.16M,,38.88M,-38.88M,-3.882M,-38.88M,527.40M,70.42M,456.98M,,,0.268M,457.25M,457.25M,650.54M,84.26M,566.28M,,2.96,,,2.96,2.96,,2.94,,,2.94,2.94,,154.27M,155.56M,0.90,,AOR,
2020-09,1.539B,1.539B,620.56M,918.06M,172.63M,219.04M,,39.39M,,-39.39M,,391.67M,526.39M,,39.39M,-39.39M,-3.197M,-39.39M,483.81M,63.66M,420.14M,,,0.425M,420.57M,420.57M,603.26M,80.07M,523.19M,,2.71,,,2.71,2.71,,2.69,,,2.69,2.69,,155.28M,156.44M,0.90,,AOR,
2020-06,1.460B,1.460B,621.54M,838.05M,167.79M,217.10M,0.00,40.22M,,-18.58M,,384.89M,453.16M,,40.22M,-18.58M,-29.51M,-18.58M,405.07M,-5.246M,410.32M,,,0.938M,411.25M,411.25M,524.23M,78.94M,445.29M,,2.65,,,2.65,2.65,,2.63,,,2.63,2.63,,155.12M,156.26M,0.85,,AOR,
2020-03,1.424B,1.424B,590.16M,833.81M,185.76M,215.43M,-279.19M,39.23M,,-39.23M,,401.19M,432.61M,,39.23M,-39.23M,-278.18M,-39.23M,115.20M,37.19M,78.01M,,,0.443M,78.45M,267.46M,236.42M,81.99M,154.43M,,0.50,,,1.711,0.50,,0.50,,,1.703,0.50,,156.07M,157.17M,0.85,,AOR,
2019-12,1.509B,1.509B,633.62M,875.84M,192.25M,220.75M,,40.47M,,-40.47M,,413.00M,462.83M,,40.47M,-40.47M,2.568M,-40.47M,424.93M,44.62M,380.30M,,,0.25M,380.56M,380.56M,553.93M,88.53M,465.40M,,2.42,,,2.42,2.42,,2.40,,,2.40,2.40,,157.29M,158.62M,0.85,,AOR,Restated
2019-09,1.413B,1.413B,604.24M,809.17M,188.34M,210.58M,,40.35M,,-40.35M,,398.92M,410.25M,,40.35M,-40.35M,1.618M,-40.35M,371.52M,25.12M,346.40M,,,0.129M,346.52M,346.52M,510.45M,98.59M,411.87M,,2.18,,,2.18,2.18,,2.16,,,2.16,2.16,,158.70M,160.13M,0.75,,AOR,Restated
2019-06,1.258B,1.258B,592.78M,665.65M,190.04M,206.71M,0.00,40.52M,,-0.15M,,396.75M,268.90M,,40.52M,-0.15M,-37.44M,-0.15M,231.31M,13.98M,217.33M,,,0.517M,217.84M,217.84M,399.71M,127.89M,271.83M,,1.36,,,1.36,1.36,,1.35,,,1.35,1.35,,160.53M,161.87M,0.75,,AOR,Restated
2019-03,1.097B,1.097B,486.94M,610.37M,182.18M,184.89M,0.00,31.19M,,-31.19M,,367.07M,243.30M,,31.19M,-31.19M,9.282M,-31.19M,221.39M,28.74M,192.64M,,,0.083M,192.73M,192.73M,326.02M,73.44M,252.58M,,1.23,,,1.23,1.23,,1.23,,,1.23,1.23,,156.35M,157.18M,0.75,,AOR,Restated
2018-12,1.120B,1.120B,408.26M,711.64M,112.46M,165.90M,,26.54M,,-26.54M,,278.36M,433.27M,,26.54M,-26.54M,9.228M,-26.54M,415.96M,46.86M,369.10M,,,0.00,369.10M,369.10M,458.31M,15.81M,442.50M,,2.43,,,2.43,2.43,,2.42,,,2.42,2.42,,152.15M,152.65M,0.75,,AOR,Restated
2018-09,1.093B,1.093B,381.39M,711.87M,114.44M,153.53M,,26.36M,,-26.36M,,267.97M,443.90M,,26.36M,-26.36M,10.02M,-26.36M,427.57M,31.62M,395.94M,,,0.00,395.94M,395.94M,470.02M,16.09M,453.93M,,2.55,,,2.55,2.55,,2.54,,,2.54,2.54,,155.22M,156.08M,0.75,,AOR,Restated
