,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,,SharesData(Quarterly),AverageBasicSharesOutstanding,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,628.30M,628.30M,298.98M,329.32M,171.67M,29.22M,,3.659M,16.65M,0.214M,-16.44M,,200.89M,128.43M,0.214M,16.65M,-16.44M,3.659M,-16.44M,115.65M,-0.951M,116.60M,-0.018M,,116.59M,56.88M,132.31M,,2020-09,2.51,2.51,,2020-09,2.46,0.00,,2020-09,46.53M,,2020-09,AOR,
2020-06,567.03M,567.03M,288.66M,278.37M,191.19M,29.36M,,-19.00M,15.68M,0.163M,-15.52M,,220.56M,57.82M,0.163M,15.68M,-15.52M,-19.00M,-15.52M,23.29M,11.85M,11.44M,0.013M,,11.46M,57.35M,38.97M,,2020-06,0.25,0.25,,2020-06,0.24,0.00,,2020-06,46.44M,,2020-06,AOR,
2020-03,630.64M,630.64M,297.02M,333.62M,147.80M,27.40M,,-1.346M,15.44M,0.579M,-14.86M,,175.19M,158.43M,0.579M,15.44M,-14.86M,-1.346M,-14.86M,142.23M,11.07M,131.15M,-0.002M,,131.15M,55.75M,157.66M,,2020-03,2.83,2.83,,2020-03,2.78,0.00,,2020-03,46.38M,,2020-03,AOR,
2019-12,680.95M,680.95M,220.62M,460.33M,302.66M,31.13M,0.055M,-8.43M,17.28M,0.46M,-16.82M,,333.79M,126.54M,0.46M,17.28M,-16.82M,-8.43M,-16.82M,101.30M,-6.511M,107.81M,0.459M,,108.26M,54.12M,118.57M,,2019-12,2.33,2.34,,2019-12,2.28,0.01,,2019-12,46.33M,,2019-12,AOR,
2019-09,648.32M,648.32M,293.24M,355.08M,209.29M,27.98M,,-0.179M,19.54M,0.47M,-19.08M,,237.28M,117.80M,0.47M,19.54M,-19.08M,-0.179M,-19.08M,98.55M,-130.38M,228.93M,0.00,,228.93M,52.70M,118.09M,,2019-09,4.95,4.95,,2019-09,4.85,0.00,,2019-09,46.25M,,2019-09,AOR,Restated
2019-06,652.51M,652.51M,300.27M,352.24M,215.50M,27.60M,3.881M,-1.685M,20.76M,0.472M,-20.29M,,243.10M,109.14M,0.472M,20.76M,-20.29M,-1.685M,-20.29M,87.17M,3.844M,83.33M,0.047M,,83.38M,53.86M,107.93M,,2019-06,1.80,1.81,,2019-06,1.77,0.00,,2019-06,46.17M,,2019-06,AOR,Restated
2019-03,613.58M,613.58M,289.61M,323.97M,206.92M,27.15M,3.03M,-14.66M,22.69M,0.339M,-22.35M,,234.07M,89.90M,0.339M,22.69M,-22.35M,-14.66M,-22.35M,52.89M,10.97M,41.92M,-1.021M,,40.90M,53.40M,75.58M,,2019-03,0.91,0.89,,2019-03,0.89,-0.02,,2019-03,46.05M,,2019-03,AOR,Restated
2018-12,641.62M,641.62M,275.79M,365.82M,218.54M,27.80M,0.00,-0.217M,23.26M,0.168M,-23.09M,,246.34M,119.48M,0.168M,23.26M,-23.09M,-0.217M,-23.09M,96.18M,8.664M,87.51M,3.077M,,90.59M,53.49M,119.43M,,2018-12,1.90,1.97,,2018-12,1.87,0.06,,2018-12,46.00M,,2018-12,AOR,Restated
2018-09,609.67M,609.67M,267.10M,342.57M,214.89M,26.36M,17.24M,-19.21M,27.17M,0.32M,-26.85M,,241.26M,101.31M,0.32M,27.17M,-26.85M,-19.21M,-26.85M,55.25M,-1.286M,56.54M,-0.016M,,56.52M,51.96M,82.42M,,2018-09,1.23,1.23,,2018-09,1.21,0.00,,2018-09,45.85M,,2018-09,AOR,Restated
2018-06,609.87M,609.87M,265.09M,344.78M,229.92M,26.02M,1.865M,-55.35M,26.65M,0.183M,-26.47M,,255.94M,88.84M,0.183M,26.65M,-26.47M,-55.35M,-26.47M,7.024M,9.576M,-2.552M,0.056M,,-2.496M,51.89M,33.67M,,2018-06,-0.06,-0.05,,2018-06,-0.06,0.01,,2018-06,45.58M,,2018-06,AOR,Restated
2018-03,587.23M,587.23M,255.96M,331.27M,215.34M,26.03M,,-3.063M,25.94M,0.273M,-25.67M,,241.36M,89.91M,0.273M,25.94M,-25.67M,-3.063M,-25.67M,61.17M,6.242M,54.93M,1.253M,,56.18M,52.65M,87.12M,,2018-03,1.21,1.24,,2018-03,1.18,0.02,,2018-03,45.33M,,2018-03,AOR,Restated
2017-12,595.11M,595.11M,264.38M,330.73M,213.29M,25.47M,,-1.067M,23.66M,0.155M,-23.51M,,238.76M,91.97M,0.155M,23.66M,-23.51M,-1.067M,-23.51M,67.40M,110.24M,-42.85M,0.189M,,-42.66M,48.90M,91.06M,,2017-12,-0.95,-0.95,,2017-12,-0.95,0.00,,2017-12,45.09M,,2017-12,AOR,Restated
2017-09,534.70M,534.70M,239.48M,295.23M,163.77M,21.19M,,0.092M,21.26M,0.286M,-20.98M,,184.96M,110.26M,0.286M,21.26M,-20.98M,0.092M,-20.98M,89.38M,9.978M,79.40M,-2.383M,,77.02M,36.91M,110.64M,,2017-09,1.76,1.71,,2017-09,1.70,-0.05,,2017-09,45.04M,,2017-09,AOR,Restated
2017-06,528.61M,528.61M,238.33M,290.28M,158.93M,20.28M,,-0.881M,19.89M,0.161M,-19.73M,,179.21M,111.07M,0.161M,19.89M,-19.73M,-0.881M,-19.73M,90.46M,12.10M,78.36M,-0.36M,,78.00M,36.49M,110.35M,,2017-06,1.74,1.73,,2017-06,1.67,-0.01,,2017-06,45.00M,,2017-06,AOR,Restated
2017-03,487.88M,487.88M,232.32M,255.56M,163.97M,17.83M,,-18.53M,17.73M,0.169M,-17.56M,,181.80M,73.76M,0.169M,17.73M,-17.56M,-18.53M,-17.56M,37.68M,-2.669M,40.35M,-0.179M,,40.17M,32.96M,55.41M,,2017-03,0.90,0.89,,2017-03,0.87,-0.01,,2017-03,44.89M,,2017-03,AOR,Restated
