,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2020-09,116.60M,,-4.683M,-4.683M,16.87M,40.01M,56.88M,56.88M,1.545M,,0.00,6.277M,-20.15M,-10.30M,-3.221M,-2.426M,22.21M,,,-55.26M,-49.00M,107.26M,,2020-09,-23.32M,,-23.32M,-0.948M,,0.00,,2020-09,-285.00M,,-285.00M,,,,-15.83M,-15.83M,8.509M,-3.901M,,2020-09,553.54M,-213.23M,347.48M,,2020-09,,3.807M,-288.81M,,2020-09,AOR,
2020-06,11.44M,,-4.931M,-4.931M,17.62M,39.73M,57.35M,57.35M,0.376M,,0.00,4.96M,16.75M,68.99M,-22.53M,5.416M,5.039M,,,2.606M,59.52M,145.34M,,2020-06,-19.37M,,-19.37M,-0.735M,,0.00,,2020-06,25.00M,,25.00M,,,,-15.79M,-15.79M,5.69M,-7.793M,,2020-06,406.48M,142.33M,553.54M,,2020-06,,525.00M,-500.00M,,2020-06,AOR,
2020-03,131.15M,,-4.874M,-4.874M,16.84M,38.91M,55.75M,55.75M,0.679M,,0.00,3.522M,-141.76M,-23.14M,-12.35M,6.403M,-31.49M,,,4.651M,-55.92M,-11.65M,,2020-03,-19.68M,,-19.68M,-265.16M,,0.40M,,2020-03,485.00M,,485.00M,,,,-15.77M,-15.77M,-3.022M,-60.88M,,2020-03,301.08M,109.24M,406.48M,,2020-03,,485.00M,,,2020-03,AOR,
2019-12,107.81M,,-5.046M,1.527M,16.80M,37.31M,54.12M,54.12M,-27.63M,,0.055M,6.903M,15.36M,-18.57M,0.089M,-17.84M,4.39M,,,21.70M,-10.23M,147.71M,,2019-12,-18.90M,,-18.90M,12.15M,,-3.135M,,2019-12,-93.00M,,-93.00M,,,,-15.76M,-15.76M,7.192M,-6.744M,,2019-12,257.54M,39.51M,301.08M,,2019-12,,250.00M,-343.00M,,2019-12,AOR,
2019-09,228.93M,,-5.021M,-6.11M,15.32M,37.38M,52.70M,52.70M,-135.47M,,0.00,7.337M,5.088M,-21.47M,-19.29M,-6.803M,37.86M,,,-10.88M,-20.59M,131.74M,,2019-09,-27.69M,,-27.69M,-0.24M,,1.957M,,2019-09,-133.00M,,-133.00M,,,,-15.72M,-15.72M,6.185M,-0.339M,,2019-09,303.90M,-37.12M,257.54M,,2019-09,,0.00,-133.00M,,2019-09,AOR,Restated
2019-06,83.33M,,-4.917M,-4.917M,16.32M,37.53M,53.86M,53.86M,-8.098M,,3.881M,6.919M,13.05M,-5.645M,-14.77M,5.143M,-15.09M,,,-20.54M,-50.90M,96.31M,,2019-06,-32.61M,,-32.61M,0.00,,0.187M,,2019-06,-27.50M,,-27.50M,,,,-15.70M,-15.70M,5.587M,-5.678M,,2019-06,271.21M,28.92M,303.90M,,2019-06,,25.00M,-52.50M,,2019-06,AOR,Restated
2019-03,41.92M,,-3.882M,-6.621M,15.64M,37.75M,53.40M,53.40M,2.603M,,3.03M,5.781M,-7.163M,-14.10M,-19.20M,-11.52M,8.856M,,,3.192M,-32.78M,63.78M,,2019-03,-23.49M,,-23.49M,-1.025M,,0.991M,,2019-03,0.00,,0.00,,,,-15.65M,-15.65M,2.242M,-110.95M,,2019-03,357.16M,-84.11M,271.21M,,2019-03,,0.00,,,2019-03,AOR,Restated
2018-12,87.51M,,,,15.98M,37.51M,53.49M,53.49M,-14.76M,,0.00,5.969M,4.321M,6.418M,-17.53M,-3.883M,7.823M,,,7.451M,0.276M,135.14M,,2018-12,-25.04M,,-25.04M,-94.60M,,,,2018-12,5.00M,,5.00M,,,,-15.64M,-15.64M,3.989M,-0.083M,,2018-12,356.28M,10.31M,357.16M,,2018-12,,35.00M,-30.00M,,2018-12,AOR,Restated
2018-09,56.54M,,,,14.99M,36.97M,51.96M,51.96M,3.843M,,17.24M,5.732M,4.547M,-13.94M,-4.648M,-2.857M,16.47M,,,-13.52M,-18.50M,121.12M,,2018-09,-17.75M,,-17.75M,-0.10M,,,,2018-09,-80.00M,,-80.00M,,,,-15.59M,-15.59M,8.866M,-10.58M,,2018-09,346.30M,5.976M,356.28M,,2018-09,,0.00,-80.00M,,2018-09,AOR,Restated
2018-06,-2.552M,,,,14.70M,37.19M,51.89M,51.89M,6.293M,,1.865M,5.95M,23.82M,-12.48M,-15.05M,-0.205M,65.30M,,,-30.08M,7.474M,94.48M,,2018-06,-22.26M,,-22.26M,-18.77M,,,,2018-06,0.00,,0.00,,,,-15.49M,-15.49M,8.40M,-62.60M,,2018-06,378.87M,-16.23M,346.30M,,2018-06,,0.00,0.00,,2018-06,AOR,Restated
