,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,710.00M,710.00M,9.00M,362.00M,371.00M,,371.00M,1.00M,458.00M,259.00M,48.00M,211.00M,,8.00M,211.00M,211.00M,27.00M,285.00M,1.45,,1.45,1.45,1.44,,1.44,1.44,139.00M,140.00M,0.68
2020-06,718.00M,718.00M,8.00M,358.00M,366.00M,,366.00M,11.00M,471.00M,140.00M,27.00M,113.00M,,,113.00M,113.00M,29.00M,180.00M,0.81,,0.81,0.81,0.8,,0.8,0.8,139.00M,139.00M,0.68
2020-03,750.00M,750.00M,7.00M,344.00M,351.00M,,351.00M,8.00M,513.00M,-86.00M,-21.00M,-65.00M,,,-65.00M,-65.00M,26.00M,10.00M,-0.46,,-0.46,-0.46,-0.46,,-0.46,-0.46,141.00M,141.00M,0.68
2019-12,804.00M,804.00M,10.00M,363.00M,373.00M,,373.00M,15.00M,544.00M,351.00M,82.00M,269.00M,,,269.00M,269.00M,30.00M,466.00M,1.87,,1.87,1.87,1.85,,1.85,1.85,144.00M,144.00M,0.67
2019-09,842.00M,842.00M,10.00M,355.00M,365.00M,,365.00M,9.00M,586.00M,372.00M,80.00M,292.00M,,,292.00M,292.00M,27.00M,497.00M,1.98,,1.98,1.98,1.96,,1.96,1.96,147.00M,148.00M,0.67
2019-06,853.00M,853.00M,9.00M,344.00M,353.00M,,353.00M,8.00M,603.00M,385.00M,87.00M,298.00M,,,298.00M,298.00M,28.00M,509.00M,1.95,,1.95,1.95,1.94,,1.94,1.94,152.00M,153.00M,0.67
2019-03,844.00M,844.00M,5.00M,362.00M,367.00M,,367.00M,-1.00M,606.00M,424.00M,85.00M,339.00M,,,339.00M,339.00M,29.00M,528.00M,2.14,,2.14,2.14,2.11,,2.11,2.11,158.00M,160.00M,0.67
2018-12,864.00M,864.00M,8.00M,351.00M,359.00M,-14.00M,345.00M,9.00M,614.00M,400.00M,90.00M,310.00M,,,310.00M,320.85M,30.00M,490.00M,1.91,,1.9769999999999999,1.91,1.88,,1.946,1.88,162.00M,165.00M,0.6
2018-09,833.00M,833.00M,8.00M,362.00M,370.00M,-12.00M,358.00M,-10.00M,599.00M,381.00M,63.00M,318.00M,,,318.00M,328.02M,30.00M,457.00M,1.89,,1.95,1.89,1.86,,1.919,1.86,167.00M,170.00M,0.6
2018-06,838.00M,838.00M,8.00M,358.00M,366.00M,-11.00M,355.00M,7.00M,590.00M,419.00M,93.00M,326.00M,,,326.00M,334.56M,29.00M,479.00M,1.9,,1.95,1.9,1.87,,1.919,1.87,171.00M,174.00M,0.34
2018-03,793.00M,793.00M,6.00M,360.00M,366.00M,-16.00M,350.00M,5.00M,549.00M,335.00M,54.00M,281.00M,,,281.00M,294.42M,31.00M,376.00M,1.62,,1.6980000000000002,1.62,1.59,,1.6669999999999998,1.59,172.00M,175.00M,0.3
2017-12,830.00M,830.00M,9.00M,391.00M,400.00M,-15.00M,385.00M,7.00M,545.00M,330.00M,218.00M,112.00M,,,112.00M,121.00M,30.00M,363.00M,0.65,,0.7026,0.65,0.63,,0.6814,0.63,171.00M,175.00M,0.3
2017-09,821.00M,821.00M,8.00M,377.00M,385.00M,-7.00M,378.00M,7.00M,546.00M,334.00M,108.00M,226.00M,,,226.00M,230.74M,31.00M,367.00M,1.29,,1.317,1.29,1.26,,1.287,1.26,174.00M,177.00M,0.3
2017-06,776.00M,776.00M,7.00M,362.00M,369.00M,-14.00M,355.00M,12.00M,500.00M,302.00M,99.00M,203.00M,,,203.00M,212.41M,29.00M,331.00M,1.15,,1.204,1.15,1.13,,1.183,1.13,175.00M,179.00M,0.26
2017-03,741.00M,741.00M,4.00M,374.00M,378.00M,-9.00M,369.00M,6.00M,470.00M,268.00M,66.00M,202.00M,,,202.00M,208.78M,31.00M,294.00M,1.15,,1.189,1.15,1.11,,1.148,1.11,175.00M,180.00M,0.23
2016-12,722.00M,722.00M,6.00M,380.00M,386.00M,-20.00M,366.00M,17.00M,455.00M,226.00M,62.00M,164.00M,,,164.00M,178.51M,30.00M,255.00M,0.95,,1.036,0.95,0.92,,1.001,0.92,169.00M,180.00M,0.23
2016-09,722.00M,722.00M,5.00M,378.00M,383.00M,-20.00M,363.00M,9.00M,450.00M,213.00M,64.00M,149.00M,,,149.00M,162.99M,32.00M,243.00M,0.87,,0.9518,0.87,0.84,,0.9195,0.84,171.00M,176.00M,0.23
2016-06,713.00M,713.00M,6.00M,374.00M,380.00M,-53.00M,327.00M,6.00M,445.00M,146.00M,42.00M,104.00M,,,104.00M,141.75M,29.00M,174.00M,0.6,,0.8182,0.6,0.58,,0.7933,0.58,173.00M,177.00M,0.22
2016-03,691.00M,691.00M,4.00M,366.00M,370.00M,0.00,370.00M,1.00M,447.00M,85.00M,25.00M,60.00M,,,60.00M,60.00M,30.00M,110.00M,0.34,,0.34,0.34,0.34,,0.34,0.34,173.00M,176.00M,0.21
2015-12,702.00M,702.00M,7.00M,377.00M,384.00M,0.00,384.00M,5.00M,433.00M,157.00M,41.00M,116.00M,,,116.00M,116.00M,28.00M,181.00M,0.65,,0.65,0.65,0.64,,0.64,0.64,176.00M,178.00M,0.21
2015-09,682.00M,682.00M,6.00M,361.00M,367.00M,3.00M,370.00M,10.00M,422.00M,199.00M,63.00M,136.00M,,,136.00M,133.95M,30.00M,225.00M,0.76,,0.7484,0.76,0.74,,0.7287,0.74,176.00M,181.00M,0.21
2015-06,678.00M,678.00M,5.00M,367.00M,372.00M,30.00M,402.00M,6.00M,421.00M,199.00M,64.00M,135.00M,,,135.00M,114.65M,30.00M,222.00M,0.76,,0.6444,0.76,0.73,,0.6182,0.73,176.00M,182.00M,0.21
2015-03,665.00M,665.00M,6.00M,359.00M,365.00M,-1.00M,364.00M,-2.00M,413.00M,195.00M,61.00M,134.00M,,,134.00M,134.69M,30.00M,217.00M,0.75,,0.7539,0.75,0.73,,0.7338,0.73,176.00M,182.00M,0.2
2014-12,627.00M,627.00M,7.00M,298.00M,305.00M,0.00,305.00M,11.00M,415.00M,219.00M,70.00M,149.00M,,,149.00M,149.00M,31.00M,242.00M,0.83,,0.83,0.83,0.8,,0.8,0.8,179.00M,182.00M,0.2
2014-09,627.00M,627.00M,5.00M,313.00M,318.00M,34.00M,352.00M,6.00M,414.00M,227.00M,73.00M,154.00M,,,154.00M,130.93M,31.00M,249.00M,0.85,,0.7211,0.85,0.82,,0.6953,0.82,179.00M,185.00M,0.2
2014-06,634.00M,634.00M,5.00M,303.00M,308.00M,-3.00M,305.00M,8.00M,416.00M,221.00M,70.00M,151.00M,,,151.00M,153.05M,32.00M,246.00M,0.83,,0.8415,0.83,0.8,,0.811,0.8,179.00M,186.00M,0.2
2014-03,615.00M,615.00M,6.00M,305.00M,311.00M,-3.00M,308.00M,7.00M,410.00M,203.00M,,203.00M,-64.00M,,139.00M,204.95M,29.00M,228.00M,1.117,-0.3556,1.128,0.76,1.075,-0.3556,1.085,0.73,180.00M,187.00M,0.19
2013-12,639.00M,639.00M,3.00M,319.00M,322.00M,-52.00M,270.00M,8.00M,430.00M,167.00M,50.00M,117.00M,,,117.00M,153.43M,30.00M,193.00M,0.64,,0.8424,0.64,0.62,,0.8148,0.62,180.00M,187.00M,0.17
2013-09,640.00M,640.00M,6.00M,317.00M,323.00M,4.00M,327.00M,17.00M,412.00M,215.00M,68.00M,147.00M,,,147.00M,144.27M,30.00M,242.00M,0.8,,0.785,0.8,0.78,,0.7654,0.78,182.00M,187.00M,0.17
2013-06,636.00M,636.00M,6.00M,305.00M,311.00M,-1.00M,310.00M,8.00M,414.00M,207.00M,64.00M,143.00M,,,143.00M,143.69M,32.00M,236.00M,0.77,,0.7738,0.77,0.76,,0.7637,0.76,183.00M,187.00M,0.17
2013-03,629.00M,629.00M,6.00M,310.00M,316.00M,-3.00M,313.00M,0.00,416.00M,197.00M,63.00M,134.00M,,,134.00M,136.04M,30.00M,227.00M,0.71,,0.721,0.71,0.7,,0.7109,0.7,185.00M,187.00M,0.17
2012-12,680.00M,680.00M,6.00M,315.00M,321.00M,-25.00M,296.00M,34.00M,424.00M,237.00M,107.00M,130.00M,,,130.00M,146.25M,33.00M,269.00M,0.68,,0.7678,0.68,0.68,,0.7674,0.68,185.00M,186.00M,0.15
2012-09,624.00M,624.00M,7.00M,312.00M,319.00M,-25.00M,294.00M,0.00,427.00M,153.00M,36.00M,117.00M,,,117.00M,136.12M,33.00M,186.00M,0.61,,0.7106,0.61,0.61,,0.7101,0.61,190.00M,191.00M,0.15
2012-06,646.00M,646.00M,7.00M,307.00M,314.00M,-8.00M,306.00M,6.00M,435.00M,193.00M,50.00M,143.00M,,,143.00M,148.93M,34.00M,228.00M,0.73,,0.7606,0.73,0.73,,0.7606,0.73,194.00M,194.00M,0.15
2012-03,648.00M,648.00M,7.00M,319.00M,326.00M,,326.00M,5.00M,442.00M,178.00M,48.00M,130.00M,,,130.00M,130.00M,33.00M,213.00M,0.66,,0.66,0.66,0.66,,0.66,0.66,195.00M,196.00M,0.1
2011-12,626.00M,626.00M,7.00M,315.00M,322.00M,104.00M,426.00M,27.00M,444.00M,129.00M,33.00M,96.00M,,,96.00M,18.60M,32.00M,166.00M,0.48,,0.0871,0.48,0.48,,0.0871,0.48,197.00M,197.00M,0.1
2011-09,624.00M,624.00M,7.00M,300.00M,307.00M,-90.00M,217.00M,12.00M,423.00M,126.00M,28.00M,98.00M,,,98.00M,168.00M,31.00M,166.00M,0.51,0.0,0.8746,0.51,0.51,0.0,0.8746,0.51,192.00M,192.00M,0.1
2011-06,593.00M,593.00M,7.00M,292.00M,299.00M,-51.00M,248.00M,4.00M,391.00M,137.00M,41.00M,96.00M,,,96.00M,131.74M,30.00M,177.00M,0.54,0.0,0.7442,0.54,0.53,0.0,0.7308,0.53,175.00M,178.00M,0.1
2011-03,602.00M,602.00M,7.00M,300.00M,307.00M,-45.00M,262.00M,2.00M,395.00M,138.00M,35.00M,103.00M,,,103.00M,136.59M,29.00M,177.00M,0.58,0.0,0.7719,0.58,0.57,0.0,0.7587,0.57,175.00M,178.00M,0.1
2010-12,620.00M,620.00M,7.00M,282.00M,289.00M,105.00M,394.00M,11.00M,405.00M,126.00M,30.00M,96.00M,0.00,0.00,96.00M,16.00M,30.00M,166.00M,0.55,0.01,0.0955,0.56,0.54,0.0,0.0931,0.54,176.00M,179.00M,0.1
2010-09,590.00M,590.00M,7.00M,304.00M,311.00M,-29.00M,282.00M,0.00,404.00M,66.00M,7.00M,59.00M,0.00,,59.00M,84.92M,32.00M,118.00M,0.34,0.0,0.4881,0.34,0.33,0.0,0.4756,0.33,175.00M,178.00M,0.05
2010-06,616.00M,616.00M,7.00M,296.00M,303.00M,-35.00M,268.00M,1.00M,422.00M,93.00M,23.00M,70.00M,0.00,,70.00M,96.34M,30.00M,147.00M,0.4,0.0,0.5505,0.4,0.39,0.0,0.5379999999999999,0.39,175.00M,178.00M,0.05
2010-03,609.00M,609.00M,8.00M,284.00M,292.00M,-42.00M,250.00M,2.00M,415.00M,30.00M,-5.00M,35.00M,17.00M,123.00M,52.00M,62.30M,32.00M,91.00M,-0.46,0.0,-0.2839,-0.46,-0.46,0.0,-0.2839,-0.46,155.00M,155.00M,0.05
2009-12,610.00M,610.00M,,301.00M,330.00M,-137.00M,193.00M,10.00M,396.00M,-71.00M,-42.00M,-29.00M,0.00,33.00M,-29.00M,60.05M,31.00M,12.00M,-0.41,-0.01,0.1877,-0.42,-0.41,-0.01,0.1877,-0.42,149.00M,149.00M,0.05
2009-09,700.00M,700.00M,,293.00M,293.00M,-2.00M,291.00M,107.00M,385.00M,-10.00M,-29.00M,19.00M,0.00,34.00M,19.00M,20.30M,30.00M,116.00M,-0.1,0.0,-0.0913,-0.1,-0.1,0.0,-0.0913,-0.1,149.00M,149.00M,0.05
2009-06,700.00M,700.00M,,301.00M,301.00M,4.00M,305.00M,113.00M,402.00M,-41.00M,-59.00M,18.00M,0.00,34.00M,18.00M,15.40M,31.00M,109.00M,-0.11,0.0,-0.1274,-0.11,-0.11,0.0,-0.1274,-0.11,149.00M,149.00M,0.05
2009-03,607.00M,607.00M,,295.00M,295.00M,1.00M,296.00M,13.00M,384.00M,7.00M,-1.00M,8.00M,1.00M,33.00M,9.00M,7.35M,30.00M,186.00M,-0.17,0.01,-0.1744,-0.16,-0.17,0.01,-0.1744,-0.16,149.00M,149.00M,0.05
