,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,988.00M,11.14B,15.25B,26.39B,,5.393B,5.393B,,31.78B,,,,,,456.00M,,,,52.37B,978.00M,,51.39B,15.25B,67.10B,83.63B,,1.534B,1.534B,10.00M,10.00M,10.00M,1.544B,5.754B,5.754B,68.46B,74.21B,75.76B,1.535B,9.511B,2.179B,5.467B,394.00M,116.00M,7.874B
2020-06,1.048B,13.31B,12.91B,26.22B,,5.285B,5.285B,,31.51B,,,,,,450.00M,,,,53.45B,1.007B,,52.44B,12.91B,65.80B,84.40B,,1.602B,1.602B,752.00M,752.00M,752.00M,2.354B,6.521B,6.521B,67.72B,74.24B,76.60B,1.536B,9.404B,2.173B,5.469B,395.00M,158.00M,7.802B
2020-03,848.00M,4.855B,13.18B,18.03B,,5.307B,5.307B,,23.34B,,,,,,454.00M,,,,53.46B,916.00M,,52.54B,13.18B,66.18B,76.34B,,1.872B,1.872B,2.263B,2.263B,2.263B,4.135B,7.434B,7.434B,57.37B,64.80B,68.94B,1.141B,9.389B,2.168B,5.47B,,174.00M,7.402B
2019-12,973.00M,5.818B,12.55B,18.37B,,4.842B,4.842B,,23.21B,86.00M,818.00M,513.00M,1.417B,-960.00M,457.00M,,,,50.37B,637.00M,,49.73B,12.55B,62.74B,73.40B,,1.44B,1.44B,71.00M,71.00M,71.00M,1.511B,7.269B,7.269B,57.30B,64.56B,66.08B,1.141B,9.538B,2.174B,5.291B,,-235.00M,7.327B
2019-09,1.229B,4.117B,12.58B,16.69B,,4.85B,4.85B,,21.54B,,,,,,467.00M,,,,51.49B,652.00M,,50.84B,12.58B,63.88B,72.85B,,1.477B,1.477B,51.00M,51.00M,51.00M,1.528B,7.311B,7.311B,56.81B,64.12B,65.65B,1.141B,9.369B,2.172B,5.146B,,-336.00M,7.20B
2019-06,1.029B,3.581B,12.48B,16.06B,,4.864B,4.864B,,20.92B,,,,,,470.00M,,,,51.80B,657.00M,,51.14B,12.48B,64.09B,72.54B,,1.386B,1.386B,1.733B,1.733B,1.733B,3.119B,6.558B,6.558B,55.54B,62.10B,65.21B,1.141B,9.176B,2.168B,4.78B,,-382.00M,7.323B
2019-03,1.063B,3.481B,12.35B,15.83B,,4.732B,4.732B,,20.56B,,,,,,474.00M,,,,50.30B,647.00M,,49.66B,12.35B,62.48B,70.69B,,1.407B,1.407B,935.00M,935.00M,935.00M,2.342B,6.848B,6.848B,54.09B,60.94B,63.28B,1.141B,8.979B,2.159B,4.357B,,-513.00M,7.409B
2018-12,1.39B,4.561B,12.18B,16.74B,,4.111B,4.111B,,20.85B,85.00M,842.00M,492.00M,1.419B,-944.00M,475.00M,,,,50.16B,671.00M,,49.49B,12.18B,62.15B,70.82B,,1.243B,1.243B,44.00M,44.00M,44.00M,1.287B,6.463B,6.463B,55.56B,62.02B,63.31B,1.141B,8.781B,2.148B,3.954B,,-609.00M,7.507B
2018-09,945.00M,5.839B,12.00B,17.84B,,4.793B,4.793B,,22.63B,,,,,,472.00M,,,,49.01B,664.00M,,48.35B,12.00B,60.82B,71.45B,,1.154B,1.154B,84.00M,84.00M,84.00M,1.238B,6.418B,6.418B,56.01B,62.42B,63.66B,1.141B,8.587B,2.144B,3.475B,,-611.00M,7.786B
2018-06,1.424B,5.66B,12.05B,17.71B,,4.696B,4.696B,,22.40B,,,,,,467.00M,,,,49.79B,677.00M,,49.12B,12.05B,61.63B,71.99B,,1.057B,1.057B,58.00M,58.00M,58.00M,1.115B,5.583B,5.583B,57.21B,62.79B,63.91B,1.141B,8.374B,2.144B,2.991B,,-589.00M,8.079B
2018-03,1.173B,6.836B,12.10B,18.94B,,4.385B,4.385B,,23.32B,,,,,,468.00M,,,,49.24B,698.00M,,48.54B,12.10B,61.11B,72.34B,,1.058B,1.058B,48.00M,48.00M,48.00M,1.106B,5.594B,5.594B,57.64B,63.23B,64.34B,1.141B,8.11B,2.134B,2.832B,,-553.00M,8.00B
2017-12,1.438B,5.845B,11.03B,16.88B,,4.495B,4.495B,,21.37B,85.00M,813.00M,484.00M,1.382B,-916.00M,466.00M,,,,49.17B,712.00M,,48.46B,12.30B,61.23B,71.57B,,1.069B,1.069B,10.00M,10.00M,10.00M,1.079B,4.622B,4.622B,57.90B,62.52B,63.60B,1.141B,7.887B,2.122B,2.736B,,-451.00M,7.963B
2017-09,1.351B,6.204B,11.09B,17.29B,,4.415B,4.415B,,21.71B,,,,,,467.00M,,,,49.21B,712.00M,,48.50B,12.43B,61.40B,72.02B,,1.018B,1.018B,509.00M,509.00M,509.00M,1.527B,4.637B,4.637B,57.82B,62.46B,63.98B,1.141B,7.746B,2.112B,2.606B,,-359.00M,8.034B
2017-06,1.372B,5.631B,11.03B,16.66B,,4.165B,4.165B,,20.83B,,,,,,484.00M,,,,49.41B,705.00M,,48.70B,12.46B,61.65B,71.45B,,997.00M,997.00M,541.00M,541.00M,541.00M,1.538B,5.143B,5.143B,56.78B,61.92B,63.46B,1.141B,7.58B,2.11B,2.485B,,-361.00M,7.985B
2017-03,1.176B,8.319B,10.92B,19.24B,,4.144B,4.144B,,23.38B,,,,,,488.00M,,,,48.30B,708.00M,,47.60B,12.43B,60.51B,72.98B,,989.00M,989.00M,41.00M,41.00M,41.00M,1.03B,5.153B,5.153B,58.86B,64.02B,65.05B,1.141B,7.431B,2.106B,2.369B,,-379.00M,7.93B
2016-12,1.249B,7.218B,10.88B,18.10B,,4.44B,4.44B,,22.54B,86.00M,831.00M,499.00M,1.416B,-915.00M,501.00M,,,,49.09B,730.00M,,48.36B,12.46B,61.32B,72.98B,,1.012B,1.012B,25.00M,25.00M,25.00M,1.037B,5.16B,5.16B,58.98B,64.14B,65.18B,1.141B,7.331B,2.135B,2.428B,,-383.00M,7.796B
2016-09,1.292B,8.04B,10.88B,18.92B,,4.433B,4.433B,,23.35B,,,,,,528.00M,,,,49.27B,727.00M,,48.55B,12.58B,61.65B,74.12B,,1.234B,1.234B,12.00M,12.00M,12.00M,1.246B,5.89B,5.89B,59.26B,65.15B,66.40B,1.141B,7.262B,2.174B,2.558B,,-292.00M,7.727B
2016-06,1.172B,4.11B,10.81B,14.92B,,4.356B,4.356B,,19.28B,,,,,,544.00M,,,,50.38B,729.00M,,49.65B,12.62B,62.81B,71.28B,,1.279B,1.279B,12.00M,12.00M,12.00M,1.291B,5.921B,5.921B,56.37B,62.30B,63.59B,1.141B,7.157B,2.165B,2.474B,,-295.00M,7.694B
2016-03,977.00M,3.002B,10.70B,13.70B,,4.203B,4.203B,,17.91B,,,,,,541.00M,,,,49.38B,724.00M,,48.65B,12.61B,61.80B,69.01B,,1.389B,1.389B,514.00M,514.00M,514.00M,1.903B,3.109B,3.109B,56.35B,59.46B,61.36B,1.141B,7.097B,2.158B,2.424B,,-328.00M,7.644B
2015-12,1.157B,6.147B,10.63B,16.78B,,4.117B,4.117B,,20.90B,87.00M,862.00M,490.00M,1.439B,-889.00M,550.00M,,,,49.08B,634.00M,,48.45B,12.61B,61.61B,71.88B,,1.383B,1.383B,23.00M,23.00M,23.00M,1.406B,3.058B,3.058B,59.85B,62.91B,64.32B,1.141B,7.084B,2.173B,2.409B,,-429.00M,7.56B
2015-09,1.101B,7.20B,8.856B,16.06B,,4.232B,4.232B,,20.29B,,,,,,541.00M,,,,48.94B,622.00M,,48.32B,10.72B,59.58B,71.01B,,1.413B,1.413B,109.00M,109.00M,109.00M,1.522B,3.10B,3.10B,58.77B,61.87B,63.39B,1.141B,7.007B,2.165B,2.346B,,-345.00M,7.622B
2015-06,1.148B,5.965B,8.386B,14.35B,,3.978B,3.978B,,18.33B,,,,,,541.00M,,,,49.74B,618.00M,,49.12B,10.34B,60.00B,69.94B,,1.265B,1.265B,56.00M,56.00M,56.00M,1.321B,2.841B,2.841B,58.26B,61.10B,62.42B,1.141B,6.908B,2.158B,2.288B,,-396.00M,7.523B
2015-03,1.17B,5.962B,8.315B,14.28B,,4.186B,4.186B,,18.46B,,,,,,531.00M,,,,49.07B,601.00M,,48.47B,10.19B,59.19B,69.34B,,1.50B,1.50B,80.00M,80.00M,80.00M,1.58B,2.686B,2.686B,57.57B,60.26B,61.84B,1.141B,6.841B,2.188B,2.30B,,-370.00M,7.50B
2014-12,1.026B,6.071B,8.215B,14.29B,,4.434B,4.434B,,18.72B,88.00M,808.00M,508.00M,1.404B,-872.00M,532.00M,,,,48.59B,594.00M,,48.00B,10.15B,58.68B,69.19B,,1.507B,1.507B,116.00M,116.00M,116.00M,1.623B,2.675B,2.675B,57.49B,60.16B,61.78B,1.141B,6.744B,2.188B,2.259B,,-412.00M,7.402B
2014-09,1.039B,7.787B,9.58B,17.37B,,3.88B,3.88B,,21.25B,,,,,,524.00M,,,,47.71B,592.00M,,47.12B,9.58B,57.22B,68.89B,,1.002B,1.002B,202.00M,202.00M,202.00M,1.204B,2.669B,2.669B,57.58B,60.25B,61.45B,1.141B,6.631B,2.183B,2.205B,,-317.00M,7.433B
2014-06,1.226B,3.894B,9.643B,13.54B,,3.935B,3.935B,,17.47B,,,,,,562.00M,,,,47.88B,591.00M,,47.29B,9.643B,57.50B,65.32B,,990.00M,990.00M,176.00M,176.00M,176.00M,1.166B,2.62B,2.62B,54.17B,56.79B,57.96B,1.141B,6.52B,2.175B,2.163B,,-304.00M,7.369B
2014-03,1.186B,5.62B,9.592B,15.21B,,3.991B,3.991B,,19.20B,,,,,,583.00M,,,,46.49B,594.00M,,45.90B,9.592B,56.07B,65.68B,,954.00M,954.00M,1.16B,1.16B,1.16B,2.114B,2.534B,2.534B,53.75B,56.28B,58.40B,1.141B,6.414B,2.182B,2.129B,,-325.00M,7.283B
2013-12,1.14B,6.451B,9.419B,15.87B,,3.888B,3.888B,,19.76B,90.00M,830.00M,515.00M,1.435B,-841.00M,594.00M,,,,45.47B,598.00M,,44.87B,9.419B,54.88B,65.22B,,986.00M,986.00M,1.253B,1.253B,1.253B,2.239B,2.543B,2.543B,53.29B,55.84B,58.07B,1.141B,6.318B,2.179B,2.097B,,-391.00M,7.15B
2013-09,1.384B,7.088B,9.594B,16.68B,,3.837B,3.837B,,20.52B,,,,,,604.00M,,,,44.15B,604.00M,,43.55B,9.594B,53.74B,64.67B,,1.001B,1.001B,226.00M,226.00M,226.00M,1.227B,3.565B,3.565B,52.91B,56.47B,57.70B,1.141B,6.239B,2.171B,2.041B,,-541.00M,6.969B
2013-06,1.016B,3.894B,9.75B,13.64B,,3.822B,3.822B,,17.50B,,,,,,604.00M,,,,45.46B,613.00M,,44.85B,9.75B,55.20B,62.95B,,1.049B,1.049B,131.00M,131.00M,131.00M,1.18B,3.601B,3.601B,51.26B,54.86B,56.04B,1.141B,6.127B,2.16B,1.979B,,-538.00M,6.911B
2013-03,877.00M,5.597B,10.40B,16.00B,,3.819B,3.819B,,19.82B,,,,,,618.00M,,,,45.07B,617.00M,,44.45B,10.40B,55.47B,64.88B,,1.023B,1.023B,58.00M,58.00M,58.00M,1.081B,4.699B,4.699B,52.12B,56.82B,57.90B,1.141B,6.02B,2.157B,1.92B,,-410.00M,6.988B
2012-12,1.395B,4.434B,10.42B,14.86B,,4.063B,4.063B,,19.02B,90.00M,816.00M,509.00M,1.415B,-793.00M,622.00M,,,,46.06B,629.00M,,45.43B,10.42B,56.47B,65.07B,,1.106B,1.106B,110.00M,110.00M,110.00M,1.216B,4.72B,4.72B,52.19B,56.91B,58.13B,1.141B,5.931B,2.162B,1.879B,,-413.00M,6.942B
2012-09,,3.938B,146.00M,4.084B,,3.829B,3.829B,,7.913B,,,,,,625.00M,635.00M,25.00M,660.00M,44.19B,647.00M,,43.55B,10.72B,55.55B,63.31B,,1.45B,1.45B,63.00M,63.00M,63.00M,1.513B,4.74B,4.74B,49.98B,54.72B,56.23B,1.141B,5.831B,2.153B,1.788B,,-253.00M,7.084B
2012-06,,4.141B,170.00M,4.311B,,3.744B,3.744B,,8.055B,,,,,,667.00M,635.00M,28.00M,663.00M,43.99B,667.00M,,43.32B,10.11B,54.76B,62.65B,,1.409B,1.409B,83.00M,83.00M,83.00M,1.492B,4.742B,4.742B,49.39B,54.13B,55.62B,1.141B,5.744B,2.144B,1.70B,,-301.00M,7.028B
2012-03,,3.95B,180.00M,4.13B,,4.749B,4.749B,,8.889B,,,,,,670.00M,635.00M,30.00M,665.00M,43.01B,704.00M,,42.31B,10.24B,53.88B,62.59B,,1.301B,1.301B,82.00M,82.00M,82.00M,1.383B,4.919B,4.919B,49.31B,54.22B,55.61B,1.141B,5.63B,2.154B,1.614B,,-326.00M,6.985B
2011-12,982.00M,3.556B,10.25B,13.81B,,4.571B,4.571B,,18.38B,94.00M,830.00M,527.00M,1.451B,-776.00M,675.00M,,,,42.68B,726.00M,,41.95B,10.25B,52.88B,61.01B,,1.371B,1.371B,70.00M,70.00M,70.00M,1.441B,4.944B,4.944B,47.76B,52.70B,54.14B,1.141B,5.546B,2.17B,1.633B,,-356.00M,6.868B
