,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2020-09,2.169B,2.169B,2.494B,2.494B,434.00M,156.00M,648.00M,1.149B,219.00M,,,6.031B,,,,,,,,,,1.736B,4.591B,814.00M,5.405B,,509.00M,1.259B,8.909B,14.94B,521.00M,361.00M,42.00M,924.00M,1.263B,2.187B,,,,,353.00M,,353.00M,,,,,2.54B,7.592B,,7.592B,671.00M,671.00M,,1.00M,1.027B,9.703B,12.24B,6.00M,22.83B,1.346B,19.65B,,,-1.837B,2.696B
2020-06,1.812B,1.812B,2.156B,2.156B,448.00M,152.00M,656.00M,1.167B,253.00M,,,5.609B,,,,,,,,,,1.711B,4.443B,801.00M,5.244B,,470.00M,1.229B,8.654B,14.26B,402.00M,338.00M,152.00M,892.00M,1.106B,1.998B,,,,,4.00M,,4.00M,,,,40.00M,2.042B,7.765B,,7.765B,676.00M,676.00M,,1.00M,1.009B,9.863B,11.90B,6.00M,22.61B,1.317B,19.67B,,,-1.909B,2.357B
2020-03,1.43B,1.43B,2.424B,2.424B,449.00M,139.00M,686.00M,1.185B,,,244.00M,5.506B,,,,,,,,,,1.704B,4.401B,836.00M,5.237B,,473.00M,1.229B,8.643B,14.15B,488.00M,338.00M,55.00M,881.00M,1.105B,1.986B,4.00M,,,,4.00M,,4.00M,,,,42.00M,2.032B,7.69B,,7.69B,695.00M,695.00M,,1.00M,986.00M,9.833B,11.86B,6.00M,22.63B,1.309B,19.68B,,,-1.983B,2.283B
2019-12,1.981B,1.981B,2.461B,2.611B,452.00M,131.00M,670.00M,1.164B,25.00M,,121.00M,6.253B,0.0,186.00M,1.357B,3.551B,206.00M,133.00M,,5.433B,-3.498B,1.935B,4.492B,851.00M,5.343B,51.00M,516.00M,673.00M,8.815B,15.07B,472.00M,342.00M,48.00M,862.00M,629.00M,1.491B,,,0.00,4.00M,4.00M,51.00M,55.00M,188.00M,188.00M,,71.00M,2.154B,7.754B,128.00M,7.882B,668.00M,668.00M,413.00M,4.00M,459.00M,9.884B,12.04B,6.00M,22.40B,1.304B,18.98B,,,-1.705B,3.026B
2019-09,1.825B,1.825B,2.499B,2.499B,455.00M,151.00M,691.00M,1.209B,292.00M,,,6.245B,,,,,,,,,,1.693B,4.43B,890.00M,5.32B,,479.00M,1.223B,8.715B,14.96B,493.00M,344.00M,61.00M,898.00M,1.229B,2.127B,,,,,,,,,,,96.00M,2.223B,7.643B,,7.643B,716.00M,716.00M,,4.00M,946.00M,9.767B,11.99B,6.00M,22.10B,1.286B,18.63B,,,-1.798B,2.966B
2019-06,1.677B,1.677B,2.629B,2.629B,466.00M,146.00M,732.00M,1.256B,288.00M,,,6.289B,,,,,,,,,,1.717B,4.503B,928.00M,5.431B,,516.00M,1.234B,8.898B,15.19B,512.00M,323.00M,53.00M,888.00M,1.207B,2.095B,,,,,,,,,,,93.00M,2.188B,7.809B,,7.809B,683.00M,683.00M,,4.00M,950.00M,9.904B,12.09B,6.00M,21.79B,1.27B,18.28B,,,-1.697B,3.091B
2019-03,1.755B,1.755B,2.715B,2.715B,508.00M,171.00M,755.00M,1.346B,259.00M,,,6.075B,,,,,,,,,,1.765B,4.621B,1.044B,5.665B,,547.00M,1.274B,9.251B,15.33B,568.00M,326.00M,79.00M,973.00M,1.228B,2.201B,,,,,1.76B,,1.76B,,,,,3.961B,5.981B,,5.981B,727.00M,727.00M,,4.00M,962.00M,8.165B,12.13B,6.00M,21.49B,1.255B,17.91B,,,-1.642B,3.196B
2018-12,1.504B,1.504B,2.622B,2.799B,523.00M,161.00M,731.00M,1.318B,30.00M,,127.00M,5.778B,0.0,194.00M,1.368B,3.517B,,154.00M,,5.233B,-3.442B,1.791B,4.633B,1.084B,5.717B,51.00M,554.00M,689.00M,9.092B,14.87B,524.00M,328.00M,68.00M,920.00M,649.00M,1.569B,,,1.00M,1.35B,1.351B,0.00,1.351B,215.00M,215.00M,,,3.542B,6.029B,0.00,6.029B,707.00M,707.00M,382.00M,4.00M,457.00M,8.07B,11.61B,6.00M,21.22B,1.253B,17.54B,,,-1.677B,3.254B
2018-09,1.589B,1.589B,2.777B,2.777B,527.00M,177.00M,733.00M,1.338B,236.00M,,,5.94B,,,,,,,,,,1.799B,4.655B,1.13B,5.785B,,614.00M,1.181B,9.379B,15.32B,576.00M,332.00M,137.00M,1.045B,1.268B,2.313B,,,,,1.35B,,1.35B,,,,,3.663B,6.054B,,6.054B,707.00M,707.00M,,4.00M,853.00M,8.11B,11.77B,6.00M,20.94B,1.241B,17.05B,,,-1.589B,3.542B
2018-06,1.628B,1.628B,2.878B,2.878B,499.00M,180.00M,730.00M,1.32B,293.00M,,,6.119B,,,,,,,,,,1.783B,4.675B,1.177B,5.852B,,595.00M,1.174B,9.404B,15.52B,623.00M,262.00M,88.00M,973.00M,1.224B,2.197B,,,,,1.35B,,1.35B,,,,,3.547B,6.069B,,6.069B,704.00M,704.00M,,3.00M,854.00M,8.188B,11.74B,6.00M,20.63B,1.231B,16.56B,,,-1.53B,3.785B
