,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,3.307B,3.307B,1.91B,1.397B,560.00M,48.00M,,52.00M,-52.00M,,608.00M,789.00M,52.00M,-52.00M,2.00M,-52.00M,739.00M,157.00M,582.00M,,,582.00M,582.00M,909.00M,118.00M,791.00M,1.84,,,1.84,1.84,1.83,,,1.83,1.83,316.50M,317.90M,1.14
2020-06,2.564B,2.564B,1.594B,970.00M,486.00M,35.00M,,51.00M,-51.00M,,521.00M,449.00M,51.00M,-51.00M,8.00M,-51.00M,406.00M,87.00M,319.00M,,,319.00M,319.00M,557.00M,100.00M,457.00M,1.01,,,1.01,1.01,1.01,,,1.01,1.01,316.10M,317.40M,1.07
2020-03,3.228B,3.228B,1.871B,1.357B,560.00M,36.00M,,51.00M,-51.00M,,596.00M,761.00M,51.00M,-51.00M,25.00M,-51.00M,735.00M,169.00M,566.00M,,,566.00M,566.00M,890.00M,104.00M,786.00M,1.78,,,1.78,1.78,1.77,,,1.77,1.77,318.30M,319.70M,1.07
2019-12,3.469B,3.469B,2.022B,1.447B,586.00M,37.00M,,51.00M,-22.00M,,623.00M,824.00M,51.00M,-22.00M,29.00M,-22.00M,831.00M,190.00M,641.00M,,,641.00M,641.00M,987.00M,105.00M,882.00M,2.0,,,2.0,2.0,1.99,,,1.99,1.99,321.20M,322.60M,1.07
2019-09,3.479B,3.479B,2.007B,1.472B,566.00M,38.00M,,52.00M,-52.00M,,604.00M,868.00M,52.00M,-52.00M,26.00M,-52.00M,842.00M,182.00M,660.00M,,,660.00M,660.00M,998.00M,104.00M,894.00M,2.05,,,2.05,2.05,2.04,,,2.04,2.04,322.30M,324.00M,1.07
2019-06,3.609B,3.609B,2.099B,1.51B,598.00M,41.00M,,55.00M,-55.00M,,639.00M,871.00M,55.00M,-55.00M,9.00M,-55.00M,825.00M,202.00M,623.00M,,,623.00M,623.00M,987.00M,107.00M,880.00M,1.92,,,1.92,1.92,1.91,,,1.91,1.91,324.80M,326.60M,1.0
2019-03,3.552B,3.552B,2.059B,1.493B,611.00M,43.00M,,63.00M,-63.00M,,654.00M,839.00M,63.00M,-63.00M,14.00M,-63.00M,790.00M,193.00M,597.00M,,,597.00M,597.00M,963.00M,110.00M,853.00M,1.82,,,1.82,1.82,1.81,,,1.81,1.81,327.30M,329.60M,1.0
2018-12,3.58B,3.58B,2.096B,1.484B,578.00M,46.00M,,63.00M,-28.00M,,624.00M,860.00M,63.00M,-28.00M,-16.00M,-28.00M,816.00M,209.00M,607.00M,,,607.00M,607.00M,994.00M,115.00M,879.00M,1.84,,,1.84,1.84,1.83,,,1.83,1.83,329.90M,331.40M,1.0
2018-09,3.613B,3.613B,2.096B,1.517B,581.00M,47.00M,,64.00M,-64.00M,,628.00M,889.00M,64.00M,-64.00M,10.00M,-64.00M,835.00M,197.00M,638.00M,,,638.00M,638.00M,1.014B,115.00M,899.00M,1.91,,,1.91,1.91,1.9,,,1.9,1.9,333.30M,335.30M,1.0
2018-06,3.831B,3.831B,2.231B,1.60B,620.00M,48.00M,,64.00M,-64.00M,,668.00M,932.00M,64.00M,-64.00M,26.00M,-64.00M,894.00M,228.00M,666.00M,,,666.00M,666.00M,1.074B,116.00M,958.00M,1.98,,,1.98,1.98,1.97,,,1.97,1.97,336.70M,338.90M,0.78
2018-03,3.744B,3.744B,2.181B,1.563B,612.00M,48.00M,,66.00M,-66.00M,,660.00M,903.00M,66.00M,-66.00M,12.00M,-66.00M,849.00M,197.00M,652.00M,,,652.00M,652.00M,1.03B,115.00M,915.00M,1.92,,,1.92,1.92,1.9,,,1.9,1.9,340.20M,342.80M,0.78
2017-12,3.629B,3.629B,2.124B,1.505B,609.00M,50.00M,1.00M,66.00M,-21.00M,,659.00M,846.00M,66.00M,-21.00M,-29.00M,-21.00M,796.00M,872.00M,-76.00M,,,-76.00M,-76.60M,980.00M,118.00M,862.00M,-0.22,,,-0.2218,-0.22,-0.22,,,-0.2217,-0.22,342.30M,344.70M,0.78
2017-09,3.615B,3.615B,2.092B,1.523B,592.00M,51.00M,80.00M,65.00M,-65.00M,,643.00M,880.00M,65.00M,-65.00M,91.00M,-65.00M,906.00M,266.00M,640.00M,,,640.00M,583.44M,1.087B,116.00M,971.00M,1.86,,,1.695,1.86,1.85,,,1.6869999999999998,1.85,343.40M,346.00M,0.78
2017-06,3.599B,3.599B,2.087B,1.512B,603.00M,52.00M,15.00M,65.00M,-65.00M,,655.00M,857.00M,65.00M,-65.00M,27.00M,-65.00M,819.00M,232.00M,587.00M,,,587.00M,576.26M,998.00M,114.00M,884.00M,1.7,,,1.669,1.7,1.69,,,1.659,1.69,344.70M,347.50M,0.65
2017-03,3.471B,3.471B,2.003B,1.468B,608.00M,53.00M,,64.00M,-64.00M,,661.00M,807.00M,64.00M,-64.00M,6.00M,-64.00M,749.00M,213.00M,536.00M,,,536.00M,536.00M,927.00M,114.00M,813.00M,1.55,,,1.55,1.55,1.54,,,1.54,1.54,346.20M,349.00M,0.65
2016-12,3.399B,3.399B,2.018B,1.381B,593.00M,54.00M,-12.00M,63.00M,-25.00M,,647.00M,734.00M,63.00M,-25.00M,17.00M,-25.00M,726.00M,219.00M,507.00M,,,507.00M,515.38M,907.00M,118.00M,789.00M,1.46,,,1.484,1.46,1.45,,,1.474,1.45,348.10M,350.50M,0.65
2016-09,3.495B,3.495B,2.027B,1.468B,604.00M,56.00M,0.00,58.00M,-58.00M,,660.00M,808.00M,58.00M,-58.00M,13.00M,-58.00M,763.00M,228.00M,535.00M,,,535.00M,535.00M,941.00M,120.00M,821.00M,1.51,,,1.51,1.51,1.5,,,1.5,1.5,353.50M,355.50M,0.65
2016-06,3.431B,3.431B,1.967B,1.464B,617.00M,55.00M,,58.00M,-58.00M,,672.00M,792.00M,58.00M,-58.00M,17.00M,-58.00M,751.00M,226.00M,525.00M,,,525.00M,525.00M,924.00M,115.00M,809.00M,1.47,,,1.47,1.47,1.46,,,1.46,1.46,356.60M,358.50M,0.55
2016-03,3.274B,3.274B,1.896B,1.378B,597.00M,59.00M,,58.00M,-58.00M,,656.00M,722.00M,58.00M,-58.00M,4.00M,-58.00M,668.00M,200.00M,468.00M,,,468.00M,468.00M,843.00M,117.00M,726.00M,1.29,,,1.29,1.29,1.29,,,1.29,1.29,362.00M,363.90M,0.55
2015-12,3.275B,3.275B,1.941B,1.334B,598.00M,57.00M,,58.00M,-6.00M,,655.00M,679.00M,58.00M,-6.00M,-39.00M,-6.00M,634.00M,184.00M,450.00M,,,450.00M,450.00M,813.00M,121.00M,692.00M,1.24,0.0,,1.24,1.24,1.23,0.0,,1.23,1.23,363.70M,365.60M,0.55
