,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2020-12,4.490B,4.490B,2.585B,1.905B,518.00M,90.80M,-2.90M,48.30M,,-48.30M,608.80M,1.296B,,48.30M,-48.30M,-5.10M,-48.30M,1.243B,304.10M,938.60M,-0.30M,,938.30M,938.53M,1.475B,183.90M,1.291B,,9.62,,,9.622,9.62,,9.54,,,9.542,9.54,,97.50M,98.30M,0.00,,AOR,
2020-09,3.896B,3.896B,2.337B,1.559B,419.50M,62.20M,-30.60M,51.40M,,-51.40M,481.70M,1.078B,,51.40M,-51.40M,-79.20M,-51.40M,947.10M,243.40M,703.70M,-0.30M,,703.40M,724.20M,1.151B,152.30M,998.50M,,7.22,,,7.434,7.22,,7.17,,,7.382,7.17,,97.40M,98.10M,0.00,,AOR,
2020-06,2.769B,2.769B,2.008B,760.50M,396.30M,60.10M,-6.40M,52.70M,,-52.70M,456.40M,304.10M,,52.70M,-52.70M,45.60M,-52.70M,297.00M,65.40M,231.60M,0.00,,231.60M,234.64M,493.60M,143.90M,349.70M,,2.38,,,2.411,2.38,,2.37,,,2.401,2.37,,97.30M,97.70M,0.00,,AOR,
2020-03,2.824B,2.824B,2.096B,728.00M,395.50M,62.30M,-462.80M,55.00M,,-55.00M,457.80M,270.20M,,55.00M,-55.00M,-482.90M,-55.00M,-267.70M,49.20M,-316.90M,-0.30M,,-317.20M,18.75M,-68.10M,144.60M,-212.70M,,-3.27,,,0.1862,-3.27,,-3.27,,,0.1862,-3.27,,97.20M,97.20M,0.00,,AOR,
2019-12,2.953B,2.953B,2.133B,820.70M,413.90M,64.20M,-6.20M,64.40M,,-64.40M,478.10M,342.60M,,64.40M,-64.40M,14.70M,-64.40M,292.90M,65.60M,227.30M,-0.20M,,227.10M,228.81M,513.10M,155.80M,357.30M,,2.34,,,2.358,2.34,,2.32,,,2.337,2.32,,97.30M,98.00M,0.00,,AOR,
2019-09,2.928B,2.928B,2.111B,817.30M,401.50M,61.70M,-14.20M,60.50M,,-60.50M,463.20M,354.10M,,60.50M,-60.50M,-6.20M,-60.50M,287.40M,66.40M,221.00M,-0.30M,,220.70M,229.39M,492.20M,144.30M,347.90M,,2.26,,,2.349,2.26,,2.25,,,2.338,2.25,,97.60M,98.30M,0.00,,AOR,Restated
2019-06,2.882B,2.882B,2.057B,824.80M,415.30M,60.20M,-13.60M,59.10M,,-59.10M,475.50M,349.30M,,59.10M,-59.10M,-20.20M,-59.10M,270.00M,79.30M,190.70M,-0.30M,,190.40M,199.01M,470.70M,141.60M,329.10M,,1.94,,,2.028,1.94,,1.93,,,2.017,1.93,,98.10M,98.80M,0.00,,AOR,Restated
2019-03,2.791B,2.791B,2.002B,789.70M,393.80M,57.10M,-20.60M,56.70M,,-56.70M,450.90M,338.80M,,56.70M,-56.70M,-27.40M,-56.70M,254.70M,68.80M,185.90M,-0.30M,,185.60M,200.20M,446.90M,135.50M,311.40M,,1.88,,,2.028,1.88,,1.86,,,2.007,1.86,,98.60M,99.50M,0.00,,AOR,Restated
2018-12,2.788B,2.788B,2.015B,772.40M,396.90M,56.20M,-11.60M,58.20M,,-58.20M,453.10M,319.30M,,58.20M,-58.20M,-46.60M,-58.20M,214.50M,56.30M,158.20M,-0.30M,,157.90M,164.02M,410.40M,137.70M,272.70M,,1.58,,,1.641,1.58,,1.56,,,1.621,1.56,,100.20M,101.10M,0.00,,AOR,Restated
2018-09,2.831B,2.831B,2.041B,789.90M,381.80M,54.70M,-10.00M,59.40M,,-59.40M,436.50M,353.40M,,59.40M,-59.40M,205.60M,-59.40M,499.60M,180.60M,319.00M,-0.20M,,318.80M,323.40M,692.10M,133.10M,559.00M,,3.14,,,3.185,3.14,,3.10,,,3.145,3.10,,101.60M,102.70M,0.00,,AOR,Restated
