,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,938.60M,,,,,183.90M,183.90M,1.50M,1.20M,26.80M,77.80M,-291.20M,-49.10M,-31.50M,-87.70M,,,4.30M,-455.20M,774.60M,,-99.40M,,,,-29.50M,-40.10M,41.00M,-128.00M,,0.00,,0.00,,0.00,0.00,,5.30M,-6.30M,-1.00M,,667.20M,645.60M,8.00M,1.321B,,,0.00,0.00,0.00,,,,AOR,
2020-09,703.70M,,,,,152.30M,152.30M,-19.10M,23.50M,27.20M,46.60M,-481.60M,-49.10M,-7.00M,374.50M,,,15.20M,-148.00M,786.20M,,-77.20M,,,,-205.00M,3.10M,-6.10M,-285.20M,,-412.20M,,-412.20M,,0.00,0.00,,21.80M,-6.30M,-396.70M,,557.00M,104.30M,5.90M,667.20M,,,0.00,-412.20M,0.00,,,,AOR,
2020-06,231.60M,,,,,143.90M,143.90M,-34.50M,0.00,39.80M,58.80M,-228.70M,-87.80M,36.10M,171.40M,,,40.10M,-68.90M,370.70M,,-98.50M,,,,-25.20M,0.10M,0.20M,-123.40M,,0.00,,0.00,,0.00,0.00,,1.90M,-18.80M,-16.90M,,323.60M,230.40M,3.00M,557.00M,,,0.00,0.00,0.00,,,,AOR,
2020-03,-316.90M,,,,,144.60M,144.60M,5.10M,437.40M,17.90M,100.50M,45.60M,-10.60M,-3.00M,-205.60M,,,-11.20M,-184.80M,203.80M,,-106.60M,,,,-7.90M,0.90M,7.00M,-106.60M,,0.00,,0.00,,-100.00M,-100.00M,,26.90M,-29.70M,-102.80M,,337.50M,-5.60M,-8.30M,323.60M,,,151.70M,-151.70M,-100.00M,,,,AOR,
2019-12,227.30M,,,,,155.80M,155.80M,5.90M,,23.50M,31.00M,80.70M,-7.40M,-48.40M,49.10M,,,39.10M,113.10M,569.80M,,-128.20M,,,,-1.80M,-24.00M,1.90M,-152.10M,,-389.90M,,-389.90M,,-50.00M,-50.00M,,5.70M,-15.20M,-449.40M,,361.10M,-31.70M,8.10M,337.50M,,,1.072B,-1.462B,-50.00M,,,,AOR,
2019-09,221.00M,,,,,144.30M,144.30M,8.10M,0.00,31.50M,41.30M,-45.30M,-12.80M,-10.30M,73.80M,,,4.00M,9.40M,455.60M,,-92.60M,,,,-154.70M,6.00M,1.60M,-239.70M,,-35.00M,,-35.00M,,-100.00M,-100.00M,,25.10M,-5.10M,-115.00M,,265.40M,100.90M,-5.20M,361.10M,,,53.50M,-88.50M,-100.00M,,,,AOR,Restated
2019-06,190.70M,,,,,141.60M,141.60M,-1.90M,0.00,26.50M,47.10M,-41.30M,-5.10M,8.90M,-102.40M,,,-10.60M,-150.50M,253.50M,,-85.20M,,,,-668.90M,3.00M,0.30M,-750.80M,,635.00M,,635.00M,,-199.90M,-199.90M,,9.20M,-29.40M,414.90M,,348.80M,-82.40M,-1.00M,265.40M,,,1.136B,-501.30M,-199.90M,,,,AOR,Restated
2019-03,185.90M,,,,,135.50M,135.50M,17.10M,0.00,25.50M,68.20M,-117.20M,3.40M,7.20M,-165.40M,,,5.60M,-266.40M,165.80M,,-94.20M,,,,-50.60M,0.40M,3.90M,-140.50M,,0.00,,0.00,,-100.10M,-100.10M,,24.70M,-27.80M,-103.20M,,426.80M,-77.90M,-0.10M,348.80M,,,133.20M,-133.20M,-100.10M,,,,AOR,Restated
2018-12,158.20M,24.50M,-0.30M,26.10M,,137.70M,137.70M,10.10M,-5.30M,20.80M,10.70M,-16.80M,-10.10M,-17.80M,112.20M,,,60.60M,128.10M,486.40M,,-122.20M,,,,-20.70M,-4.00M,0.00,-146.90M,,-392.90M,,-392.90M,,-400.00M,-400.00M,,1.70M,-11.70M,-802.90M,,892.60M,-463.40M,-2.40M,426.80M,,,18.00M,-410.90M,-400.00M,,,,AOR,Restated
2018-09,319.10M,-209.40M,1.60M,-209.40M,-281.30M,133.10M,133.10M,-23.90M,3.00M,18.80M,0.00,9.30M,-4.10M,-12.90M,121.60M,,,-102.70M,11.20M,251.90M,,-97.90M,,,,647.50M,0.00,0.30M,549.90M,,-2.00M,,-2.00M,,-150.00M,-150.00M,,24.40M,-1.30M,-128.90M,,221.40M,672.90M,-1.70M,892.60M,,,54.50M,-56.50M,-150.00M,-148.60M,-188.20M,,AOR,Restated
2018-06,234.10M,0.00,-0.80M,-2.80M,138.50M,138.50M,138.50M,0.00,0.00,26.20M,-28.00M,53.10M,-6.10M,6.60M,-44.40M,,,-17.90M,-8.70M,387.40M,,-87.20M,,,,-84.50M,0.00,49.70M,-122.00M,,-312.30M,,-312.30M,,-75.00M,-75.00M,,14.60M,-20.40M,-393.10M,,361.80M,-127.70M,-12.60M,221.40M,,,165.00M,-477.30M,-75.00M,148.60M,188.20M,,AOR,Restated
2018-03,172.50M,,-0.50M,1.20M,142.80M,142.80M,142.80M,36.00M,2.30M,25.80M,28.10M,-76.40M,1.40M,-33.80M,-118.30M,,,26.20M,-200.90M,179.70M,,-72.50M,,,,-1.90M,0.00,0.10M,-74.30M,,12.20M,,12.20M,,-75.00M,-75.00M,,28.40M,-30.60M,-65.00M,,316.70M,40.40M,4.70M,361.80M,,,229.70M,-217.50M,-75.00M,,,,AOR,Restated
2017-12,690.20M,0.00,0.40M,-1.90M,-388.20M,145.00M,145.00M,-525.70M,-23.50M,23.90M,25.50M,116.10M,-10.00M,-13.60M,79.30M,,,59.70M,231.50M,565.00M,,-96.30M,,,-0.20M,-50.10M,,4.30M,-178.30M,,-412.00M,,-412.00M,,-40.00M,-40.00M,,8.40M,-36.70M,-480.30M,,409.30M,-93.60M,1.20M,316.60M,,,68.50M,-480.50M,-40.00M,,,,AOR,Restated
2017-09,174.30M,0.00,3.60M,5.30M,133.10M,133.10M,133.10M,4.50M,8.40M,33.10M,0.10M,-38.00M,-5.70M,28.60M,44.10M,,,8.90M,37.90M,396.70M,,-75.30M,,,0.00,-1.238B,,0.20M,-1.314B,,1.087B,,1.087B,,-42.10M,-42.10M,,33.80M,-60.50M,1.019B,,299.60M,101.80M,7.50M,409.30M,,,2.524B,-1.437B,-42.10M,,,,AOR,Restated
2017-06,185.10M,,-4.10M,-4.00M,127.00M,127.00M,127.00M,-23.30M,15.10M,25.00M,0.00,-51.00M,-5.60M,21.00M,28.40M,,,-7.20M,-14.40M,310.50M,,-70.40M,,,-1.10M,-421.20M,,0.20M,-491.40M,,210.70M,,210.70M,,-108.00M,-108.00M,,4.40M,-0.30M,106.80M,,365.50M,-74.10M,8.40M,299.60M,,,520.00M,-309.30M,-108.00M,-11.10M,-71.80M,,AOR,Restated
2017-03,183.30M,,0.10M,0.60M,128.10M,128.10M,128.10M,18.70M,0.00,27.70M,0.20M,-36.30M,4.90M,-16.20M,-82.30M,,,-2.80M,-132.70M,225.90M,,-73.40M,,,-1.20M,-172.90M,,0.80M,-245.50M,,70.80M,,70.80M,,-148.00M,-148.00M,,27.00M,-1.70M,-51.90M,,433.60M,-71.50M,3.40M,365.50M,,,229.70M,-158.90M,-148.00M,11.10M,71.80M,,AOR,Restated
2016-12,164.30M,,0.80M,-6.10M,130.30M,130.30M,130.30M,49.50M,0.00,27.70M,0.30M,79.30M,-4.80M,-7.00M,41.20M,,,-4.60M,104.10M,470.10M,,-74.30M,,,0.00,-152.20M,0.00,6.90M,-219.60M,,-290.90M,,-290.90M,,-43.90M,-43.90M,,3.20M,-37.70M,-369.30M,,567.60M,-118.80M,-15.20M,433.60M,,,139.50M,-430.40M,-43.90M,84.80M,31.20M,,AOR,Restated
