,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,,2.645B,14.19M,2.659B,705.51M,,705.51M,,,,384.36M,4.044B,,,,,14.55B,,,14.55B,,14.55B,5.125B,2.047B,7.172B,,,,,673.44M,,2020-09,822.06M,,,,822.06M,363.87M,1.186B,,2.122B,2.122B,256.80M,2.379B,,,,231.18M,3.796B,,8.403B,2.960B,,,,,0.152M,15.88B,,2020-09,0.089M,1.709B,14.95B,122.69M,,-1.102B,10.56B,,2020-09,AOR,
2020-06,,4.785B,22.07M,4.807B,691.59M,,691.59M,,,,330.52M,5.981B,,,,,14.06B,,,14.06B,,14.06B,5.016B,2.075B,7.091B,,,,,660.25M,,2020-06,745.52M,,,,745.52M,335.01M,1.081B,,2.303B,2.303B,242.25M,2.546B,,,,229.64M,3.856B,,10.02B,2.902B,,,,,-0.022M,17.40B,,2020-06,0.089M,1.643B,14.65B,127.04M,,-1.140B,10.39B,,2020-06,AOR,
2020-03,,1.171B,25.83M,1.197B,687.15M,,687.15M,,,,435.78M,2.320B,,,,,13.59B,,,13.59B,,13.59B,4.927B,2.109B,7.036B,,,,,642.84M,,2020-03,717.57M,,,,717.57M,317.14M,1.035B,,374.87M,374.87M,229.86M,604.73M,,,,199.02M,1.838B,,9.723B,2.752B,,,,,-0.07M,14.92B,,2020-03,0.086M,1.509B,12.89B,127.30M,,-1.207B,8.669B,,2020-03,AOR,
2019-12,983.03M,1.870B,10.36M,1.880B,689.13M,46.38M,858.34M,55.95M,7.09M,,45.87M,2.873B,1.010B,781.02M,5.399B,,9.607B,1.002B,1.764B,19.56B,-5.935B,13.63B,4.782B,2.102B,6.884B,59.74M,260.73M,32.28M,42.20M,67.59M,,2019-12,52.23M,9.029M,135.10M,,196.36M,633.56M,829.92M,2.081M,720.83M,720.83M,220.84M,941.67M,92.90M,92.90M,,49.93M,2.158B,100.33M,9.599B,2.747B,9.306M,303.04M,,4.017M,-0.224M,15.13B,,2019-12,0.086M,1.391B,12.70B,144.26M,,-934.61M,8.841B,,2019-12,AOR,
2019-09,,1.402B,19.57M,1.422B,746.57M,,746.57M,,,,305.25M,2.853B,,,,,12.71B,,,12.71B,,12.71B,4.649B,2.128B,6.777B,,,,,499.63M,,2019-09,755.15M,,,,755.15M,335.49M,1.091B,,371.26M,371.26M,202.52M,573.78M,,,,172.07M,1.836B,,9.051B,2.635B,,,,,-0.08M,14.08B,,2019-09,0.086M,1.266B,12.64B,144.30M,,-1.040B,8.761B,,2019-09,AOR,Restated
2019-06,,1.614B,17.22M,1.631B,752.68M,,752.68M,,,,251.45M,2.989B,,,,,12.46B,,,12.46B,,12.46B,4.769B,2.204B,6.973B,,,,,463.60M,,2019-06,768.67M,,,,768.67M,344.69M,1.113B,,373.72M,373.72M,201.83M,575.55M,,,,195.49M,1.884B,,9.227B,2.465B,,,,,-0.013M,14.14B,,2019-06,0.085M,1.146B,12.45B,144.72M,,-958.44M,8.749B,,2019-06,AOR,Restated
2019-03,,1.634B,13.83M,1.648B,703.84M,,703.84M,,,,274.26M,2.626B,,,,,12.36B,,,12.36B,,12.36B,4.808B,2.243B,7.051B,,,,,458.10M,,2019-03,746.77M,,,,746.77M,263.14M,1.010B,,373.28M,373.28M,188.19M,561.47M,,,,113.97M,1.685B,,9.354B,2.483B,,,,,-0.324M,14.07B,,2019-03,0.084M,1.002B,12.04B,144.80M,,-942.36M,8.425B,,2019-03,AOR,Restated
2018-12,486.65M,606.17M,4.54M,610.71M,630.12M,22.39M,750.75M,70.43M,10.89M,,10.73M,1.516B,857.58M,631.37M,4.823B,,7.074B,974.15M,1.637B,16.00B,-4.971B,11.03B,4.836B,2.333B,7.170B,10.00M,204.60M,10.90M,66.83M,60.78M,,2018-12,96.98M,8.795M,118.82M,,224.59M,484.61M,709.20M,6.776M,374.13M,374.13M,77.84M,451.97M,93.57M,100.04M,,11.38M,1.515B,89.89M,9.439B,1.441B,9.671M,412.85M,,0.928M,0.00,13.03B,,2018-12,0.081M,889.95M,10.75B,145.16M,,-945.70M,7.219B,,2018-12,AOR,Restated
2018-09,,870.49M,15.42M,885.90M,662.40M,,662.40M,,,,258.68M,1.807B,,,,,,,,,,10.68B,4.853B,2.383B,7.236B,0.00,,,,562.33M,,2018-09,739.12M,,,,739.12M,276.31M,1.015B,,223.84M,223.84M,98.22M,322.06M,,,,123.82M,1.461B,,9.646B,1.386B,,,,,,13.13B,,2018-09,0.081M,779.93M,10.59B,145.22M,,-922.15M,7.160B,,2018-09,AOR,Restated
2018-06,,966.31M,18.20M,984.51M,616.47M,,616.47M,,,,249.85M,1.851B,,,,,,,,,,10.38B,4.870B,2.440B,7.310B,4.20M,,,,525.96M,,2018-06,710.58M,,,,710.58M,269.41M,979.99M,,226.05M,226.05M,85.26M,311.32M,,,,142.31M,1.434B,,9.652B,1.426B,,,,,,13.15B,,2018-06,0.08M,655.10M,10.25B,145.63M,,-877.99M,6.925B,,2018-06,AOR,Restated
