,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2007-03,126.24M,,,,,,154.67M,0.218M,154.89M,154.89M,-1.396M,,,,-95.15M,4.635M,-4.373M,,,-17.74M,-17.48M,167.10M,-66.96M,280.59M,213.63M,,,2.102M,-538.76M,-323.02M,-122.85M,487.50M,364.65M,10.39M,-142.82M,-132.43M,,,,-153.02M,-7.431M,-160.45M,,-4.383M,67.39M,260.28M,-88.54M,171.74M,10.39M,4.052B,-3.564B,-142.82M,,
2006-12,465.06M,,,-0.188M,,-2.548M,155.38M,-0.628M,154.75M,154.75M,5.10M,,,,-476.75M,-8.87M,-29.26M,-8.87M,10.67M,4.461M,-31.87M,170.18M,-480.58M,1.251B,770.77M,,,-2.538M,-317.31M,450.22M,-267.13M,-46.00M,-313.13M,-49.07M,-0.042M,-49.11M,,115.00M,-0.023M,417.27M,31.90M,-146.14M,,2.242M,-436.44M,76.32M,183.95M,260.28M,-49.07M,-12.25B,11.53B,114.96M,,
2006-09,69.81M,,,0.195M,,0.195M,143.26M,0.182M,143.44M,143.44M,-6.602M,,,,-5.89M,9.915M,26.39M,9.915M,15.24M,-40.85M,20.61M,221.56M,-645.64M,64.18M,-581.46M,,,-3.583M,3.861M,-581.18M,645.73M,-41.00M,604.73M,27.67M,-1.309M,26.36M,0.00,-115.00M,-115.00M,-138.87M,-10.66M,-149.53M,,-2.777M,363.77M,72.17M,4.152M,76.32M,27.67M,5.010B,-4.405B,-116.31M,,
2006-06,160.16M,,,,,,150.70M,0.202M,150.90M,150.90M,0.606M,,,,-113.38M,-1.406M,4.645M,-1.406M,5.776M,-3.239M,4.37M,202.65M,-612.27M,191.82M,-420.46M,,,3.407M,56.27M,-360.78M,320.80M,-2.117B,-1.796B,3.914M,-37.23M,-33.32M,,,,-139.90M,-10.09M,-149.99M,,2.123B,143.52M,86.78M,-14.60M,72.17M,3.914M,2.833B,-4.629B,-37.23M,,
2006-03,377.82M,,,,,,146.77M,0.244M,147.02M,147.02M,0.896M,,,,-333.33M,0.361M,4.627M,0.361M,-31.68M,-4.988M,-31.32M,161.08M,-536.78M,810.90M,274.12M,,,2.714M,-44.56M,232.27M,17.93M,1.895B,1.913B,25.46M,-44.77M,-19.31M,,,,-138.50M,-11.15M,-149.64M,,-2.140B,-395.40M,88.83M,-2.051M,86.78M,25.46M,4.411B,-2.498B,-44.77M,,
2005-12,-635.91M,,,-0.326M,,-0.326M,-391.15M,-0.761M,-391.91M,-391.91M,-3.793M,,,,479.24M,-0.762M,-25.46M,-12.06M,-12.19M,26.22M,-24.26M,121.58M,1.189B,-1.477B,-287.27M,,0.065M,-67.20M,-437.28M,-791.68M,-171.11M,150.00M,-21.11M,-41.98M,0.026M,-41.95M,,,,414.03M,39.12M,453.15M,,61.92M,452.00M,306.93M,-223.43M,,-41.98M,-8.056B,8.035B,0.026M,,
2005-09,267.52M,,,0.326M,,0.326M,131.88M,0.283M,132.17M,132.17M,1.103M,,,,-218.50M,0.002M,25.79M,15.99M,21.01M,-25.46M,37.33M,219.96M,-360.32M,641.04M,280.72M,,0.00,66.25M,-148.49M,198.48M,503.39M,-428.00M,75.39M,15.04M,0.00,15.04M,,0.00,0.00,-136.22M,-13.02M,-149.24M,,-155.44M,-214.25M,102.75M,204.18M,306.93M,15.04M,6.018B,-5.943B,0.00,,
2005-06,141.34M,,,,,,130.20M,0.242M,130.44M,130.44M,1.112M,,,,-85.59M,-0.574M,0.562M,-3.473M,-1.159M,-2.576M,-7.22M,180.09M,-466.70M,293.65M,-173.05M,,-0.045M,1.093M,40.91M,-131.09M,-219.40M,265.00M,45.60M,12.12M,-0.026M,12.10M,,,,-140.69M,-13.02M,-153.71M,,58.70M,-37.31M,91.07M,11.68M,102.75M,12.12M,1.181B,-1.136B,-0.026M,,
2005-03,227.04M,,,,,,129.07M,0.236M,129.30M,129.30M,1.578M,,,,-175.16M,1.334M,-0.89M,-0.45M,-7.658M,1.81M,-5.854M,176.91M,-362.46M,542.06M,179.60M,,-0.02M,-0.141M,-47.34M,132.10M,-112.88M,13.00M,-99.88M,14.81M,0.00,14.81M,,,,-137.12M,-13.08M,-150.20M,,-66.18M,-301.44M,83.50M,7.563M,91.07M,14.81M,856.54M,-956.41M,0.00,,
2004-12,-321.70M,,,,,,-367.88M,-0.769M,-368.65M,-368.65M,-4.991M,,,,156.43M,2.156M,-42.57M,15.35M,-54.64M,40.41M,-39.28M,128.87M,827.79M,-658.76M,169.03M,,19.17M,398.92M,-626.71M,-39.60M,-1.692B,10.00M,-1.682B,-50.10M,0.024M,-50.08M,,,,430.29M,41.01M,471.30M,,1.190B,-70.76M,64.99M,-15.41M,,-50.10M,-5.016B,3.333B,0.024M,,
