,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,766.54M,766.54M,224.82M,541.72M,113.79M,219.65M,2.862M,,14.23M,1.969M,-12.26M,,336.30M,205.42M,1.969M,14.23M,-12.26M,1.486M,-12.26M,194.65M,0.83M,193.82M,,193.82M,193.82M,208.87M,,2020-09,0.79,,0.79,,2020-09,0.79,,0.79,,2020-09,0.38,,2020-09,AOR,
2020-06,726.67M,726.67M,232.80M,493.87M,105.38M,210.11M,2.862M,,11.66M,4.954M,-6.702M,,318.36M,175.52M,4.954M,11.66M,-6.702M,-5.451M,-6.702M,163.36M,69.53M,93.84M,,93.84M,93.84M,175.02M,,2020-06,0.39,,0.39,,2020-06,0.38,,0.38,,2020-06,0.38,,2020-06,AOR,
2020-03,756.17M,756.17M,227.73M,528.44M,103.68M,214.97M,3.401M,,9.565M,9.523M,-0.042M,,322.04M,206.39M,9.523M,9.565M,-0.042M,-16.60M,-0.042M,189.75M,27.49M,162.26M,,162.26M,162.26M,199.31M,,2020-03,0.66,,0.66,,2020-03,0.65,,0.65,,2020-03,0.37,,2020-03,AOR,
2019-12,723.50M,723.50M,240.02M,483.48M,109.61M,211.54M,2.919M,,9.563M,11.14M,1.575M,,324.07M,159.41M,11.14M,9.563M,1.575M,4.862M,1.575M,165.84M,3.831M,162.01M,,162.01M,162.01M,175.41M,,2019-12,0.65,,0.65,,2019-12,0.64,,0.64,,2019-12,0.37,,2019-12,AOR,
2019-09,833.37M,833.37M,293.11M,540.26M,111.60M,222.98M,2.169M,,9.562M,13.81M,4.251M,,336.74M,203.52M,13.81M,9.562M,4.251M,8.078M,4.251M,215.84M,-11.15M,226.99M,,226.99M,226.99M,225.41M,,2019-09,0.90,,0.90,,2019-09,0.89,,0.89,,2019-09,0.37,,2019-09,AOR,Restated
2019-06,849.63M,849.63M,286.77M,562.86M,107.42M,204.10M,0.40M,,10.66M,17.99M,7.33M,,311.92M,250.94M,17.99M,10.66M,7.33M,4.282M,7.33M,262.55M,21.09M,241.46M,,241.46M,241.46M,273.21M,,2019-06,0.95,,0.95,,2019-06,0.94,,0.94,,2019-06,0.37,,2019-06,AOR,Restated
2019-03,828.36M,828.36M,269.46M,558.90M,107.16M,199.50M,1.866M,,12.88M,20.94M,8.054M,,308.53M,250.38M,20.94M,12.88M,8.054M,1.248M,8.054M,259.68M,15.04M,244.64M,,244.64M,244.64M,272.56M,,2019-03,0.96,,0.96,,2019-03,0.95,,0.95,,2019-03,0.36,,2019-03,AOR,Restated
2018-12,800.06M,800.06M,247.90M,552.15M,103.04M,189.33M,1.866M,,13.46M,21.61M,8.146M,,294.23M,257.92M,21.61M,13.46M,8.146M,-9.476M,8.146M,256.59M,17.23M,239.36M,,239.36M,239.36M,270.05M,,2018-12,0.95,,0.95,,2018-12,0.93,,0.93,,2018-12,0.36,,2018-12,AOR,Restated
2018-09,746.25M,746.25M,231.62M,514.63M,97.68M,183.37M,0.839M,,13.16M,17.35M,4.186M,,281.90M,232.74M,17.35M,13.16M,4.186M,2.222M,4.186M,239.14M,23.43M,215.71M,,215.71M,215.71M,252.31M,,2018-09,0.85,,0.85,,2018-09,0.84,,0.84,,2018-09,0.36,,2018-09,AOR,Restated
2018-06,684.37M,684.37M,206.89M,477.48M,90.53M,170.83M,0.36M,,13.37M,17.40M,4.025M,,261.72M,215.76M,17.40M,13.37M,4.025M,-6.872M,4.025M,212.92M,22.88M,190.04M,,190.04M,190.04M,226.29M,,2018-06,0.75,,0.75,,2018-06,0.74,,0.74,,2018-06,0.36,,2018-06,AOR,Restated
2018-03,638.19M,638.19M,188.94M,449.25M,89.35M,162.48M,0.584M,,11.50M,13.62M,2.116M,,252.42M,196.84M,13.62M,11.50M,2.116M,-39.25M,2.116M,159.70M,14.23M,145.47M,,145.47M,145.47M,171.21M,,2018-03,0.57,,0.57,,2018-03,0.56,,0.56,,2018-03,0.35,,2018-03,AOR,Restated
2017-12,598.60M,598.60M,177.97M,420.63M,92.75M,166.23M,0.353M,,11.22M,17.74M,6.514M,,259.34M,161.30M,17.74M,11.22M,6.514M,-1.045M,6.514M,166.77M,179.25M,-12.48M,,-12.48M,-12.48M,177.99M,,2017-12,-0.05,,-0.05,,2017-12,-0.05,,-0.05,,2017-12,0.35,,2017-12,AOR,Restated
