,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,OtherLongTermLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.171B,1.925B,3.096B,362.50M,,362.50M,28.24M,179.53M,74.28M,282.05M,73.03M,,,3.814B,,,,,,,999.41M,-641.93M,357.48M,619.41M,181.23M,800.64M,,,604.30M,1.762B,2020-09,106.02M,38.39M,,144.41M,446.50M,590.91M,499.66M,499.66M,,499.66M,,,,,1.091B,1.492B,1.492B,,,,70.06M,,2020-09,2.45M,1.237B,1.221B,,,-8.288M,2.453B,,2020-09,AOR,
2020-06,1.227B,1.772B,2.999B,305.18M,,305.18M,33.97M,188.32M,69.92M,292.21M,67.94M,,,3.665B,,,,,,,993.03M,-631.50M,361.53M,619.20M,190.78M,809.98M,,,608.59M,1.780B,2020-06,102.52M,54.25M,,156.76M,391.01M,547.78M,499.46M,499.46M,,499.46M,,,,,1.047B,1.492B,1.492B,,,,81.72M,,2020-06,2.432M,1.137B,1.195B,,,-14.24M,2.320B,,2020-06,AOR,
2020-03,1.778B,489.51M,2.267B,273.03M,,273.03M,35.56M,204.50M,64.28M,304.34M,64.56M,,,2.909B,0.00,65.30M,376.88M,547.14M,57.82M,,1.047B,-616.74M,430.39M,619.20M,321.78M,940.98M,101.03M,149.42M,51.29M,1.784B,2020-03,102.13M,36.22M,,138.35M,215.83M,354.18M,499.26M,499.26M,11.11M,510.37M,,121.94M,,,1.086B,747.11M,747.11M,,,,98.11M,,2020-03,2.438M,1.188B,1.145B,,,-20.28M,2.315B,,2020-03,AOR,
2019-12,1.292B,1.133B,2.425B,253.55M,,253.55M,34.52M,232.08M,61.62M,328.21M,121.10M,,,3.128B,,,,,,,983.83M,-605.59M,378.24M,619.20M,210.44M,829.64M,0.00,,615.32M,1.823B,2019-12,102.69M,24.22M,,126.91M,388.97M,515.88M,,,,,,,,,515.88M,1.246B,1.246B,,,,100.19M,,2019-12,2.489M,1.545B,1.106B,,,-12.10M,2.641B,,2019-12,AOR,
2019-09,1.604B,912.03M,2.516B,335.50M,,335.50M,42.19M,244.76M,48.32M,335.26M,71.40M,,,3.258B,,,,,,,960.10M,-597.94M,362.16M,620.85M,220.06M,840.91M,0.00,,558.83M,1.762B,2019-09,107.10M,17.18M,,124.28M,381.55M,505.83M,,,,,,,,,505.83M,1.246B,1.246B,,,,95.89M,,2019-09,2.515M,1.732B,978.22M,,,-17.14M,2.696B,,2019-09,AOR,Restated
2019-06,1.590B,1.293B,2.883B,305.96M,,305.96M,40.59M,233.15M,63.02M,336.76M,63.72M,,,3.590B,,,,,,,937.47M,-586.91M,350.56M,354.25M,95.24M,449.49M,54.85M,,523.43M,1.378B,2019-06,121.38M,49.44M,,170.82M,326.29M,497.11M,,,,,,,,,497.11M,1.245B,1.245B,,,,98.62M,,2019-06,2.51M,1.743B,880.30M,,,-13.47M,2.613B,,2019-06,AOR,Restated
2019-03,1.544B,1.631B,3.176B,335.16M,,335.16M,39.73M,213.78M,61.85M,315.36M,65.77M,,,3.892B,0.00,65.30M,353.91M,483.78M,,,902.99M,-574.06M,328.93M,340.72M,178.13M,518.85M,128.07M,126.70M,47.55M,1.259B,2019-03,117.49M,28.72M,,146.21M,89.61M,235.82M,,,0.00,0.00,,118.56M,,,475.04M,1.235B,1.235B,,,,64.80M,,2019-03,2.539M,1.877B,1.005B,,,-23.41M,2.862B,,2019-03,AOR,Restated
2018-12,1.930B,1.540B,3.470B,359.37M,,359.37M,30.78M,197.79M,54.76M,283.33M,60.00M,,,4.172B,,,,,,,880.28M,-563.02M,317.26M,340.72M,82.53M,423.25M,83.80M,,358.10M,1.182B,2018-12,111.92M,41.84M,,153.76M,299.26M,453.02M,499.85M,499.85M,,499.85M,,,,,952.87M,1.221B,1.221B,,,,53.85M,,2018-12,2.531M,1.724B,942.74M,,,-31.79M,2.637B,,2018-12,AOR,Restated
2018-09,1.975B,1.306B,3.281B,372.98M,,372.98M,21.30M,175.21M,47.13M,243.64M,68.10M,,,3.965B,,,,,,,867.18M,-554.36M,312.81M,342.46M,84.46M,426.91M,91.63M,,350.90M,1.182B,2018-09,107.10M,31.44M,,138.53M,293.38M,431.91M,499.63M,499.63M,,499.63M,,,,,931.54M,1.202B,1.202B,,,,75.57M,,2018-09,2.53M,1.576B,906.62M,,,-40.74M,2.445B,,2018-09,AOR,Restated
2018-06,1.677B,1.687B,3.364B,456.90M,,456.90M,17.40M,169.93M,59.67M,247.00M,57.45M,,,4.126B,,,,,,,871.41M,-559.33M,312.08M,162.42M,3.763M,166.18M,91.70M,,359.68M,929.65M,2018-06,105.48M,82.41M,,187.89M,255.30M,443.19M,499.41M,499.41M,,499.41M,,,,,942.60M,1.207B,1.207B,,,,56.40M,,2018-06,2.515M,1.457B,894.59M,,,-35.93M,2.319B,,2018-06,AOR,Restated
