,NetIncome,GainandLossonSaleofPPE,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData
2020-09,-1.339B,,0.00,-19.74M,78.01M,59.05M,,317.14M,317.14M,-1.92M,89.90M,21.11M,78.48M,38.90M,10.16M,21.83M,-167.36M,,,14.37M,-82.10M,-857.43M,-181.35M,,-181.35M,0.00,-20.21M,4.343M,-197.22M,-5.858M,0.077M,-5.781M,,,,0.00,0.00,0.00,-68.66M,-74.44M,4.147B,-1.129B,-0.811M,3.017B,,0.077M,-5.858M,,-411.14M
2020-06,-1.632B,,69.04M,-36.48M,51.85M,124.75M,,319.76M,319.76M,-2.919M,156.50M,16.19M,25.83M,10.30M,25.11M,225.00M,-853.03M,,,-663.17M,-1.256B,-2.248B,-139.34M,-5.256M,-144.59M,-85.94M,-20.52M,0.753M,-250.30M,3.117B,25.34M,3.143B,,,,-162.86M,-162.86M,0.002M,-225.97M,2.754B,3.891B,256.16M,-0.281M,4.147B,,5.989B,-2.846B,,121.60M
2020-03,-1.437B,,,120.76M,10.39M,131.16M,,324.33M,324.33M,0.253M,1.108B,-7.428M,-63.01M,84.58M,-15.60M,24.48M,1.006B,,,-959.56M,140.33M,198.71M,-1.253B,5.256M,-1.247B,-2.00M,-95.44M,3.564M,-1.341B,6.130B,-1.097B,5.033B,,,,-163.56M,-163.56M,0.384M,-79.69M,4.790B,243.74M,3.648B,-0.672M,3.891B,,13.45B,-8.416B,,31.48M
2019-12,280.47M,,,-25.66M,-60.59M,-86.25M,,321.76M,321.76M,3.081M,0.00,24.67M,53.79M,26.78M,5.107M,-26.09M,-14.74M,,,18.80M,9.87M,609.30M,-682.77M,0.00,-682.77M,-18.68M,19.01M,-6.628M,-689.06M,-190.90M,504.30M,313.40M,,,,-163.13M,-163.13M,0.29M,-6.434M,44.54M,276.73M,-35.23M,2.234M,243.74M,,6.878B,-6.565B,,425.81M
2019-09,890.36M,,0.00,24.94M,-103.65M,-78.71M,,320.30M,320.30M,0.87M,0.00,9.282M,25.62M,-22.42M,0.796M,93.20M,103.64M,,,-499.10M,-323.89M,911.54M,-475.75M,,-475.75M,-3.843M,-30.68M,7.333M,-502.94M,-84.45M,-131.62M,-216.06M,,,,-146.35M,-146.35M,1.187M,-4.788M,-366.01M,235.00M,42.59M,-0.861M,276.73M,,6.803B,-7.019B,,-321.46M
2019-06,479.96M,,0.00,4.067M,-33.04M,-22.65M,,311.60M,311.60M,0.811M,0.00,14.65M,41.26M,30.12M,-10.07M,-39.12M,92.68M,,,179.70M,253.31M,1.117B,-1.396B,,-1.396B,-3.046M,-54.68M,4.793M,-1.449B,570.54M,-73.88M,496.66M,,,,-146.38M,-146.38M,0.024M,-31.52M,318.78M,248.20M,-13.10M,-0.096M,235.00M,,10.73B,-10.23B,,104.86M
2019-03,256.81M,,,-4.78M,-33.69M,-38.47M,,292.28M,292.28M,2.983M,0.00,27.32M,-10.30M,-44.38M,-4.366M,-12.32M,-14.26M,,,580.74M,505.40M,1.078B,-470.12M,0.00,-470.12M,0.00,5.125M,14.54M,-450.45M,-829.86M,328.63M,-501.24M,,,,-146.82M,-146.82M,0.241M,-19.87M,-667.68M,287.85M,-39.68M,0.02M,248.20M,,5.357B,-5.858B,,37.10M
2018-12,320.45M,,,19.75M,-42.52M,-22.77M,,280.17M,280.17M,0.247M,0.00,-17.36M,34.94M,7.568M,-2.089M,4.701M,88.14M,,,36.76M,135.08M,732.16M,-1.151B,,-1.151B,-11.98M,-44.66M,77.00M,-1.131B,834.54M,-230.16M,604.38M,,0.00,0.00,-146.03M,-146.03M,0.058M,-26.09M,432.32M,254.82M,33.93M,-0.897M,287.85M,,4.529B,-3.924B,0.00,98.24M
2018-09,810.39M,,,11.65M,-95.17M,-83.52M,,259.92M,259.92M,-2.033M,0.00,31.60M,11.88M,-33.30M,-11.28M,76.16M,64.02M,,,-391.19M,-295.60M,815.40M,-296.25M,,-296.25M,-931.33M,-11.18M,21.12M,-1.218B,-106.68M,994.99M,888.31M,,-205.56M,-205.56M,-126.82M,-126.82M,0.144M,-4.27M,551.80M,109.00M,149.56M,-3.741M,254.82M,,4.863B,-3.975B,-205.56M,40.17M
2018-06,466.30M,,,37.56M,-57.99M,-20.43M,,253.38M,253.38M,0.611M,10.31M,11.66M,-7.35M,26.34M,-11.05M,-62.90M,-42.96M,,,262.54M,171.98M,1.007B,-492.65M,,-492.65M,13.22M,-30.19M,13.79M,-495.84M,-251.14M,0.00,-251.14M,,-94.44M,-94.44M,-126.80M,-126.80M,0.199M,-25.72M,-497.90M,111.24M,13.73M,-15.98M,109.00M,,1.385B,-1.636B,-94.44M,97.11M
2018-03,218.65M,,,-7.81M,-28.75M,-36.56M,,240.23M,240.23M,-1.504M,23.34M,20.16M,-0.909M,-10.18M,0.567M,-89.72M,44.25M,,,477.88M,422.79M,924.12M,-1.720B,,-1.720B,,64.49M,10.60M,-1.645B,1.151B,0.00,1.151B,,-275.04M,-275.04M,-127.84M,-127.84M,3.863M,-39.65M,711.85M,120.11M,-9.17M,0.303M,111.24M,,2.545B,-1.394B,-275.04M,16.95M
2017-12,288.04M,0.00,,-4.868M,-35.89M,-40.76M,,240.36M,240.36M,1.214M,0.00,16.99M,-12.30M,-48.29M,8.555M,10.65M,-64.76M,,,17.85M,-75.99M,419.96M,-176.80M,0.00,-176.80M,-10.40M,6.22M,45.40M,-135.58M,-51.92M,0.00,-51.92M,,-100.00M,-100.00M,-128.29M,-128.29M,0.026M,-25.90M,-306.09M,139.95M,-21.70M,1.864M,120.11M,,2.185B,-2.237B,-100.00M,101.83M
2017-09,752.84M,0.00,,-21.85M,-85.12M,-106.97M,,240.15M,240.15M,-0.568M,0.00,17.09M,20.95M,-16.80M,-10.81M,47.14M,109.12M,,,-306.69M,-178.04M,795.32M,-115.79M,0.00,-115.79M,0.00,22.14M,7.977M,-85.68M,-462.31M,0.00,-462.31M,,-125.00M,-125.00M,-103.12M,-103.12M,0.114M,-9.901M,-700.22M,130.48M,9.425M,0.048M,139.95M,,1.446B,-1.908B,-125.00M,272.80M
2017-06,369.53M,0.00,,-21.18M,-23.36M,-44.54M,,234.94M,234.94M,0.474M,,18.12M,13.01M,33.87M,-0.709M,-4.848M,-16.30M,,,229.81M,241.82M,862.75M,-148.76M,0.00,-148.76M,,21.05M,11.77M,-115.93M,-619.49M,,-619.49M,,,,-103.10M,-103.10M,0.285M,-2.799M,-725.10M,109.31M,21.72M,-0.555M,130.48M,,1.23B,-1.849B,,-149.30M
2017-03,214.73M,-30.90M,,-13.81M,-11.88M,-56.59M,,235.75M,235.75M,0.61M,0.00,17.26M,6.326M,-0.828M,5.391M,-32.08M,44.24M,,,333.74M,350.45M,796.53M,-122.78M,230.00M,107.22M,,13.81M,2.571M,123.60M,-834.40M,,-834.40M,,,,-102.94M,-102.94M,2.10M,-9.15M,-944.39M,132.60M,-24.27M,0.974M,109.31M,,1.006B,-1.840B,,24.30M
