,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2010-09,2.061B,2.061B,1.240B,821.03M,,,213.30M,,,-8.056M,89.08M,1.815M,-87.27M,,375.53M,445.50M,1.815M,89.08M,-87.27M,-8.056M,-87.27M,,350.18M,,,350.18M,355.42M,607.73M,162.23M,445.50M,1.63,0.0,,1.6540000000000001,1.63,1.61,0.0,,1.6340000000000001,1.61,215.15M,217.51M,0.0
2010-06,1.602B,1.602B,1.086B,515.51M,,,211.80M,,,-0.655M,90.66M,1.363M,-89.30M,,371.83M,143.68M,1.363M,90.66M,-89.30M,-0.655M,-89.30M,,53.73M,,,53.73M,54.16M,303.72M,160.03M,143.68M,0.25,0.0,,0.252,0.25,0.25,0.0,,0.252,0.25,215.04M,217.56M,0.0
2010-03,1.486B,1.486B,1.025B,460.38M,,,211.05M,,,78.25M,83.92M,1.369M,-82.56M,,368.62M,91.75M,1.369M,83.92M,-82.56M,78.25M,-82.56M,,87.45M,,,87.45M,36.58M,249.33M,157.58M,91.75M,0.41,0.0,,0.1727,0.41,0.4,0.0,,0.1656,0.4,214.31M,216.98M,0.0
2009-12,1.452B,1.452B,1.037B,414.42M,,,185.66M,,,-2.593M,78.31M,1.902M,-76.41M,,332.07M,82.36M,1.902M,78.31M,-76.41M,-2.593M,-76.41M,,3.353M,,,3.353M,5.038M,228.77M,146.41M,82.36M,0.02,0.0,,0.0279,0.02,0.01,0.0,,0.0178,0.01,213.93M,216.86M,0.0
2009-09,1.764B,1.764B,1.116B,647.46M,,,196.59M,,,-4.762M,73.91M,2.225M,-71.69M,,340.62M,306.84M,2.225M,73.91M,-71.69M,-4.762M,-71.69M,,230.39M,,,230.39M,233.49M,450.86M,144.02M,306.84M,1.08,0.0,,1.094,1.08,1.07,0.0,,1.084,1.07,213.84M,215.67M,0.0
2009-06,1.349B,1.349B,965.44M,383.58M,,,190.59M,,,-22.98M,68.33M,1.159M,-67.17M,,328.52M,55.06M,1.159M,68.33M,-67.17M,-22.98M,-67.17M,,-35.09M,,,-35.09M,-20.15M,192.99M,137.92M,55.06M,-0.16,0.0,,-0.0901,-0.16,-0.16,0.0,,-0.0901,-0.16,213.78M,213.78M,0.0
2009-03,1.326B,1.326B,952.34M,373.27M,,,189.16M,,,-2.759M,79.46M,1.73M,-77.73M,,329.01M,44.25M,1.73M,79.46M,-77.73M,-2.759M,-77.73M,,-36.24M,,,-36.24M,-34.44M,184.11M,139.86M,44.25M,-0.17,0.0,,-0.1616,-0.17,-0.17,0.0,,-0.1616,-0.17,213.69M,213.69M,0.0
2008-12,1.456B,1.456B,1.075B,381.46M,,,183.92M,,,22.66M,87.72M,2.973M,-84.74M,,317.90M,63.56M,2.973M,87.72M,-84.74M,22.66M,-84.74M,,1.479M,,,1.479M,-13.25M,197.54M,133.98M,63.56M,0.01,0.0,,-0.059,0.01,0.01,0.0,,-0.0589,0.01,213.57M,213.78M,0.0
2008-09,2.063B,2.063B,1.276B,787.73M,,,191.12M,,,24.92M,80.56M,5.62M,-74.94M,,325.82M,461.91M,5.62M,80.56M,-74.94M,24.92M,-74.94M,,411.89M,,,411.89M,395.69M,596.61M,134.71M,461.91M,1.93,0.0,,1.854,1.93,1.92,0.0,,1.844,1.92,213.52M,214.17M,0.15
2008-06,1.584B,1.584B,1.091B,492.78M,,,196.55M,,,,81.09M,3.015M,-78.07M,,323.82M,168.95M,3.015M,81.09M,-78.07M,,-78.07M,,84.75M,,,84.75M,84.75M,296.23M,127.28M,168.95M,0.4,0.0,,0.4,0.4,0.4,0.0,,0.4,0.4,213.48M,214.28M,0.15
2008-03,1.429B,1.429B,962.19M,466.90M,,,204.94M,,,13.48M,77.95M,2.508M,-75.44M,,329.33M,137.57M,2.508M,77.95M,-75.44M,13.48M,-75.44M,,75.61M,,,75.61M,66.85M,261.96M,124.39M,137.57M,0.35,0.0,,0.3089,0.35,0.35,0.0,,0.3091,0.35,213.33M,214.46M,0.15
2007-12,1.491B,1.491B,2.200B,-708.91M,,,204.49M,,,12.01M,82.52M,3.37M,-79.15M,,-846.88M,137.97M,3.37M,82.52M,-79.15M,12.01M,-79.15M,,70.83M,,,70.83M,63.02M,261.02M,123.04M,137.97M,0.34,0.0,,0.3034,0.34,0.33,0.0,,0.2934,0.33,213.14M,213.38M,0.15
2007-09,1.954B,1.954B,1.149B,804.35M,,,199.17M,,,-8.268M,85.27M,5.704M,-79.57M,,321.51M,482.83M,5.704M,85.27M,-79.57M,-8.268M,-79.57M,,395.00M,,,395.00M,400.37M,605.18M,122.34M,482.83M,1.85,0.0,,1.875,1.85,1.84,0.0,,1.865,1.84,213.04M,214.30M,0.15
2007-06,1.481B,1.481B,965.53M,515.80M,,,193.20M,,,6.927M,85.52M,6.451M,-79.06M,,314.91M,200.88M,6.451M,85.52M,-79.06M,6.927M,-79.06M,,128.74M,,,128.74M,124.24M,322.60M,121.72M,200.88M,0.61,0.0,,0.5888,0.61,0.6,0.0,,0.579,0.6,212.63M,214.16M,0.15
2007-03,1.223B,1.223B,841.34M,381.78M,,,186.18M,,,5.162M,,,,,302.14M,79.64M,,,,5.162M,,,8.825M,,,8.825M,5.470M,195.60M,115.96M,79.64M,0.04,0.0,,0.0242,0.04,0.04,0.0,,0.0243,0.04,212.32M,214.00M,0.15
2006-12,1.153B,1.153B,750.36M,402.86M,,,181.18M,,,1.357M,,,,,289.32M,113.54M,,,,1.357M,,,46.62M,,,46.62M,45.81M,221.67M,108.13M,113.54M,0.22,0.0,,0.2162,0.22,0.22,0.0,,0.2162,0.22,211.70M,211.70M,0.15
2006-09,1.637B,1.637B,944.17M,692.68M,,,163.74M,,,-6.885M,,,,,273.08M,419.61M,,,,-6.885M,,,345.37M,,,345.37M,349.50M,528.94M,109.33M,419.61M,1.66,0.0,,1.68,1.66,1.63,0.0,,1.649,1.63,208.13M,213.53M,0.15
2006-06,1.293B,1.293B,824.97M,468.01M,,,181.74M,,,-0.909M,,,,,283.77M,184.24M,,,,-0.909M,,,122.43M,,,122.43M,122.97M,286.27M,102.02M,184.24M,0.58,0.0,,0.5826,0.58,0.57,0.0,,0.5724,0.57,211.25M,228.19M,0.15
2006-03,1.147B,1.147B,730.13M,416.40M,,,173.19M,,,34.54M,,,,,275.35M,141.05M,,,,34.54M,,,119.50M,,,119.50M,98.78M,243.21M,102.16M,141.05M,0.57,0.0,,0.472,0.57,0.55,0.0,,0.4602,0.55,211.37M,230.70M,0.15
2005-12,1.030B,1.030B,703.82M,325.82M,,,168.71M,,,-0.865M,,,,,270.02M,55.80M,,,,-0.865M,,,-3.604M,0.00,,-3.604M,-3.085M,157.11M,101.31M,55.80M,-0.04,0.0,0.0,-0.0375,-0.04,-0.04,0.0,-0.0019,-0.0375,-0.04,210.80M,210.80M,0.15
2005-09,1.502B,1.502B,844.63M,657.58M,,,156.11M,,,36.16M,,,,,257.13M,400.46M,,,,36.16M,,,374.71M,,,374.71M,353.02M,501.48M,101.02M,400.46M,1.79,0.0,,1.6869999999999998,1.79,1.64,0.0,,1.548,1.64,209.81M,236.04M,0.15
2005-06,1.203B,1.203B,740.17M,463.07M,,,148.96M,99.98M,,8.449M,,,,,248.94M,214.14M,,,,8.449M,,,155.24M,,,155.24M,150.17M,314.11M,99.98M,214.14M,0.76,0.0,,0.735,0.76,0.72,0.0,,0.6985,0.72,202.99M,235.97M,0.13
2005-03,1.168B,1.168B,705.61M,462.47M,,,161.53M,99.76M,,8.782M,,,,,261.29M,201.18M,,,,8.782M,,,137.12M,52.49M,,189.61M,131.85M,300.94M,99.76M,201.18M,0.68,0.26,0.0,0.6539,0.94,0.64,0.22,0.2222,0.6177,0.86,201.62M,236.21M,0.13
