,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2000-09,835.21M,835.21M,444.89M,390.32M,,,96.65M,57.51M,,3.833M,,,,444.89M,599.04M,-208.72M,,,,3.833M,,,201.50M,,,201.50M,199.20M,-151.22M,-57.51M,-208.72M,1.05,0.0,,1.038,1.05,1.04,0.0,,1.028,1.04,192.02M,193.01M,0.13
2000-06,680.73M,680.73M,390.60M,290.13M,,,104.27M,54.66M,,5.90M,,,,390.60M,549.54M,-259.40M,,,,5.90M,,,108.26M,,,108.26M,104.72M,-204.74M,-54.66M,-259.40M,0.57,0.0,,0.5515,0.57,0.56,0.0,,0.5416,0.56,190.95M,192.00M,0.11
2000-03,707.79M,707.79M,403.18M,304.61M,,,108.42M,56.56M,,-3.503M,,,,403.18M,568.15M,-263.54M,,,,-3.503M,,,105.53M,,,105.53M,107.63M,-206.99M,-56.56M,-263.54M,0.57,0.0,,0.5815,0.57,0.55,0.0,,0.5609,0.55,182.47M,193.54M,0.11
1999-12,583.80M,583.95M,366.25M,217.70M,,,100.32M,52.01M,,0.022M,,,,,-977.67M,1.195B,,,,0.022M,,,38.40M,,,38.35M,38.34M,1.539B,343.81M,1.195B,0.17,0.0,,0.1699,0.17,0.17,0.0,,0.1699,0.17,190.66M,194.02M,0.11
1999-09,734.50M,734.50M,393.20M,341.30M,,,92.80M,50.30M,,,,,,393.20M,536.30M,-195.00M,,,,,,,170.00M,,,170.00M,170.00M,-144.70M,-50.20M,-195.00M,0.98,0.0,,0.98,0.98,0.92,0.0,,0.92,0.92,173.47M,184.78M,0.11
1999-06,617.66M,617.66M,370.20M,247.46M,,,90.90M,48.50M,,10.00M,,,,370.20M,509.60M,-262.14M,,,,10.00M,,,85.30M,,,85.30M,79.30M,-213.64M,-48.50M,-262.14M,0.49,0.0,,0.4555,0.49,0.47,0.0,,0.4369,0.47,174.08M,181.49M,0.09
1999-03,610.00M,610.00M,366.60M,243.40M,,,87.80M,47.20M,,16.10M,,,,366.60M,501.60M,-258.20M,,,,16.10M,,,90.20M,,,90.20M,80.54M,-211.00M,-47.20M,-258.20M,0.52,0.0,,0.4643,0.52,0.49,0.0,,0.4375,0.49,173.46M,184.08M,0.09
1998-12,575.20M,575.19M,379.63M,195.56M,,,83.71M,47.61M,,-4.708M,,,,,-1.083B,1.278B,,,,-4.708M,,,23.47M,,,23.47M,26.29M,1.620B,341.61M,1.278B,0.12,0.0,,0.1358,0.12,0.12,0.0,,0.1356,0.12,178.44M,180.70M,0.09
1998-09,744.90M,744.90M,415.10M,329.80M,,,94.20M,52.00M,,3.10M,,,,415.10M,561.30M,-231.50M,,,,3.10M,,,150.00M,,,150.00M,148.14M,-179.50M,-52.00M,-231.50M,0.87,0.0,,0.8592,0.87,0.82,0.0,,0.8098,0.82,172.41M,182.93M,0.09
1998-06,656.50M,656.50M,402.60M,253.90M,,,85.00M,47.40M,,-2.40M,,,,402.60M,535.00M,-281.10M,,,,-2.40M,,,79.80M,,,79.80M,81.24M,-233.70M,-47.40M,-281.10M,0.45,0.0,,0.4581,0.45,0.44,0.0,,0.4479,0.44,177.33M,181.36M,0.075
