,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2020-09,3.017B,,3.017B,165.22M,165.22M,142.43M,197.20M,,3.532B,,,,25.95B,,25.95B,,25.95B,809.47M,447.31M,1.257B,1.093B,28.30B,31.83B,421.02M,421.02M,911.97M,1.333B,386.68M,870.03M,1.257B,102.25M,1.359B,1.820B,1.820B,113.47M,4.625B,17.63B,546.49M,18.18B,0.00,694.52M,18.87B,23.50B,2.425M,6.930B,4.330B,2.064B,,-869.11M,8.329B
2020-06,4.147B,,4.147B,205.92M,205.92M,152.60M,178.36M,,4.684B,,,,26.26B,,26.26B,,26.26B,809.38M,450.72M,1.260B,1.105B,28.62B,33.31B,661.43M,661.43M,932.74M,1.594B,368.95M,706.28M,1.075B,102.81M,1.178B,1.806B,1.806B,158.82M,4.737B,17.75B,569.39M,18.32B,584.87M,698.04M,19.61B,24.34B,2.372M,8.276B,3.700B,2.064B,,-951.23M,8.964B
2020-03,3.891B,,3.891B,220.88M,220.88M,177.70M,304.81M,,4.594B,,,,26.48B,,26.48B,,26.48B,809.22M,485.01M,1.294B,1.080B,28.85B,33.45B,1.414B,1.414B,1.137B,2.552B,343.56M,3.412B,3.756B,98.88M,3.854B,2.373B,2.373B,203.31M,8.982B,12.27B,583.98M,12.86B,577.42M,796.18M,14.23B,23.21B,2.372M,9.916B,3.473B,2.064B,,-1.096B,10.23B
2019-12,243.74M,,243.74M,305.82M,305.82M,162.11M,429.21M,,1.163B,472.07M,,1.698B,687.56M,1.111B,36.24B,-10.08B,26.15B,1.386B,488.58M,1.874B,1.129B,29.16B,30.32B,563.71M,563.71M,1.148B,1.712B,1.434B,1.187B,2.621B,96.98M,2.718B,3.428B,3.428B,94.88M,7.953B,8.414B,601.64M,9.016B,569.98M,617.81M,10.20B,18.16B,2.365M,11.52B,3.494B,2.058B,,-797.71M,12.16B
2019-09,276.73M,,276.73M,348.99M,348.99M,167.21M,399.39M,,1.204B,,,,25.70B,,25.70B,,25.70B,1.373B,491.63M,1.865B,1.054B,28.62B,29.83B,538.95M,538.95M,1.104B,1.643B,922.20M,943.06M,1.865B,93.06M,1.958B,3.410B,3.410B,101.56M,7.114B,8.819B,620.57M,9.440B,563.39M,731.84M,10.74B,17.85B,2.365M,11.41B,3.467B,1.959B,,-946.36M,11.98B
2019-06,235.00M,,235.00M,340.92M,340.92M,168.01M,500.48M,,1.283B,,,,25.58B,,25.58B,,25.58B,1.373B,,1.373B,1.577B,28.53B,29.81B,531.79M,531.79M,1.022B,1.554B,1.047B,946.23M,1.993B,92.52M,2.085B,3.909B,3.909B,37.72M,7.586B,8.922B,644.09M,9.566B,556.77M,561.55M,10.68B,18.27B,2.364M,10.69B,3.455B,1.959B,,-653.17M,11.54B
2019-03,248.20M,,248.20M,374.98M,374.98M,157.94M,491.55M,,1.333B,,,,24.42B,,24.42B,,24.42B,1.378B,,1.378B,1.590B,27.39B,28.72B,497.18M,497.18M,943.23M,1.440B,1.112B,1.646B,2.758B,88.50M,2.847B,3.730B,3.730B,89.02M,8.106B,7.526B,708.37M,8.235B,549.64M,560.69M,9.345B,17.45B,2.364M,10.37B,3.432B,1.953B,,-578.98M,11.27B
2018-12,287.85M,,287.85M,324.51M,324.51M,153.57M,456.55M,,1.242B,321.14M,,1.121B,,817.80M,32.44B,-8.969B,23.47B,1.378B,502.10M,1.880B,1.110B,26.46B,27.70B,488.21M,488.21M,974.31M,1.463B,775.49M,1.647B,2.422B,0.00,2.422B,3.149B,3.149B,78.48M,7.112B,8.355B,0.00,8.355B,542.02M,583.25M,9.481B,16.59B,2.358M,10.26B,3.421B,1.953B,,-627.73M,11.11B
2018-09,254.82M,,254.82M,385.30M,385.30M,152.16M,459.79M,,1.359B,,,,,,,,22.60B,1.375B,,1.375B,1.760B,25.73B,27.09B,432.09M,432.09M,954.92M,1.387B,998.84M,1.529B,2.527B,,2.527B,3.112B,3.112B,46.80M,7.073B,7.647B,,7.647B,537.77M,497.70M,8.682B,15.76B,2.358M,10.09B,3.426B,1.953B,,-230.58M,11.34B
2018-06,109.00M,,109.00M,355.73M,355.73M,121.88M,418.82M,,1.100B,,,,,,,,21.43B,288.42M,,288.42M,1.239B,22.96B,24.06B,418.62M,418.62M,812.76M,1.231B,,1.178B,1.178B,,1.178B,3.049B,3.049B,44.20M,5.502B,7.341B,,7.341B,,439.52M,7.781B,13.28B,2.358M,9.430B,3.398B,1.791B,,-265.20M,10.77B
2018-03,111.24M,,111.24M,387.86M,387.86M,110.83M,350.65M,,1.035B,,,,,,,,21.21B,288.48M,,288.48M,1.440B,22.94B,23.97B,454.58M,454.58M,770.78M,1.225B,,1.144B,1.144B,,1.144B,2.785B,2.785B,40.31M,5.195B,7.665B,,7.665B,,464.30M,8.129B,13.32B,2.357M,9.091B,3.390B,1.653B,,-182.82M,10.65B
2017-12,120.11M,,120.11M,318.64M,318.64M,111.39M,258.17M,,907.64M,250.08M,,762.51M,,642.24M,27.78B,-8.045B,19.74B,288.51M,,288.51M,1.430B,21.45B,22.36B,360.11M,360.11M,950.49M,1.311B,0.00,1.189B,1.189B,,1.189B,2.308B,2.308B,47.46M,4.855B,6.351B,,6.351B,0.00,452.81M,6.804B,11.66B,2.352M,9.022B,3.390B,1.378B,,-334.26M,10.70B
2017-09,139.95M,,139.95M,285.33M,285.33M,119.95M,200.12M,,798.15M,,,,,,,,19.69B,288.52M,,288.52M,1.324B,21.30B,22.10B,384.54M,384.54M,841.36M,1.226B,,1.516B,1.516B,,1.516B,2.226B,2.226B,89.33M,5.057B,6.076B,,6.076B,,530.22M,6.607B,11.66B,2.351M,8.862B,3.376B,1.278B,,-526.89M,10.44B
2017-06,130.48M,,130.48M,263.99M,263.99M,109.14M,264.04M,,767.64M,,,,,,,,19.80B,288.48M,,288.48M,1.170B,21.26B,22.02B,376.51M,376.51M,707.13M,1.084B,,1.542B,1.542B,,1.542B,2.533B,2.533B,128.10M,5.286B,6.479B,,6.479B,,576.00M,7.055B,12.34B,2.351M,8.238B,3.357B,1.153B,,-761.04M,9.683B
2017-03,109.31M,,109.31M,292.98M,292.98M,108.43M,245.98M,,756.69M,,,,,,,,19.86B,288.47M,,288.47M,1.111B,21.26B,22.02B,362.99M,362.99M,725.38M,1.088B,,1.728B,1.728B,,1.728B,2.302B,2.302B,153.82M,5.272B,6.841B,,6.841B,,637.28M,7.479B,12.75B,2.351M,7.972B,3.338B,1.153B,,-892.32M,9.267B
