,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2020-09,628.30M,628.30M,298.98M,329.32M,171.67M,29.22M,,3.659M,16.65M,0.214M,-16.44M,,200.89M,128.43M,0.214M,16.65M,-16.44M,3.659M,-16.44M,115.65M,-0.951M,116.60M,-0.018M,,116.59M,113.93M,189.18M,56.88M,132.31M,2.51,0.0,2.4530000000000003,2.51,2.46,0.0,2.404,2.46,46.53M,47.33M,0.34
2020-06,567.03M,567.03M,288.66M,278.37M,191.19M,29.36M,,-19.00M,15.68M,0.163M,-15.52M,,220.56M,57.82M,0.163M,15.68M,-15.52M,-19.00M,-15.52M,23.29M,11.85M,11.44M,0.013M,,11.46M,25.32M,96.32M,57.35M,38.97M,0.25,0.0,0.5487,0.25,0.24,0.0,0.5337,0.24,46.44M,47.24M,0.34
2020-03,630.64M,630.64M,297.02M,333.62M,147.80M,27.40M,,-1.346M,15.44M,0.579M,-14.86M,,175.19M,158.43M,0.579M,15.44M,-14.86M,-1.346M,-14.86M,142.23M,11.07M,131.15M,-0.002M,,131.15M,132.39M,213.42M,55.75M,157.66M,2.83,0.0,2.8569999999999998,2.83,2.78,0.0,2.806,2.78,46.38M,47.23M,0.34
2019-12,680.95M,680.95M,220.62M,460.33M,302.66M,31.13M,0.055M,-8.43M,17.28M,0.46M,-16.82M,,333.79M,126.54M,0.46M,17.28M,-16.82M,-8.43M,-16.82M,101.30M,-6.511M,107.81M,0.459M,,108.26M,113.96M,172.68M,54.12M,118.57M,2.33,0.01,2.463,2.34,2.28,0.01,2.41,2.29,46.33M,47.21M,0.34
2019-09,648.32M,648.32M,293.24M,355.08M,209.29M,27.98M,,-0.179M,19.54M,0.47M,-19.08M,,237.28M,117.80M,0.47M,19.54M,-19.08M,-0.179M,-19.08M,98.55M,-130.38M,228.93M,0.00,,228.93M,229.06M,170.79M,52.70M,118.09M,4.95,0.0,4.953,4.95,4.85,0.0,4.853,4.85,46.25M,47.18M,0.34
2019-06,652.51M,652.51M,300.27M,352.24M,215.50M,27.60M,3.881M,-1.685M,20.76M,0.472M,-20.29M,,243.10M,109.14M,0.472M,20.76M,-20.29M,-1.685M,-20.29M,87.17M,3.844M,83.33M,0.047M,,83.38M,84.94M,161.78M,53.86M,107.93M,1.8,0.01,1.835,1.81,1.77,0.0,1.804,1.77,46.17M,47.04M,0.34
2019-03,613.58M,613.58M,289.61M,323.97M,206.92M,27.15M,3.03M,-14.66M,22.69M,0.339M,-22.35M,,234.07M,89.90M,0.339M,22.69M,-22.35M,-14.66M,-22.35M,52.89M,10.97M,41.92M,-1.021M,,40.90M,53.53M,128.98M,53.40M,75.58M,0.91,-0.02,1.162,0.89,0.89,-0.02,1.137,0.87,46.05M,46.94M,0.34
2018-12,641.62M,641.62M,275.79M,365.82M,218.54M,27.80M,0.00,-0.217M,23.26M,0.168M,-23.09M,,246.34M,119.48M,0.168M,23.26M,-23.09M,-0.217M,-23.09M,96.18M,8.664M,87.51M,3.077M,,90.59M,87.71M,172.92M,53.49M,119.43M,1.9,0.07,1.9040000000000001,1.97,1.87,0.06,1.874,1.93,46.00M,46.85M,0.34
2018-09,609.67M,609.67M,267.10M,342.57M,214.89M,26.36M,17.24M,-19.21M,27.17M,0.32M,-26.85M,,241.26M,101.31M,0.32M,27.17M,-26.85M,-19.21M,-26.85M,55.25M,-1.286M,56.54M,-0.016M,,56.52M,70.56M,134.38M,51.96M,82.42M,1.23,0.0,1.536,1.23,1.21,0.0,1.51,1.21,45.85M,46.82M,0.34
2018-06,609.87M,609.87M,265.09M,344.78M,229.92M,26.02M,1.865M,-55.35M,26.65M,0.183M,-26.47M,,255.94M,88.84M,0.183M,26.65M,-26.47M,-55.35M,-26.47M,7.024M,9.576M,-2.552M,0.056M,,-2.496M,37.86M,85.56M,51.89M,33.67M,-0.06,0.01,0.8265,-0.05,-0.06,0.01,0.8265,-0.05,45.58M,45.58M,0.34
2018-03,587.23M,587.23M,255.96M,331.27M,215.34M,26.03M,,-3.063M,25.94M,0.273M,-25.67M,,241.36M,89.91M,0.273M,25.94M,-25.67M,-3.063M,-25.67M,61.17M,6.242M,54.93M,1.253M,,56.18M,57.68M,139.76M,52.65M,87.12M,1.21,0.03,1.271,1.24,1.18,0.02,1.239,1.2,45.33M,46.70M,0.34
2017-12,595.11M,595.11M,264.38M,330.73M,213.29M,25.47M,,-1.067M,23.66M,0.155M,-23.51M,,238.76M,91.97M,0.155M,23.66M,-23.51M,-1.067M,-23.51M,67.40M,110.24M,-42.85M,0.189M,,-42.66M,-42.21M,139.96M,48.90M,91.06M,-0.95,0.0,-0.9358,-0.95,-0.95,0.0,-0.9363,-0.95,45.09M,46.64M,0.34
2017-09,534.70M,534.70M,239.48M,295.23M,163.77M,21.19M,,0.092M,21.26M,0.286M,-20.98M,,184.96M,110.26M,0.286M,21.26M,-20.98M,0.092M,-20.98M,89.38M,9.978M,79.40M,-2.383M,,77.02M,79.32M,147.55M,36.91M,110.64M,1.76,-0.05,1.758,1.71,1.7,-0.05,1.6980000000000002,1.65,45.04M,46.59M,0.34
2017-06,528.61M,528.61M,238.33M,290.28M,158.93M,20.28M,,-0.881M,19.89M,0.161M,-19.73M,,179.21M,111.07M,0.161M,19.89M,-19.73M,-0.881M,-19.73M,90.46M,12.10M,78.36M,-0.36M,,78.00M,79.13M,146.85M,36.49M,110.35M,1.74,-0.01,1.757,1.73,1.67,-0.01,1.686,1.67,45.00M,46.82M,0.34
2017-03,487.88M,487.88M,232.32M,255.56M,163.97M,17.83M,,-18.53M,17.73M,0.169M,-17.56M,,181.80M,73.76M,0.169M,17.73M,-17.56M,-18.53M,-17.56M,37.68M,-2.669M,40.35M,-0.179M,,40.17M,51.47M,88.37M,32.96M,55.41M,0.9,-0.01,1.148,0.89,0.87,-0.01,1.1079999999999999,0.86,44.89M,46.62M,0.34
2016-12,513.93M,513.93M,240.88M,273.05M,144.18M,15.69M,,-46.16M,16.36M,0.15M,-16.21M,,159.87M,113.18M,0.15M,16.36M,-16.21M,-46.16M,-16.21M,50.82M,-10.06M,60.88M,0.187M,0.00,61.06M,88.57M,97.33M,30.15M,67.18M,1.38,0.01,2.009,1.39,1.29,0.01,1.8780000000000001,1.3,44.06M,47.11M,0.34
2016-09,455.65M,455.65M,214.05M,241.60M,139.80M,15.07M,,-0.251M,12.89M,0.115M,-12.77M,,154.86M,86.74M,0.115M,12.89M,-12.77M,-0.251M,-12.77M,73.71M,7.514M,66.20M,0.122M,0.00,66.32M,66.43M,116.35M,29.75M,86.60M,1.5,0.01,1.505,1.51,1.4,0.0,1.405,1.4,44.04M,47.45M,0.34
2016-06,473.55M,473.55M,217.15M,256.40M,142.98M,15.47M,,-18.76M,11.91M,0.129M,-11.78M,,158.46M,97.94M,0.129M,11.91M,-11.78M,-18.76M,-11.78M,67.40M,8.007M,59.40M,0.193M,-0.285M,59.30M,75.64M,109.36M,30.05M,79.31M,1.36,0.0,1.74,1.36,1.25,0.0,1.6,1.26,43.55M,47.25M,0.34
2016-03,424.89M,424.89M,199.75M,225.15M,136.35M,12.35M,,-8.949M,13.78M,0.08M,-13.70M,,148.70M,76.45M,0.08M,13.78M,-13.70M,-8.949M,-13.70M,53.79M,2.613M,51.18M,-0.312M,-0.179M,50.69M,59.51M,95.54M,27.96M,67.58M,1.22,0.0,1.4240000000000002,1.22,1.05,-0.01,1.224,1.04,41.65M,48.78M,0.34
2015-12,484.50M,484.50M,224.18M,260.32M,148.22M,13.22M,,-2.131M,13.64M,0.079M,-13.56M,,161.44M,98.88M,0.079M,13.64M,-13.56M,-2.131M,-13.56M,83.19M,-7.577M,90.76M,10.52M,-0.158M,101.12M,91.89M,125.91M,29.08M,96.83M,2.18,0.25,2.211,2.43,1.88,0.21,1.906,2.09,41.61M,48.32M,0.34
2015-09,443.71M,443.71M,215.50M,228.21M,138.84M,12.57M,,-0.252M,14.31M,0.13M,-14.18M,,151.41M,76.80M,0.13M,14.31M,-14.18M,-0.252M,-14.18M,62.37M,0.803M,61.57M,-0.719M,-0.028M,60.82M,61.79M,103.78M,27.10M,76.68M,1.48,-0.02,1.486,1.46,1.27,-0.02,1.275,1.25,41.60M,48.53M,0.34
2015-06,452.04M,452.04M,218.81M,233.24M,142.23M,13.44M,,-11.03M,16.21M,0.154M,-16.05M,,155.67M,77.57M,0.154M,16.21M,-16.05M,-11.03M,-16.05M,50.48M,5.28M,45.20M,-0.19M,-0.446M,44.56M,54.63M,93.24M,26.56M,66.69M,1.08,-0.01,1.318,1.07,0.93,-0.01,1.135,0.93,41.56M,48.08M,0.34
2015-03,429.43M,429.43M,206.79M,222.64M,139.70M,12.88M,,-4.448M,17.17M,0.169M,-17.00M,,152.58M,70.06M,0.169M,17.17M,-17.00M,-4.448M,-17.00M,48.60M,9.332M,39.27M,-0.703M,-0.218M,38.35M,42.65M,91.43M,25.66M,65.78M,0.94,-0.02,1.0270000000000001,0.92,0.83,-0.02,0.906,0.81,41.47M,47.30M,0.34
2014-12,476.01M,476.01M,234.99M,241.02M,153.26M,17.24M,,-1.358M,16.81M,0.212M,-16.60M,,170.50M,70.51M,0.212M,16.81M,-16.60M,-1.358M,-16.60M,52.56M,0.426M,52.13M,-1.188M,-0.307M,50.64M,53.17M,96.04M,26.67M,69.37M,1.25,-0.02,1.2830000000000001,1.23,1.1,-0.02,1.129,1.08,41.42M,47.11M,0.34
2014-09,457.17M,457.17M,221.01M,236.17M,138.25M,14.87M,,-1.108M,17.18M,0.161M,-17.02M,,153.12M,83.04M,0.161M,17.18M,-17.02M,-1.108M,-17.02M,64.91M,9.684M,55.23M,-0.271M,-0.126M,54.83M,56.04M,110.46M,28.36M,82.10M,1.33,-0.01,1.3530000000000002,1.32,1.18,-0.01,1.2,1.18,41.40M,46.63M,0.34
2014-06,468.10M,468.10M,224.02M,244.09M,146.84M,14.87M,,-7.623M,16.06M,0.146M,-15.92M,,161.71M,82.38M,0.146M,16.06M,-15.92M,-7.623M,-15.92M,58.84M,10.01M,48.83M,-1.125M,-0.453M,47.25M,54.70M,103.40M,28.50M,74.90M,1.17,-0.03,1.3230000000000002,1.14,1.04,-0.03,1.176,1.02,41.38M,46.39M,0.34
2014-03,438.55M,438.55M,217.39M,221.16M,140.30M,14.06M,,-7.78M,15.40M,0.187M,-15.22M,,154.36M,66.80M,0.187M,15.40M,-15.22M,-7.78M,-15.22M,43.80M,8.534M,35.27M,-0.125M,-0.186M,34.96M,41.35M,86.81M,27.60M,59.21M,0.85,0.0,1.002,0.85,0.77,-0.01,0.9069,0.76,41.26M,45.75M,0.34
2013-12,450.54M,450.54M,225.60M,224.94M,143.76M,17.88M,,-9.247M,14.34M,0.166M,-14.17M,,161.63M,63.31M,0.166M,14.34M,-14.17M,-9.247M,-14.17M,39.89M,4.589M,35.30M,-0.236M,-0.238M,34.83M,43.25M,79.40M,25.17M,54.23M,0.85,0.0,1.0490000000000002,0.85,0.78,-0.01,0.9617,0.77,41.16M,45.03M,0.34
2013-09,413.80M,413.80M,209.80M,203.99M,115.23M,15.64M,3.354M,-8.334M,13.95M,0.144M,-13.80M,,130.87M,73.13M,0.144M,13.95M,-13.80M,-8.334M,-13.80M,50.99M,5.209M,45.78M,1.029M,-0.234M,46.57M,53.03M,88.32M,23.38M,64.94M,1.11,0.02,1.2919999999999998,1.13,1.05,0.02,1.2229999999999999,1.08,41.13M,43.26M,0.34
2013-06,420.06M,420.06M,210.57M,209.49M,116.25M,16.52M,,-12.96M,14.42M,0.157M,-14.27M,,132.78M,76.71M,0.157M,14.42M,-14.27M,-12.96M,-14.27M,49.48M,6.082M,43.40M,-0.766M,-0.194M,42.44M,54.57M,85.74M,21.84M,63.91M,1.05,-0.02,1.3259999999999998,1.03,0.99,-0.02,1.252,0.98,41.12M,43.43M,0.34
2013-03,411.88M,411.88M,211.36M,200.52M,126.95M,15.01M,,-9.159M,14.19M,0.157M,-14.04M,,141.96M,58.56M,0.157M,14.19M,-14.04M,-9.159M,-14.04M,35.37M,7.667M,27.70M,-0.462M,-0.201M,27.04M,34.67M,72.15M,22.59M,49.56M,0.67,-0.01,0.8449,0.66,0.64,-0.01,0.8066,0.63,41.01M,43.05M,0.34
2012-12,419.06M,419.06M,219.88M,199.18M,121.52M,16.26M,,-2.953M,14.62M,0.247M,-14.37M,,137.79M,61.39M,0.247M,14.62M,-14.37M,-2.953M,-14.37M,44.07M,13.45M,30.61M,-1.037M,-0.254M,29.32M,32.41M,80.73M,22.05M,58.69M,0.75,-0.03,0.8001,0.72,0.75,-0.03,0.8001,0.72,40.94M,40.94M,0.34
2012-09,368.05M,368.05M,187.49M,180.57M,114.88M,14.76M,0.00,-1.088M,18.49M,0.34M,-18.15M,,129.64M,50.93M,0.34M,18.49M,-18.15M,-1.088M,-18.15M,31.69M,7.237M,24.45M,-2.521M,-0.188M,21.74M,25.10M,70.25M,20.07M,50.18M,0.59,-0.06,0.6105,0.53,0.58,-0.06,0.6002,0.52,40.89M,41.51M,0.34
2012-06,383.33M,383.33M,198.97M,184.36M,105.95M,13.70M,,0.011M,18.24M,0.506M,-17.73M,,119.65M,64.71M,0.506M,18.24M,-17.73M,0.011M,-17.73M,46.99M,-0.278M,47.27M,-4.367M,-0.286M,42.61M,46.97M,84.44M,19.21M,65.23M,1.15,-0.11,1.15,1.04,1.14,-0.11,1.14,1.04,40.83M,41.08M,0.34
2012-03,380.57M,380.57M,196.45M,184.11M,112.14M,11.55M,,-330.80M,18.21M,0.478M,-17.73M,,123.69M,60.42M,0.478M,18.21M,-17.73M,-330.80M,-17.73M,-288.11M,-3.998M,-284.11M,0.605M,-0.227M,-283.74M,41.83M,-250.76M,19.14M,-269.90M,-6.97,0.01,1.03,-6.96,-6.97,0.01,1.03,-6.96,40.77M,40.77M,0.34
2011-12,403.04M,403.04M,213.29M,189.75M,110.78M,12.91M,,-2.989M,19.21M,0.584M,-18.62M,,123.69M,66.06M,0.584M,19.21M,-18.62M,-2.989M,-18.62M,44.45M,2.644M,41.80M,126.42M,-0.425M,167.80M,44.19M,84.18M,20.53M,63.66M,1.02,3.11,1.089,4.13,1.02,3.08,1.089,4.1,40.73M,40.99M,0.34
2011-09,362.74M,362.74M,187.11M,175.63M,101.58M,12.32M,,0.173M,19.18M,0.318M,-18.86M,,113.90M,61.73M,0.318M,19.18M,-18.86M,0.173M,-18.86M,43.05M,10.12M,32.92M,11.14M,-0.414M,43.65M,32.37M,82.96M,20.74M,62.22M,0.8,0.27,0.7967,1.07,0.8,0.27,0.7968,1.07,40.68M,40.94M,0.34
2011-06,381.17M,381.17M,199.82M,181.35M,109.84M,12.46M,,-3.992M,15.78M,0.253M,-15.53M,,122.29M,59.06M,0.253M,15.78M,-15.53M,-3.992M,-15.53M,39.53M,8.436M,31.10M,3.389M,-0.417M,34.07M,33.82M,75.68M,20.36M,55.32M,0.76,0.08,0.8375,0.84,0.75,0.08,0.8268,0.83,40.54M,40.87M,0.34
2011-03,354.00M,354.00M,189.50M,164.50M,103.21M,11.04M,,-15.19M,16.15M,0.105M,-16.04M,,114.24M,50.26M,0.105M,16.15M,-16.04M,-15.19M,-16.04M,19.03M,4.915M,14.11M,64.08M,-0.382M,77.81M,25.00M,56.51M,21.34M,35.17M,0.35,1.59,0.6313,1.94,0.34,1.58,0.6187,1.92,40.06M,40.42M,0.34
2010-12,350.72M,350.72M,183.55M,167.16M,106.67M,12.21M,,-17.13M,21.29M,0.144M,-21.14M,,119.07M,48.10M,0.144M,21.29M,-21.14M,-17.13M,-21.14M,9.821M,-1.769M,11.59M,69.85M,-0.358M,81.08M,22.37M,49.04M,17.93M,31.11M,0.29,1.74,0.5685,2.03,0.29,1.72,0.5662,2.01,39.99M,40.31M,0.34
2010-09,345.04M,345.04M,178.48M,166.56M,101.54M,10.57M,,-31.50M,20.05M,0.219M,-19.83M,-0.183M,111.93M,54.63M,0.219M,20.05M,-19.83M,-31.50M,-19.83M,3.311M,-7.676M,10.99M,11.55M,-0.339M,22.20M,31.12M,44.67M,21.31M,23.36M,0.27,0.29,0.7827,0.56,0.27,0.28,0.7786,0.55,39.93M,40.25M,0.34
2010-06,358.43M,358.43M,184.13M,174.30M,99.77M,10.29M,,-0.075M,19.53M,0.15M,-19.38M,,110.06M,64.24M,0.15M,19.53M,-19.38M,-0.075M,-19.38M,44.79M,12.44M,32.35M,28.18M,-0.378M,60.15M,32.02M,85.06M,20.74M,64.32M,0.8,0.7,0.8014,1.51,0.8,0.7,0.8013,1.49,39.91M,40.36M,0.34
2010-03,367.33M,367.33M,190.44M,176.90M,100.57M,9.311M,,-0.463M,18.99M,0.206M,-18.79M,,109.88M,67.02M,0.206M,18.99M,-18.79M,-0.463M,-18.79M,47.77M,14.25M,33.52M,4.438M,-0.286M,37.67M,33.56M,88.77M,22.00M,66.76M,0.84,0.11,0.8482,0.95,0.83,0.11,0.8381,0.94,39.79M,40.20M,0.34
2009-12,471.31M,471.31M,278.10M,193.21M,109.96M,8.96M,,-1.645M,20.99M,0.634M,-20.36M,0.00,118.92M,74.29M,0.634M,20.99M,-20.36M,-1.645M,-20.36M,52.28M,8.197M,44.09M,-1.071M,-0.314M,42.70M,45.16M,97.53M,24.26M,73.28M,1.11,-0.03,1.145,1.08,1.1,-0.03,1.135,1.07,39.74M,40.01M,0.34
2009-09,440.74M,440.74M,244.41M,196.33M,113.63M,9.618M,0.00,-4.783M,21.07M,0.233M,-20.84M,,123.25M,73.08M,0.233M,21.07M,-20.84M,-4.783M,-20.84M,47.46M,13.24M,34.22M,4.395M,-0.305M,38.31M,37.37M,93.00M,24.47M,68.53M,0.85,0.11,0.9368,0.96,0.85,0.11,0.9364,0.96,39.72M,39.93M,0.34
2009-06,439.24M,439.24M,241.18M,198.05M,117.61M,8.42M,,-12.89M,22.00M,1.459M,-20.54M,,126.03M,72.02M,1.459M,22.00M,-20.54M,-12.89M,-20.54M,38.58M,5.448M,33.14M,-26.36M,-0.302M,6.47M,43.91M,82.40M,21.81M,60.58M,0.83,-0.66,1.109,0.16,0.82,-0.66,1.097,0.16,39.72M,39.92M,0.34
2009-03,440.07M,440.07M,251.61M,188.45M,117.13M,7.565M,,-5.06M,25.40M,0.209M,-25.19M,,124.70M,63.76M,0.209M,25.40M,-25.19M,-5.06M,-25.19M,33.51M,8.912M,24.60M,201.01M,-10.10M,215.51M,18.21M,86.19M,27.29M,58.90M,0.61,4.82,0.7036,5.43,0.61,4.79,0.7031,5.4,39.69M,39.88M,0.34
2008-12,242.24M,242.24M,117.56M,124.68M,103.60M,,,-15.77M,,,,,103.30M,21.38M,,,,-15.77M,,-24.36M,6.351M,-4.934M,59.33M,,19.57M,-29.51M,11.87M,15.92M,-4.047M,-0.15,0.64,0.1083,0.5,-0.15,0.63,0.1074,0.49,39.68M,39.82M,0.34
2008-09,595.88M,595.88M,357.06M,238.82M,144.33M,,,-0.47M,,,,,144.33M,94.49M,,,,-0.47M,,65.65M,13.70M,42.32M,,-9.627M,42.32M,42.69M,122.67M,28.18M,94.49M,1.07,0.0,1.079,1.07,1.06,0.0,1.069,1.06,39.64M,39.97M,0.34
2008-06,624.08M,624.08M,365.44M,258.65M,162.85M,,,-2.591M,,,,,162.85M,95.80M,,,,-2.591M,,62.29M,15.40M,37.79M,-2.845M,-9.098M,34.94M,39.74M,127.62M,31.83M,95.80M,0.96,-0.07,1.0090000000000001,0.88,0.95,-0.07,0.999,0.88,39.56M,39.83M,0.34
2008-03,542.11M,542.11M,328.67M,213.44M,147.57M,,,-8.874M,31.08M,0.961M,-30.12M,,147.57M,65.87M,0.961M,31.08M,-30.12M,-8.874M,-30.12M,26.87M,11.66M,15.21M,14.79M,-7.054M,22.94M,13.92M,85.94M,27.98M,57.95M,0.38,0.2,0.5262,0.58,0.38,0.2,0.5253,0.58,39.45M,39.71M,0.32
2007-12,583.11M,583.11M,381.51M,201.60M,147.77M,,,-53.78M,,,,,147.77M,53.83M,,,,-53.78M,,-43.70M,-5.407M,-46.22M,111.61M,-7.933M,65.38M,0.9023M,65.16M,11.33M,53.83M,-1.18,2.84,0.0156,1.66,-1.18,2.84,0.0156,1.66,39.42M,39.42M,0.32
2007-09,458.56M,458.56M,304.58M,153.98M,95.62M,,,-4.73M,,,,,95.62M,58.36M,,,,-4.73M,,48.33M,104.36M,-63.22M,6.188M,-7.20M,-57.04M,-60.15M,81.58M,23.23M,58.36M,-1.61,0.16,-1.5319999999999998,-1.45,-1.61,0.16,-1.5319999999999998,-1.45,39.37M,39.37M,0.32
2007-06,452.32M,452.32M,288.99M,163.33M,103.56M,,,-3.202M,,,,,103.56M,59.77M,,,,-3.202M,,49.12M,9.166M,33.25M,60.62M,-6.708M,93.86M,35.85M,89.51M,29.74M,59.77M,0.85,1.55,0.9164,2.39,0.84,1.53,0.9056,2.37,39.22M,39.68M,0.32
