,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2020-09,116.60M,,-4.683M,-4.683M,16.87M,40.01M,56.88M,56.88M,1.545M,,0.00,6.277M,-20.15M,-10.30M,-3.221M,-2.426M,22.21M,,,-55.26M,-49.00M,-0.223M,107.26M,-23.32M,,-23.32M,-0.948M,,0.00,-24.26M,-285.00M,,-285.00M,,,,-15.83M,-15.83M,8.509M,-3.901M,-296.22M,553.54M,-213.23M,7.172M,347.48M,,3.807M,-288.81M,
2020-06,11.44M,,-4.931M,-4.931M,17.62M,39.73M,57.35M,57.35M,0.376M,,0.00,4.96M,16.75M,68.99M,-22.53M,5.416M,5.039M,,,2.606M,59.52M,-0.124M,145.34M,-19.37M,,-19.37M,-0.735M,,0.00,-10.12M,25.00M,,25.00M,,,,-15.79M,-15.79M,5.69M,-7.793M,7.106M,406.48M,142.33M,4.727M,553.54M,,525.00M,-500.00M,
2020-03,131.15M,,-4.874M,-4.874M,16.84M,38.91M,55.75M,55.75M,0.679M,,0.00,3.522M,-141.76M,-23.14M,-12.35M,6.403M,-31.49M,,,4.651M,-55.92M,-0.193M,-11.65M,-19.68M,,-19.68M,-265.16M,,0.40M,-284.44M,485.00M,,485.00M,,,,-15.77M,-15.77M,-3.022M,-60.88M,405.33M,301.08M,109.24M,-3.842M,406.48M,,485.00M,,
2019-12,107.81M,,-5.046M,1.527M,16.80M,37.31M,54.12M,54.12M,-27.63M,,0.055M,6.903M,15.36M,-18.57M,0.089M,-17.84M,4.39M,,,21.70M,-10.23M,-0.194M,147.71M,-18.90M,,-18.90M,12.15M,,-3.135M,0.116M,-93.00M,,-93.00M,,,,-15.76M,-15.76M,7.192M,-6.744M,-108.31M,257.54M,39.51M,4.025M,301.08M,,250.00M,-343.00M,
2019-09,228.93M,,-5.021M,-6.11M,15.32M,37.38M,52.70M,52.70M,-135.47M,,0.00,7.337M,5.088M,-21.47M,-19.29M,-6.803M,37.86M,,,-10.88M,-20.59M,-0.148M,131.74M,-27.69M,,-27.69M,-0.24M,,1.957M,-25.97M,-133.00M,,-133.00M,,,,-15.72M,-15.72M,6.185M,-0.339M,-142.88M,303.90M,-37.12M,-9.236M,257.54M,,0.00,-133.00M,
2019-06,83.33M,,-4.917M,-4.917M,16.32M,37.53M,53.86M,53.86M,-8.098M,,3.881M,6.919M,13.05M,-5.645M,-14.77M,5.143M,-15.09M,,,-20.54M,-50.90M,-0.811M,96.31M,-32.61M,,-32.61M,0.00,,0.187M,-24.10M,-27.50M,,-27.50M,,,,-15.70M,-15.70M,5.587M,-5.678M,-43.29M,271.21M,28.92M,3.761M,303.90M,,25.00M,-52.50M,
2019-03,41.92M,,-3.882M,-6.621M,15.64M,37.75M,53.40M,53.40M,2.603M,,3.03M,5.781M,-7.163M,-14.10M,-19.20M,-11.52M,8.856M,,,3.192M,-32.78M,3.61M,63.78M,-23.49M,,-23.49M,-1.025M,,0.991M,-23.53M,0.00,,0.00,,,,-15.65M,-15.65M,2.242M,-110.95M,-124.36M,357.16M,-84.11M,-1.836M,271.21M,,0.00,,
2018-12,87.51M,,,,15.98M,37.51M,53.49M,53.49M,-14.76M,,0.00,5.969M,4.321M,6.418M,-17.53M,-3.883M,7.823M,,,7.451M,0.276M,2.993M,135.14M,-25.04M,,-25.04M,-94.60M,,,-118.09M,5.00M,,5.00M,,,,-15.64M,-15.64M,3.989M,-0.083M,-6.733M,356.28M,10.31M,-9.424M,357.16M,,35.00M,-30.00M,
2018-09,56.54M,,,,14.99M,36.97M,51.96M,51.96M,3.843M,,17.24M,5.732M,4.547M,-13.94M,-4.648M,-2.857M,16.47M,,,-13.52M,-18.50M,-0.237M,121.12M,-17.75M,,-17.75M,-0.10M,,,-17.85M,-80.00M,,-80.00M,,,,-15.59M,-15.59M,8.866M,-10.58M,-97.30M,346.30M,5.976M,3.996M,356.28M,,0.00,-80.00M,
2018-06,-2.552M,,,,14.70M,37.19M,51.89M,51.89M,6.293M,,1.865M,5.95M,23.82M,-12.48M,-15.05M,-0.205M,65.30M,,,-30.08M,7.474M,-0.258M,94.48M,-22.26M,,-22.26M,-18.77M,,,-41.02M,0.00,,0.00,,,,-15.49M,-15.49M,8.40M,-62.60M,-69.69M,378.87M,-16.23M,-16.34M,346.30M,,0.00,0.00,
2018-03,54.93M,,,,14.83M,37.82M,52.65M,52.65M,-1.472M,,0.00,4.787M,9.498M,-3.402M,0.032M,-3.406M,-27.18M,,,0.417M,-33.54M,-0.206M,86.64M,-15.75M,,-15.75M,-3.684M,,,-19.43M,-18.50M,,-18.50M,,,,-15.45M,-15.45M,1.40M,-0.165M,-32.71M,333.56M,34.50M,10.82M,378.87M,,,-18.50M,
2017-12,-42.85M,,,0.00,14.11M,34.79M,48.90M,48.90M,-26.14M,,0.00,4.888M,-0.091M,-17.47M,-2.106M,4.556M,14.87M,,,122.03M,121.89M,-5.276M,101.32M,-16.93M,,-16.93M,-751.24M,,-6.332M,-774.50M,8.00M,,8.00M,,,,-15.33M,-15.33M,0.832M,-7.64M,-14.14M,1.018B,-687.32M,3.307M,333.56M,,500.00M,-492.00M,
2017-09,79.40M,,,0.00,14.31M,22.60M,36.91M,36.91M,-6.903M,,0.00,4.985M,-9.016M,1.357M,-8.07M,-4.013M,17.59M,,,9.786M,16.65M,-0.179M,121.84M,-17.14M,,-17.14M,-17.25M,,0.00,-34.40M,249.70M,,249.70M,,,,-15.32M,-15.32M,3.434M,-0.092M,237.72M,676.21M,325.17M,16.19M,1.018B,,769.00M,-519.30M,
2017-06,78.36M,,,0.011M,13.90M,22.59M,36.49M,36.49M,-5.698M,,,5.294M,3.016M,-13.62M,-6.865M,1.228M,3.845M,,,4.682M,-10.73M,-0.695M,106.06M,-23.94M,,-23.94M,-17.94M,,0.00,-41.87M,-90.02M,,-90.02M,,,,-15.30M,-15.30M,1.81M,-0.074M,-103.59M,689.13M,-39.41M,26.49M,676.21M,,0.00,-90.02M,
2017-03,40.35M,,,5.582M,14.18M,18.78M,32.96M,32.96M,-3.081M,,,4.24M,6.714M,18.69M,-5.322M,-1.224M,2.696M,,,-10.67M,4.171M,-0.266M,90.67M,-12.89M,,-12.89M,-975.52M,,6.332M,-982.09M,1.056B,,1.056B,,,,-15.29M,-15.29M,-0.505M,-19.19M,1.021B,543.79M,129.85M,15.49M,689.13M,,1.194B,-138.25M,
2016-12,60.88M,,,-0.194M,14.14M,16.00M,30.15M,30.15M,-20.65M,,,4.331M,-4.362M,-15.34M,12.02M,-4.797M,-1.968M,,,5.569M,-4.516M,-0.659M,108.33M,-17.22M,,-17.22M,10.20M,,-9.792M,-16.81M,-0.078M,,-0.078M,,,,-14.98M,-14.98M,1.421M,-7.149M,-20.79M,499.46M,70.73M,-26.40M,543.79M,,0.00,-0.078M,
2016-09,66.20M,,,-2.776M,13.66M,16.09M,29.75M,29.75M,-7.407M,,,4.591M,-10.78M,14.55M,-2.333M,0.946M,20.89M,,,6.474M,40.53M,-0.268M,119.84M,-16.38M,,-16.38M,-10.92M,,5.807M,-21.49M,-51.31M,,-51.31M,,,,-14.98M,-14.98M,1.054M,-10.47M,-75.71M,476.49M,22.64M,0.327M,499.46M,,6.70M,-58.01M,
2016-06,59.40M,,,18.88M,14.01M,16.04M,30.05M,30.05M,-2.048M,,,4.512M,4.186M,0.331M,1.82M,3.987M,-8.002M,,,1.545M,-0.319M,-1.057M,113.60M,-11.71M,,-11.71M,-3.117M,,2.734M,-12.10M,8.53M,,8.53M,,,,-14.82M,-14.82M,3.413M,-8.254M,-11.13M,392.56M,90.37M,-6.441M,476.49M,,665.00M,-656.47M,
2016-03,51.18M,,,-1.019M,12.60M,15.36M,27.96M,27.96M,0.756M,,,3.437M,1.64M,-10.57M,-5.104M,-3.749M,4.502M,,,-2.202M,-17.12M,-0.126M,66.71M,-7.822M,,-7.822M,0.00,,1.251M,-6.571M,-0.009M,,-0.009M,,,,-14.18M,-14.18M,3.18M,-0.061M,-11.07M,338.37M,49.07M,5.126M,392.56M,,0.00,-0.009M,
2015-12,90.76M,,,0.00,11.98M,17.10M,29.08M,29.08M,-32.45M,,,4.088M,0.517M,9.112M,11.53M,-4.663M,2.738M,,,15.97M,34.69M,-0.682M,126.00M,-15.88M,,-15.88M,-29.95M,,-0.408M,-46.24M,-0.13M,,-0.13M,,,,-14.15M,-14.15M,0.179M,-0.564M,-14.66M,276.46M,65.10M,-3.197M,338.37M,,0.00,-0.13M,
2015-09,61.57M,,,-0.408M,11.65M,15.45M,27.10M,27.10M,-22.58M,,,3.253M,-8.754M,9.27M,-3.009M,0.715M,0.111M,,,-0.094M,6.993M,-0.591M,66.58M,-14.24M,,-14.24M,-25.89M,,0.408M,-39.73M,-52.65M,,-52.65M,,,,-14.15M,-14.15M,-0.028M,-4.257M,-71.08M,325.01M,-44.23M,-4.32M,276.46M,,0.00,-52.65M,
2015-06,45.20M,,,10.45M,11.47M,15.09M,26.56M,26.56M,-0.46M,,,3.294M,-0.456M,3.922M,-2.317M,5.677M,-6.785M,,,-17.85M,-17.36M,-0.237M,66.99M,-16.88M,,-16.88M,-30.18M,,,-47.06M,7.171M,,7.171M,,,,-14.12M,-14.12M,5.132M,-9.578M,-11.39M,308.76M,8.542M,7.709M,325.01M,,258.10M,-250.93M,
2015-03,39.27M,,,,10.92M,14.74M,25.66M,25.66M,1.085M,,,3.832M,0.283M,-21.91M,-14.58M,-4.756M,3.819M,,,9.651M,-27.77M,-1.126M,41.23M,-14.44M,,-14.44M,-7.375M,,,-21.82M,29.95M,,29.95M,,,,-14.12M,-14.12M,-0.289M,-3.989M,11.55M,303.24M,30.96M,-25.44M,308.76M,,30.00M,-0.052M,
2014-12,52.13M,,,,12.80M,13.87M,26.67M,26.67M,-11.34M,,,3.102M,-0.301M,6.952M,7.553M,5.509M,-4.44M,,,-4.391M,11.18M,-1.73M,79.71M,-19.35M,,-19.35M,-11.99M,,-5.251M,-36.59M,-0.093M,,-0.093M,,,,-14.08M,-14.08M,1.309M,-0.805M,-13.67M,286.38M,29.45M,-12.59M,303.24M,,0.00,-0.093M,
