,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,AsOriginallyReported,Restated
2020-09,1.172B,1.172B,342.00M,830.20M,628.00M,,19.40M,,-19.40M,,628.00M,202.20M,,19.40M,-19.40M,2.60M,-19.40M,185.40M,-46.30M,231.70M,,,231.70M,231.70M,256.00M,,2020-09,0.84,,0.84,2020-09,0.83,,0.83,0.83,276.80M,277.90M,0.00,AOR,
2020-06,714.80M,714.80M,215.90M,498.90M,778.90M,0.00,,,-20.30M,,778.90M,-280.00M,,,-20.30M,-0.50M,-20.30M,-300.80M,-7.00M,-293.80M,,,-293.80M,-293.80M,-717.60M,,2020-06,-1.06,,-1.06,2020-06,-1.06,,-1.06,-1.06,276.20M,276.20M,0.00,AOR,
2020-03,1.073B,1.073B,456.50M,616.20M,824.00M,-477.70M,,,-13.50M,,824.00M,-207.80M,,,-13.50M,-483.70M,-13.50M,-705.00M,-27.90M,-677.10M,,,-677.10M,-218.51M,-137.90M,,2020-03,-2.45,,-0.7890,2020-03,-2.45,,-0.7920,-2.45,276.10M,276.60M,0.3375,AOR,
2019-12,1.816B,1.816B,606.30M,1.210B,846.60M,,,,-14.00M,,846.60M,363.10M,,,-14.00M,5.90M,-14.00M,355.00M,56.20M,298.80M,,,298.80M,298.80M,423.90M,,2019-12,1.08,,1.08,2019-12,1.08,,1.08,1.08,276.00M,276.70M,0.3375,AOR,
2019-09,1.358B,1.358B,443.40M,914.50M,862.90M,,12.30M,,-12.30M,,862.90M,51.60M,,12.30M,-12.30M,-12.70M,-12.30M,26.60M,6.60M,20.00M,,,20.00M,20.00M,103.10M,,2019-09,0.07,,0.07,2019-09,0.07,,0.07,0.07,284.40M,285.70M,0.3375,AOR,Restated
2019-06,1.514B,1.514B,514.50M,999.20M,828.10M,0.00,,,-11.00M,,828.10M,171.10M,,,-11.00M,-1.20M,-11.00M,158.90M,10.00M,148.90M,,,148.90M,148.90M,243.90M,,2019-06,0.51,,0.51,2019-06,0.51,,0.51,0.51,289.10M,289.60M,0.3375,AOR,Restated
2019-03,1.331B,1.331B,415.50M,915.90M,806.10M,0.00,,,-10.60M,,806.10M,109.80M,,,-10.60M,-4.00M,-10.60M,95.20M,-22.20M,117.40M,,,117.40M,117.40M,173.30M,,2019-03,0.40,,0.40,2019-03,0.40,,0.40,0.40,290.00M,290.90M,0.3375,AOR,Restated
2018-12,1.801B,1.801B,597.30M,1.204B,827.00M,,,,-13.20M,,827.00M,376.50M,,,-13.20M,4.20M,-13.20M,367.50M,112.70M,254.80M,,,254.80M,254.80M,441.80M,,2018-12,0.88,,0.88,2018-12,0.88,,0.88,0.88,289.90M,291.00M,0.3375,AOR,Restated
2018-09,1.381B,1.381B,446.10M,935.10M,772.80M,,,,-13.10M,,772.80M,162.30M,,,-13.10M,-4.60M,-13.10M,144.60M,22.30M,122.30M,,,122.30M,122.30M,223.30M,,2018-09,0.42,,0.42,2018-09,0.42,,0.42,0.42,288.80M,292.00M,0.3375,AOR,Restated
2018-06,1.484B,1.484B,481.90M,1.002B,813.40M,,,,-14.40M,,813.40M,188.40M,,,-14.40M,,-14.40M,172.80M,-38.90M,211.70M,,,211.70M,211.70M,258.90M,,2018-06,0.74,,0.74,2018-06,0.73,,0.73,0.73,287.50M,291.00M,0.3375,AOR,Restated
2018-03,1.322B,1.322B,414.80M,907.60M,748.60M,,,,-16.90M,,748.60M,159.00M,,,-16.90M,,-16.90M,142.10M,1.80M,140.30M,,,140.30M,140.30M,221.30M,,2018-03,0.49,,0.49,2018-03,0.48,,0.48,0.48,286.20M,290.10M,0.3375,AOR,Restated
2017-12,1.785B,1.785B,608.80M,1.176B,829.80M,,,,-22.20M,,829.80M,346.40M,,,-22.20M,,-22.20M,324.20M,261.00M,63.20M,,,63.20M,63.20M,407.20M,,2017-12,0.22,,0.22,2017-12,0.22,,0.22,0.22,284.50M,286.40M,0.3375,AOR,Restated
2017-09,1.289B,1.289B,526.00M,762.90M,784.70M,,,,-20.50M,,784.70M,-21.80M,,,-20.50M,,-20.50M,-42.30M,-24.60M,-17.70M,,,-17.70M,-17.70M,43.70M,,2017-09,-0.06,,-0.06,2017-09,-0.06,,-0.06,-0.06,283.20M,286.70M,0.3375,AOR,Restated
2017-06,1.134B,1.134B,379.30M,754.50M,561.50M,,,,-13.60M,,561.50M,193.00M,,,-13.60M,,-13.60M,179.40M,27.70M,151.70M,,,151.70M,151.70M,257.10M,,2017-06,0.54,,0.54,2017-06,0.53,,0.53,0.53,281.80M,284.60M,0.3375,AOR,Restated
2017-03,995.20M,995.20M,289.50M,705.70M,554.60M,,,,-4.00M,,554.60M,151.10M,,,-4.00M,,-4.00M,147.10M,24.90M,122.20M,,,122.20M,122.20M,199.60M,,2017-03,0.44,,0.44,2017-03,0.43,,0.43,0.43,280.80M,282.90M,0.3375,AOR,Restated
2016-12,1.322B,1.322B,415.50M,906.20M,628.80M,,,,-5.10M,,628.80M,277.40M,,,-5.10M,,-5.10M,272.30M,72.60M,199.70M,,,199.70M,199.70M,325.30M,,2016-12,0.71,,0.71,2016-12,0.71,,0.71,0.71,280.50M,281.80M,0.3375,AOR,Restated
2016-09,1.038B,1.038B,322.90M,714.70M,548.80M,,,,-5.70M,,548.80M,165.90M,,,-5.70M,,-5.70M,160.20M,42.80M,117.40M,,,117.40M,117.40M,218.20M,,2016-09,0.42,,0.42,2016-09,0.42,,0.42,0.42,279.50M,281.90M,0.3375,AOR,Restated
2016-06,1.155B,1.155B,371.90M,782.70M,665.90M,,,,-7.40M,,665.90M,116.80M,,,-7.40M,,-7.40M,109.40M,27.90M,81.50M,,,81.50M,81.50M,170.80M,,2016-06,0.29,,0.29,2016-06,0.29,,0.29,0.29,278.20M,281.10M,0.3375,AOR,Restated
2016-03,1.033B,1.033B,320.10M,713.00M,578.70M,,,,-6.50M,,578.70M,134.30M,,,-6.50M,,-6.50M,127.80M,15.30M,112.50M,,,112.50M,112.50M,183.80M,,2016-03,0.40,,0.40,2016-03,0.40,,0.40,0.40,277.80M,279.50M,0.3375,AOR,Restated
2015-12,1.274B,1.274B,414.70M,859.10M,598.10M,,,,-6.30M,,598.10M,261.00M,,,-6.30M,,-6.30M,254.70M,84.60M,170.10M,,,170.10M,170.10M,313.70M,,2015-12,0.61,,0.61,2015-12,0.61,,0.61,0.61,277.60M,278.40M,0.3375,AOR,Restated
2015-09,1.030B,1.030B,333.80M,696.50M,555.10M,,,,-6.70M,,555.10M,141.40M,,,-6.70M,,-6.70M,134.70M,38.30M,96.40M,,,96.40M,96.40M,195.80M,,2015-09,0.35,,0.35,2015-09,0.35,,0.35,0.35,277.10M,278.30M,0.3375,AOR,Restated
