,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,231.70M,,-13.20M,-13.20M,,,51.20M,51.20M,-67.80M,0.00,14.00M,,-41.50M,-29.40M,-57.50M,73.90M,-66.40M,,-1.80M,-81.20M,90.00M,2020-09,-26.00M,23.90M,-2.10M,,,0.10M,,-2.00M,2020-09,-0.20M,,-0.20M,,0.00,0.00,0.00,0.00,0.00,-8.20M,-8.40M,2020-09,1.426B,79.60M,8.00M,,2020-09,,,-0.20M,0.00,154.40M,,2020-09,AOR,
2020-06,-293.80M,,,,,,53.40M,53.40M,-82.40M,115.90M,6.10M,,68.20M,-13.30M,113.00M,-34.40M,19.20M,,-0.20M,84.30M,-39.10M,2020-06,-32.50M,,-32.50M,,0.00,146.00M,,113.50M,2020-06,699.80M,,699.80M,,0.00,0.00,-93.20M,-93.20M,2.60M,-0.20M,609.00M,2020-06,742.60M,683.40M,0.30M,,2020-06,,,-0.20M,0.00,6.70M,,2020-06,AOR,
2020-03,-677.10M,,,,,,69.90M,69.90M,-27.50M,622.00M,13.20M,,19.00M,153.90M,-191.10M,-132.30M,46.80M,,-25.00M,-147.70M,-115.60M,2020-03,-50.70M,,-50.70M,,0.00,109.40M,,58.70M,2020-03,-0.20M,,-0.20M,,0.00,0.00,-93.10M,-93.10M,0.00,-3.30M,-96.60M,2020-03,896.90M,-153.50M,-0.80M,,2020-03,,,-0.20M,0.00,25.70M,,2020-03,AOR,
2019-12,298.80M,,,,,,60.80M,60.80M,28.30M,0.00,16.70M,,6.40M,-40.60M,136.20M,59.60M,-9.80M,,-3.70M,141.70M,556.00M,2019-12,-50.30M,,-50.30M,,0.00,-4.00M,,-54.30M,2019-12,-0.20M,,-0.20M,,-33.00M,-33.00M,-97.20M,-97.20M,1.60M,-0.30M,-129.10M,2019-12,522.10M,372.60M,2.20M,,2019-12,,,-0.20M,-33.00M,20.10M,,2019-12,AOR,
2019-09,20.00M,,0.00,0.00,,,64.20M,64.20M,-34.10M,75.60M,17.10M,,20.60M,-38.10M,-116.70M,23.00M,-17.90M,,-8.90M,-158.60M,5.70M,2019-09,-71.90M,0.00,-71.90M,,,-1.70M,,-73.60M,2019-09,-0.20M,,-0.20M,,-267.00M,-267.00M,-96.80M,-96.80M,0.10M,-13.50M,-377.40M,2019-09,969.20M,-445.30M,-1.80M,,2019-09,,,-0.20M,-267.00M,34.70M,,2019-09,AOR,Restated
2019-06,148.90M,,,,,,78.40M,78.40M,-7.00M,0.00,19.40M,,19.50M,-25.20M,18.40M,-54.20M,-14.70M,,5.40M,-70.30M,189.60M,2019-06,-90.00M,,-90.00M,,-4.10M,-2.40M,,-96.50M,2019-06,-0.10M,,-0.10M,,-100.00M,-100.00M,-97.90M,-97.90M,3.70M,-3.40M,-197.70M,2019-06,1.075B,-104.60M,-1.50M,,2019-06,,,-0.10M,-100.00M,48.50M,,2019-06,AOR,Restated
2019-03,117.40M,,,,,,63.50M,63.50M,10.50M,0.00,22.30M,,5.10M,85.10M,-81.00M,-122.50M,1.40M,,-101.50M,-218.50M,3.50M,2019-03,-67.80M,,-67.80M,,-1.70M,-2.70M,,-72.20M,2019-03,-0.30M,,-0.30M,,0.00,0.00,-97.90M,-97.90M,0.80M,-2.40M,-99.80M,2019-03,1.237B,-168.50M,6.80M,,2019-03,,,-0.30M,0.00,33.00M,,2019-03,AOR,Restated
2018-12,254.80M,,,,,,65.30M,65.30M,13.80M,0.00,21.10M,,-4.60M,-59.70M,108.60M,150.40M,25.80M,,42.30M,267.40M,618.40M,2018-12,-61.20M,,-61.20M,,-22.00M,-99.30M,,-182.50M,2018-12,-0.10M,,-0.10M,,0.00,0.00,-97.70M,-97.70M,4.60M,-0.60M,-93.80M,2018-12,904.70M,342.10M,-9.80M,,2018-12,,,-0.10M,0.00,33.10M,,2018-12,AOR,Restated
2018-09,122.30M,,,,,,61.00M,61.00M,17.20M,0.00,22.00M,,7.00M,25.50M,-150.70M,-42.30M,-81.70M,,-2.00M,-251.20M,-19.10M,2018-09,-55.20M,,-55.20M,,-15.70M,-152.10M,,-223.00M,2018-09,-0.20M,,-0.20M,,0.00,0.00,-97.20M,-97.20M,26.20M,-23.10M,-94.30M,2018-09,1.243B,-336.40M,-2.30M,,2018-09,,,-0.20M,0.00,69.20M,,2018-09,AOR,Restated
2018-06,211.70M,,,,,,71.70M,71.70M,-11.60M,,20.40M,,12.90M,-84.20M,18.40M,83.30M,99.00M,,-10.90M,105.60M,411.00M,2018-06,-80.80M,,-80.80M,,-2.60M,-0.30M,,-83.70M,2018-06,-0.80M,0.00,-0.80M,,,,-97.00M,-97.00M,5.80M,-0.30M,-92.30M,2018-06,1.032B,235.00M,-23.30M,,2018-06,,0.00,-0.80M,,-51.60M,,2018-06,AOR,Restated
2018-03,140.30M,,,,,,62.30M,62.30M,55.30M,,22.40M,,11.50M,64.60M,-0.50M,-89.60M,-46.50M,,-64.80M,-136.80M,155.50M,2018-03,-60.10M,,-60.10M,,-53.00M,20.50M,,-92.60M,2018-03,0.00,-1.10B,-1.10B,,,,-96.10M,-96.10M,99.60M,-1.90M,-1.098B,2018-03,2.065B,-1.036B,2.20M,,2018-03,,0.00,-1.10B,,21.50M,,2018-03,AOR,Restated
2017-12,63.20M,,,,,,60.80M,60.80M,-71.00M,,18.50M,,22.20M,-17.60M,168.50M,-17.60M,35.30M,,272.30M,440.90M,534.80M,2017-12,-77.60M,,-77.60M,,0.00,310.70M,,233.10M,2017-12,0.00,,0.00,,,,-95.90M,-95.90M,16.80M,-3.30M,-82.40M,2017-12,1.373B,685.50M,6.20M,,2017-12,,0.00,,,24.00M,,2017-12,AOR,Restated
2017-09,-17.70M,,,,,,65.50M,65.50M,-23.60M,,20.00M,,91.40M,31.60M,-156.00M,-69.50M,-6.90M,,-38.90M,-239.70M,-103.80M,2017-09,-48.90M,,-48.90M,,-2.320B,147.50M,,-2.222B,2017-09,1.10B,,1.10B,,,,-95.10M,-95.10M,43.50M,-26.00M,1.022B,2017-09,2.673B,-1.303B,3.40M,,2017-09,,1.10B,,,22.50M,,2017-09,AOR,Restated
2017-06,151.70M,,,,,,64.10M,64.10M,15.00M,,18.50M,2.80M,-33.60M,-65.30M,11.10M,111.90M,72.90M,,-26.50M,104.10M,323.80M,2017-06,-86.50M,,-91.00M,6.30M,0.00,115.20M,,30.50M,2017-06,712.20M,285.00M,997.20M,,,,-94.80M,-94.80M,29.70M,-12.40M,919.70M,2017-06,1.394B,1.274B,4.40M,,2017-06,,997.20M,0.00,,3.90M,,2017-06,AOR,Restated
2017-03,122.20M,,,,,,48.50M,48.50M,50.30M,,18.90M,0.70M,5.00M,71.00M,-4.20M,-76.70M,-4.30M,,-29.90M,-44.10M,201.90M,2017-03,-70.70M,,-70.40M,-0.30M,0.00,33.40M,,-37.30M,2017-03,285.00M,-285.00M,0.00,,,,-94.70M,-94.70M,14.00M,-2.50M,-83.20M,2017-03,1.310B,81.40M,3.40M,,2017-03,,0.00,0.00,,15.80M,,2017-03,AOR,Restated
