,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,Liabilities(Quarterly),AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.514B,8.50M,1.522B,251.10M,366.40M,,,,811.20M,70.90M,,74.60M,2.846B,,,,,2.446B,,,2.446B,,2.446B,1.307B,1.378B,2.685B,,57.30M,100.00M,5.288B,2020-09,296.00M,,38.10M,334.10M,432.00M,766.10M,,,711.50M,711.50M,341.40M,1.053B,,1.819B,1.589B,1.740B,3.328B,87.70M,,87.70M,,5.603B,,2020-09,2.80M,-761.00M,,-76.50M,2.530B,,2020-09,AOR,
2020-06,1.426B,8.10M,1.434B,193.30M,239.30M,,,,736.90M,57.50M,,85.00M,2.553B,0.00,21.80M,,1.002B,1.757B,47.40M,833.70M,3.662B,-1.130B,2.532B,1.301B,1.379B,2.680B,0.10M,55.90M,102.40M,5.371B,2020-06,130.80M,0.00,100.50M,231.30M,410.50M,641.80M,,700.00M,11.50M,711.50M,388.80M,1.100B,,1.742B,1.588B,1.800B,3.388B,155.10M,,225.60M,,5.648B,,2020-06,2.80M,-992.70M,,-92.20M,2.276B,,2020-06,AOR,
2020-03,742.60M,155.60M,898.20M,190.40M,225.50M,,,,852.90M,60.20M,,95.10M,2.132B,,,,,2.790B,,,2.790B,,2.790B,1.298B,1.381B,2.680B,,35.90M,106.00M,5.611B,2020-03,200.10M,,,200.10M,573.90M,774.00M,,,11.50M,11.50M,353.40M,364.90M,,1.139B,1.587B,1.897B,3.484B,204.60M,,204.60M,,5.190B,,2020-03,2.80M,-699.00M,,-96.70M,2.553B,,2020-03,AOR,
2019-12,896.90M,269.80M,1.167B,363.50M,406.80M,,,,748.30M,65.20M,,124.40M,2.511B,,,,,2.883B,,,2.883B,,2.883B,1.511B,1.650B,3.161B,,36.10M,108.70M,6.189B,2019-12,252.40M,,,252.40M,670.10M,922.50M,,,,,329.80M,329.80M,,1.252B,1.598B,1.901B,3.499B,230.50M,,230.50M,,5.378B,,2019-12,2.80M,71.30M,,-85.00M,3.322B,,2019-12,AOR,
2019-09,522.10M,266.30M,788.40M,313.10M,365.70M,,,,880.20M,65.20M,,104.40M,2.204B,,,,,2.946B,,,2.946B,,2.946B,1.512B,1.652B,3.163B,,28.70M,108.00M,6.246B,2019-09,254.30M,,,254.30M,628.80M,883.10M,,,,,328.90M,328.90M,,1.212B,1.597B,1.965B,3.563B,196.90M,,196.90M,,5.363B,,2019-09,2.80M,-134.30M,,-96.00M,3.087B,,2019-09,AOR,Restated
2019-06,969.20M,264.60M,1.234B,298.10M,353.90M,,,,778.30M,99.80M,,91.00M,2.557B,0.00,21.80M,,1.006B,,105.20M,1.006B,2.139B,-1.200B,938.80M,1.516B,1.712B,3.228B,0.10M,19.40M,134.10M,4.320B,2019-06,243.60M,96.80M,52.90M,393.30M,523.90M,917.20M,,0.00,,0.00,0.80M,0.80M,,918.00M,1.597B,5.30M,1.602B,234.10M,,455.70M,,3.364B,,2019-06,2.90M,291.60M,,-83.20M,3.513B,,2019-06,AOR,Restated
2019-03,1.075B,262.00M,1.337B,285.70M,326.60M,,,,811.10M,87.90M,,99.50M,2.662B,,,,,,,,,,921.60M,1.504B,1.717B,3.221B,0.10M,26.00M,138.90M,4.308B,2019-03,260.60M,,76.30M,336.90M,659.00M,995.90M,,,,0.70M,,0.70M,,996.60M,1.596B,5.60M,1.602B,245.30M,,245.30M,,3.439B,,2019-03,2.90M,340.20M,,-90.50M,3.531B,,2019-03,AOR,Restated
2018-12,1.237B,258.20M,1.495B,360.50M,418.60M,,,,732.40M,86.90M,,95.40M,2.828B,,,,,,,,,,896.00M,1.503B,1.722B,3.225B,0.10M,31.80M,137.60M,4.291B,2018-12,299.10M,,,299.10M,781.30M,1.080B,,,,0.70M,,0.70M,,1.081B,1.595B,6.00M,1.601B,243.10M,,243.10M,,3.631B,,2018-12,2.90M,320.70M,,-91.50M,3.488B,,2018-12,AOR,Restated
2018-09,904.70M,158.50M,1.063B,283.10M,375.90M,,,,820.90M,109.10M,,98.40M,2.468B,,,,,,,,,,888.30M,1.485B,1.728B,3.214B,,22.80M,111.20M,4.236B,2018-09,292.90M,,,292.90M,605.80M,898.70M,,,,,0.70M,0.70M,,899.40M,1.594B,6.00M,1.600B,225.50M,,225.50M,,3.394B,,2018-09,2.90M,163.70M,,-88.10M,3.310B,,2018-09,AOR,Restated
2018-06,1.243B,6.60M,1.25B,314.10M,339.90M,,,,673.80M,82.60M,,86.30M,2.433B,0.00,19.00M,,787.60M,,142.20M,891.00M,1.840B,-954.40M,885.40M,1.484B,1.733B,3.217B,0.00,24.30M,118.80M,4.246B,2018-06,264.30M,97.20M,,361.50M,576.00M,937.50M,,,,,0.70M,0.70M,,938.20M,1.594B,6.00M,1.600B,206.20M,,406.90M,,3.434B,,2018-06,2.90M,119.00M,,-82.80M,3.245B,,2018-06,AOR,Restated
2018-03,1.032B,6.60M,1.038B,292.30M,391.90M,,,,714.30M,143.80M,,,2.288B,,,,,,,,,,889.40M,1.514B,1.740B,3.254B,0.10M,32.00M,124.40M,4.300B,2018-03,221.90M,,,221.90M,637.50M,859.40M,,,,,0.70M,0.70M,,860.10M,1.594B,6.00M,1.600B,240.10M,,240.10M,,3.45B,,2018-03,2.90M,4.50M,,-46.40M,3.138B,,2018-03,AOR,Restated
2017-12,2.065B,26.80M,2.092B,347.80M,393.40M,,,,666.20M,130.90M,,,3.282B,,,,,,,,,,877.00M,1.401B,1.747B,3.148B,27.30M,26.20M,120.70M,4.199B,2017-12,234.80M,,,234.80M,696.00M,930.80M,,,800.00M,800.00M,0.60M,800.60M,,1.731B,1.881B,6.40M,1.888B,173.40M,,173.40M,,4.532B,,2017-12,2.80M,-38.80M,,-72.30M,2.949B,,2017-12,AOR,Restated
2017-09,1.373B,297.60M,1.671B,302.70M,367.70M,,,,852.80M,130.90M,,,3.022B,,,,,,,,,,860.80M,1.410B,1.753B,3.163B,70.00M,204.10M,133.90M,4.432B,2017-09,292.70M,,,292.70M,641.60M,934.30M,,,800.00M,800.00M,0.60M,800.60M,,1.735B,1.880B,7.80M,1.888B,,,,,4.514B,,2017-09,2.80M,-5.90M,,-81.30M,2.94B,,2017-09,AOR,Restated
2017-06,2.673B,410.70M,3.084B,268.00M,309.50M,,,,469.70M,58.60M,,31.90M,3.953B,0.00,13.70M,,674.40M,,71.70M,729.70M,1.490B,-798.10M,691.40M,480.50M,340.80M,821.30M,75.10M,170.50M,120.00M,1.878B,2017-06,194.60M,95.10M,,289.70M,464.10M,753.80M,,,,,0.00,0.00,,753.80M,1.580B,0.00,1.580B,63.30M,,267.50M,,2.830B,,2017-06,2.80M,107.70M,,-86.90M,3.002B,,2017-06,AOR,Restated
2017-03,1.394B,497.40M,1.892B,203.40M,261.40M,,,,478.70M,137.60M,,,2.770B,,,,,,,,,,661.20M,481.10M,342.90M,824.00M,104.40M,176.40M,125.40M,1.891B,2017-03,129.20M,,,129.20M,507.10M,636.30M,,,,,,,,636.30M,591.80M,,591.80M,,,,,1.769B,,2017-03,2.80M,51.10M,,-93.80M,2.892B,,2017-03,AOR,Restated
2016-12,1.310B,526.20M,1.836B,269.60M,315.10M,,,,464.90M,149.80M,,,2.766B,,,,,,,,,,641.20M,467.30M,344.60M,811.90M,110.10M,228.30M,121.50M,1.913B,2016-12,152.50M,,,152.50M,562.70M,715.20M,,,,,,,,715.20M,591.60M,,591.60M,,,,,1.868B,,2016-12,2.80M,23.70M,,-115.70M,2.811B,,2016-12,AOR,Restated
2016-09,1.00B,533.20M,1.533B,245.10M,245.10M,,,,546.80M,66.10M,,114.00M,2.505B,,,,,,,,,,774.60M,505.90M,345.10M,851.00M,74.40M,248.80M,130.60M,2.079B,2016-09,173.50M,,,173.50M,523.70M,697.20M,,,,,,,,697.20M,591.40M,,591.40M,,,,,1.856B,,2016-09,2.80M,-81.30M,,-67.60M,2.728B,,2016-09,AOR,Restated
2016-06,859.00M,460.40M,1.319B,245.20M,258.80M,,,,459.20M,58.00M,,77.50M,2.173B,0.00,168.50M,,687.70M,,26.40M,898.70M,1.781B,-861.80M,919.50M,502.40M,346.80M,849.20M,558.60M,248.80M,143.70M,2.720B,2016-06,186.70M,93.90M,,280.60M,531.10M,811.70M,,,15.00M,15.00M,,15.00M,,826.70M,861.20M,,861.20M,57.30M,,230.20M,,2.210B,,2016-06,2.80M,-104.10M,,-72.90M,2.683B,,2016-06,AOR,Restated
2016-03,821.60M,460.80M,1.282B,263.20M,263.20M,,,,464.10M,76.80M,92.70M,85.90M,2.265B,,,,,,,,,,823.20M,453.40M,349.80M,803.20M,567.90M,,217.10M,2.411B,2016-03,174.60M,,,174.60M,541.90M,716.50M,,,15.00M,15.00M,,15.00M,,731.50M,868.50M,,868.50M,,,,,2.051B,,2016-03,2.80M,-91.70M,,-92.10M,2.625B,,2016-03,AOR,Restated
2015-12,843.80M,493.30M,1.337B,303.60M,303.60M,,,,438.50M,85.80M,83.60M,53.00M,2.302B,,,,,,,,,,784.40M,437.10M,350.70M,787.80M,515.10M,,214.80M,2.302B,2015-12,147.70M,,,147.70M,541.30M,689.00M,,0.00,15.00M,15.00M,,15.00M,,704.00M,872.00M,,872.00M,,,,,2.036B,,2015-12,2.80M,-110.40M,,-108.30M,2.567B,,2015-12,AOR,Restated
