,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,SECFilingLinks,AsOriginallyReported,Restated
2020-09,-1.157B,0.00,17.00M,17.00M,,,316.00M,316.00M,-298.00M,,,,,,-24.00M,-124.00M,25.00M,,,194.00M,95.00M,,2020-09,-89.00M,0.00,0.00,,-345.00M,0.00,-434.00M,2020-09,1.198B,,1.198B,0.00,0.00,0.00,0.00,0.00,12.00M,33.00M,1.243B,2020-09,12.35B,-242.00M,12.11B,2020-09,0.00,1.256B,-58.00M,0.00,27.00M,115.00M,2020-09,AOR,
2020-06,-915.00M,-222.00M,6.00M,-216.00M,,,313.00M,313.00M,-181.00M,,,,,,-3.00M,-119.00M,1.201B,,,817.00M,1.899B,,2020-06,-112.00M,815.00M,815.00M,,-499.00M,128.00M,332.00M,2020-06,5.023B,,5.023B,2.294B,0.00,2.294B,0.00,0.00,13.00M,-148.00M,7.182B,2020-06,3.94B,8.411B,12.35B,2020-06,2.294B,9.865B,-4.842B,0.00,-15.00M,-68.00M,2020-06,AOR,
2020-03,-94.00M,,2.00M,2.00M,,,311.00M,311.00M,-49.00M,,,,,,-66.00M,183.00M,-1.291B,,,627.00M,-481.00M,,2020-03,-224.00M,,,,-81.00M,300.00M,-5.00M,2020-03,2.422B,,2.422B,,-451.00M,-451.00M,-188.00M,-188.00M,11.00M,-20.00M,1.774B,2020-03,2.548B,1.392B,3.94B,2020-03,,2.50B,-78.00M,-451.00M,5.00M,14.00M,2020-03,AOR,
2019-12,513.00M,,,,,,313.00M,313.00M,-279.00M,,,,,,21.00M,198.00M,538.00M,,,-719.00M,256.00M,,2019-12,-261.00M,,0.00,,5.00M,,144.00M,2019-12,-370.00M,,-370.00M,,-550.00M,-550.00M,0.00,0.00,11.00M,1.00M,-908.00M,2019-12,2.488B,60.00M,2.548B,2019-12,,0.00,-370.00M,-550.00M,292.00M,29.00M,2019-12,AOR,
2019-09,659.00M,0.00,,0.00,,,308.00M,308.00M,174.00M,,,,,,-43.00M,-88.00M,106.00M,,,-24.00M,-6.00M,,2019-09,-376.00M,0.00,0.00,,16.00M,,-360.00M,2019-09,-70.00M,,-70.00M,0.00,-500.00M,-500.00M,-96.00M,-96.00M,9.00M,-33.00M,-690.00M,2019-09,2.446B,42.00M,2.488B,2019-09,0.00,0.00,-70.00M,-500.00M,805.00M,107.00M,2019-09,AOR,Restated
2019-06,741.00M,0.00,,0.00,,,301.00M,301.00M,37.00M,,,,,,-44.00M,18.00M,-89.00M,,,2.00M,-69.00M,,2019-06,-230.00M,0.00,0.00,,-21.00M,,-251.00M,2019-06,-76.00M,,-76.00M,0.00,-450.00M,-450.00M,-98.00M,-98.00M,10.00M,1.00M,-613.00M,2019-06,2.344B,102.00M,2.446B,2019-06,0.00,0.00,-76.00M,-450.00M,-322.00M,-63.00M,2019-06,AOR,Restated
2019-03,387.00M,,,,,,297.00M,297.00M,13.00M,,,,,,-17.00M,-222.00M,-257.00M,,,904.00M,425.00M,,2019-03,-160.00M,,,,324.00M,,164.00M,2019-03,-99.00M,,-99.00M,,-500.00M,-500.00M,-178.00M,-178.00M,10.00M,-12.00M,-779.00M,2019-03,1.854B,490.00M,2.344B,2019-03,,0.00,-99.00M,-500.00M,4.00M,15.00M,2019-03,AOR,Restated
2018-12,654.00M,,-1.00M,-1.00M,,,331.00M,331.00M,-7.00M,,,,,,-183.00M,226.00M,465.00M,16.00M,,-512.00M,195.00M,,2018-12,-543.00M,,-5.00M,,-125.00M,0.00,-668.00M,2018-12,-87.00M,,-87.00M,,-500.00M,-500.00M,0.00,0.00,9.00M,7.00M,-571.00M,2018-12,2.104B,-250.00M,1.854B,2018-12,,,-87.00M,-500.00M,115.00M,37.00M,2018-12,AOR,Restated
2018-09,616.00M,,-2.00M,-2.00M,,,301.00M,301.00M,105.00M,,,,,,83.00M,-13.00M,160.00M,-30.00M,,52.00M,169.00M,,2018-09,-463.00M,,-8.00M,,-146.00M,5.00M,-604.00M,2018-09,-98.00M,,-98.00M,,-500.00M,-500.00M,-92.00M,-92.00M,9.00M,3.00M,-678.00M,2018-09,2.114B,-10.00M,2.104B,2018-09,,,-98.00M,-500.00M,38.00M,18.00M,2018-09,AOR,Restated
2018-06,732.00M,,-4.00M,-4.00M,,,292.00M,292.00M,131.00M,,,,,,74.00M,-81.00M,421.00M,-35.00M,,100.00M,405.00M,,2018-06,-537.00M,,-17.00M,,-156.00M,,-693.00M,2018-06,-75.00M,,-75.00M,,-500.00M,-500.00M,-92.00M,-92.00M,8.00M,14.00M,-645.00M,2018-06,1.822B,292.00M,2.114B,2018-06,,,-75.00M,-500.00M,170.00M,34.00M,2018-06,AOR,Restated
2018-03,463.00M,,-7.00M,-7.00M,,,277.00M,277.00M,72.00M,,,,,,25.00M,-15.00M,-501.00M,-178.00M,,866.00M,172.00M,,2018-03,-433.00M,,-24.00M,,360.00M,,-73.00M,2018-03,-82.00M,,-82.00M,,-500.00M,-500.00M,-148.00M,-148.00M,9.00M,119.00M,-602.00M,2018-03,1.495B,327.00M,1.822B,2018-03,,,-82.00M,-500.00M,4.00M,18.00M,2018-03,AOR,Restated
2017-12,1.747B,,-30.00M,-30.00M,,,279.00M,279.00M,-1.285B,,,,,,-2.00M,-79.00M,390.00M,2.00M,,-459.00M,-146.00M,,2017-12,-533.00M,,-13.00M,,-202.00M,,-735.00M,2017-12,542.00M,,542.00M,,-350.00M,-350.00M,0.00,0.00,7.00M,8.00M,207.00M,2017-12,1.46B,35.00M,1.495B,2017-12,,,-58.00M,-350.00M,381.00M,20.00M,2017-12,AOR,Restated
2017-09,528.00M,,-41.00M,-41.00M,,,302.00M,302.00M,98.00M,,,,,,205.00M,0.00,86.00M,-64.00M,,-118.00M,-96.00M,,2017-09,-654.00M,,-16.00M,,34.00M,,-620.00M,2017-09,-106.00M,,-106.00M,,-300.00M,-300.00M,-75.00M,-75.00M,8.00M,20.00M,-453.00M,2017-09,1.537B,-77.00M,1.46B,2017-09,,,-106.00M,-300.00M,229.00M,16.00M,2017-09,AOR,Restated
2017-06,743.00M,,-6.00M,-6.00M,,,319.00M,319.00M,67.00M,,,,,,62.00M,12.00M,-335.00M,-119.00M,,2.00M,-440.00M,,2017-06,-599.00M,,-48.00M,,16.00M,,-583.00M,2017-06,-59.00M,,-59.00M,,-400.00M,-400.00M,-76.00M,-76.00M,7.00M,52.00M,-476.00M,2017-06,1.851B,-314.00M,1.537B,2017-06,,,-59.00M,-400.00M,376.00M,18.00M,2017-06,AOR,Restated
2017-03,339.00M,,27.00M,27.00M,,,318.00M,318.00M,54.00M,,,,,,-7.00M,-35.00M,92.00M,-81.00M,,918.00M,894.00M,,2017-03,-463.00M,,-49.00M,,-7.00M,,-470.00M,2017-03,-369.00M,,-369.00M,,-550.00M,-550.00M,-123.00M,-123.00M,7.00M,51.00M,-984.00M,2017-03,1.68B,171.00M,1.851B,2017-03,,,-369.00M,-550.00M,6.00M,27.00M,2017-03,AOR,Restated
2016-12,461.00M,,-99.00M,-99.00M,,,318.00M,318.00M,24.00M,,0.00,,,,268.00M,305.00M,-51.00M,-58.00M,,-459.00M,-263.00M,,2016-12,-713.00M,,-39.00M,,-126.00M,,-839.00M,2016-12,95.00M,,95.00M,,-300.00M,-300.00M,0.00,0.00,6.00M,43.00M,-156.00M,2016-12,1.966B,-286.00M,1.68B,2016-12,,,-420.00M,-300.00M,1.804B,177.00M,2016-12,AOR,Restated
2016-09,389.00M,,-67.00M,-67.00M,,,315.00M,315.00M,315.00M,,0.00,,,,71.00M,-320.00M,247.00M,-16.00M,,-78.00M,-167.00M,,2016-09,-497.00M,,-33.00M,,-92.00M,5.00M,-584.00M,2016-09,-68.00M,,-68.00M,,-250.00M,-250.00M,-62.00M,-62.00M,6.00M,28.00M,-346.00M,2016-09,2.04B,-74.00M,1.966B,2016-09,,,-68.00M,-250.00M,-1.54B,-127.00M,2016-09,AOR,Restated
2016-06,820.00M,,-122.00M,-122.00M,,,298.00M,298.00M,54.00M,,21.00M,,,,313.00M,-14.00M,-288.00M,-49.00M,,79.00M,-272.00M,,2016-06,-488.00M,,-26.00M,,-181.00M,-5.00M,-674.00M,2016-06,-47.00M,,-47.00M,,-700.00M,-700.00M,-64.00M,-64.00M,6.00M,19.00M,-786.00M,2016-06,2.388B,-348.00M,2.04B,2016-06,,,-47.00M,-700.00M,565.00M,23.00M,2016-06,AOR,Restated
