,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,RentandLandingExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",EBITDA,ReconciledDepreciation,EBIT,,BasicEPS(Quarterly),EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,1.495B,1.793B,2.716B,-923.00M,,,,,,,100.00M,4.00M,-96.00M,488.00M,488.00M,-1.411B,4.00M,100.00M,-96.00M,-35.00M,-96.00M,-1.542B,-385.00M,-1.157B,,-1.127B,315.00M,-1.442B,,2020-09,,-1.96,-1.96,,2020-09,,-1.96,-1.96,590.00M,590.00M,0.00,,2020-09,AOR,
2020-06,742.00M,1.008B,1.915B,-907.00M,,,,,,,89.00M,9.00M,-80.00M,220.00M,220.00M,-1.127B,9.00M,89.00M,-80.00M,-32.00M,-80.00M,-1.239B,-324.00M,-915.00M,,-837.00M,313.00M,-1.15B,,2020-06,,-1.589,-1.63,,2020-06,,-1.589,-1.63,563.00M,563.00M,0.00,,2020-06,AOR,
2020-03,3.884B,4.234B,3.646B,588.00M,,,,,,,23.00M,17.00M,-6.00M,698.00M,698.00M,-110.00M,17.00M,23.00M,-6.00M,-28.00M,-6.00M,-144.00M,-50.00M,-94.00M,,190.00M,311.00M,-121.00M,,2020-03,,-0.1468,-0.18,,2020-03,,-0.1468,-0.18,515.00M,515.00M,0.18,,2020-03,AOR,
2019-12,5.357B,5.73B,4.299B,1.431B,,,,,,,19.00M,20.00M,1.00M,766.00M,766.00M,665.00M,20.00M,19.00M,1.00M,0.00,1.00M,666.00M,153.00M,513.00M,,998.00M,313.00M,685.00M,,2019-12,,0.98,0.98,,2019-12,,0.98,0.98,526.00M,527.00M,0.18,,2019-12,AOR,
2019-09,5.272B,5.639B,4.058B,1.581B,,,,,,,20.00M,23.00M,3.00M,762.00M,762.00M,819.00M,23.00M,20.00M,3.00M,-3.00M,3.00M,819.00M,160.00M,659.00M,,1.147B,308.00M,839.00M,,2019-09,,1.24,1.24,,2019-09,,1.23,1.23,533.00M,534.00M,0.18,,2019-09,AOR,Restated
2019-06,5.531B,5.909B,4.173B,1.736B,,,,,,,22.00M,24.00M,2.00M,768.00M,768.00M,968.00M,24.00M,22.00M,2.00M,-2.00M,2.00M,968.00M,227.00M,741.00M,,1.292B,302.00M,990.00M,,2019-06,,1.37,1.37,,2019-06,,1.37,1.37,542.00M,542.00M,0.18,,2019-06,AOR,Restated
2019-03,4.787B,5.149B,3.914B,1.235B,,,,,,,22.00M,23.00M,1.00M,730.00M,730.00M,505.00M,23.00M,22.00M,1.00M,-2.00M,1.00M,504.00M,117.00M,387.00M,,823.00M,297.00M,526.00M,,2019-03,,0.70,0.70,,2019-03,,0.70,0.70,551.00M,552.00M,0.16,,2019-03,AOR,Restated
2018-12,5.363B,5.704B,4.128B,1.576B,,,,,,,23.00M,22.00M,-1.00M,756.00M,756.00M,820.00M,22.00M,23.00M,-1.00M,-2.00M,-1.00M,817.00M,163.00M,654.00M,,1.171B,331.00M,840.00M,,2018-12,,1.17,1.17,,2018-12,,1.17,1.17,558.00M,559.00M,0.16,,2018-12,AOR,Restated
2018-09,5.237B,5.575B,4.038B,1.537B,,,,,,,24.00M,20.00M,-4.00M,739.00M,739.00M,798.00M,20.00M,24.00M,-4.00M,-8.00M,-4.00M,786.00M,171.00M,615.00M,,1.111B,301.00M,810.00M,,2018-09,,1.08,1.08,,2018-09,,1.08,1.08,569.00M,569.00M,0.16,,2018-09,AOR,Restated
2018-06,5.402B,5.742B,4.039B,1.703B,,,,,,,23.00M,15.00M,-8.00M,731.00M,731.00M,972.00M,15.00M,23.00M,-8.00M,-4.00M,-8.00M,960.00M,227.00M,733.00M,,1.275B,292.00M,983.00M,,2018-06,,1.27,1.27,,2018-06,,1.27,1.27,578.00M,579.00M,0.16,,2018-06,AOR,Restated
2018-03,4.627B,4.944B,3.703B,1.241B,,,,,,,22.00M,12.00M,-10.00M,625.00M,625.00M,616.00M,12.00M,22.00M,-10.00M,-4.00M,-10.00M,602.00M,139.00M,463.00M,,901.00M,277.00M,624.00M,,2018-03,,0.79,0.79,,2018-03,,0.79,0.79,587.00M,588.00M,0.125,,2018-03,AOR,Restated
2017-12,4.939B,5.258B,3.825B,1.433B,,,,,,,19.00M,11.00M,-8.00M,693.00M,693.00M,740.00M,11.00M,19.00M,-8.00M,3.00M,-8.00M,735.00M,-1.012B,1.747B,,1.033B,279.00M,754.00M,,2017-12,,3.19,3.19,,2017-12,,3.18,3.18,589.00M,594.00M,0.125,,2017-12,AOR,Restated
2017-09,4.986B,5.303B,3.717B,1.586B,,,,,,,13.00M,9.00M,-4.00M,741.00M,741.00M,845.00M,9.00M,13.00M,-4.00M,-9.00M,-4.00M,832.00M,304.00M,528.00M,,1.147B,302.00M,845.00M,,2017-09,,0.8843,0.88,,2017-09,,0.8842,0.88,597.00M,598.00M,0.125,,2017-09,AOR,Restated
2017-06,5.423B,5.731B,3.789B,1.942B,,,,,,,14.00M,8.00M,-6.00M,727.00M,727.00M,1.215B,8.00M,14.00M,-6.00M,-44.00M,-6.00M,1.165B,422.00M,743.00M,,1.498B,319.00M,1.179B,,2017-06,,1.276,1.23,,2017-06,,1.276,1.23,604.00M,605.00M,0.10,,2017-06,AOR,Restated
2017-03,4.588B,4.854B,3.56B,1.294B,,,,,,,18.00M,7.00M,-11.00M,688.00M,688.00M,606.00M,7.00M,18.00M,-11.00M,-63.00M,-11.00M,532.00M,193.00M,339.00M,,868.00M,318.00M,550.00M,,2017-03,,0.6174,0.55,,2017-03,,0.6173,0.55,613.00M,614.00M,0.10,,2017-03,AOR,Restated
2016-12,5.139B,4.939B,3.483B,1.456B,,,,,,,16.00M,7.00M,-9.00M,849.00M,849.00M,607.00M,7.00M,16.00M,-9.00M,114.00M,-9.00M,712.00M,251.00M,461.00M,,1.046B,318.00M,728.00M,,2016-12,,0.85,0.85,,2016-12,,0.84,0.84,618.00M,618.00M,0.10,,2016-12,AOR,Restated
2016-09,4.711B,5.139B,3.786B,1.353B,,,,,,,19.00M,6.00M,-13.00M,658.00M,658.00M,695.00M,6.00M,19.00M,-13.00M,-64.00M,-13.00M,618.00M,230.00M,388.00M,,952.00M,315.00M,637.00M,,2016-09,,0.6961,0.63,,2016-09,,0.6853,0.62,618.00M,625.00M,0.10,,2016-09,AOR,Restated
2016-06,4.95B,5.384B,3.489B,1.895B,,,,,,,21.00M,6.00M,-15.00M,619.00M,619.00M,1.276B,6.00M,21.00M,-15.00M,43.00M,-15.00M,1.304B,484.00M,820.00M,,1.624B,299.00M,1.325B,,2016-06,,1.257,1.30,,2016-06,,1.238,1.28,632.00M,639.00M,0.10,,2016-06,AOR,Restated
2016-03,4.44B,4.826B,3.304B,1.522B,,,,,,,19.00M,5.00M,-14.00M,578.00M,578.00M,944.00M,5.00M,19.00M,-14.00M,-114.00M,-14.00M,816.00M,303.00M,513.00M,,1.125B,290.00M,835.00M,,2016-03,,0.9128,0.80,,2016-03,,0.9016,0.79,641.00M,648.00M,0.075,,2016-03,AOR,Restated
2015-12,4.598B,4.977B,3.334B,1.643B,,,,,,-7.00M,21.00M,4.00M,-17.00M,610.00M,610.00M,1.033B,4.00M,21.00M,-17.00M,-169.00M,-17.00M,847.00M,311.00M,536.00M,,1.132B,264.00M,868.00M,,2015-12,,0.9958,0.83,,2015-12,,0.9837,0.82,649.00M,657.00M,0.075,,2015-12,AOR,Restated
2015-09,4.76B,5.318B,3.515B,1.803B,,,,,,-6.00M,22.00M,2.00M,-20.00M,572.00M,572.00M,1.231B,2.00M,22.00M,-20.00M,-278.00M,-20.00M,933.00M,349.00M,584.00M,,1.213B,258.00M,955.00M,,2015-09,,1.156,0.89,,2015-09,,1.142,0.88,655.00M,663.00M,0.075,,2015-09,AOR,Restated
2015-06,4.898B,5.111B,3.46B,1.651B,,,,,,-3.00M,22.00M,2.00M,-20.00M,563.00M,563.00M,1.088B,2.00M,22.00M,-20.00M,-91.00M,-20.00M,977.00M,369.00M,608.00M,,1.249B,250.00M,999.00M,,2015-06,,0.9979,0.91,,2015-06,,0.9869,0.90,665.00M,673.00M,0.075,,2015-06,AOR,Restated
