,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,DerivativeInstruments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2020-09,12.11B,2.453B,14.56B,560.00M,12.00M,897.00M,426.00M,248.00M,,,16.13B,,6.005B,,,274.00M,29.27B,-11.44B,17.82B,970.00M,,970.00M,,,372.00M,307.00M,19.47B,35.60B,,2020-09,116.00M,770.00M,1.055B,855.00M,1.91B,720.00M,720.00M,316.00M,1.036B,3.952B,3.952B,,28.00M,7.804B,10.14B,1.424B,11.56B,1.824B,3.142B,5.253B,847.00M,,25.84B,,2020-09,888.00M,15.68B,-102.00M,9.769B,,2020-09,AOR,
2020-06,12.35B,2.106B,14.46B,518.00M,21.00M,770.00M,422.00M,223.00M,,,15.87B,,5.923B,,,239.00M,29.26B,-11.16B,18.09B,970.00M,,970.00M,,,363.00M,299.00M,19.72B,35.60B,,2020-06,110.00M,793.00M,1.042B,791.00M,1.833B,695.00M,695.00M,336.00M,1.031B,4.988B,5.945B,,60.00M,9.361B,8.905B,1.486B,10.39B,2.114B,1.891B,4.32B,299.00M,,24.72B,,2020-06,888.00M,16.84B,-130.00M,10.88B,,2020-06,AOR,
2020-03,3.94B,1.605B,5.545B,709.00M,,709.00M,518.00M,256.00M,,,7.028B,5.818B,,,198.00M,,29.18B,-10.91B,18.27B,970.00M,,970.00M,,,356.00M,264.00M,19.86B,26.88B,,2020-03,133.00M,759.00M,1.11B,722.00M,1.832B,2.795B,2.795B,330.00M,3.125B,5.036B,5.036B,,55.00M,10.24B,2.288B,936.00M,3.224B,2.278B,1.175B,3.739B,294.00M,,17.81B,,2020-03,808.00M,17.76B,-186.00M,9.075B,,2020-03,AOR,
2019-12,2.548B,1.524B,4.072B,1.086B,,1.086B,529.00M,287.00M,,,5.974B,5.672B,,,164.00M,,29.06B,-10.69B,18.37B,970.00M,296.00M,1.266B,,,49.00M,232.00M,19.92B,25.90B,,2019-12,306.00M,1.043B,1.653B,809.00M,2.462B,819.00M,819.00M,353.00M,1.172B,4.457B,4.457B,,,8.952B,1.846B,978.00M,2.824B,2.364B,1.053B,3.73B,288.00M,,16.06B,,2019-12,808.00M,17.94B,-61.00M,9.832B,,2019-12,AOR,
2019-09,2.488B,1.528B,4.016B,867.00M,,867.00M,528.00M,239.00M,,,5.65B,5.446B,,,172.00M,,29.64B,-10.44B,19.19B,970.00M,,970.00M,,,,653.00M,20.82B,26.47B,,2019-09,70.00M,,1.344B,794.00M,2.138B,637.00M,637.00M,332.00M,969.00M,4.93B,4.93B,,,8.629B,2.398B,1.014B,3.412B,2.643B,1.036B,3.679B,,,16.54B,,2019-09,808.00M,17.52B,-63.00M,9.931B,,2019-09,AOR,Restated
2019-06,2.446B,1.54B,3.986B,777.00M,,777.00M,510.00M,281.00M,,,5.554B,5.228B,,,144.00M,,29.32B,-10.16B,19.16B,970.00M,,970.00M,,54.00M,432.00M,207.00M,20.82B,26.37B,,2019-06,342.00M,801.00M,1.403B,791.00M,2.194B,654.00M,654.00M,350.00M,1.004B,4.962B,4.962B,,,8.611B,2.449B,1.072B,3.521B,2.497B,1.022B,3.801B,240.00M,,16.43B,,2019-06,808.00M,16.96B,30.00M,9.94B,,2019-06,AOR,Restated
2019-03,2.344B,1.517B,3.861B,784.00M,,784.00M,484.00M,354.00M,,,5.483B,5.082B,,,120.00M,,29.16B,-9.875B,19.28B,970.00M,313.00M,1.283B,,65.00M,150.00M,197.00M,20.98B,26.46B,,2019-03,456.00M,865.00M,1.577B,892.00M,2.469B,571.00M,571.00M,361.00M,932.00M,5.029B,5.029B,,,8.723B,2.602B,1.15B,3.752B,2.48B,985.00M,3.737B,235.00M,,16.67B,,2019-03,808.00M,16.32B,96.00M,9.791B,,2019-03,AOR,Restated
2018-12,1.854B,1.835B,3.689B,568.00M,,568.00M,461.00M,310.00M,,,5.028B,4.96B,,,1.768B,,29.26B,-9.731B,19.52B,970.00M,399.00M,1.369B,,61.00M,95.00M,164.00M,21.21B,26.24B,,2018-12,288.00M,933.00M,1.484B,935.00M,2.419B,606.00M,606.00M,0.00,606.00M,4.134B,4.134B,,,7.905B,2.771B,,2.771B,2.427B,936.00M,3.61B,232.00M,,16.39B,,2018-12,808.00M,15.97B,20.00M,9.853B,,2018-12,AOR,Restated
2018-09,2.104B,1.716B,3.82B,784.00M,,784.00M,483.00M,514.00M,,,5.601B,,4.769B,,,1.718B,28.72B,-9.437B,19.28B,970.00M,403.00M,1.373B,,65.00M,333.00M,174.00M,21.28B,26.88B,,2018-09,257.00M,762.00M,1.285B,858.00M,2.143B,,346.00M,,346.00M,4.756B,4.756B,,,7.843B,3.10B,,3.10B,2.553B,827.00M,3.64B,294.00M,22.00M,16.73B,,2018-09,808.00M,15.40B,412.00M,10.15B,,2018-09,AOR,Restated
2018-06,2.114B,1.572B,3.686B,765.00M,,765.00M,459.00M,498.00M,,,5.408B,,4.626B,,,1.664B,28.23B,-9.166B,19.07B,970.00M,406.00M,1.376B,,68.00M,275.00M,178.00M,21.06B,26.46B,,2018-06,349.00M,781.00M,1.41B,724.00M,2.134B,,365.00M,,365.00M,4.652B,4.652B,,,7.716B,3.155B,,3.155B,2.414B,878.00M,3.539B,288.00M,23.00M,16.47B,,2018-06,808.00M,14.88B,298.00M,9.997B,,2018-06,AOR,Restated
