,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2020-09,178.37M,,,-6.188M,-6.188M,49.89M,,49.89M,49.89M,,,,16.07M,,16.07M,16.11M,-52.40M,3.415M,-61.27M,,,-94.14M,144.00M,-18.74M,,-13.50M,-5.237M,,-3.372M,,-22.11M,-120.00M,-120.00M,1.026M,,1.026M,-56.51M,-56.51M,,0.227M,-175.26M,463.16M,-53.37M,11.63M,421.41M,1.026M,55.00M,-175.00M,,51.37M,6.842M
2020-06,177.84M,,,5.976M,5.976M,45.51M,,45.51M,45.51M,,,0.00,16.14M,,0.00,88.52M,-47.32M,9.725M,33.88M,,,84.81M,330.26M,-21.19M,,-17.97M,-3.217M,0.00,17.78M,,-3.407M,-201.00M,-201.00M,22.07M,,22.07M,-56.48M,-56.48M,,-0.955M,-236.37M,352.86M,90.49M,19.80M,463.16M,22.07M,200.00M,-401.00M,,29.56M,9.197M
2020-03,163.14M,,,5.296M,5.296M,46.46M,,46.46M,46.46M,,,9.10M,14.11M,,0.00,-33.86M,5.73M,-1.906M,31.63M,,,1.585M,239.70M,-32.11M,,-29.59M,-2.52M,-24.49M,-43.02M,,-99.61M,77.00M,77.00M,1.815M,,1.815M,-56.41M,-56.41M,,-4.015M,18.39M,204.10M,158.48M,-9.709M,352.86M,1.815M,260.00M,-183.00M,,8.853M,9.968M
2019-12,160.55M,,,4.333M,4.333M,45.48M,,45.48M,45.48M,,,5.419M,14.05M,,0.001M,-28.56M,-14.09M,-58.41M,-58.85M,,,-159.91M,69.93M,-27.90M,,-25.10M,-2.802M,-3.423M,-12.29M,,-43.62M,78.99M,78.99M,18.69M,,18.69M,-56.15M,-56.15M,,-40.76M,0.764M,172.15M,27.08M,4.863M,204.10M,18.69M,165.00M,-86.01M,,111.01M,10.22M
2019-09,120.15M,,,9.453M,9.453M,43.92M,,43.92M,43.92M,,,,13.26M,,-0.008M,28.29M,-14.20M,-8.407M,-30.08M,,,-24.40M,162.36M,-24.74M,,-22.67M,-2.069M,,-8.484M,,-33.22M,-49.00M,-49.00M,5.609M,,5.609M,-56.05M,-56.05M,,-0.628M,-100.07M,147.13M,29.06M,-4.039M,172.15M,5.609M,565.00M,-614.00M,,30.94M,10.99M
2019-06,68.80M,,,6.462M,6.462M,42.59M,,42.59M,42.59M,,,6.206M,14.22M,,-0.014M,-16.53M,-29.19M,-30.12M,79.39M,,,3.554M,141.82M,-24.28M,,-22.20M,-2.076M,0.182M,-19.79M,,-43.89M,-65.35M,-65.35M,21.38M,0.00,21.38M,-53.12M,-53.12M,,-0.485M,-97.58M,146.51M,0.355M,0.26M,147.13M,21.38M,105.00M,-170.35M,0.00,31.04M,12.55M
2019-03,105.41M,,,4.087M,4.087M,41.75M,,41.75M,41.75M,,,5.842M,12.84M,,0.00,-33.85M,-24.43M,9.469M,18.52M,,,-30.29M,139.65M,-17.00M,,-15.08M,-1.913M,-212.32M,3.904M,,-225.41M,134.40M,134.40M,2.562M,0.00,2.562M,-53.02M,-53.02M,,-0.758M,83.18M,149.47M,-2.578M,-0.377M,146.51M,2.562M,323.00M,-188.60M,0.00,19.32M,12.41M
2018-12,124.64M,,,3.375M,3.375M,36.03M,,36.03M,36.03M,,,1.248M,12.53M,,-0.089M,12.02M,-14.91M,-19.22M,-26.16M,,,-48.27M,129.47M,-20.46M,,-18.43M,-2.032M,-612.81M,-24.95M,,-658.22M,521.56M,521.56M,12.27M,-3.445M,8.826M,-52.77M,-52.77M,,-27.41M,450.21M,230.19M,-78.54M,-2.177M,149.47M,12.27M,788.23M,-266.66M,-3.445M,67.49M,7.487M
2018-09,105.74M,,,0.00,0.00,30.42M,,30.42M,30.42M,,,1.711M,12.48M,,-0.183M,20.34M,-15.66M,-7.703M,-99.02M,,,-102.05M,48.12M,-15.60M,,-12.99M,-2.611M,-126.44M,-6.145M,,-148.19M,216.87M,216.87M,0.513M,-19.40M,-18.89M,-52.79M,-52.79M,,-0.364M,144.82M,188.70M,44.75M,-3.267M,230.19M,0.513M,303.00M,-86.13M,-19.40M,125.00M,3.708M
2018-06,109.81M,,,0.00,0.00,,,31.70M,31.70M,,,7.973M,12.48M,,0.028M,7.065M,12.64M,-88.39M,36.11M,,,-32.58M,129.42M,-19.75M,,-17.62M,-2.133M,-0.42M,-18.35M,,-38.53M,-526.24M,-526.24M,14.64M,-25.90M,-11.26M,-49.97M,-49.97M,,-1.195M,-588.67M,704.28M,-497.78M,-17.80M,188.70M,14.64M,230.00M,-756.24M,-25.90M,95.53M,5.482M
