,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2020-12,438.11M,,,,,17.54M,17.54M,48.11M,6.375M,7.833M,0.024M,,-81.26M,274.58M,-195.59M,,,-2.277M,,515.72M,,-11.43M,,,-0.09M,,4.751M,1.232M,,108.50M,108.50M,,-75.00M,-75.00M,-32.42M,-32.42M,0.00,,1.078M,,2.114B,518.03M,,2.632B,,,85.25M,23.25M,-75.00M,68.75M,-13.24M,,AOR,
2020-09,416.40M,,,,,17.00M,17.00M,39.83M,1.749M,8.328M,-0.161M,,-17.51M,12.94M,-17.82M,,,-22.39M,,460.75M,,-10.18M,,,-13.61M,,0.124M,-3.729M,,-8.20M,-8.20M,,0.00,0.00,-32.42M,-32.42M,0.012M,,-40.61M,,1.698B,416.41M,,2.114B,,,0.00,-8.20M,0.00,189.63M,13.09M,,AOR,
2020-06,348.62M,,,,,16.39M,16.39M,29.71M,2.452M,5.203M,-0.072M,,291.13M,-58.96M,-31.21M,,,200.96M,,603.26M,,-16.61M,,,7.062M,,-0.109M,-9.654M,,-714.50M,-714.50M,,-0.015M,-0.015M,-32.59M,-32.59M,0.049M,,-747.06M,,1.851B,-153.46M,,1.698B,,,0.00,-714.50M,-0.015M,0.325M,-10.81M,,AOR,
2020-03,203.71M,,,,,15.15M,15.15M,19.96M,29.92M,11.48M,-0.903M,,-189.36M,-26.91M,141.58M,,,-74.70M,,204.62M,,-20.14M,,,-77.36M,,1.706M,-95.80M,,634.18M,634.18M,,-110.51M,-110.51M,-32.74M,-32.74M,0.05M,,490.98M,,1.251B,599.80M,,1.851B,,,700.00M,-65.82M,-110.51M,5.54M,14.02M,,AOR,
2019-12,335.80M,,,,,13.70M,13.70M,21.69M,9.552M,6.979M,-1.412M,,189.44M,58.44M,-145.89M,,,102.00M,,493.22M,,-14.96M,,,-1.00M,,1.663M,-14.29M,,64.64M,64.64M,,-30.67M,-30.67M,-30.12M,-30.12M,0.031M,,3.884M,,768.64M,482.81M,,1.251B,,,0.00,64.64M,-30.67M,76.79M,-13.96M,,AOR,Restated
2019-09,273.10M,,,,,13.80M,13.80M,32.29M,10.74M,4.085M,-0.097M,,-27.66M,38.41M,-67.61M,,,-56.86M,,277.07M,,-13.59M,,,-3.851M,,0.203M,-17.02M,,15.07M,15.07M,,-136.29M,-136.29M,-30.62M,-30.62M,1.16M,,-150.68M,,659.27M,109.37M,,768.64M,,,0.00,15.07M,-136.29M,47.71M,14.01M,,AOR,Restated
2019-06,241.04M,,,,,13.29M,13.29M,26.77M,3.831M,8.285M,2.703M,,-139.66M,40.72M,-50.18M,,,-149.11M,,146.80M,,-13.50M,,,-167.10M,,4.301M,-176.30M,,-281.65M,-281.65M,,-83.47M,-83.47M,-30.82M,-30.82M,3.763M,,-392.18M,,1.081B,-421.68M,,659.27M,,,0.00,-281.65M,-83.47M,12.62M,-11.60M,,AOR,Restated
2019-03,166.76M,,,,,13.21M,13.21M,24.69M,2.979M,9.019M,-0.039M,,-259.86M,3.404M,198.75M,,,-57.71M,,158.90M,,-16.07M,,,-1.289M,,0.291M,-17.07M,,-129.88M,-129.88M,,-35.35M,-35.35M,-30.80M,-30.80M,1.445M,,-194.58M,,1.134B,-52.75M,,1.081B,,,0.00,-129.88M,-35.35M,,17.16M,,AOR,Restated
2018-12,237.65M,,,,,12.71M,12.71M,132.44M,85.47M,6.769M,-0.222M,,213.37M,-99.88M,-155.09M,,,-41.60M,,433.30M,,-12.51M,,,0.00,,-7.256M,-8.491M,,97.56M,97.56M,,-123.04M,-123.04M,-25.74M,-25.74M,1.093M,0.001M,-50.12M,,759.01M,374.69M,,1.134B,,,0.00,97.56M,-123.04M,0.66M,-16.19M,,AOR,Restated
2018-09,289.53M,,,,,12.56M,12.56M,103.34M,8.132M,5.359M,-0.663M,,17.63M,50.17M,-18.66M,,,49.14M,,467.40M,,-13.47M,,,0.00,,8.63M,-4.84M,,-13.53M,-13.53M,,-66.95M,-66.95M,-25.90M,-25.90M,0.995M,-0.075M,-105.46M,,401.92M,357.10M,,759.01M,,,0.00,-13.53M,-66.95M,88.54M,16.36M,,AOR,Restated
2018-06,324.09M,,,,,12.27M,12.27M,103.51M,2.422M,7.711M,-2.01M,,-44.19M,-64.78M,39.54M,,,-69.43M,,378.57M,,-17.63M,,,0.00,,6.463M,-11.17M,,-64.89M,-64.89M,,-53.00M,-53.00M,-26.04M,-26.04M,1.744M,-8.09M,-150.27M,,184.79M,217.13M,,401.92M,,,798.00M,-862.89M,-53.00M,-0.631M,-29.72M,,AOR,Restated
2018-03,170.75M,,,,,11.89M,11.89M,23.48M,3.419M,8.451M,-0.793M,,-237.17M,13.08M,175.90M,,,-48.18M,,169.01M,,-15.43M,,,-1.00M,,0.452M,-15.98M,,-191.30M,-191.30M,,-59.49M,-59.49M,-26.35M,-26.35M,2.723M,,-274.42M,,306.17M,-121.38M,,184.79M,,,768.00M,-959.30M,-59.49M,0.631M,30.11M,,AOR,Restated
2017-12,77.41M,,,,,12.31M,12.31M,294.45M,60.66M,7.178M,-0.351M,,188.98M,-56.86M,-173.18M,,,-41.06M,,410.60M,,-8.503M,,,-1.03M,,-0.942M,-10.48M,,-18.77M,-18.77M,,-250.51M,-250.51M,-26.73M,-26.73M,4.955M,,-291.06M,,197.10M,109.07M,,306.17M,,,1.941B,-1.960B,-250.51M,-2.331M,-11.52M,,AOR,Restated
2017-09,177.54M,,,,,12.67M,12.67M,47.02M,2.146M,5.634M,0.098M,,-271.61M,95.65M,7.016M,,,-168.94M,,76.15M,,-6.656M,,,-4.175M,,2.645M,-8.186M,,170.27M,170.27M,,-259.99M,-259.99M,-27.80M,-27.80M,6.799M,,-110.72M,,239.86M,-42.76M,,197.10M,,,775.20M,-604.93M,-259.99M,6.226M,9.157M,,AOR,Restated
2017-06,100.75M,,,,,12.81M,12.81M,41.62M,125.57M,6.71M,-2.091M,,-219.38M,98.25M,-27.72M,,,-148.85M,,136.52M,,-6.896M,,,-3.03M,,1.72M,-8.206M,,12.24M,12.24M,,-300.30M,-300.30M,-29.11M,-29.11M,4.848M,,-312.32M,,423.86M,-184.01M,,239.86M,,,110.00M,-97.76M,-300.30M,9.937M,-10.47M,,AOR,Restated
2017-03,91.52M,,,,,13.21M,13.21M,39.23M,3.535M,14.16M,0.555M,,-267.01M,-71.36M,215.98M,,,-122.40M,,39.80M,,-9.996M,,,-14.80M,,1.423M,-23.38M,,-192.31M,-192.31M,,-105.52M,-105.52M,-29.10M,-29.10M,11.12M,,-315.81M,,723.25M,-299.38M,,423.86M,,,,-192.31M,-105.52M,1.043M,12.83M,,AOR,Restated
2016-12,273.17M,,,,,13.79M,13.79M,135.81M,6.172M,2.415M,-2.879M,,203.08M,-8.046M,-249.40M,,,-54.36M,,374.78M,,-8.744M,,,-0.49M,,7.627M,-1.607M,,171.62M,171.62M,,-252.36M,-252.36M,-30.37M,-30.37M,0.00,,-111.11M,,461.19M,262.06M,,723.25M,,,63.72M,107.90M,-252.36M,2.743M,,,AOR,Restated
2016-09,128.47M,,,,,13.51M,13.51M,81.19M,2.663M,2.907M,5.225M,,-289.76M,28.19M,41.20M,,,-220.37M,,13.60M,,-9.507M,,,-0.713M,,0.00,-10.22M,,478.35M,478.35M,,-250.04M,-250.04M,-31.28M,-31.28M,5.103M,,202.14M,,255.67M,205.52M,,461.19M,,,1.271B,-792.52M,-250.04M,,,,AOR,Restated
2016-06,117.76M,,,,,13.59M,13.59M,67.76M,10.52M,7.551M,-5.179M,,-428.51M,23.11M,-63.80M,,,-469.19M,,-257.19M,,-11.58M,,,-0.249M,,4.22M,-7.613M,,-418.82M,-418.82M,,-48.06M,-48.06M,-31.45M,-31.45M,0.69M,,-497.64M,,1.018B,-762.44M,,255.67M,,,132.51M,-551.33M,-48.06M,-1.212M,,,AOR,Restated
2016-03,83.30M,,,,,13.11M,13.11M,50.03M,,9.355M,4.447M,,-381.91M,32.00M,126.75M,,,-223.16M,,-62.92M,,-9.46M,,,-443.54M,,1.253M,-451.75M,,841.61M,841.61M,,-52.74M,-52.74M,-31.57M,-31.57M,0.052M,,757.35M,,775.44M,242.68M,,1.018B,,,1.212B,-369.96M,-52.74M,1.212M,,,AOR,Restated
2015-12,228.03M,,,,,12.50M,12.50M,140.34M,,4.613M,-16.16M,,-82.02M,-186.88M,-217.86M,,13.29M,-473.47M,,-92.69M,,-11.39M,,,-0.454M,,-2.339M,-14.18M,,159.70M,159.70M,,0.00,0.00,-28.06M,-28.06M,0.164M,,131.80M,,734.15M,24.92M,,775.44M,,,127.64M,32.06M,0.00,-0.74M,,,AOR,Restated
2015-09,107.77M,,,,,11.87M,11.87M,68.30M,,5.485M,1.981M,,-349.60M,184.14M,-74.97M,,-8.767M,-249.20M,,-53.80M,,-10.93M,,,,,-0.981M,-11.92M,,485.80M,485.80M,,-120.67M,-120.67M,-28.77M,-28.77M,3.149M,,339.50M,,460.36M,273.79M,,734.15M,,,623.09M,-137.29M,-120.67M,0.74M,,,AOR,Restated
2015-06,103.32M,,,,,10.79M,10.79M,62.25M,,6.374M,4.509M,,-254.68M,7.642M,-103.08M,,-2.84M,-352.96M,,-165.71M,,-8.598M,,,0.00,,10.02M,1.42M,,-186.29M,-186.29M,,-214.11M,-214.11M,-29.51M,-29.51M,0.626M,,-429.28M,,1.054B,-593.57M,,460.36M,,,0.00,-186.29M,-214.11M,,,,AOR,Restated
2015-03,54.97M,,,,,11.06M,11.06M,40.80M,,8.28M,4.81M,,-230.99M,-28.79M,116.15M,,-1.686M,-145.32M,,-25.40M,,-14.52M,,,,,4.632M,-9.885M,,-72.68M,-72.68M,,-107.96M,-107.96M,-29.62M,-29.62M,6.596M,,-203.65M,,1.293B,-238.94M,,1.054B,,,,-72.68M,-107.96M,,,,AOR,Restated
2014-12,217.09M,,2.659M,2.659M,,11.00M,11.00M,59.31M,,8.002M,-10.78M,,46.63M,-102.95M,-136.78M,,0.689M,-192.41M,,106.05M,,-6.902M,,,-4.959M,,-41.16M,-53.02M,,68.65M,68.65M,,-97.88M,-97.88M,-18.70M,-18.70M,9.593M,,-38.34M,,1.222B,14.69M,,1.309B,,,34.58M,34.07M,-97.88M,,,,AOR,Restated
2014-09,140.54M,,-0.234M,-0.234M,,9.96M,9.96M,79.43M,,4.493M,1.562M,,-134.71M,38.63M,-12.16M,,0.037M,-108.20M,,127.55M,,-8.867M,-0.098M,-0.098M,-77.46M,,84.72M,-9.284M,,2.59M,2.59M,,-51.43M,-51.43M,-18.79M,-18.79M,0.245M,,-67.39M,,1.171B,50.88M,,1.222B,,,0.00,2.59M,-51.43M,,,,AOR,Restated
2014-06,41.88M,,-1.287M,-1.287M,,9.962M,9.962M,32.94M,,8.275M,3.393M,,-181.05M,109.82M,-41.21M,,0.164M,-112.28M,,-17.11M,,-15.16M,0.075M,0.075M,0.00,,-26.58M,-40.46M,,32.55M,32.55M,,-53.61M,-53.61M,-19.09M,-19.09M,0.494M,,-39.65M,,1.268B,-97.23M,,1.171B,,,,32.55M,-53.61M,,,,AOR,Restated
2014-03,74.82M,,-1.138M,7.446M,,8.942M,8.942M,52.09M,,8.522M,3.256M,,-68.81M,-84.15M,90.18M,,-0.89M,-63.68M,,91.40M,,-17.86M,0.023M,0.023M,-0.009M,,-8.381M,-19.85M,,-319.84M,-319.84M,,-50.10M,-50.10M,-19.06M,-19.06M,5.295M,,-383.72M,,1.580B,-312.17M,,1.268B,,,,-319.84M,-50.10M,,,,AOR,Restated
2013-12,220.05M,,-1.411M,-1.411M,,8.453M,8.453M,12.33M,,8.91M,-2.02M,,176.02M,-105.84M,-1.72M,,1.733M,70.20M,,326.19M,,-10.54M,-0.009M,-0.009M,1.057M,,-18.19M,-27.89M,,-12.04M,-12.04M,,-37.72M,-37.72M,-19.06M,-19.06M,0.862M,,-67.96M,,1.350B,230.34M,,1.580B,,,,-12.04M,-37.72M,,,,AOR,Restated
